SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.083	0.079	0.086	0.116	0.121	0.065	0.071	0.087	0.118	0.082	0.124	0.082	0.082	0.089	0.118	0.040	0.118	0.118	0.083	0.078	0.090	0.083	0.124	0.122	0.122	0.087	0.086	0.124	0.088	0.092	0.084	0.092	0.039	0.073	0.040	0.072	0.035	0.111	0.074	0.041	0.070	0.074	0.042	0.036	0.035	0.001	0.070	0.108	0.070	0.070	0.072	0.107	0.049	0.041	0.042	0.074	0.036	0.039	0.036	0.042	0.041	0.049	0.034	0.049	-0.263	-0.266	-0.265	-0.279	-0.275	-0.267	-0.264	-0.264	-0.279	-0.267	-0.278	-0.262	-0.262	-0.259	-0.279	-0.257	-0.279	-0.279	-0.268	-0.271	-0.267	-0.263	-0.278	-0.281	-0.276	-0.264	-0.264	-0.278	-0.265	-0.267	-0.262	-0.267	0.095	0.055	-0.269	2016_7_13_10_39_47
FLNS2009GRWF____	0.130	0.134	0.134	0.137	0.144	0.181	0.129	0.125	0.127	0.128	0.137	0.134	0.135	0.140	0.127	0.132	0.127	0.127	0.130	0.147	0.141	0.141	0.137	0.132	0.138	0.121	0.130	0.137	0.126	0.141	0.164	0.141	0.034	0.004	0.002	-0.001	0.004	0.002	0.080	0.033	0.073	0.080	0.004	0.000	0.002	0.003	0.073	0.031	0.073	0.073	0.031	-0.080	0.009	-0.033	0.004	0.004	0.006	0.075	0.038	0.004	0.031	0.011	0.105	0.011	0.269	0.271	0.271	0.271	0.268	0.256	0.263	0.271	0.265	0.263	0.270	0.272	0.272	0.270	0.265	0.268	0.265	0.265	0.269	0.278	0.269	0.274	0.270	0.272	0.271	0.266	0.268	0.270	0.271	0.268	0.248	0.268	0.136	0.024	0.268	2016_7_13_10_40_33
FLQS2C39GRX5____	0.234	0.276	0.269	0.312	0.260	0.259	0.277	0.277	0.313	0.272	0.312	0.272	0.313	0.273	0.313	0.315	0.313	0.313	0.272	0.273	0.279	0.269	0.312	0.271	0.311	0.270	0.270	0.312	0.268	0.279	0.314	0.279	-0.001	-0.014	0.054	0.026	0.058	0.058	0.028	0.023	0.022	0.061	0.026	-0.006	0.061	0.064	0.022	-0.014	0.022	0.022	-0.011	0.025	0.027	0.024	0.026	0.056	0.024	0.060	0.022	0.026	0.024	0.025	0.025	0.025	-0.250	-0.263	-0.271	-0.281	-0.268	-0.267	-0.269	-0.268	-0.281	-0.272	-0.281	-0.263	-0.286	-0.273	-0.281	-0.277	-0.281	-0.281	-0.262	-0.267	-0.270	-0.266	-0.281	-0.271	-0.280	-0.272	-0.267	-0.281	-0.266	-0.269	-0.282	-0.269	0.286	0.028	-0.272	2016_7_13_10_40_36
FLQS2C44GRX5____	0.445	0.444	0.444	0.493	0.481	0.464	0.519	0.452	0.536	0.535	0.484	0.452	0.486	0.486	0.536	0.446	0.536	0.536	0.449	0.449	0.452	0.447	0.484	0.451	0.492	0.448	0.449	0.484	0.448	0.485	0.485	0.485	0.064	0.102	0.059	0.037	0.057	-0.004	0.095	0.070	0.025	0.023	0.033	0.034	0.033	0.034	0.025	0.064	0.025	0.025	0.040	0.034	0.037	0.034	0.033	0.029	0.033	0.041	0.029	0.033	0.063	0.057	0.068	0.057	-0.357	-0.362	-0.356	-0.370	-0.369	-0.354	-0.387	-0.360	-0.383	-0.383	-0.366	-0.355	-0.367	-0.367	-0.383	-0.357	-0.383	-0.383	-0.355	-0.355	-0.355	-0.354	-0.366	-0.353	-0.369	-0.355	-0.354	-0.366	-0.358	-0.370	-0.372	-0.370	0.477	0.043	-0.365	2016_7_13_10_40_39
FLQS2CBBGRX5____	0.024	0.020	0.013	0.068	0.036	0.023	0.021	0.034	0.029	0.028	0.020	0.021	0.016	0.058	0.029	0.022	0.029	0.029	0.020	0.019	0.031	0.022	0.020	0.021	0.019	0.021	0.016	0.020	0.023	0.023	0.019	0.023	-0.079	-0.048	-0.023	-0.081	-0.081	-0.052	-0.077	-0.077	-0.078	-0.082	-0.053	-0.051	-0.020	-0.049	-0.078	-0.081	-0.078	-0.078	-0.049	-0.051	-0.078	-0.051	-0.053	-0.058	-0.051	-0.077	-0.051	-0.053	-0.080	-0.088	-0.046	-0.088	-0.202	-0.204	-0.205	-0.217	-0.205	-0.204	-0.200	-0.205	-0.203	-0.203	-0.204	-0.204	-0.206	-0.218	-0.203	-0.201	-0.203	-0.203	-0.204	-0.203	-0.204	-0.205	-0.204	-0.203	-0.204	-0.200	-0.202	-0.204	-0.200	-0.200	-0.205	-0.200	0.026	-0.064	-0.204	2016_7_13_10_40_42
FLQS23VUGRX2____	-0.354	-0.356	-0.394	-0.400	-0.385	-0.393	-0.362	-0.361	-0.393	-0.395	-0.391	-0.362	-0.398	-0.388	-0.393	-0.397	-0.393	-0.393	-0.356	-0.393	-0.401	-0.396	-0.391	-0.392	-0.399	-0.390	-0.399	-0.391	-0.385	-0.374	-0.395	-0.374	-0.160	-0.128	-0.163	-0.129	-0.156	-0.127	-0.131	-0.129	-0.128	-0.127	-0.154	-0.099	-0.126	-0.157	-0.128	-0.126	-0.128	-0.128	-0.067	-0.125	-0.126	-0.126	-0.154	-0.158	-0.128	-0.154	-0.093	-0.154	-0.156	-0.100	-0.128	-0.100	-0.031	-0.034	-0.017	-0.019	-0.020	-0.022	-0.033	-0.033	-0.022	-0.021	-0.018	-0.036	-0.020	-0.019	-0.022	-0.020	-0.022	-0.022	-0.043	-0.022	-0.019	-0.020	-0.018	-0.018	-0.020	-0.019	-0.024	-0.018	-0.020	-0.032	-0.021	-0.032	-0.386	-0.131	-0.024	2016_7_13_10_40_45
FLQS30BLGRWY____	0.195	0.198	0.233	0.196	0.195	0.214	0.199	0.194	0.196	0.237	0.203	0.199	0.237	0.204	0.196	0.200	0.196	0.196	0.196	0.195	0.206	0.202	0.203	0.198	0.195	0.201	0.197	0.203	0.209	0.194	0.201	0.194	0.097	0.099	0.095	0.099	0.100	0.067	0.091	0.098	0.097	0.095	0.066	0.098	0.096	0.067	0.097	0.067	0.097	0.097	0.097	0.098	0.061	0.066	0.066	0.063	0.096	0.033	0.104	0.066	0.074	0.093	0.100	0.093	0.225	0.224	0.211	0.224	0.225	0.222	0.225	0.226	0.224	0.211	0.227	0.224	0.211	0.226	0.224	0.228	0.224	0.224	0.224	0.225	0.226	0.227	0.227	0.228	0.225	0.232	0.223	0.227	0.223	0.226	0.222	0.226	0.203	0.085	0.224	2016_7_13_10_40_48
FLQS30DEGRWY____	0.069	0.073	0.069	0.070	0.068	0.081	0.074	0.065	0.077	0.071	0.071	0.066	0.074	0.064	0.077	0.081	0.077	0.077	0.070	0.069	0.073	0.073	0.071	0.072	0.065	0.055	0.081	0.071	0.070	0.067	0.074	0.067	-0.013	-0.044	-0.014	-0.012	-0.015	-0.041	-0.010	0.016	-0.040	-0.011	-0.015	0.021	-0.043	0.013	-0.040	0.004	-0.040	-0.040	-0.013	-0.013	-0.010	-0.012	-0.015	-0.046	0.013	0.095	-0.078	-0.015	-0.016	0.032	-0.040	0.032	0.039	0.042	0.039	0.038	0.040	0.039	0.036	0.037	0.040	0.038	0.038	0.035	0.042	0.037	0.040	-0.062	0.040	0.040	0.039	0.039	0.037	0.038	0.038	0.043	0.036	0.029	0.044	0.038	0.039	0.034	0.041	0.034	0.071	-0.013	0.035	2016_7_13_10_40_52
FLQS30LQGRWY____	0.119	0.080	0.074	0.124	0.119	0.086	0.128	0.129	0.121	0.120	0.119	0.120	0.121	0.089	0.121	0.121	0.121	0.121	0.079	0.122	0.128	0.115	0.119	0.119	0.120	0.081	0.081	0.119	0.114	0.115	0.123	0.115	-0.007	-0.004	0.030	-0.009	-0.009	-0.003	-0.010	-0.048	-0.007	-0.007	-0.007	-0.008	-0.008	-0.006	-0.007	-0.008	-0.007	-0.007	-0.004	-0.008	-0.009	0.028	-0.007	-0.005	-0.007	-0.004	0.000	-0.007	0.029	0.017	-0.008	0.017	0.001	0.015	0.012	0.000	0.002	0.012	-0.001	0.004	0.001	0.002	0.001	0.001	0.001	0.012	0.001	0.001	0.001	0.001	0.015	0.001	-0.001	-0.002	0.001	0.001	0.001	0.015	0.014	0.001	-0.002	-0.000	0.001	-0.000	0.112	-0.003	0.004	2016_7_13_10_40_56
FLQS30SPGRWY____	-0.037	-0.044	-0.042	-0.010	0.009	0.000	-0.030	0.006	-0.037	-0.046	0.005	-0.048	-0.039	0.006	-0.037	-0.001	-0.037	-0.037	0.002	0.003	-0.029	-0.001	0.005	0.001	-0.033	-0.045	-0.001	0.005	-0.039	0.012	0.002	0.012	0.021	0.058	0.053	0.043	0.014	0.050	0.058	0.009	0.049	0.053	0.017	0.050	0.019	0.016	0.049	0.045	0.049	0.049	0.018	0.017	0.025	0.050	0.017	0.018	0.019	0.050	-0.036	0.017	-0.028	0.019	0.043	0.019	0.053	0.049	0.049	0.040	0.037	0.035	0.044	0.039	0.049	0.051	0.039	0.053	0.053	0.038	0.049	0.036	0.049	0.049	0.039	0.039	0.050	0.036	0.039	0.040	0.052	0.052	0.048	0.039	0.060	0.035	0.036	0.035	-0.016	0.030	0.044	2016_7_13_10_41_00
