SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.078	0.081	0.075	0.084	0.085	0.077	0.076	0.075	0.083	0.083	0.081	0.086	0.040	0.111	0.085	0.074	0.041	0.041	0.074	0.077	0.080	0.084	0.085	0.086	0.085	0.087	0.081	0.082	0.086	0.085	0.083	0.085	0.080	0.041	0.079	0.045	0.044	0.080	0.079	0.080	0.047	0.046	0.050	0.044	0.087	0.078	0.046	0.085	0.086	0.086	0.081	0.079	0.046	0.044	0.045	0.045	0.045	0.046	0.047	0.045	0.044	0.045	0.045	0.045	-0.266	-0.261	-0.265	-0.263	-0.264	-0.265	-0.265	-0.265	-0.263	-0.262	-0.263	-0.263	-0.254	-0.277	-0.264	-0.266	-0.254	-0.255	-0.265	-0.266	-0.262	-0.263	-0.263	-0.263	-0.263	-0.264	-0.262	-0.262	-0.264	-0.264	-0.262	-0.263	0.079	0.059	-0.263	2016_7_13_10_35_24
FLNS2009GRWF____	0.180	0.170	0.170	0.178	0.177	0.169	0.176	0.176	0.181	0.180	0.181	0.178	0.179	0.180	0.178	0.181	0.185	0.179	0.150	0.174	0.177	0.175	0.175	0.182	0.173	0.176	0.177	0.173	0.178	0.174	0.174	0.176	-0.004	0.034	0.034	-0.000	-0.002	0.033	-0.000	0.000	-0.000	-0.001	0.002	-0.003	0.034	-0.004	0.001	-0.003	-0.004	-0.003	0.001	-0.002	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.002	-0.003	-0.001	-0.000	-0.002	0.260	0.257	0.257	0.260	0.260	0.257	0.260	0.261	0.258	0.259	0.258	0.260	0.254	0.259	0.259	0.258	0.257	0.259	0.268	0.261	0.260	0.261	0.261	0.258	0.261	0.260	0.260	0.262	0.260	0.261	0.261	0.261	0.176	0.003	0.260	2016_7_13_10_35_28
FLQS2C39GRX5____	0.253	0.261	0.255	0.263	0.264	0.262	0.264	0.263	0.265	0.254	0.255	0.264	0.221	0.255	0.264	0.256	0.220	0.224	0.220	0.264	0.257	0.265	0.256	0.265	0.265	0.265	0.256	0.256	0.252	0.266	0.259	0.265	0.075	0.038	0.076	0.040	0.041	0.041	0.043	0.041	0.042	0.077	0.073	0.040	0.079	0.075	0.043	0.075	0.078	0.078	0.079	0.041	0.075	0.042	0.076	0.041	0.042	0.043	0.075	0.075	0.077	0.041	0.075	0.042	-0.264	-0.261	-0.265	-0.262	-0.262	-0.262	-0.263	-0.262	-0.263	-0.265	-0.265	-0.263	-0.254	-0.265	-0.263	-0.265	-0.253	-0.256	-0.254	-0.263	-0.266	-0.263	-0.265	-0.263	-0.264	-0.263	-0.265	-0.265	-0.264	-0.264	-0.266	-0.263	0.255	0.059	-0.263	2016_7_13_10_35_31
FLQS2C44GRX5____	0.501	0.501	0.502	0.499	0.499	0.499	0.499	0.499	0.496	0.496	0.498	0.498	0.505	0.540	0.497	0.500	0.478	0.503	0.480	0.500	0.501	0.500	0.501	0.497	0.500	0.498	0.501	0.500	0.498	0.501	0.500	0.499	0.074	0.071	0.070	0.071	0.069	0.071	0.069	0.070	0.071	0.072	0.071	0.071	0.036	0.031	0.069	0.072	0.036	0.073	0.038	0.071	0.071	0.070	0.070	0.073	0.069	0.069	0.071	0.071	0.072	0.070	0.068	0.069	-0.370	-0.370	-0.371	-0.369	-0.369	-0.369	-0.369	-0.369	-0.369	-0.369	-0.369	-0.370	-0.367	-0.377	-0.368	-0.370	-0.357	-0.371	-0.359	-0.370	-0.370	-0.370	-0.370	-0.369	-0.370	-0.369	-0.371	-0.369	-0.369	-0.370	-0.370	-0.369	0.500	0.066	-0.369	2016_7_13_10_35_34
FLQS2CBBGRX5____	0.041	0.050	0.055	0.050	0.051	0.081	0.050	0.053	0.028	0.027	0.021	0.052	0.032	0.083	0.053	0.032	0.064	0.075	0.062	0.054	0.080	0.052	0.051	0.025	0.056	0.051	0.042	0.056	0.089	0.052	0.051	0.054	-0.065	-0.068	-0.065	-0.067	-0.066	-0.074	-0.069	-0.066	-0.062	-0.062	-0.062	-0.067	-0.100	-0.106	-0.066	-0.064	-0.103	-0.101	-0.104	-0.062	-0.067	-0.069	-0.069	-0.060	-0.065	-0.068	-0.062	-0.061	-0.067	-0.067	-0.072	-0.066	-0.208	-0.211	-0.213	-0.210	-0.212	-0.220	-0.210	-0.212	-0.204	-0.203	-0.201	-0.211	-0.200	-0.216	-0.212	-0.205	-0.210	-0.214	-0.209	-0.212	-0.221	-0.211	-0.210	-0.204	-0.213	-0.211	-0.209	-0.213	-0.223	-0.211	-0.210	-0.212	0.052	-0.072	-0.211	2016_7_13_10_35_36
FLQS23VUGRX2____	-0.400	-0.397	-0.400	-0.402	-0.401	-0.400	-0.401	-0.402	-0.405	-0.405	-0.405	-0.401	-0.372	-0.401	-0.402	-0.369	-0.363	-0.400	-0.363	-0.399	-0.402	-0.402	-0.403	-0.372	-0.400	-0.401	-0.368	-0.366	-0.401	-0.401	-0.401	-0.402	-0.133	-0.174	-0.136	-0.134	-0.134	-0.134	-0.136	-0.134	-0.136	-0.135	-0.137	-0.135	-0.136	-0.133	-0.134	-0.137	-0.174	-0.133	-0.132	-0.132	-0.135	-0.134	-0.135	-0.135	-0.134	-0.135	-0.137	-0.134	-0.133	-0.134	-0.135	-0.134	-0.023	-0.018	-0.023	-0.023	-0.023	-0.024	-0.023	-0.023	-0.022	-0.021	-0.021	-0.023	-0.033	-0.023	-0.022	-0.033	-0.030	-0.024	-0.035	-0.024	-0.023	-0.023	-0.023	-0.033	-0.023	-0.023	-0.033	-0.035	-0.023	-0.023	-0.023	-0.023	-0.394	-0.137	-0.025	2016_7_13_10_35_38
FLQS30BLGRWY____	0.234	0.205	0.241	0.204	0.203	0.206	0.235	0.204	0.236	0.237	0.242	0.201	0.249	0.245	0.203	0.237	0.248	0.245	0.218	0.232	0.207	0.234	0.236	0.236	0.232	0.235	0.206	0.202	0.202	0.232	0.243	0.203	0.091	0.095	0.052	0.093	0.094	0.094	0.089	0.091	0.088	0.088	0.085	0.093	0.052	0.052	0.092	0.090	0.051	0.053	0.054	0.089	0.091	0.090	0.091	0.088	0.089	0.090	0.091	0.091	0.093	0.089	0.055	0.092	0.215	0.224	0.218	0.224	0.225	0.224	0.215	0.226	0.215	0.214	0.214	0.226	0.215	0.217	0.225	0.214	0.216	0.217	0.226	0.215	0.224	0.215	0.215	0.215	0.216	0.215	0.225	0.226	0.225	0.216	0.218	0.226	0.225	0.082	0.219	2016_7_13_10_35_41
FLQS30DEGRWY____	0.075	0.080	0.075	0.077	0.113	0.076	0.083	0.086	0.085	0.080	0.084	0.084	0.109	0.042	0.076	0.108	0.108	0.075	0.075	0.076	0.078	0.082	0.083	0.090	0.077	0.083	0.084	0.074	0.086	0.085	0.082	0.083	-0.007	-0.048	-0.009	-0.008	-0.050	-0.008	-0.044	-0.047	-0.045	-0.009	-0.042	-0.046	-0.012	-0.004	-0.008	-0.012	-0.012	-0.009	-0.010	-0.010	-0.008	-0.045	-0.045	-0.046	-0.008	-0.045	-0.044	-0.009	-0.048	-0.045	-0.010	-0.046	0.038	0.041	0.038	0.037	0.031	0.037	0.040	0.039	0.039	0.036	0.040	0.040	0.026	0.048	0.037	0.027	0.027	0.038	0.038	0.038	0.037	0.040	0.040	0.038	0.037	0.040	0.039	0.038	0.040	0.039	0.036	0.041	0.083	-0.026	0.037	2016_7_13_10_35_43
FLQS30LQGRWY____	0.091	0.093	0.095	0.095	0.126	0.092	0.093	0.093	0.091	0.119	0.092	0.094	0.120	0.124	0.094	0.091	0.121	0.126	0.120	0.094	0.124	0.094	0.094	0.092	0.094	0.123	0.124	0.094	0.093	0.093	0.123	0.094	-0.002	-0.003	-0.001	-0.002	-0.005	-0.004	-0.004	-0.003	-0.002	-0.006	-0.003	-0.003	-0.006	-0.005	-0.003	-0.002	-0.006	-0.005	-0.006	-0.003	-0.006	-0.003	-0.004	-0.002	-0.004	-0.006	-0.006	-0.003	-0.002	-0.004	-0.006	-0.003	0.012	0.012	0.012	0.011	0.001	0.012	0.012	0.011	0.012	0.003	0.012	0.011	0.003	0.002	0.012	0.012	0.003	0.001	0.003	0.012	0.002	0.012	0.011	0.012	0.012	0.002	0.002	0.011	0.011	0.012	0.002	0.011	0.103	-0.004	0.008	2016_7_13_10_35_48
FLQS30SPGRWY____	0.002	0.000	0.001	0.005	0.005	-0.002	0.004	0.003	0.012	0.009	0.010	0.004	-0.007	-0.004	0.005	0.002	-0.036	0.002	-0.023	0.004	0.005	0.003	0.001	0.011	0.003	0.004	0.005	0.004	0.003	0.004	0.001	0.006	0.027	0.070	0.065	0.028	0.030	0.066	0.031	0.029	0.030	0.029	0.027	0.028	0.060	0.061	0.032	0.025	0.063	0.025	0.071	0.030	0.028	0.030	0.027	0.027	0.029	0.031	0.028	0.028	0.026	0.028	0.029	0.031	0.037	0.032	0.032	0.037	0.037	0.034	0.037	0.037	0.035	0.035	0.035	0.037	0.036	0.035	0.036	0.038	0.046	0.038	0.039	0.037	0.037	0.038	0.038	0.035	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.036	0.001	0.036	0.037	2016_7_13_10_35_52
FLQS30W7GRWY____	0.328	0.294	0.252	0.328	0.328	0.292	0.330	0.330	0.324	0.324	0.291	0.327	0.326	0.294	0.328	0.329	0.290	0.329	0.290	0.296	0.297	0.329	0.330	0.325	0.329	0.330	0.299	0.331	0.328	0.329	0.328	0.329	0.124	0.127	0.089	0.126	0.125	0.127	0.124	0.125	0.126	0.126	0.128	0.125	0.126	0.129	0.124	0.126	0.129	0.125	0.129	0.126	0.128	0.124	0.126	0.125	0.126	0.126	0.129	0.126	0.125	0.125	0.124	0.125	-0.013	-0.002	0.018	-0.014	-0.014	-0.001	-0.014	-0.014	-0.013	-0.013	-0.002	-0.013	-0.013	-0.003	-0.014	-0.014	-0.001	-0.014	-0.002	-0.003	-0.003	-0.014	-0.015	-0.013	-0.013	-0.014	-0.003	-0.014	-0.014	-0.014	-0.014	-0.014	0.316	0.125	-0.009	2016_7_13_10_35_56
FLQS300JGRWM____	0.717	0.706	0.711	0.718	0.718	0.710	0.710	0.712	0.710	0.709	0.708	0.719	0.711	0.717	0.711	0.754	0.713	0.715	0.744	0.712	0.713	0.710	0.717	0.711	0.711	0.709	0.714	0.719	0.711	0.720	0.717	0.717	0.281	0.357	0.318	0.282	0.282	0.317	0.315	0.318	0.282	0.282	0.285	0.282	0.280	0.280	0.317	0.277	0.282	0.283	0.277	0.318	0.283	0.316	0.280	0.282	0.316	0.316	0.283	0.281	0.320	0.282	0.280	0.280	-0.098	-0.105	-0.101	-0.099	-0.098	-0.101	-0.101	-0.101	-0.096	-0.096	-0.096	-0.100	-0.097	-0.098	-0.101	-0.110	-0.097	-0.098	-0.107	-0.102	-0.098	-0.102	-0.099	-0.096	-0.101	-0.101	-0.098	-0.099	-0.102	-0.099	-0.099	-0.098	0.715	0.295	-0.100	2016_7_13_10_35_59
FLQS303AGRWY____	0.136	0.138	0.170	0.138	0.169	0.138	0.138	0.167	0.171	0.139	0.136	0.168	0.133	0.135	0.169	0.135	0.133	0.135	0.135	0.139	0.139	0.136	0.136	0.137	0.168	0.138	0.169	0.170	0.167	0.137	0.136	0.138	-0.005	-0.004	-0.008	-0.006	-0.009	-0.006	-0.007	-0.011	-0.008	-0.006	-0.009	-0.010	-0.008	-0.007	-0.007	-0.008	-0.009	-0.008	-0.010	-0.006	-0.006	-0.005	-0.007	-0.006	-0.008	-0.007	-0.010	-0.008	-0.010	-0.005	-0.006	-0.004	0.081	0.080	0.070	0.081	0.070	0.081	0.080	0.072	0.070	0.080	0.082	0.071	0.083	0.082	0.070	0.082	0.083	0.082	0.082	0.081	0.080	0.081	0.081	0.081	0.071	0.081	0.071	0.070	0.072	0.081	0.081	0.080	0.147	-0.007	0.078	2016_7_13_10_36_04
FLQS303SGRWY____	0.155	0.163	0.163	0.164	0.163	0.162	0.164	0.164	0.175	0.169	0.176	0.197	0.194	0.188	0.165	0.156	0.204	0.192	0.216	0.163	0.167	0.163	0.164	0.175	0.162	0.164	0.168	0.163	0.162	0.163	0.164	0.164	0.122	0.086	0.083	0.086	0.084	0.087	0.085	0.084	0.083	0.117	0.081	0.082	0.114	0.115	0.086	0.118	0.077	0.114	0.095	0.083	0.083	0.085	0.085	0.082	0.084	0.085	0.083	0.083	0.084	0.084	0.086	0.085	-0.115	-0.113	-0.112	-0.112	-0.112	-0.112	-0.113	-0.113	-0.116	-0.119	-0.117	-0.123	-0.127	-0.125	-0.113	-0.115	-0.125	-0.126	-0.132	-0.112	-0.113	-0.112	-0.113	-0.116	-0.112	-0.113	-0.114	-0.112	-0.112	-0.113	-0.113	-0.113	0.171	0.090	-0.116	2016_7_13_10_36_07
FLQS304WGRWQ____	0.252	0.211	0.216	0.216	0.250	0.217	0.218	0.181	0.218	0.217	0.220	0.184	0.217	0.218	0.217	0.249	0.217	0.218	0.219	0.217	0.216	0.216	0.211	0.248	0.217	0.217	0.217	0.251	0.215	0.216	0.215	0.216	0.070	0.108	0.071	0.072	0.070	0.072	0.071	0.072	0.070	0.071	0.070	0.075	0.072	0.072	0.070	0.069	0.072	0.072	0.072	0.071	0.071	0.071	0.108	0.068	0.072	0.071	0.071	0.070	0.072	0.071	0.071	0.071	-0.218	-0.211	-0.207	-0.207	-0.218	-0.207	-0.208	-0.196	-0.207	-0.208	-0.208	-0.196	-0.208	-0.207	-0.207	-0.218	-0.208	-0.208	-0.208	-0.207	-0.207	-0.207	-0.210	-0.217	-0.207	-0.206	-0.207	-0.219	-0.207	-0.207	-0.207	-0.206	0.220	0.073	-0.208	2016_7_13_10_36_11
FLQS314MGRWY____	-0.473	-0.441	-0.472	-0.473	-0.473	-0.473	-0.441	-0.441	-0.471	-0.440	-0.471	-0.473	-0.475	-0.440	-0.440	-0.471	-0.475	-0.473	-0.398	-0.472	-0.497	-0.442	-0.441	-0.442	-0.441	-0.439	-0.468	-0.471	-0.472	-0.442	-0.441	-0.440	-0.074	-0.076	-0.073	-0.074	-0.073	-0.074	-0.076	-0.077	-0.074	-0.075	-0.074	-0.074	-0.075	-0.077	-0.075	-0.075	-0.075	-0.075	-0.071	-0.073	-0.072	-0.076	-0.077	-0.075	-0.076	-0.075	-0.074	-0.072	-0.074	-0.076	-0.077	-0.075	0.273	0.263	0.272	0.273	0.272	0.272	0.262	0.262	0.272	0.262	0.272	0.273	0.274	0.262	0.262	0.273	0.273	0.273	0.248	0.272	0.281	0.263	0.263	0.262	0.263	0.262	0.271	0.272	0.272	0.263	0.262	0.262	-0.457	-0.075	0.268	2016_7_13_10_36_15
FLQS2137GRWV____	0.521	0.548	0.481	0.519	0.520	0.519	0.510	0.511	0.519	0.520	0.520	0.517	0.518	0.520	0.518	0.519	0.520	0.520	0.453	0.510	0.521	0.517	0.518	0.519	0.519	0.516	0.520	0.519	0.517	0.519	0.517	0.520	0.220	0.254	0.256	0.220	0.220	0.217	0.252	0.253	0.221	0.221	0.221	0.219	0.219	0.219	0.220	0.219	0.219	0.220	0.224	0.254	0.220	0.220	0.218	0.219	0.219	0.220	0.220	0.220	0.219	0.220	0.218	0.220	-0.202	-0.216	-0.193	-0.201	-0.201	-0.200	-0.202	-0.204	-0.201	-0.201	-0.202	-0.200	-0.201	-0.201	-0.200	-0.201	-0.201	-0.202	-0.180	-0.203	-0.202	-0.200	-0.200	-0.201	-0.201	-0.201	-0.202	-0.201	-0.200	-0.201	-0.200	-0.202	0.516	0.225	-0.201	2016_7_13_10_36_19
FLQS2168GRWV____	0.269	0.276	0.278	0.278	0.305	0.310	0.278	0.279	0.275	0.265	0.265	0.282	0.264	0.271	0.246	0.270	0.264	0.271	0.297	0.278	0.278	0.279	0.280	0.264	0.277	0.279	0.279	0.278	0.280	0.279	0.307	0.279	0.046	0.006	0.011	0.010	0.043	0.006	0.009	0.010	0.012	0.046	0.045	0.011	0.048	0.047	0.011	0.048	0.048	0.046	0.045	0.009	0.012	0.008	0.010	0.046	0.007	0.009	0.013	0.011	0.011	0.010	0.041	0.008	-0.127	-0.123	-0.124	-0.124	-0.138	-0.135	-0.124	-0.125	-0.124	-0.126	-0.126	-0.126	-0.126	-0.128	-0.114	-0.128	-0.126	-0.127	-0.136	-0.125	-0.125	-0.125	-0.125	-0.125	-0.125	-0.125	-0.126	-0.125	-0.126	-0.125	-0.139	-0.125	0.277	0.023	-0.126	2016_7_13_10_36_23
FLQS2238GRWM____	0.472	0.442	0.508	0.441	0.440	0.474	0.441	0.479	0.470	0.441	0.446	0.474	0.486	0.472	0.439	0.470	0.486	0.440	0.539	0.440	0.443	0.441	0.473	0.471	0.473	0.440	0.443	0.474	0.449	0.471	0.472	0.440	0.192	0.193	0.152	0.193	0.195	0.192	0.192	0.155	0.190	0.191	0.192	0.193	0.159	0.193	0.190	0.192	0.159	0.195	0.203	0.190	0.193	0.192	0.193	0.190	0.190	0.192	0.193	0.191	0.160	0.190	0.189	0.191	-0.284	-0.274	-0.290	-0.274	-0.273	-0.284	-0.273	-0.281	-0.282	-0.273	-0.275	-0.285	-0.284	-0.284	-0.273	-0.283	-0.283	-0.274	-0.308	-0.273	-0.274	-0.273	-0.284	-0.283	-0.283	-0.272	-0.274	-0.285	-0.272	-0.283	-0.284	-0.273	0.462	0.187	-0.280	2016_7_13_10_36_27
FLQS3137GRWY____	0.256	0.251	0.250	0.259	0.258	0.252	0.258	0.258	0.267	0.265	0.266	0.256	0.262	0.258	0.260	0.294	0.262	0.224	0.231	0.256	0.259	0.258	0.257	0.267	0.257	0.257	0.227	0.255	0.257	0.257	0.257	0.259	0.092	0.133	0.130	0.094	0.094	0.132	0.095	0.094	0.092	0.092	0.092	0.093	0.091	0.093	0.096	0.087	0.090	0.095	0.094	0.093	0.092	0.095	0.093	0.092	0.093	0.095	0.095	0.092	0.092	0.094	0.095	0.094	-0.139	-0.142	-0.142	-0.139	-0.139	-0.142	-0.139	-0.139	-0.142	-0.141	-0.142	-0.138	-0.140	-0.139	-0.139	-0.149	-0.140	-0.127	-0.130	-0.137	-0.139	-0.139	-0.139	-0.141	-0.138	-0.138	-0.128	-0.138	-0.138	-0.139	-0.139	-0.139	0.257	0.097	-0.139	2016_7_13_10_36_31
