SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.087	0.083	0.084	0.084	0.084	0.084	0.082	0.086	0.084	0.084	0.083	0.084	0.085	0.086	0.083	0.085	0.083	0.084	0.085	0.085	0.085	0.085	0.084	0.086	0.085	0.083	0.086	0.083	0.085	0.086	0.087	0.084	0.013	0.012	-0.024	-0.024	-0.024	-0.021	0.015	-0.023	0.014	-0.024	-0.023	-0.024	0.014	-0.022	0.016	0.013	-0.020	-0.022	0.013	0.013	-0.025	0.013	0.014	-0.025	-0.025	0.009	-0.024	0.014	-0.025	-0.024	-0.018	0.011	-0.263	-0.262	-0.258	-0.258	-0.258	-0.258	-0.262	-0.259	-0.262	-0.258	-0.258	-0.258	-0.262	-0.259	-0.262	-0.263	-0.258	-0.258	-0.262	-0.262	-0.259	-0.263	-0.262	-0.259	-0.259	-0.261	-0.258	-0.262	-0.259	-0.259	-0.260	-0.261	0.084	-0.007	-0.260	2016_7_13_10_27_15
FLNS2009GRWF____	0.056	0.056	0.090	0.090	0.090	0.089	0.094	0.089	0.053	0.090	0.090	0.090	0.052	0.055	0.091	0.091	0.087	0.053	0.090	0.090	0.088	0.091	0.092	0.091	0.088	0.088	0.093	0.090	0.088	0.088	0.053	0.058	-0.040	-0.041	-0.041	-0.041	-0.041	-0.042	-0.078	-0.071	-0.075	-0.041	-0.043	-0.041	-0.041	-0.068	-0.041	-0.039	-0.043	-0.039	-0.073	-0.073	-0.042	-0.039	-0.046	-0.044	-0.042	-0.044	-0.039	-0.044	-0.042	-0.041	-0.037	-0.073	0.302	0.301	0.289	0.289	0.289	0.289	0.291	0.292	0.306	0.289	0.289	0.289	0.303	0.305	0.288	0.288	0.290	0.303	0.292	0.292	0.290	0.288	0.288	0.288	0.290	0.290	0.287	0.290	0.290	0.289	0.303	0.305	0.081	-0.048	0.293	2016_7_13_10_27_24
FLQS2C39GRX5____	0.190	0.151	0.190	0.190	0.190	0.153	0.189	0.190	0.149	0.190	0.189	0.190	0.189	0.190	0.188	0.189	0.187	0.151	0.146	0.146	0.190	0.189	0.189	0.189	0.190	0.188	0.189	0.149	0.190	0.190	0.185	0.148	0.018	0.018	0.022	0.022	0.022	0.022	0.052	0.052	0.018	0.022	0.018	0.022	0.022	0.050	0.022	0.021	0.020	0.054	0.057	0.057	0.019	0.021	0.023	0.020	0.019	0.018	0.017	0.057	0.019	0.021	0.018	0.052	-0.243	-0.228	-0.243	-0.243	-0.243	-0.230	-0.245	-0.246	-0.227	-0.243	-0.242	-0.243	-0.243	-0.246	-0.243	-0.242	-0.242	-0.232	-0.230	-0.230	-0.243	-0.242	-0.243	-0.243	-0.243	-0.243	-0.243	-0.231	-0.243	-0.243	-0.241	-0.230	0.179	0.028	-0.240	2016_7_13_10_27_33
FLQS2C44GRX5____	0.384	0.422	0.427	0.427	0.427	0.423	0.425	0.419	0.422	0.427	0.421	0.427	0.420	0.421	0.419	0.420	0.420	0.415	0.420	0.420	0.422	0.420	0.419	0.423	0.422	0.422	0.420	0.419	0.422	0.422	0.423	0.423	0.066	0.064	0.031	0.031	0.031	0.064	0.061	0.061	0.062	0.031	0.063	0.031	0.064	0.064	0.065	0.062	0.062	0.065	0.064	0.064	0.032	0.062	0.065	0.064	0.032	0.063	0.061	0.064	0.032	0.033	0.067	0.064	-0.346	-0.360	-0.358	-0.358	-0.358	-0.360	-0.361	-0.358	-0.360	-0.358	-0.359	-0.358	-0.359	-0.360	-0.359	-0.360	-0.359	-0.358	-0.359	-0.359	-0.357	-0.360	-0.359	-0.360	-0.357	-0.360	-0.359	-0.359	-0.357	-0.357	-0.361	-0.361	0.421	0.055	-0.359	2016_7_13_10_27_36
FLQS2CBBGRX5____	0.044	0.052	0.049	0.049	0.049	0.019	-0.018	0.014	0.021	0.049	0.053	0.049	0.055	0.049	0.019	0.018	0.021	0.050	-0.015	-0.015	0.050	0.018	0.054	0.051	0.050	0.052	0.048	-0.020	0.050	0.050	0.021	0.050	-0.020	-0.057	-0.055	-0.055	-0.055	-0.018	-0.084	-0.053	-0.055	-0.055	-0.057	-0.055	-0.055	-0.055	-0.052	-0.091	-0.055	-0.016	-0.054	-0.054	-0.055	-0.091	-0.054	-0.056	-0.055	-0.057	-0.053	-0.048	-0.055	-0.055	-0.052	-0.051	-0.218	-0.218	-0.217	-0.217	-0.217	-0.209	-0.189	-0.204	-0.207	-0.217	-0.218	-0.217	-0.220	-0.217	-0.206	-0.202	-0.206	-0.221	-0.193	-0.193	-0.218	-0.202	-0.219	-0.218	-0.218	-0.218	-0.217	-0.191	-0.218	-0.218	-0.207	-0.218	0.034	-0.054	-0.211	2016_7_13_10_27_38
FLQS23VUGRX2____	-0.326	-0.325	-0.325	-0.325	-0.325	-0.283	-0.282	-0.327	-0.283	-0.325	-0.281	-0.325	-0.285	-0.289	-0.282	-0.283	-0.280	-0.321	-0.322	-0.322	-0.324	-0.283	-0.282	-0.283	-0.324	-0.324	-0.328	-0.281	-0.324	-0.324	-0.279	-0.326	-0.044	-0.047	-0.051	-0.051	-0.051	-0.050	-0.045	-0.051	-0.043	-0.051	-0.045	-0.051	-0.043	-0.051	-0.044	-0.043	-0.045	-0.050	-0.049	-0.049	-0.047	-0.043	-0.046	-0.047	-0.047	-0.046	-0.049	-0.045	-0.047	-0.053	-0.052	-0.047	-0.047	-0.048	-0.047	-0.047	-0.047	-0.064	-0.065	-0.047	-0.065	-0.047	-0.065	-0.047	-0.064	-0.062	-0.064	-0.064	-0.065	-0.050	-0.049	-0.049	-0.048	-0.064	-0.065	-0.064	-0.048	-0.049	-0.046	-0.065	-0.048	-0.048	-0.065	-0.048	-0.306	-0.048	-0.055	2016_7_13_10_27_41
FLQS30BLGRWY____	0.235	0.200	0.197	0.197	0.197	0.196	0.197	0.200	0.197	0.197	0.200	0.197	0.236	0.200	0.237	0.198	0.195	0.160	0.196	0.196	0.197	0.198	0.198	0.198	0.197	0.200	0.201	0.198	0.197	0.158	0.190	0.238	-0.072	-0.031	-0.032	-0.032	-0.032	-0.033	-0.033	-0.031	-0.033	-0.032	-0.033	-0.032	-0.040	-0.030	-0.042	-0.032	-0.035	-0.031	-0.033	-0.033	-0.033	-0.032	-0.037	-0.033	-0.033	-0.032	-0.031	-0.033	-0.033	-0.034	-0.034	-0.038	0.223	0.233	0.234	0.234	0.234	0.235	0.234	0.234	0.235	0.234	0.234	0.234	0.220	0.234	0.221	0.234	0.235	0.248	0.236	0.236	0.234	0.234	0.234	0.234	0.234	0.233	0.234	0.234	0.234	0.250	0.237	0.219	0.200	-0.035	0.234	2016_7_13_10_27_43
FLQS30DEGRWY____	-0.019	-0.016	-0.020	-0.020	-0.020	-0.021	-0.002	-0.053	-0.016	-0.020	-0.055	-0.020	-0.016	-0.054	-0.055	-0.017	-0.018	-0.019	-0.018	-0.018	-0.018	-0.017	-0.054	-0.016	-0.018	-0.015	-0.054	-0.016	-0.018	-0.019	-0.020	-0.054	-0.052	-0.078	-0.077	-0.077	-0.077	-0.081	-0.089	-0.042	-0.078	-0.077	-0.047	-0.077	-0.048	-0.076	-0.078	-0.077	-0.046	-0.077	-0.045	-0.045	-0.079	-0.077	-0.045	-0.079	-0.079	-0.079	-0.077	-0.078	-0.079	-0.078	-0.074	-0.077	0.074	0.075	0.076	0.076	0.076	0.078	0.071	0.086	0.075	0.076	0.087	0.076	0.072	0.090	0.090	0.076	0.073	0.077	0.073	0.073	0.076	0.076	0.087	0.076	0.076	0.075	0.090	0.076	0.076	0.076	0.077	0.090	-0.025	-0.070	0.078	2016_7_13_10_27_46
FLQS30LQGRWY____	0.082	0.118	0.117	0.117	0.117	0.117	0.117	0.116	0.118	0.117	0.117	0.117	0.120	0.117	0.120	0.118	0.116	0.116	0.119	0.119	0.114	0.118	0.118	0.115	0.114	0.115	0.116	0.120	0.114	0.115	0.116	0.116	-0.002	-0.003	-0.002	-0.002	-0.002	-0.002	-0.001	-0.001	-0.002	-0.002	-0.004	-0.002	-0.006	0.032	-0.003	0.028	-0.002	0.032	-0.004	-0.004	-0.001	0.028	-0.003	-0.001	-0.001	-0.001	-0.002	-0.003	-0.001	-0.001	-0.001	-0.001	0.011	-0.003	-0.002	-0.002	-0.002	-0.003	-0.003	-0.002	-0.003	-0.002	-0.003	-0.002	-0.002	-0.006	-0.004	-0.005	-0.002	-0.005	-0.002	-0.002	-0.002	-0.005	-0.003	-0.002	-0.002	-0.001	-0.002	-0.003	-0.002	-0.001	-0.003	-0.002	0.116	0.002	-0.002	2016_7_13_10_27_51
FLQS30SPGRWY____	-0.049	-0.015	-0.016	-0.016	-0.016	-0.014	-0.010	-0.015	-0.043	-0.016	-0.011	-0.016	-0.009	-0.014	-0.010	-0.009	-0.010	-0.015	-0.009	-0.009	-0.016	-0.009	-0.012	-0.015	-0.016	-0.014	-0.014	-0.010	-0.016	-0.016	-0.007	-0.013	-0.037	-0.002	-0.002	-0.002	-0.002	-0.002	-0.006	-0.002	-0.003	-0.002	-0.006	-0.002	-0.004	0.002	-0.003	-0.004	-0.006	-0.002	-0.003	-0.003	-0.003	-0.004	-0.003	-0.002	-0.003	-0.003	-0.003	-0.005	-0.003	-0.001	-0.004	-0.001	0.065	0.048	0.048	0.048	0.048	0.048	0.047	0.048	0.059	0.048	0.047	0.048	0.046	0.048	0.047	0.047	0.047	0.048	0.046	0.046	0.049	0.047	0.047	0.048	0.049	0.048	0.048	0.047	0.049	0.049	0.045	0.047	-0.015	-0.004	0.049	2016_7_13_10_27_55
