SN	Distance_X_LOGO_Front_Camera_LD1	Distance_X_LOGO_Front_Camera_LD2	Distance_X_LOGO_Front_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_LD1	Distance_Y_LOGO_Front_Camera_LD2	Distance_Y_LOGO_Front_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_LD1	Angle_Front_Camera_LD2	Angle_Front_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.134	0.100	0.097	0.097	0.095	0.136	0.100	0.096	0.100	0.101	0.100	0.100	0.093	0.096	0.100	0.096	0.100	0.101	0.098	0.100	0.101	0.101	0.099	0.095	0.098	0.094	0.097	0.098	0.098	0.098	0.101	0.099	0.001	-0.006	-0.045	-0.051	-0.050	0.092	-0.008	-0.047	-0.006	-0.004	-0.006	-0.004	-0.088	-0.092	-0.008	-0.092	-0.004	-0.004	-0.050	-0.006	-0.012	-0.004	-0.005	-0.090	-0.006	-0.003	-0.052	-0.053	-0.050	-0.053	-0.004	-0.051	-0.282	-0.268	-0.264	-0.264	-0.264	-0.288	-0.268	-0.264	-0.268	-0.268	-0.269	-0.268	-0.260	-0.261	-0.267	-0.261	-0.268	-0.268	-0.265	-0.269	-0.268	-0.268	-0.268	-0.261	-0.267	-0.266	-0.264	-0.264	-0.265	-0.264	-0.268	-0.265	0.101	-0.027	-0.267	2016_7_13_10_21_50
FLNS2009GRWF____	0.036	0.000	0.039	0.038	0.040	-0.002	0.077	0.077	0.000	-0.001	0.000	0.077	0.042	0.038	0.039	0.038	0.077	-0.001	0.001	0.000	0.091	-0.001	0.080	0.078	0.040	0.042	0.039	0.039	0.001	0.039	-0.001	0.039	0.012	-0.000	0.057	0.057	0.055	0.053	0.140	0.099	-0.000	-0.025	0.003	0.099	0.005	0.076	0.044	0.076	0.099	-0.025	0.004	0.003	0.094	-0.025	0.136	0.102	0.093	0.016	0.080	0.076	0.004	0.076	-0.025	0.082	0.303	0.319	0.300	0.300	0.299	0.317	0.298	0.282	0.319	0.321	0.319	0.282	0.302	0.299	0.301	0.299	0.282	0.321	0.318	0.319	0.276	0.321	0.279	0.281	0.298	0.301	0.299	0.298	0.318	0.298	0.321	0.298	0.034	0.048	0.303	2016_7_13_10_21_54
FLQS2C39GRX5____	0.334	0.331	0.335	0.335	0.333	0.335	0.332	0.293	0.331	0.333	0.294	0.292	0.292	0.333	0.332	0.333	0.292	0.333	0.334	0.294	0.332	0.333	0.290	0.290	0.291	0.333	0.332	0.334	0.334	0.334	0.333	0.333	-0.016	-0.041	0.034	-0.001	-0.048	0.003	-0.006	-0.018	-0.041	-0.007	-0.011	-0.062	-0.054	-0.011	-0.045	-0.011	-0.062	-0.007	0.000	-0.011	-0.037	-0.007	-0.101	-0.101	-0.098	0.003	-0.007	-0.007	0.000	-0.007	-0.007	-0.003	-0.301	-0.299	-0.306	-0.304	-0.299	-0.303	-0.301	-0.285	-0.299	-0.302	-0.286	-0.282	-0.282	-0.302	-0.299	-0.302	-0.282	-0.302	-0.302	-0.286	-0.299	-0.302	-0.279	-0.278	-0.280	-0.303	-0.302	-0.302	-0.302	-0.302	-0.302	-0.302	0.321	-0.025	-0.296	2016_7_13_10_21_57
FLQS2C44GRX5____	0.363	0.324	0.406	0.366	0.368	0.365	0.405	0.362	0.324	0.407	0.407	0.363	0.429	0.404	0.322	0.404	0.363	0.407	0.402	0.407	0.404	0.407	0.364	0.364	0.365	0.366	0.365	0.407	0.402	0.407	0.407	0.367	-0.015	-0.049	-0.035	0.026	0.038	-0.009	0.042	0.042	-0.049	0.008	0.021	0.042	0.026	-0.018	-0.086	-0.018	0.042	0.008	0.037	0.021	0.006	0.008	0.022	-0.009	0.026	0.028	-0.003	0.063	0.037	0.063	0.008	-0.002	-0.337	-0.320	-0.353	-0.341	-0.343	-0.338	-0.357	-0.341	-0.320	-0.356	-0.357	-0.341	-0.397	-0.353	-0.316	-0.353	-0.341	-0.356	-0.357	-0.357	-0.355	-0.356	-0.340	-0.337	-0.340	-0.341	-0.338	-0.359	-0.357	-0.359	-0.356	-0.339	0.382	0.010	-0.347	2016_7_13_10_22_00
FLQS2CBBGRX5____	0.002	0.039	0.006	0.001	-0.045	0.000	0.039	0.000	0.039	0.008	0.004	-0.001	0.006	0.002	0.043	0.002	-0.001	0.008	0.045	0.004	0.009	0.008	-0.002	0.002	-0.003	-0.035	0.000	0.005	0.045	0.005	0.008	0.006	-0.013	-0.037	-0.053	-0.011	-0.121	-0.012	-0.019	-0.019	-0.037	-0.005	-0.056	-0.019	-0.051	-0.107	0.004	-0.107	-0.019	-0.005	0.051	-0.056	-0.002	-0.005	-0.057	-0.018	-0.107	-0.029	-0.016	-0.059	0.051	-0.059	-0.005	-0.009	-0.204	-0.217	-0.203	-0.203	-0.178	-0.203	-0.217	-0.203	-0.217	-0.207	-0.202	-0.202	-0.203	-0.198	-0.221	-0.198	-0.202	-0.207	-0.225	-0.202	-0.207	-0.207	-0.200	-0.203	-0.196	-0.188	-0.203	-0.202	-0.225	-0.202	-0.207	-0.206	0.008	-0.032	-0.205	2016_7_13_10_22_04
FLQS23VUGRX2____	-0.331	-0.292	-0.289	-0.294	-0.336	-0.341	-0.336	-0.337	-0.292	-0.292	-0.292	-0.335	-0.381	-0.294	-0.293	-0.294	-0.335	-0.292	-0.336	-0.292	-0.292	-0.292	-0.338	-0.339	-0.337	-0.382	-0.335	-0.294	-0.336	-0.294	-0.292	-0.294	-0.120	-0.036	-0.039	-0.123	-0.136	-0.102	-0.162	-0.102	-0.036	-0.052	-0.049	-0.092	-0.138	-0.084	-0.087	-0.084	-0.092	-0.052	-0.124	-0.049	-0.076	-0.052	-0.170	-0.208	-0.178	-0.185	-0.094	-0.085	-0.124	-0.085	-0.052	-0.044	-0.037	-0.058	-0.059	-0.051	-0.033	-0.024	-0.031	-0.035	-0.058	-0.056	-0.057	-0.036	-0.015	-0.053	-0.053	-0.053	-0.036	-0.056	-0.034	-0.057	-0.055	-0.056	-0.031	-0.028	-0.030	-0.012	-0.036	-0.053	-0.034	-0.053	-0.056	-0.056	-0.316	-0.097	-0.043	2016_7_13_10_22_07
FLQS30BLGRWY____	0.142	0.120	0.120	0.120	0.120	0.141	0.195	0.192	0.120	0.191	0.120	0.235	0.141	0.120	0.237	0.120	0.235	0.191	0.120	0.120	0.191	0.191	0.192	0.192	0.192	0.120	0.120	0.190	0.120	0.190	0.191	0.240	-0.011	-0.055	-0.117	-0.055	-0.055	-0.017	-0.021	0.077	-0.055	-0.005	-0.055	0.072	0.012	-0.117	0.102	-0.117	0.072	-0.005	-0.017	-0.117	-0.005	-0.005	-0.002	0.042	-0.003	-0.021	0.040	-0.002	-0.021	-0.002	-0.005	0.066	0.250	0.255	0.255	0.255	0.255	0.251	0.230	0.225	0.255	0.230	0.255	0.207	0.250	0.255	0.205	0.255	0.207	0.230	0.255	0.255	0.230	0.230	0.230	0.227	0.230	0.255	0.255	0.231	0.255	0.231	0.230	0.206	0.164	-0.013	0.239	2016_7_13_10_22_10
FLQS30DEGRWY____	-0.016	-0.018	-0.016	-0.016	-0.108	-0.016	-0.018	-0.017	-0.018	-0.017	-0.017	-0.019	-0.006	-0.018	-0.018	-0.018	-0.019	-0.017	-0.019	-0.017	-0.018	-0.017	-0.017	-0.017	-0.062	-0.004	-0.019	-0.018	-0.019	-0.018	-0.017	-0.060	-0.028	-0.027	-0.076	-0.033	-0.130	0.030	0.034	-0.050	-0.027	0.028	-0.060	-0.030	-0.057	-0.037	-0.025	-0.037	-0.030	0.028	0.039	-0.060	0.025	0.028	-0.060	-0.063	-0.071	-0.064	-0.024	-0.041	0.039	-0.041	0.028	-0.025	0.070	0.071	0.073	0.070	0.113	0.065	0.066	0.071	0.071	0.067	0.072	0.071	0.068	0.071	0.070	0.071	0.071	0.067	0.066	0.072	0.067	0.067	0.072	0.072	0.091	0.068	0.070	0.071	0.066	0.071	0.067	0.087	-0.022	-0.025	0.072	2016_7_13_10_22_14
FLQS30LQGRWY____	0.067	0.068	0.109	0.109	0.109	0.069	0.065	0.070	0.068	0.069	0.065	0.069	0.066	0.109	0.069	0.109	0.069	0.069	0.068	0.065	0.067	0.069	0.109	0.078	0.067	0.109	0.068	0.083	0.068	0.083	0.069	0.068	0.000	0.004	0.106	0.106	0.106	0.033	-0.003	0.090	0.004	-0.005	-0.003	0.034	-0.057	0.106	0.002	0.106	0.034	-0.005	0.035	-0.003	0.033	-0.005	0.086	0.106	0.003	0.106	0.009	-0.057	0.035	-0.057	-0.005	0.005	0.015	0.015	-0.007	-0.007	-0.007	0.013	0.017	0.008	0.015	0.015	0.017	0.012	0.019	-0.007	0.015	-0.007	0.012	0.015	0.013	0.017	0.023	0.015	-0.007	0.004	0.015	-0.007	0.014	0.013	0.013	0.013	0.015	0.015	0.078	0.030	0.010	2016_7_13_10_22_19
FLQS30SPGRWY____	-0.022	0.018	0.019	0.019	0.019	0.017	0.018	0.020	0.018	0.018	0.018	0.018	0.014	0.019	0.017	0.019	0.018	0.018	0.017	0.018	0.017	0.018	0.019	0.018	0.018	0.013	0.018	0.017	0.017	0.017	0.018	0.018	0.011	-0.001	-0.008	-0.011	0.019	-0.046	-0.002	-0.008	-0.001	-0.000	-0.002	-0.044	-0.004	0.032	-0.002	0.032	-0.044	-0.000	0.029	-0.002	-0.005	-0.000	0.022	-0.010	-0.004	-0.004	0.028	0.003	0.029	0.003	-0.000	-0.002	0.050	0.035	0.035	0.035	0.034	0.039	0.036	0.035	0.035	0.035	0.036	0.038	0.038	0.033	0.036	0.033	0.038	0.035	0.033	0.036	0.036	0.035	0.034	0.036	0.036	0.038	0.034	0.036	0.033	0.036	0.035	0.036	0.017	0.000	0.036	2016_7_13_10_22_26
