SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.133	0.104	0.130	0.139	0.133	0.133	0.132	0.132	0.133	0.131	0.131	0.130	0.135	0.137	0.139	0.136	0.133	0.131	0.102	0.133	0.131	0.129	0.134	0.132	0.103	0.105	0.104	0.134	0.107	0.137	0.135	0.139	0.025	0.027	0.026	0.026	0.025	0.025	0.025	0.052	0.024	0.025	0.027	0.025	0.026	0.025	0.024	0.024	0.026	0.025	0.026	0.025	0.026	0.026	0.054	0.024	0.024	0.027	0.024	0.055	0.026	0.025	0.025	0.024	-0.285	-0.273	-0.285	-0.288	-0.286	-0.286	-0.285	-0.288	-0.286	-0.285	-0.285	-0.284	-0.287	-0.287	-0.288	-0.287	-0.285	-0.284	-0.273	-0.286	-0.285	-0.284	-0.289	-0.286	-0.273	-0.274	-0.273	-0.289	-0.275	-0.287	-0.286	-0.287	0.128	0.028	-0.284	2016_7_13_10_06_07
FLNS2009GRWF____	0.051	0.048	0.020	0.052	0.045	0.046	0.048	0.016	0.045	0.045	0.015	0.077	0.048	0.044	0.047	0.044	0.047	0.044	0.077	0.045	0.054	0.044	0.045	0.045	0.049	0.044	0.046	0.051	0.051	0.046	0.043	0.045	-0.012	-0.012	-0.011	-0.011	0.018	0.018	-0.012	-0.012	0.017	-0.013	-0.013	-0.012	-0.013	-0.012	0.018	-0.010	-0.012	-0.011	0.018	-0.011	0.021	-0.012	-0.012	-0.012	-0.009	-0.012	0.019	0.020	-0.010	0.017	-0.010	-0.014	0.300	0.300	0.312	0.298	0.298	0.298	0.300	0.313	0.299	0.302	0.315	0.289	0.300	0.302	0.298	0.302	0.301	0.302	0.286	0.302	0.295	0.302	0.301	0.302	0.300	0.302	0.298	0.296	0.299	0.299	0.302	0.302	0.046	-0.003	0.301	2016_7_13_10_06_12
FLQS2C39GRX5____	0.230	0.231	0.227	0.255	0.261	0.256	0.232	0.258	0.258	0.257	0.258	0.261	0.263	0.257	0.225	0.258	0.260	0.260	0.256	0.231	0.257	0.262	0.230	0.230	0.258	0.234	0.228	0.225	0.229	0.228	0.258	0.257	-0.068	-0.075	-0.074	-0.073	-0.078	-0.105	-0.074	-0.078	-0.105	-0.077	-0.075	-0.074	-0.078	-0.075	-0.105	-0.076	-0.077	-0.076	-0.074	-0.074	-0.074	-0.076	-0.075	-0.104	-0.076	-0.074	-0.106	-0.071	-0.109	-0.076	-0.077	-0.074	-0.257	-0.256	-0.255	-0.267	-0.268	-0.264	-0.257	-0.267	-0.265	-0.268	-0.268	-0.269	-0.269	-0.267	-0.250	-0.267	-0.269	-0.268	-0.267	-0.256	-0.267	-0.269	-0.256	-0.253	-0.267	-0.257	-0.252	-0.254	-0.252	-0.255	-0.267	-0.267	0.247	-0.081	-0.262	2016_7_13_10_06_15
FLQS2C44GRX5____	0.410	0.408	0.406	0.382	0.404	0.371	0.379	0.408	0.409	0.404	0.405	0.407	0.417	0.412	0.409	0.410	0.377	0.378	0.378	0.404	0.407	0.405	0.408	0.405	0.407	0.410	0.384	0.413	0.388	0.410	0.407	0.379	-0.038	0.007	0.006	0.001	0.005	-0.032	0.008	0.005	0.005	0.008	0.008	0.007	0.005	-0.036	0.005	0.007	0.005	0.007	0.007	0.007	-0.034	0.009	0.005	0.008	-0.026	0.007	0.011	-0.003	0.016	0.005	0.005	0.005	-0.358	-0.360	-0.360	-0.350	-0.359	-0.342	-0.349	-0.360	-0.361	-0.359	-0.360	-0.360	-0.365	-0.359	-0.360	-0.362	-0.348	-0.349	-0.349	-0.360	-0.357	-0.360	-0.361	-0.360	-0.358	-0.361	-0.351	-0.362	-0.354	-0.362	-0.360	-0.349	0.400	0.000	-0.357	2016_7_13_10_06_18
FLQS2CBBGRX5____	-0.010	-0.035	-0.037	-0.011	-0.040	-0.044	-0.039	-0.009	-0.009	-0.042	-0.037	-0.037	-0.042	-0.006	-0.041	-0.043	-0.042	-0.038	0.026	-0.042	-0.005	-0.039	-0.042	-0.041	-0.009	-0.038	-0.055	-0.008	-0.007	-0.040	-0.072	-0.040	-0.182	-0.148	-0.147	-0.184	-0.146	-0.184	-0.182	-0.147	-0.145	-0.145	-0.146	-0.184	-0.186	-0.148	-0.144	-0.182	-0.145	-0.184	-0.144	-0.182	-0.184	-0.184	-0.145	-0.144	-0.148	-0.183	-0.202	-0.186	-0.185	-0.184	-0.144	-0.145	-0.182	-0.174	-0.175	-0.182	-0.173	-0.168	-0.169	-0.186	-0.185	-0.172	-0.174	-0.171	-0.169	-0.187	-0.173	-0.168	-0.173	-0.170	-0.200	-0.168	-0.184	-0.170	-0.172	-0.172	-0.185	-0.170	-0.161	-0.183	-0.183	-0.169	-0.160	-0.173	-0.031	-0.165	-0.175	2016_7_13_10_06_20
FLQS23VUGRX2____	-0.286	-0.287	-0.289	-0.313	-0.288	-0.287	-0.290	-0.290	-0.290	-0.288	-0.289	-0.287	-0.290	-0.287	-0.319	-0.319	-0.284	-0.289	-0.289	-0.289	-0.285	-0.288	-0.321	-0.285	-0.320	-0.284	-0.288	-0.282	-0.284	-0.287	-0.288	-0.285	-0.125	-0.126	-0.128	-0.127	-0.130	-0.130	-0.096	-0.129	-0.130	-0.129	-0.126	-0.128	-0.129	-0.095	-0.131	-0.130	-0.129	-0.129	-0.130	-0.126	-0.122	-0.129	-0.130	-0.128	-0.127	-0.128	-0.127	-0.091	-0.100	-0.131	-0.130	-0.097	-0.047	-0.046	-0.045	-0.035	-0.045	-0.046	-0.048	-0.045	-0.045	-0.046	-0.046	-0.046	-0.044	-0.049	-0.033	-0.033	-0.047	-0.045	-0.045	-0.045	-0.047	-0.046	-0.032	-0.047	-0.032	-0.047	-0.046	-0.052	-0.051	-0.046	-0.045	-0.050	-0.292	-0.123	-0.044	2016_7_13_10_06_22
FLQS30BLGRWY____	0.223	0.252	0.253	0.248	0.251	0.256	0.256	0.258	0.256	0.254	0.223	0.222	0.254	0.260	0.257	0.253	0.252	0.225	0.227	0.258	0.261	0.226	0.287	0.224	0.256	0.221	0.255	0.226	0.256	0.225	0.226	0.257	-0.035	-0.034	-0.068	-0.063	-0.066	-0.069	-0.032	-0.067	0.001	-0.067	-0.069	-0.032	-0.065	-0.033	-0.032	-0.067	-0.067	-0.031	-0.030	-0.032	-0.027	-0.032	-0.068	-0.068	-0.063	-0.033	-0.064	-0.107	-0.030	-0.066	-0.068	-0.069	0.219	0.205	0.209	0.210	0.210	0.207	0.204	0.207	0.201	0.208	0.221	0.218	0.208	0.203	0.204	0.209	0.209	0.217	0.217	0.203	0.201	0.217	0.195	0.221	0.207	0.219	0.208	0.224	0.204	0.220	0.221	0.207	0.245	-0.052	0.210	2016_7_13_10_06_25
FLQS30DEGRWY____	0.011	0.039	0.041	0.015	0.043	0.009	0.010	0.042	0.009	0.011	0.040	0.043	0.043	0.046	0.008	0.009	0.044	0.011	0.010	0.011	0.007	0.041	0.011	0.043	0.008	0.012	0.008	0.007	0.012	0.043	0.009	0.013	-0.033	-0.033	-0.037	-0.070	-0.037	-0.065	-0.038	-0.040	-0.065	-0.035	-0.035	-0.061	-0.037	-0.063	-0.039	-0.038	-0.035	-0.036	-0.064	-0.036	-0.068	-0.035	-0.064	-0.035	-0.070	-0.035	-0.064	-0.066	-0.067	-0.069	-0.065	-0.035	0.060	0.049	0.048	0.062	0.048	0.064	0.061	0.048	0.065	0.060	0.049	0.050	0.047	0.048	0.062	0.062	0.046	0.061	0.063	0.060	0.065	0.048	0.062	0.047	0.065	0.059	0.064	0.064	0.063	0.051	0.064	0.059	0.022	-0.049	0.057	2016_7_13_10_06_27
FLQS30LQGRWY____	0.078	0.079	0.079	0.081	0.112	0.110	0.109	0.078	0.108	0.109	0.080	0.078	0.076	0.077	0.078	0.081	0.081	0.109	0.111	0.109	0.080	0.108	0.111	0.109	0.079	0.079	0.080	0.080	0.080	0.079	0.111	0.112	-0.001	-0.001	-0.001	-0.000	-0.001	-0.001	-0.001	0.001	-0.002	-0.001	0.000	-0.001	-0.001	-0.002	-0.001	-0.000	-0.001	-0.001	-0.000	-0.001	-0.030	-0.001	0.028	-0.001	0.000	-0.000	-0.002	-0.001	0.001	0.001	-0.001	-0.003	0.010	0.010	0.011	0.009	-0.004	-0.004	-0.002	0.010	-0.002	-0.003	0.009	0.010	0.011	0.010	0.010	0.009	0.009	-0.002	-0.004	-0.002	0.012	-0.003	-0.006	-0.002	0.010	0.010	0.009	0.009	0.009	0.010	-0.004	-0.004	0.092	-0.001	0.005	2016_7_13_10_06_31
FLQS30SPGRWY____	0.003	-0.025	0.037	-0.022	0.010	0.039	-0.027	0.036	0.008	0.007	-0.024	-0.025	0.003	0.005	0.002	0.040	0.043	0.008	-0.031	0.003	0.003	0.006	0.004	0.010	0.001	-0.023	0.007	0.002	0.003	0.009	-0.023	0.002	-0.012	-0.054	-0.014	-0.020	-0.017	-0.016	-0.053	-0.017	-0.015	-0.054	-0.053	-0.085	-0.055	-0.014	-0.055	-0.014	-0.016	-0.024	-0.055	-0.050	-0.015	-0.018	-0.015	-0.052	-0.021	-0.053	-0.021	-0.015	-0.025	-0.018	-0.015	-0.017	0.043	0.058	0.028	0.053	0.040	0.028	0.058	0.029	0.041	0.045	0.058	0.062	0.047	0.042	0.047	0.028	0.026	0.042	0.061	0.046	0.043	0.042	0.043	0.044	0.044	0.057	0.042	0.043	0.043	0.041	0.053	0.043	0.003	-0.031	0.044	2016_7_13_10_06_35
FLQS30W7GRWY____	0.279	0.275	0.273	0.274	0.272	0.272	0.271	0.274	0.271	0.275	0.274	0.275	0.273	0.273	0.271	0.272	0.277	0.274	0.272	0.272	0.240	0.273	0.273	0.277	0.237	0.273	0.273	0.242	0.278	0.274	0.276	0.273	0.055	0.022	0.054	0.047	0.052	0.055	0.055	0.052	0.055	0.055	0.085	0.055	0.053	0.059	0.053	0.054	0.085	0.048	0.085	0.021	0.058	0.055	0.054	0.056	0.047	0.054	0.050	0.055	0.046	0.053	0.056	0.054	-0.006	-0.000	-0.004	-0.003	-0.003	-0.004	-0.003	-0.003	-0.003	-0.004	-0.006	-0.004	-0.004	-0.003	-0.003	-0.003	-0.008	-0.003	-0.006	-0.000	0.010	-0.003	-0.003	-0.004	0.013	-0.003	-0.003	0.010	-0.005	-0.004	-0.004	-0.003	0.271	0.054	-0.002	2016_7_13_10_06_42
FLQS300JGRWM____	0.580	0.586	0.584	0.611	0.581	0.582	0.578	0.579	0.610	0.583	0.584	0.616	0.586	0.579	0.579	0.580	0.615	0.583	0.608	0.580	0.614	0.581	0.580	0.614	0.612	0.583	0.577	0.610	0.610	0.579	0.581	0.579	0.190	0.188	0.186	0.185	0.188	0.188	0.191	0.186	0.189	0.188	0.189	0.188	0.186	0.191	0.191	0.189	0.189	0.189	0.190	0.190	0.190	0.188	0.189	0.189	0.187	0.189	0.185	0.188	0.186	0.187	0.190	0.190	-0.075	-0.077	-0.077	-0.087	-0.075	-0.075	-0.074	-0.074	-0.088	-0.076	-0.077	-0.089	-0.077	-0.075	-0.074	-0.074	-0.089	-0.075	-0.086	-0.074	-0.088	-0.075	-0.075	-0.089	-0.088	-0.076	-0.073	-0.087	-0.087	-0.074	-0.076	-0.074	0.591	0.188	-0.079	2016_7_13_10_06_47
FLQS303AGRWY____	0.129	0.133	0.135	0.131	0.130	0.131	0.133	0.134	0.131	0.130	0.159	0.127	0.165	0.131	0.133	0.133	0.130	0.134	0.131	0.134	0.130	0.131	0.129	0.162	0.133	0.127	0.129	0.131	0.131	0.131	0.134	0.131	0.048	0.044	0.016	0.019	0.018	0.045	0.044	0.046	0.045	0.017	0.019	0.044	0.045	0.046	0.046	0.044	0.045	0.044	0.045	0.045	0.047	0.016	0.044	0.045	0.020	0.046	0.045	0.016	0.048	0.046	0.044	0.045	0.068	0.067	0.069	0.069	0.070	0.067	0.067	0.066	0.067	0.071	0.058	0.069	0.054	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.068	0.071	0.068	0.054	0.069	0.069	0.068	0.070	0.067	0.067	0.067	0.067	0.134	0.038	0.067	2016_7_13_10_06_53
