SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	-0.071	-0.128	-0.067	-0.081	-0.009	-0.273	-0.128	-0.000	-0.067	-0.145	-0.145	-0.145	-0.128	-0.262	-0.243	-0.079	-0.128	-0.183	-0.183	-0.183	-0.237	-0.183	-0.128	-0.183	-0.128	-0.183	-0.128	-0.003	-0.145	-0.128	-0.018	-0.237	-0.066	-0.005	-0.064	0.057	-0.066	0.003	-0.007	-0.004	-0.005	0.002	-0.003	-0.056	0.061	-0.062	-0.125	-0.124	0.056	-0.064	-0.060	-0.067	-0.116	0.004	-0.001	-0.062	-0.001	-0.063	-0.068	-0.007	-0.124	0.059	0.059	-0.126	-0.025	0.080	-0.024	-0.039	0.002	-0.117	0.054	0.000	-0.028	-0.062	-0.062	-0.062	-0.178	-0.108	-0.094	-0.024	0.072	-0.073	-0.091	-0.091	-0.094	-0.073	-0.059	-0.091	-0.059	-0.073	0.054	-0.001	-0.130	-0.059	-0.013	-0.091	-0.136	-0.033	-0.049	2016_7_13_9_40_53
FLNS2009GRWF____	-0.727	-0.727	-0.624	-0.741	-0.727	-0.624	-0.624	-0.741	-0.624	-0.741	-0.624	-0.571	-0.570	-0.624	-0.727	-0.727	-0.727	-0.741	-0.624	-0.549	-0.741	-0.624	-0.549	-0.510	-0.624	-0.624	-0.727	-0.624	-0.571	-0.559	-0.624	-0.624	-0.564	-0.708	-0.565	-0.708	-0.708	-0.696	-0.566	-0.583	-0.568	-0.587	-0.516	-0.567	-0.706	-0.641	-0.640	-0.567	-0.585	-0.638	-0.635	-0.590	-0.708	-0.705	-0.636	-0.697	-0.642	-0.635	-0.636	-0.706	-0.511	-0.568	-0.708	-0.494	-0.758	-0.653	-0.736	-0.653	-0.758	-0.836	-0.670	-0.758	-0.653	-0.813	-0.745	-0.695	-0.729	-0.670	-0.802	-0.758	-0.745	-0.758	-0.745	-0.653	-0.653	-0.870	-0.725	-0.704	-0.701	-0.758	-0.736	-0.695	-0.745	-0.736	-0.745	-0.725	-0.650	-0.625	-0.730	2016_7_13_9_40_59
FLQS2C39GRX5____	-1.056	-1.056	-0.939	-0.995	-1.127	-0.995	-0.975	-1.061	-1.056	-1.056	-0.975	-0.995	-0.995	-0.995	-0.995	-0.981	-0.975	-0.995	-1.070	-0.995	-0.939	-1.089	-0.995	-0.995	-0.995	-0.975	-0.995	-0.975	-1.056	-0.995	-0.995	-0.995	0.655	0.705	0.764	0.692	0.759	0.763	0.767	0.819	0.704	0.706	0.767	0.759	0.762	0.707	0.709	0.712	0.597	0.707	0.710	0.702	0.620	0.765	0.763	0.822	0.704	0.768	0.705	0.648	0.768	0.769	0.814	0.707	0.156	0.062	0.198	0.180	0.118	0.064	0.183	0.142	0.068	0.064	0.183	0.095	0.030	0.180	0.097	0.183	0.183	0.235	0.145	0.180	0.198	0.134	0.289	0.097	0.242	0.183	0.180	0.183	0.288	0.233	0.180	0.297	-1.009	0.729	0.164	2016_7_13_9_41_02
FLQS2C44GRX5____	-1.061	-0.938	-1.012	-1.059	-1.102	-1.012	-1.059	-1.167	-1.012	-1.102	-1.102	-1.061	-1.012	-1.061	-1.178	-0.983	-1.102	-1.132	-1.012	-1.012	-1.059	-1.102	-1.059	-1.061	-1.061	-1.012	-1.059	-0.988	-1.059	-0.913	-0.982	-1.012	0.897	0.839	0.897	0.843	0.838	0.894	0.838	0.842	0.894	0.839	0.899	0.840	0.897	0.841	0.842	0.840	0.837	0.915	0.894	0.895	0.837	0.845	0.899	0.895	0.835	0.846	0.897	0.843	0.847	0.911	0.984	0.900	-0.525	-0.468	-0.421	-0.636	-0.668	-0.504	-0.665	-0.567	-0.437	-0.543	-0.543	-0.666	-0.504	-0.666	-0.572	-0.488	-0.543	-0.557	-0.410	-0.433	-0.435	-0.543	-0.524	-0.525	-0.525	-0.624	-0.441	-0.490	-0.656	-0.463	-0.499	-0.596	-1.048	0.871	-0.536	2016_7_13_9_41_06
FLQS2CBBGRX5____	-28.703	-28.918	-28.703	-28.703	-28.918	-28.918	-28.918	-28.703	-28.918	-28.703	-28.703	-28.703	-28.703	-28.918	-28.703	-28.703	-28.703	-28.918	-28.918	-28.918	-28.703	-28.703	-28.918	-28.703	-28.703	-28.703	-28.703	-28.703	-28.918	-28.703	-28.918	-28.918	-134.861	-134.930	-134.902	-134.861	-134.902	-135.010	-134.930	-134.930	-135.007	-134.861	-134.861	-134.861	-134.861	-134.930	-134.861	-134.861	-134.861	-135.000	-134.993	-134.902	-134.861	-134.861	-134.930	-134.861	-134.861	-134.861	-134.861	-134.861	-134.930	-134.861	-134.902	-134.930	0.000	0.219	0.219	0.219	0.219	0.219	0.219	0.000	0.219	0.000	0.000	0.000	0.000	0.219	0.000	0.000	0.000	0.219	0.219	0.219	0.000	0.000	0.219	0.000	0.000	0.000	0.000	0.219	0.219	0.000	0.219	0.219	-28.790	-134.899	0.110	2016_7_13_9_41_11
FLQS23VUGRX2____	0.203	0.223	0.223	0.223	0.217	0.216	0.223	0.334	0.223	0.223	0.203	0.223	0.208	0.203	0.223	0.203	0.223	0.223	0.208	0.223	0.223	0.223	0.347	0.208	0.208	0.344	0.217	0.334	0.216	0.203	0.223	0.208	0.007	0.064	0.065	0.006	0.064	0.008	0.070	0.066	0.071	0.064	0.064	0.127	0.011	0.065	0.075	0.007	0.008	-0.050	-0.047	0.063	0.008	0.065	0.063	-0.055	0.009	0.011	-0.048	0.068	0.065	0.064	0.054	0.058	-0.588	-0.577	-0.653	-0.498	-0.463	-0.669	-0.582	-0.537	-0.577	-0.520	-0.704	-0.649	-0.685	-0.474	-0.582	-0.721	-0.665	-0.634	-0.582	-0.577	-0.577	-0.583	-0.532	-0.459	-0.717	-0.528	-0.577	-0.537	-0.587	-0.702	-0.582	-0.587	0.231	0.037	-0.591	2016_7_13_9_41_15
FLQS30BLGRWY____	-0.646	-0.713	-0.646	-0.688	-0.694	-0.638	-0.638	-0.638	-0.646	-0.713	-0.646	-0.638	-0.688	-0.646	-0.646	-0.578	-0.713	-0.638	-0.646	-0.752	-0.700	-0.638	-0.700	-0.646	-0.713	-0.752	-0.638	-0.638	-0.638	-0.638	-0.688	-0.646	0.006	-0.047	-0.044	-0.047	0.015	0.021	-0.042	-0.046	0.065	0.007	-0.043	0.064	0.008	0.127	0.015	0.065	0.021	0.008	0.068	-0.043	0.019	0.067	0.015	0.061	0.007	0.011	0.011	0.063	0.070	0.068	0.067	0.067	-0.952	-0.977	-1.056	-0.972	-0.972	-1.052	-1.053	-0.952	-0.897	-0.993	-0.894	-0.866	-0.972	-0.876	-0.874	-0.927	-0.994	-0.850	-1.077	-0.993	-0.977	-0.952	-0.977	-0.952	-0.993	-0.994	-0.859	-0.867	-1.035	-0.869	-0.974	-0.952	-0.665	0.022	-0.956	2016_7_13_9_41_18
FLQS30DEGRWY____	-0.022	-0.058	-0.169	-0.105	-0.143	-0.169	-0.169	-0.022	-0.169	-0.022	-0.143	-0.169	-0.169	-0.022	-0.143	-0.022	-0.169	-0.105	-0.143	-0.105	-0.022	-0.058	-0.105	-0.169	-0.032	-0.143	-0.169	-0.169	-0.143	-0.143	-0.032	-0.022	-0.301	-0.275	-0.343	-0.409	-0.352	-0.405	-0.407	-0.346	-0.346	-0.286	-0.355	-0.356	-0.406	-0.401	-0.357	-0.298	-0.351	-0.355	-0.206	-0.349	-0.343	-0.344	-0.300	-0.350	-0.352	-0.409	-0.354	-0.282	-0.296	-0.288	-0.286	-0.273	0.688	0.676	0.629	0.688	0.558	0.530	0.636	0.688	0.629	0.687	0.569	0.636	0.629	0.688	0.546	0.688	0.629	0.676	0.558	0.579	0.688	0.676	0.654	0.629	0.688	0.535	0.629	0.629	0.654	0.636	0.688	0.688	-0.108	-0.337	0.637	2016_7_13_9_41_21
FLQS30LQGRWY____	0.184	0.199	0.132	0.184	0.263	0.334	0.199	0.184	0.199	0.132	0.184	0.199	0.184	0.199	0.263	0.263	0.199	0.184	0.184	0.199	0.184	0.290	0.184	0.132	0.263	0.199	0.184	0.199	0.307	0.263	0.199	0.199	-0.011	0.039	0.046	0.046	-0.012	-0.012	-0.003	0.036	-0.122	-0.015	-0.007	0.102	0.105	-0.071	0.040	0.052	0.102	-0.011	-0.067	0.037	0.043	-0.125	0.043	0.104	0.042	0.044	-0.062	-0.074	0.037	-0.134	-0.015	-0.065	0.055	0.224	0.173	0.202	0.224	0.259	0.202	0.202	0.097	0.173	0.185	0.202	0.185	0.202	0.224	0.202	0.202	0.058	0.185	0.202	0.185	0.249	0.185	0.173	0.224	0.115	0.185	0.293	0.243	0.224	0.202	0.091	0.209	0.004	0.188	2016_7_13_9_41_26
FLQS30SPGRWY____	-1.115	-1.163	-1.163	-1.039	-1.115	-1.115	-1.229	-1.163	-1.115	-1.115	-1.115	-1.196	-1.220	-1.115	-1.115	-1.221	-1.163	-1.163	-1.115	-1.115	-1.115	-1.115	-1.196	-1.163	-1.163	-1.115	-1.115	-1.001	-1.115	-1.039	-1.039	-1.115	0.077	0.076	0.024	0.143	0.128	0.073	0.077	0.073	0.128	0.140	0.072	0.198	0.078	0.076	0.062	0.072	0.076	0.074	0.074	0.074	0.087	0.087	0.021	0.022	0.074	0.078	0.076	0.076	0.004	0.019	0.217	0.142	-1.285	-1.180	-1.180	-1.122	-1.163	-1.092	-1.208	-1.180	-1.163	-1.075	-1.024	-1.204	-1.204	-1.163	-1.268	-1.204	-1.180	-1.180	-1.180	-1.085	-1.075	-1.163	-1.180	-1.180	-1.180	-1.267	-1.163	-1.110	-1.075	-1.122	-1.122	-1.092	-1.130	0.084	-1.158	2016_7_13_9_41_31
