SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	-0.010	-0.118	-0.118	-0.129	-0.095	-0.003	-0.095	-0.158	-0.069	-0.118	-0.054	-0.071	-0.061	-0.189	-0.057	-0.095	-0.133	-0.118	-0.201	-0.095	-0.122	-0.118	-0.020	-0.122	-0.118	-0.075	-0.077	-0.140	-0.145	-0.095	-0.135	-0.095	-0.123	0.023	0.023	-0.049	-0.131	0.124	-0.067	0.012	0.143	-0.118	0.130	0.009	-0.083	0.128	-0.051	-0.039	0.065	-0.049	-0.003	0.066	0.010	0.070	0.083	0.027	0.143	0.009	0.012	0.007	0.009	0.007	-0.125	0.028	0.014	0.053	-0.092	-0.046	-0.088	-0.018	-0.097	-0.090	-0.048	-0.102	-0.041	-0.004	-0.013	-0.095	-0.016	-0.033	-0.064	-0.104	-0.081	0.011	-0.051	-0.117	-0.019	-0.128	0.026	-0.032	-0.033	-0.032	-0.088	0.019	-0.038	-0.041	-0.102	0.009	-0.046	2016_7_13_9_35_08
FLNS2009GRWF____	-1.020	-0.960	-0.872	-1.049	-0.851	-1.019	-0.852	-1.063	-0.963	-0.963	-0.953	-0.965	-0.898	-1.020	-1.013	-0.897	-0.908	-1.021	-0.853	-0.986	-0.960	-0.893	-0.948	-0.892	-1.096	-0.909	-0.968	-0.913	-0.968	-0.971	-1.021	-0.963	-0.562	-0.507	-0.612	-0.548	-0.553	-0.564	-0.558	-0.667	-0.507	-0.439	-0.558	-0.494	-0.548	-0.507	-0.622	-0.630	-0.627	-0.548	-0.548	-0.507	-0.493	-0.554	-0.548	-0.548	-0.548	-0.498	-0.687	-0.498	-0.620	-0.435	-0.507	-0.548	-0.879	-0.798	-0.811	-0.928	-0.811	-0.879	-0.812	-0.882	-0.900	-0.871	-0.852	-0.866	-0.802	-0.887	-0.866	-0.819	-0.825	-0.904	-0.836	-0.893	-0.863	-0.828	-0.823	-0.852	-0.910	-0.842	-0.916	-0.844	-0.850	-0.877	-0.886	-0.953	-0.957	-0.550	-0.861	2016_7_13_9_35_13
FLQS2C39GRX5____	-0.899	-0.753	-0.964	-0.897	-0.840	-0.774	-0.840	-0.949	-0.902	-0.712	-0.840	-0.888	-0.840	-0.833	-0.840	-0.903	-0.778	-0.711	-0.840	-0.840	-0.963	-0.840	-0.899	-0.840	-0.831	-0.890	-0.835	-0.780	-0.958	-0.897	-0.832	-0.761	0.777	0.993	0.852	0.836	0.793	0.915	0.926	0.891	0.895	0.968	0.912	0.847	0.891	0.847	0.844	0.964	0.852	1.030	0.852	1.029	0.787	0.824	0.832	0.852	1.007	0.891	0.901	0.846	0.891	0.845	0.949	0.959	0.188	0.219	0.171	0.181	0.211	0.221	0.303	0.173	0.170	0.239	0.335	0.226	0.143	0.204	0.260	0.160	0.227	0.230	0.153	0.275	0.161	0.197	0.180	0.084	0.186	0.176	0.197	0.226	0.172	0.180	0.191	0.219	-0.849	0.891	0.202	2016_7_13_9_35_17
FLQS2C44GRX5____	-1.056	-1.069	-0.975	-1.000	-0.909	-0.978	-0.918	-1.096	-0.975	-0.888	-0.895	-0.988	-0.910	-0.975	-0.854	-0.975	-1.016	-1.035	-0.909	-1.037	-0.855	-0.975	-0.918	-1.061	-1.066	-1.022	-0.915	-0.975	-0.975	-0.856	-0.847	-0.975	0.914	0.929	0.981	1.041	1.043	1.041	1.176	0.921	1.110	1.163	0.934	0.982	0.987	1.048	1.159	1.002	1.139	1.103	1.041	1.052	1.046	0.991	0.986	1.040	1.034	1.033	0.987	1.046	1.043	0.999	1.170	1.043	-0.555	-0.563	-0.589	-0.571	-0.513	-0.541	-0.427	-0.573	-0.481	-0.521	-0.494	-0.537	-0.507	-0.472	-0.508	-0.442	-0.571	-0.573	-0.513	-0.566	-0.492	-0.533	-0.510	-0.575	-0.576	-0.558	-0.508	-0.486	-0.540	-0.487	-0.506	-0.610	-0.965	1.037	-0.528	2016_7_13_9_35_20
FLQS2CBBGRX5____	-0.856	-0.937	-0.977	-0.837	-0.960	-0.993	-0.891	-0.994	-0.841	-0.937	-0.971	-0.771	-0.946	-0.937	-0.882	-0.851	-0.837	-0.898	-0.900	-0.847	-0.829	-0.900	-0.937	-0.764	-0.937	-0.899	-0.768	-0.900	-0.968	-0.834	-0.946	-0.900	-0.944	-0.944	-0.841	-0.944	-0.944	-0.944	-1.053	-1.002	-0.985	-0.863	-0.906	-0.906	-1.056	-1.049	-0.866	-0.860	-0.924	-0.859	-1.046	-0.923	-1.047	-0.944	-0.924	-1.060	-0.944	-1.086	-0.923	-0.929	-0.917	-0.906	-0.980	-0.929	-0.804	-0.810	-0.842	-0.822	-0.859	-0.835	-0.779	-0.828	-0.767	-0.821	-0.909	-0.750	-0.937	-0.903	-0.799	-0.789	-0.774	-0.808	-0.783	-0.779	-0.753	-0.819	-0.844	-0.725	-0.933	-0.777	-0.810	-0.783	-0.829	-0.837	-0.812	-0.873	-0.895	-0.951	-0.819	2016_7_13_9_35_23
FLQS23VUGRX2____	0.139	0.139	0.077	0.035	0.086	0.027	0.142	0.077	0.017	0.208	0.139	0.154	0.022	0.207	0.019	0.149	0.139	0.139	0.202	0.139	0.084	0.174	0.139	-0.015	0.066	0.139	0.013	0.018	0.143	0.204	0.139	0.147	-0.080	0.016	0.016	0.057	-0.115	0.048	-0.061	0.063	-0.117	0.121	0.141	0.016	-0.009	0.016	0.016	-0.050	0.016	0.016	0.066	0.016	0.123	0.016	-0.009	-0.009	0.016	-0.115	-0.056	-0.009	-0.060	0.058	0.016	0.054	-0.703	-0.619	-0.669	-0.667	-0.624	-0.670	-0.608	-0.651	-0.651	-0.607	-0.560	-0.638	-0.664	-0.618	-0.641	-0.607	-0.576	-0.549	-0.601	-0.594	-0.657	-0.558	-0.700	-0.628	-0.612	-0.601	-0.661	-0.619	-0.608	-0.599	-0.599	-0.622	0.110	0.007	-0.624	2016_7_13_9_35_25
FLQS30BLGRWY____	-0.574	-0.701	-0.552	-0.572	-0.666	-0.501	-0.560	-0.474	-0.556	-0.657	-0.605	-0.459	-0.628	-0.556	-0.574	-0.510	-0.627	-0.503	-0.572	-0.616	-0.579	-0.560	-0.512	-0.644	-0.665	-0.605	-0.574	-0.572	-0.560	-0.553	-0.603	-0.604	0.043	0.043	0.043	0.103	0.119	0.112	-0.111	-0.062	0.067	-0.060	0.043	0.054	0.143	0.043	0.125	-0.057	0.128	0.054	0.055	-0.061	-0.048	-0.000	0.125	-0.000	-0.069	0.105	0.043	-0.050	0.043	-0.069	-0.010	-0.005	-0.943	-0.925	-0.882	-0.921	-0.961	-0.894	-0.811	-0.858	-0.835	-0.932	-0.926	-0.905	-0.949	-0.936	-0.987	-0.873	-0.946	-0.886	-0.853	-0.916	-0.903	-0.966	-0.900	-0.935	-0.934	-0.934	-0.882	-0.823	-0.928	-0.889	-0.918	-0.919	-0.578	0.028	-0.908	2016_7_13_9_35_28
FLQS30DEGRWY____	-0.292	-0.352	-0.339	-0.303	-0.282	-0.349	-0.364	-0.364	-0.345	-0.346	-0.415	-0.355	-0.349	-0.354	-0.410	-0.364	-0.364	-0.307	-0.414	-0.463	-0.220	-0.364	-0.364	-0.352	-0.317	-0.407	-0.364	-0.355	-0.468	-0.364	-0.407	-0.218	-0.218	-0.143	-0.263	-0.229	-0.229	-0.277	-0.218	-0.225	-0.138	-0.263	-0.206	-0.157	-0.329	-0.324	-0.270	-0.263	-0.280	-0.272	-0.266	-0.264	-0.270	-0.284	-0.206	-0.229	-0.282	-0.274	-0.303	-0.266	-0.164	-0.281	-0.229	-0.206	0.585	0.551	0.601	0.545	0.571	0.570	0.649	0.552	0.552	0.570	0.463	0.486	0.578	0.575	0.544	0.481	0.473	0.587	0.542	0.523	0.622	0.666	0.486	0.533	0.585	0.547	0.478	0.567	0.506	0.501	0.445	0.614	-0.354	-0.245	0.548	2016_7_13_9_35_33
FLQS30LQGRWY____	0.124	0.088	0.088	0.014	0.055	0.111	0.111	0.122	0.126	0.005	0.111	0.124	0.129	0.207	0.069	0.131	0.111	0.125	0.066	0.173	-0.003	-0.044	0.111	0.063	0.086	0.011	0.088	0.192	0.111	0.014	0.111	0.067	0.058	0.001	-0.013	0.022	0.022	-0.076	0.062	0.127	0.144	0.022	0.022	-0.009	0.001	0.022	0.022	-0.007	0.022	0.001	0.022	0.022	0.124	0.001	-0.065	-0.009	0.022	0.022	-0.105	-0.060	-0.009	0.049	0.049	0.112	0.157	0.171	0.215	0.088	0.160	0.098	0.213	0.146	0.147	0.136	0.176	0.167	0.143	0.141	0.182	0.169	0.182	0.165	0.138	0.159	0.096	0.118	0.242	0.141	0.179	0.093	0.096	0.202	0.162	0.113	0.208	0.126	0.091	0.019	0.154	2016_7_13_9_35_39
FLQS30SPGRWY____	-1.037	-1.037	-0.926	-0.893	-0.982	-0.996	-1.047	-1.061	-1.040	-0.906	-1.043	-0.988	-1.097	-1.037	-1.067	-1.046	-0.979	-1.037	-0.880	-0.917	-0.992	-1.046	-1.046	-0.893	-0.895	-1.037	-1.049	-0.996	-0.986	-0.996	-1.056	-1.110	0.533	0.425	0.541	0.468	0.420	0.420	0.405	0.289	0.359	0.352	0.417	0.424	0.472	0.417	0.545	0.367	0.417	0.397	0.367	0.420	0.293	0.341	0.413	0.425	0.425	0.350	0.412	0.404	0.425	0.477	0.425	0.467	-1.223	-1.252	-1.126	-1.102	-1.132	-1.181	-1.155	-1.147	-1.147	-1.090	-1.103	-1.135	-1.187	-1.155	-1.184	-1.151	-1.131	-1.254	-1.083	-1.127	-1.117	-1.263	-1.157	-1.119	-1.134	-1.219	-1.158	-1.202	-1.133	-1.145	-1.123	-1.190	-1.004	0.416	-1.157	2016_7_13_9_35_45
