SN	Distance_X_LOGO_Button_LD1	Distance_X_LOGO_Button_LD2	Distance_X_LOGO_Button_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_LD1	Distance_Y_LOGO_Button_LD2	Distance_Y_LOGO_Button_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_LD1	Angle_Button_LD2	Angle_Button_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	-0.120	-0.120	-0.122	-0.085	-0.122	-0.086	-0.122	-0.122	-0.122	-0.124	-0.086	-0.085	-0.123	-0.086	-0.086	-0.121	-0.086	-0.123	-0.037	-0.086	-0.124	-0.084	-0.085	-0.084	-0.088	-0.088	-0.125	-0.088	-0.125	-0.087	-0.086	-0.085	0.070	0.070	0.069	0.068	0.068	0.067	0.075	0.068	0.075	0.071	0.069	0.068	0.070	0.067	0.067	0.069	0.069	0.070	0.067	0.067	0.070	0.068	0.068	0.068	0.069	0.069	0.071	0.069	0.068	0.069	0.069	0.068	-0.052	-0.052	-0.052	-0.038	-0.052	-0.039	-0.053	-0.052	-0.053	-0.053	-0.039	-0.038	-0.053	-0.039	-0.039	-0.052	-0.039	-0.053	-0.020	-0.038	-0.053	-0.038	-0.038	-0.038	-0.039	-0.039	-0.054	-0.039	-0.054	-0.039	-0.039	-0.038	-0.100	0.069	-0.044	2016_7_13_9_29_50
FLNS2009GRWF____	-0.076	-0.076	-0.112	0.012	-0.019	-0.017	-0.083	-0.019	-0.083	-0.117	-0.019	0.012	-0.071	-0.017	-0.017	-0.073	-0.074	-0.018	-0.080	-0.075	-0.077	-0.075	-0.073	-0.075	-0.019	-0.019	-0.079	-0.019	-0.073	-0.074	-0.069	-0.074	0.095	0.095	0.135	0.129	0.170	0.167	0.170	0.170	0.170	0.132	0.127	0.129	0.133	0.167	0.167	0.094	0.096	0.129	0.131	0.134	0.132	0.096	0.092	0.096	0.127	0.127	0.097	0.127	0.129	0.093	0.093	0.095	-0.037	-0.037	-0.054	-0.005	-0.020	-0.020	-0.045	-0.020	-0.045	-0.055	-0.018	-0.005	-0.039	-0.020	-0.020	-0.036	-0.036	-0.018	-0.041	-0.040	-0.040	-0.037	-0.036	-0.037	-0.018	-0.018	-0.038	-0.018	-0.038	-0.036	-0.034	-0.036	-0.055	0.126	-0.031	2016_7_13_9_29_53
FLQS2C39GRX5____	-0.148	-0.148	-0.147	-0.150	-0.149	-0.145	-0.144	-0.149	-0.144	-0.148	-0.145	-0.150	-0.141	-0.145	-0.145	-0.144	-0.146	-0.146	-0.145	-0.141	-0.145	-0.143	-0.148	-0.143	-0.144	-0.144	-0.144	-0.144	-0.140	-0.146	-0.141	-0.145	0.111	0.111	0.111	0.073	0.112	0.106	0.104	0.112	0.104	0.110	0.041	0.073	0.038	0.106	0.106	0.035	0.038	0.073	0.035	0.070	0.108	0.076	0.078	0.076	0.076	0.076	0.110	0.076	0.075	0.076	0.076	0.112	-0.066	-0.066	-0.066	-0.064	-0.066	-0.064	-0.064	-0.066	-0.064	-0.065	-0.059	-0.064	-0.057	-0.064	-0.064	-0.058	-0.059	-0.062	-0.058	-0.059	-0.064	-0.061	-0.063	-0.061	-0.061	-0.061	-0.064	-0.061	-0.060	-0.062	-0.060	-0.064	-0.145	0.084	-0.062	2016_7_13_9_29_56
FLQS2C44GRX5____	-0.217	-0.217	-0.217	-0.220	-0.221	-0.216	-0.252	-0.221	-0.252	-0.216	-0.218	-0.220	-0.249	-0.216	-0.216	-0.250	-0.219	-0.216	-0.183	-0.217	-0.221	-0.216	-0.219	-0.216	-0.215	-0.215	-0.250	-0.215	-0.222	-0.217	-0.217	-0.220	0.069	0.069	0.068	0.067	0.027	0.061	0.064	0.027	0.064	0.064	0.064	0.067	0.024	0.061	0.061	0.064	0.065	0.024	0.022	0.060	0.069	0.065	0.068	0.065	0.062	0.062	0.060	0.062	0.025	0.065	0.064	0.068	-0.089	-0.089	-0.089	-0.090	-0.088	-0.088	-0.102	-0.088	-0.102	-0.089	-0.090	-0.090	-0.098	-0.088	-0.088	-0.101	-0.089	-0.085	-0.073	-0.088	-0.091	-0.088	-0.089	-0.088	-0.088	-0.088	-0.101	-0.088	-0.087	-0.089	-0.089	-0.090	-0.222	0.057	-0.090	2016_7_13_9_29_58
FLQS2CBBGRX5____	-0.020	-0.020	-0.017	-0.052	-0.048	-0.017	-0.023	-0.048	-0.023	-0.017	-0.017	-0.052	-0.013	-0.017	-0.017	-0.018	-0.018	-0.048	-0.023	-0.048	-0.022	-0.015	-0.049	-0.015	-0.049	-0.049	-0.093	-0.049	-0.019	-0.017	-0.012	-0.048	0.055	0.055	0.053	0.048	0.091	0.052	0.049	0.091	0.049	0.053	0.051	0.048	0.051	0.052	0.052	0.055	0.053	0.050	0.047	0.048	0.051	0.011	0.051	0.011	0.058	0.058	0.009	0.058	0.043	0.091	0.053	0.097	0.156	0.156	0.157	0.144	0.142	0.157	0.155	0.142	0.155	0.157	0.158	0.144	0.159	0.157	0.157	0.157	0.157	0.146	0.156	0.146	0.155	0.161	0.145	0.161	0.145	0.145	0.131	0.145	0.158	0.154	0.159	0.142	-0.031	0.053	0.152	2016_7_13_9_30_01
FLQS23VUGRX2____	0.207	0.207	0.208	0.210	0.207	0.208	0.206	0.207	0.206	0.210	0.209	0.210	0.209	0.208	0.208	0.208	0.207	0.206	0.208	0.208	0.208	0.205	0.210	0.205	0.208	0.208	0.208	0.208	0.208	0.207	0.209	0.207	-0.061	-0.061	-0.060	-0.098	-0.022	-0.025	-0.022	-0.022	-0.022	-0.020	-0.057	-0.098	-0.058	-0.025	-0.025	-0.061	-0.018	-0.016	-0.060	-0.060	-0.019	-0.057	-0.024	-0.057	-0.060	-0.060	-0.058	-0.060	-0.026	-0.060	-0.060	-0.023	0.084	0.084	0.084	0.088	0.082	0.082	0.081	0.082	0.081	0.082	0.085	0.088	0.085	0.082	0.082	0.084	0.081	0.081	0.085	0.085	0.082	0.083	0.083	0.083	0.085	0.085	0.085	0.085	0.082	0.084	0.086	0.082	0.208	-0.045	0.084	2016_7_13_9_30_03
FLQS30BLGRWY____	-0.055	-0.055	-0.016	-0.014	-0.053	-0.009	-0.045	-0.053	-0.045	-0.050	-0.050	-0.014	-0.048	-0.009	-0.009	-0.052	-0.013	-0.006	-0.044	-0.006	-0.049	-0.013	-0.011	-0.013	-0.009	-0.009	0.044	-0.009	-0.053	-0.049	-0.016	-0.016	0.006	0.006	0.009	0.007	0.004	0.004	0.002	0.004	0.002	0.002	0.000	0.007	0.036	0.004	0.004	0.004	0.048	0.046	-0.001	0.044	0.009	0.041	0.038	0.041	0.037	0.037	0.033	0.037	-0.043	0.037	-0.002	0.006	-0.022	-0.022	-0.007	-0.006	-0.020	-0.003	-0.018	-0.020	-0.018	-0.020	-0.019	-0.006	-0.021	-0.003	-0.003	-0.020	-0.009	-0.006	-0.017	-0.006	-0.020	-0.009	-0.007	-0.009	-0.006	-0.006	0.014	-0.006	-0.017	-0.022	-0.006	-0.007	-0.027	0.016	-0.012	2016_7_13_9_30_06
FLQS30DEGRWY____	0.024	0.024	0.064	0.029	0.030	0.029	0.027	0.030	0.027	0.027	0.026	0.029	0.023	0.029	0.029	0.059	0.021	0.030	0.064	0.065	0.063	0.022	0.025	0.022	0.026	0.026	0.062	0.026	0.059	0.026	0.024	0.023	0.066	0.066	0.071	0.107	0.070	0.071	0.070	0.070	0.070	0.072	0.106	0.107	0.066	0.071	0.071	0.103	0.104	0.104	0.034	0.105	0.070	0.105	0.104	0.105	0.105	0.105	0.100	0.105	0.028	0.105	0.065	0.031	0.004	0.004	0.020	0.003	0.006	0.006	0.005	0.006	0.005	0.005	0.002	0.003	0.003	0.006	0.006	0.014	0.001	0.003	0.022	0.017	0.019	0.000	0.002	0.000	0.001	0.001	0.016	0.001	0.020	0.002	0.004	0.007	0.034	0.082	0.007	2016_7_13_9_30_08
FLQS30LQGRWY____	0.021	0.021	0.023	0.024	0.024	0.022	0.025	0.024	0.025	0.022	0.025	0.024	0.023	0.022	0.022	0.026	0.025	0.023	0.024	-0.011	0.023	0.063	0.057	0.063	0.024	0.024	0.023	0.024	0.058	0.023	0.060	0.022	-0.012	-0.012	-0.011	-0.012	-0.011	-0.010	-0.047	-0.011	-0.047	0.026	0.025	-0.012	-0.013	-0.010	-0.010	-0.012	-0.013	-0.009	-0.012	-0.011	-0.010	0.030	-0.012	0.030	-0.010	-0.010	-0.011	-0.010	0.025	-0.009	-0.013	-0.013	0.126	0.126	0.127	0.127	0.127	0.126	0.130	0.127	0.130	0.124	0.125	0.127	0.127	0.126	0.126	0.128	0.127	0.127	0.127	0.114	0.127	0.139	0.139	0.139	0.127	0.127	0.127	0.127	0.138	0.126	0.141	0.127	0.028	-0.007	0.128	2016_7_13_9_30_12
FLQS30SPGRWY____	-0.102	-0.102	-0.072	-0.105	-0.032	-0.030	-0.071	-0.032	-0.071	-0.106	-0.105	-0.105	-0.068	-0.030	-0.030	-0.069	-0.070	-0.031	-0.073	-0.033	-0.071	-0.071	-0.104	-0.071	-0.030	-0.030	-0.072	-0.030	-0.112	-0.105	-0.070	-0.069	0.046	0.046	0.046	0.047	0.044	0.044	0.045	0.044	0.045	0.043	0.045	0.047	0.048	0.044	0.044	-0.026	0.008	0.007	0.046	0.012	0.046	0.010	0.007	0.010	0.007	0.007	0.011	0.007	0.054	0.007	0.009	0.046	-0.043	-0.043	-0.031	-0.044	-0.016	-0.015	-0.031	-0.016	-0.031	-0.044	-0.044	-0.044	-0.030	-0.015	-0.015	-0.025	-0.027	-0.012	-0.032	-0.014	-0.031	-0.029	-0.041	-0.029	-0.012	-0.012	-0.028	-0.012	-0.048	-0.040	-0.028	-0.030	-0.068	0.030	-0.028	2016_7_13_9_30_16
