SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	-0.092	-0.188	-0.098	-0.098	-0.093	-0.139	-0.139	-0.139	-0.191	-0.139	-0.191	-0.098	-0.186	-0.144	-0.185	-0.098	-0.092	-0.139	-0.098	-0.140	-0.097	-0.137	-0.227	-0.094	-0.141	-0.139	-0.182	-0.138	-0.191	-0.093	-0.092	-0.182	0.139	0.141	0.139	0.139	0.138	0.140	0.139	0.139	0.139	0.141	0.138	0.139	0.141	0.139	0.142	0.139	0.138	0.140	0.139	0.140	0.139	0.140	0.141	0.141	0.140	0.140	0.142	0.141	0.141	0.138	0.139	0.142	-0.026	-0.063	-0.029	-0.029	-0.027	-0.045	-0.045	-0.045	-0.065	-0.044	-0.064	-0.029	-0.062	-0.046	-0.062	-0.029	-0.026	-0.044	-0.029	-0.045	-0.028	-0.043	-0.078	-0.027	-0.045	-0.045	-0.061	-0.044	-0.064	-0.027	-0.026	-0.061	-0.138	0.140	-0.044	2016_7_13_9_25_00
FLNS2009GRWF____	0.062	0.065	0.066	0.066	0.064	0.065	0.022	0.022	0.063	0.015	0.068	0.066	0.065	0.021	0.069	0.066	0.024	0.064	0.066	0.067	0.029	0.025	0.064	0.058	0.020	0.065	0.064	0.057	0.063	0.064	0.068	0.064	0.035	0.036	0.035	0.035	0.034	-0.005	0.036	0.036	0.035	0.036	-0.007	0.035	0.036	0.034	-0.005	0.035	-0.006	0.035	0.035	-0.007	-0.007	-0.006	0.035	0.034	0.033	-0.005	0.035	0.033	0.035	0.034	0.035	0.035	-0.419	-0.419	-0.418	-0.418	-0.419	-0.415	-0.435	-0.435	-0.420	-0.438	-0.413	-0.418	-0.418	-0.435	-0.413	-0.418	-0.430	-0.418	-0.418	-0.413	-0.428	-0.429	-0.419	-0.421	-0.435	-0.415	-0.419	-0.421	-0.419	-0.419	-0.417	-0.419	0.054	0.025	-0.422	2016_7_13_9_25_04
FLQS2C39GRX5____	-0.086	-0.140	-0.130	-0.130	-0.137	-0.092	-0.093	-0.093	-0.132	-0.081	-0.129	-0.130	-0.141	-0.094	-0.092	-0.130	-0.086	-0.090	-0.130	-0.133	-0.087	-0.082	-0.129	-0.095	-0.091	-0.092	-0.102	-0.128	-0.175	-0.137	-0.182	-0.102	0.079	0.083	0.082	0.082	0.083	0.080	0.082	0.082	0.085	0.083	0.086	0.082	0.084	0.083	0.079	0.082	0.079	0.081	0.082	0.082	0.080	0.084	0.084	0.080	0.081	0.080	0.083	0.083	0.087	0.083	0.084	0.083	-0.147	-0.167	-0.164	-0.164	-0.167	-0.149	-0.150	-0.150	-0.164	-0.145	-0.164	-0.164	-0.168	-0.150	-0.149	-0.164	-0.147	-0.148	-0.164	-0.165	-0.146	-0.145	-0.163	-0.150	-0.149	-0.149	-0.153	-0.163	-0.181	-0.167	-0.184	-0.153	-0.115	0.082	-0.158	2016_7_13_9_25_06
FLQS2C44GRX5____	-0.136	-0.144	-0.144	-0.144	-0.139	-0.141	-0.148	-0.148	-0.151	-0.145	-0.147	-0.144	-0.146	-0.138	-0.140	-0.144	-0.143	-0.144	-0.144	-0.142	-0.143	-0.141	-0.148	-0.179	-0.143	-0.141	-0.142	-0.143	-0.144	-0.139	-0.147	-0.142	0.085	0.084	0.083	0.083	0.085	0.084	0.125	0.125	0.123	0.080	0.081	0.083	0.083	0.085	0.086	0.083	0.083	0.085	0.083	0.086	0.086	0.081	0.125	0.084	0.084	0.084	0.084	0.084	0.082	0.085	0.125	0.084	-0.060	-0.064	-0.064	-0.064	-0.063	-0.063	-0.069	-0.069	-0.071	-0.064	-0.065	-0.064	-0.065	-0.062	-0.063	-0.064	-0.063	-0.064	-0.064	-0.063	-0.064	-0.062	-0.070	-0.077	-0.064	-0.063	-0.064	-0.063	-0.063	-0.063	-0.068	-0.064	-0.144	0.090	-0.065	2016_7_13_9_25_14
FLQS2CBBGRX5____	0.166	0.079	0.125	0.125	0.126	0.084	0.076	0.076	0.126	0.079	0.082	0.125	0.086	0.081	0.087	0.125	0.088	0.081	0.125	0.074	0.078	0.120	0.082	0.077	0.080	0.084	0.084	0.114	0.126	0.126	0.127	0.084	0.048	0.050	0.049	0.049	0.049	0.010	0.051	0.051	0.049	0.048	0.050	0.049	0.051	0.050	0.011	0.049	0.010	0.051	0.049	0.050	0.048	0.046	0.049	0.049	0.048	0.010	0.049	0.048	0.047	0.049	0.050	0.049	0.261	0.227	0.245	0.245	0.245	0.233	0.226	0.226	0.245	0.227	0.228	0.245	0.230	0.228	0.234	0.245	0.234	0.227	0.245	0.225	0.226	0.243	0.228	0.226	0.227	0.233	0.229	0.241	0.245	0.245	0.245	0.229	0.100	0.044	0.236	2016_7_13_9_25_18
FLQS23VUGRX2____	0.212	0.211	0.211	0.211	0.212	0.212	0.170	0.170	0.214	0.256	0.210	0.211	0.212	0.213	0.175	0.211	0.214	0.210	0.211	0.215	0.215	0.178	0.209	0.178	0.250	0.212	0.180	0.207	0.214	0.212	0.213	0.180	-0.066	-0.062	-0.065	-0.065	-0.065	-0.065	-0.023	-0.023	-0.064	-0.064	-0.064	-0.065	-0.021	-0.064	-0.063	-0.065	-0.066	-0.023	-0.065	-0.066	-0.066	-0.062	-0.021	-0.065	-0.069	-0.065	-0.060	-0.063	-0.063	-0.065	-0.065	-0.060	0.088	0.088	0.088	0.088	0.088	0.088	0.068	0.068	0.089	0.105	0.088	0.088	0.084	0.088	0.074	0.088	0.089	0.083	0.088	0.089	0.089	0.074	0.082	0.075	0.103	0.088	0.075	0.086	0.088	0.088	0.088	0.075	0.207	-0.058	0.085	2016_7_13_9_25_21
FLQS30BLGRWY____	-0.004	-0.034	-0.071	-0.071	0.055	-0.073	0.009	0.009	-0.030	-0.070	-0.074	-0.071	0.062	0.006	-0.036	-0.071	-0.031	0.040	-0.071	0.001	-0.071	-0.002	-0.006	-0.033	-0.071	-0.073	0.030	-0.036	-0.032	0.055	-0.037	0.030	0.054	0.067	0.050	0.050	0.065	0.048	0.068	0.068	0.069	0.053	0.052	0.050	0.070	0.067	0.067	0.050	0.064	0.108	0.050	0.050	0.052	0.055	0.110	0.066	0.052	0.048	0.052	0.064	0.066	0.065	0.065	0.052	0.644	0.631	0.618	0.618	0.665	0.618	0.648	0.648	0.633	0.618	0.617	0.618	0.667	0.647	0.630	0.618	0.633	0.655	0.618	0.646	0.619	0.644	0.637	0.632	0.618	0.618	0.657	0.631	0.632	0.665	0.630	0.657	-0.024	0.062	0.635	2016_7_13_9_25_24
FLQS30DEGRWY____	0.066	0.062	0.061	0.061	0.095	0.069	0.037	0.037	0.101	0.061	0.059	0.061	0.095	0.066	0.099	0.061	0.098	0.065	0.061	0.097	0.089	0.064	0.058	0.065	0.060	0.069	0.061	0.072	0.100	0.095	0.057	0.061	-0.002	-0.041	-0.002	-0.002	0.037	-0.004	-0.044	-0.044	-0.045	-0.003	-0.002	-0.002	-0.002	-0.002	-0.003	-0.002	-0.040	-0.004	-0.002	0.038	0.039	-0.002	-0.041	-0.003	-0.002	-0.004	-0.002	-0.040	-0.045	0.037	-0.003	-0.002	0.065	0.067	0.063	0.063	0.072	0.066	0.057	0.057	0.083	0.063	0.063	0.063	0.076	0.065	0.078	0.063	0.081	0.065	0.063	0.072	0.070	0.064	0.066	0.065	0.063	0.066	0.063	0.071	0.083	0.072	0.061	0.063	0.071	-0.007	0.067	2016_7_13_9_25_27
FLQS30LQGRWY____	0.073	0.085	0.078	0.078	0.080	0.080	0.077	0.077	0.081	0.080	0.079	0.078	0.081	0.121	0.123	0.078	0.076	0.076	0.078	0.081	0.070	0.080	0.075	0.081	0.082	0.080	0.043	0.079	0.083	0.080	0.077	0.043	0.043	0.004	0.004	0.004	0.005	0.006	0.005	0.005	0.004	0.004	0.049	0.004	0.003	0.045	0.000	0.004	0.003	0.005	0.004	0.002	0.045	0.004	0.004	0.005	0.046	0.006	0.003	0.005	0.046	0.005	0.045	0.003	0.025	0.034	0.031	0.031	0.033	0.032	0.031	0.031	0.032	0.033	0.027	0.031	0.032	0.044	0.049	0.031	0.031	0.030	0.031	0.033	0.024	0.032	0.030	0.032	0.029	0.032	0.018	0.031	0.029	0.033	0.027	0.018	0.079	0.013	0.031	2016_7_13_9_25_34
FLQS30SPGRWY____	-0.064	-0.113	-0.071	-0.071	-0.031	-0.075	-0.078	-0.078	-0.075	-0.039	-0.113	-0.071	-0.034	-0.079	-0.065	-0.071	-0.036	-0.036	-0.071	-0.043	-0.071	-0.036	-0.035	-0.078	-0.080	-0.075	-0.038	-0.041	-0.077	-0.031	-0.078	-0.038	-0.037	0.006	-0.039	-0.039	0.019	-0.035	0.045	0.045	0.045	0.049	0.004	-0.039	0.048	0.046	-0.037	-0.039	0.045	0.047	-0.039	0.046	-0.038	0.005	0.046	-0.038	0.044	-0.035	0.005	0.046	0.047	0.019	0.044	0.005	-0.672	-0.695	-0.675	-0.675	-0.665	-0.676	-0.685	-0.685	-0.684	-0.672	-0.695	-0.675	-0.669	-0.686	-0.672	-0.675	-0.670	-0.670	-0.675	-0.672	-0.674	-0.665	-0.669	-0.678	-0.686	-0.676	-0.666	-0.671	-0.686	-0.665	-0.686	-0.666	-0.062	0.009	-0.676	2016_7_13_9_25_42
