SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	-0.081	-0.082	-0.084	-0.126	-0.126	-0.174	-0.173	-0.126	-0.084	-0.128	-0.128	-0.125	-0.127	-0.123	-0.128	-0.128	-0.128	-0.128	-0.083	-0.127	-0.176	-0.127	-0.126	-0.081	-0.084	-0.127	-0.127	-0.125	-0.126	-0.128	-0.127	-0.126	0.069	0.111	0.072	0.110	0.112	0.104	0.104	0.111	0.110	0.112	0.112	0.065	0.111	0.107	0.108	0.112	0.112	0.109	0.112	0.111	0.110	0.111	0.111	0.112	0.110	0.111	0.110	0.108	0.111	0.112	0.110	0.110	-0.531	-0.542	-0.533	-0.562	-0.562	-0.582	-0.582	-0.562	-0.543	-0.564	-0.563	-0.550	-0.563	-0.560	-0.562	-0.563	-0.563	-0.563	-0.543	-0.562	-0.585	-0.562	-0.562	-0.542	-0.543	-0.562	-0.563	-0.561	-0.562	-0.563	-0.563	-0.563	-0.122	0.106	-0.559	2016_7_13_9_20_08
FLNS2009GRWF____	0.124	0.081	0.082	0.079	0.079	0.080	0.078	0.079	0.076	0.079	0.081	0.122	0.081	0.122	0.122	0.081	0.081	0.080	0.077	0.081	0.080	0.081	0.078	0.077	0.080	0.081	0.079	0.079	0.078	0.081	0.081	0.078	0.040	0.039	0.041	0.039	0.039	0.038	0.038	-0.002	0.037	0.039	0.040	0.043	0.040	0.045	0.038	0.040	0.040	-0.003	0.039	0.038	0.038	0.038	0.039	0.042	0.040	0.038	0.038	0.038	0.039	0.040	0.040	0.042	0.239	0.219	0.220	0.219	0.218	0.218	0.218	0.230	0.218	0.218	0.219	0.237	0.219	0.237	0.238	0.219	0.219	0.230	0.218	0.220	0.220	0.220	0.218	0.217	0.218	0.220	0.218	0.218	0.218	0.219	0.220	0.217	0.085	0.037	0.222	2016_7_13_9_20_12
FLQS2C39GRX5____	-0.335	-0.340	-0.339	-0.336	-0.341	-0.341	-0.340	-0.340	-0.337	-0.297	-0.339	-0.337	-0.338	-0.337	-0.338	-0.339	-0.339	-0.338	-0.338	-0.338	-0.339	-0.338	-0.341	-0.337	-0.383	-0.338	-0.337	-0.341	-0.341	-0.339	-0.339	-0.338	0.101	0.098	0.098	0.102	0.091	0.089	0.092	0.092	0.099	0.104	0.097	0.102	0.102	0.099	0.101	0.097	0.097	0.096	0.100	0.096	0.095	0.096	0.101	0.096	0.095	0.096	0.098	0.152	0.101	0.097	0.101	0.104	-0.550	-0.552	-0.551	-0.551	-0.550	-0.550	-0.550	-0.549	-0.550	-0.533	-0.551	-0.552	-0.552	-0.551	-0.552	-0.551	-0.551	-0.550	-0.551	-0.551	-0.550	-0.551	-0.553	-0.550	-0.571	-0.551	-0.551	-0.567	-0.553	-0.551	-0.553	-0.552	-0.339	0.100	-0.551	2016_7_13_9_20_15
FLQS2C44GRX5____	-0.168	-0.250	-0.219	-0.204	-0.209	-0.299	-0.297	-0.215	-0.216	-0.253	-0.256	-0.205	-0.200	-0.213	-0.253	-0.256	-0.256	-0.216	-0.217	-0.206	-0.217	-0.206	-0.207	-0.218	-0.297	-0.206	-0.207	-0.205	-0.207	-0.256	-0.207	-0.207	-0.098	-0.063	-0.097	-0.057	-0.056	-0.101	-0.101	-0.095	-0.057	-0.096	-0.094	-0.054	-0.019	-0.057	-0.056	-0.094	-0.094	-0.056	-0.056	-0.093	-0.058	-0.093	-0.091	-0.054	-0.059	-0.093	-0.058	-0.021	-0.091	-0.094	-0.092	-0.093	0.441	0.394	0.417	0.413	0.410	0.381	0.382	0.418	0.408	0.401	0.399	0.413	0.405	0.409	0.391	0.399	0.399	0.407	0.406	0.422	0.407	0.422	0.420	0.406	0.371	0.422	0.412	0.403	0.420	0.399	0.421	0.420	-0.227	-0.075	0.407	2016_7_13_9_20_18
FLQS2CBBGRX5____	-0.191	-0.189	-0.189	-0.186	-0.190	-0.148	-0.103	-0.146	-0.105	-0.188	-0.143	-0.143	-0.142	-0.098	-0.145	-0.143	-0.143	-0.189	-0.146	-0.191	-0.100	-0.191	-0.195	-0.104	-0.146	-0.191	-0.102	-0.190	-0.195	-0.143	-0.191	-0.189	-0.068	-0.154	-0.070	-0.069	-0.070	-0.069	-0.061	-0.071	-0.065	-0.070	-0.024	-0.021	-0.066	-0.021	-0.069	-0.024	-0.024	-0.071	-0.029	-0.071	-0.065	-0.071	-0.071	-0.066	-0.069	-0.071	-0.024	-0.071	-0.071	-0.024	-0.072	-0.031	0.563	0.587	0.566	0.567	0.565	0.585	0.603	0.586	0.603	0.566	0.575	0.574	0.586	0.595	0.586	0.575	0.575	0.566	0.574	0.565	0.606	0.565	0.563	0.604	0.585	0.565	0.594	0.566	0.563	0.575	0.565	0.555	-0.158	-0.059	0.577	2016_7_13_9_20_22
FLQS23VUGRX2____	-0.062	-0.057	-0.055	-0.056	-0.058	-0.058	-0.058	-0.059	-0.059	-0.059	-0.058	-0.059	-0.060	-0.022	-0.057	-0.058	-0.058	-0.056	-0.058	-0.058	-0.058	-0.058	0.025	-0.058	-0.057	-0.058	-0.061	-0.058	0.025	-0.058	-0.059	-0.022	-0.111	-0.112	-0.109	-0.110	-0.108	-0.111	-0.109	-0.156	-0.109	-0.107	-0.109	-0.109	-0.106	-0.108	-0.108	-0.109	-0.109	-0.109	-0.111	-0.110	-0.110	-0.110	-0.101	-0.109	-0.108	-0.110	-0.111	-0.111	-0.101	-0.109	-0.110	-0.108	-0.377	-0.374	-0.374	-0.374	-0.375	-0.374	-0.375	-0.363	-0.376	-0.376	-0.375	-0.375	-0.376	-0.359	-0.376	-0.375	-0.375	-0.374	-0.375	-0.374	-0.375	-0.374	-0.338	-0.375	-0.375	-0.374	-0.375	-0.374	-0.338	-0.375	-0.375	-0.358	-0.051	-0.110	-0.371	2016_7_13_9_20_25
FLQS30BLGRWY____	0.231	0.226	0.227	0.226	0.227	0.223	0.269	0.230	0.224	0.224	0.227	0.272	0.229	0.273	0.229	0.227	0.227	0.231	0.272	0.312	0.230	0.312	0.271	0.272	0.227	0.312	0.230	0.226	0.271	0.227	0.225	0.230	-0.061	-0.020	0.020	-0.018	0.019	-0.022	0.017	-0.018	-0.014	-0.020	-0.021	-0.021	0.019	0.019	0.017	-0.021	-0.021	0.018	-0.022	-0.018	0.018	-0.018	-0.016	-0.025	-0.022	-0.018	-0.021	-0.014	-0.016	-0.021	0.019	-0.020	0.265	0.251	0.241	0.250	0.242	0.251	0.262	0.252	0.249	0.250	0.252	0.274	0.243	0.263	0.243	0.252	0.252	0.243	0.273	0.291	0.244	0.291	0.272	0.274	0.253	0.291	0.254	0.250	0.272	0.252	0.241	0.253	0.245	-0.010	0.258	2016_7_13_9_20_27
FLQS30DEGRWY____	-0.072	-0.075	-0.115	-0.071	-0.077	-0.114	-0.116	-0.117	-0.068	-0.116	-0.072	-0.073	-0.076	-0.078	-0.073	-0.072	-0.072	-0.075	-0.075	-0.074	-0.117	-0.074	-0.076	-0.116	-0.113	-0.074	-0.076	-0.076	-0.076	-0.072	-0.079	-0.076	-0.064	-0.064	-0.064	-0.068	-0.065	-0.069	-0.067	-0.066	-0.017	-0.066	-0.064	-0.064	-0.069	-0.062	-0.063	-0.064	-0.064	-0.063	-0.062	-0.063	-0.065	-0.063	-0.022	-0.064	-0.063	-0.063	-0.063	-0.022	-0.022	-0.064	-0.065	-0.063	-0.051	-0.052	-0.071	-0.050	-0.053	-0.069	-0.070	-0.071	-0.061	-0.070	-0.051	-0.051	-0.051	-0.054	-0.052	-0.051	-0.051	-0.052	-0.053	-0.052	-0.071	-0.052	-0.063	-0.071	-0.070	-0.052	-0.053	-0.064	-0.063	-0.051	-0.054	-0.052	-0.085	-0.059	-0.058	2016_7_13_9_20_30
FLQS30LQGRWY____	0.082	0.080	0.080	0.039	0.037	0.077	0.079	0.080	0.079	0.039	0.081	0.039	0.079	0.080	0.038	0.081	0.081	0.080	0.081	0.082	0.081	0.082	0.081	0.079	0.040	0.082	0.078	0.082	0.081	0.081	0.041	0.081	0.007	0.009	0.010	0.007	0.010	0.011	0.053	0.010	0.011	0.009	0.009	0.006	0.009	0.006	0.007	0.009	0.009	0.002	0.008	0.008	0.008	0.008	0.009	0.016	0.011	0.008	0.007	0.008	0.009	0.009	0.007	0.010	-0.005	-0.007	-0.007	-0.026	-0.027	-0.009	-0.019	-0.008	-0.008	-0.027	-0.007	-0.025	-0.007	-0.007	-0.026	-0.007	-0.007	-0.005	-0.007	-0.006	-0.007	-0.006	-0.007	-0.010	-0.027	-0.006	-0.008	-0.006	-0.007	-0.007	-0.025	-0.007	0.071	0.010	-0.012	2016_7_13_9_20_33
FLQS30SPGRWY____	-0.181	-0.140	-0.140	-0.144	-0.184	-0.143	-0.146	-0.143	-0.142	-0.143	-0.141	-0.140	-0.099	-0.182	-0.141	-0.141	-0.141	-0.141	-0.136	-0.136	-0.182	-0.136	-0.145	-0.140	-0.142	-0.136	-0.141	-0.140	-0.145	-0.141	-0.139	-0.179	-0.264	-0.264	-0.264	-0.261	-0.265	-0.261	-0.264	-0.265	-0.264	-0.263	-0.264	-0.262	-0.261	-0.267	-0.263	-0.264	-0.264	-0.264	-0.264	-0.263	-0.265	-0.263	-0.263	-0.265	-0.265	-0.263	-0.264	-0.263	-0.263	-0.264	-0.265	-0.266	0.558	0.577	0.578	0.575	0.557	0.575	0.575	0.576	0.576	0.575	0.576	0.576	0.595	0.558	0.576	0.576	0.576	0.576	0.579	0.578	0.557	0.578	0.575	0.577	0.576	0.578	0.576	0.576	0.575	0.576	0.578	0.559	-0.146	-0.264	0.574	2016_7_13_9_20_37
FLQS30W7GRWY____	-0.402	-0.404	-0.403	-0.367	-0.364	-0.402	-0.402	-0.369	-0.368	-0.368	-0.362	-0.362	-0.361	-0.366	-0.403	-0.362	-0.362	-0.403	-0.406	-0.362	-0.366	-0.362	-0.405	-0.406	-0.368	-0.362	-0.406	-0.325	-0.405	-0.362	-0.366	-0.361	0.103	0.068	0.066	0.066	0.068	0.101	0.069	0.105	0.066	0.067	0.106	0.067	0.067	0.101	0.067	0.106	0.106	0.065	0.103	0.067	0.100	0.067	0.106	0.064	0.104	0.067	0.069	0.104	0.106	0.106	0.064	0.065	-0.658	-0.649	-0.648	-0.631	-0.631	-0.656	-0.648	-0.642	-0.631	-0.632	-0.639	-0.628	-0.629	-0.640	-0.647	-0.639	-0.639	-0.647	-0.659	-0.629	-0.640	-0.629	-0.659	-0.648	-0.642	-0.629	-0.649	-0.622	-0.659	-0.639	-0.630	-0.628	-0.378	0.083	-0.640	2016_7_13_9_20_41
FLQS300JGRWM____	-0.418	-0.417	-0.418	-0.418	-0.419	-0.422	-0.419	-0.420	-0.418	-0.371	-0.418	-0.419	-0.415	-0.415	-0.420	-0.418	-0.418	-0.417	-0.418	-0.417	-0.420	-0.417	-0.419	-0.418	-0.419	-0.417	-0.418	-0.373	-0.419	-0.418	-0.464	-0.419	0.205	0.207	0.207	0.246	0.206	0.203	0.205	0.204	0.245	0.200	0.205	0.206	0.204	0.204	0.205	0.205	0.205	0.205	0.209	0.204	0.201	0.204	0.247	0.205	0.203	0.204	0.245	0.256	0.247	0.205	0.205	0.210	-0.812	-0.812	-0.812	-0.822	-0.813	-0.813	-0.812	-0.812	-0.821	-0.789	-0.811	-0.812	-0.810	-0.810	-0.812	-0.811	-0.811	-0.810	-0.812	-0.811	-0.811	-0.811	-0.823	-0.812	-0.812	-0.811	-0.822	-0.804	-0.823	-0.811	-0.833	-0.812	-0.417	0.213	-0.813	2016_7_13_9_20_45
