SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.047	0.014	0.047	0.014	0.048	0.014	0.048	0.014	0.012	0.011	0.048	0.012	0.011	0.011	0.009	0.047	0.014	0.013	0.014	0.045	0.012	0.010	0.010	-0.027	0.047	0.048	0.010	0.046	0.010	0.048	0.047	0.047	-0.012	-0.011	-0.012	-0.012	-0.011	-0.013	-0.047	-0.011	-0.047	-0.046	-0.011	-0.047	-0.046	-0.045	-0.011	-0.011	-0.044	-0.011	-0.047	-0.011	-0.046	-0.046	-0.048	-0.047	-0.013	-0.012	-0.010	-0.047	-0.047	-0.011	-0.013	-0.012	0.029	0.012	0.029	0.014	0.029	0.013	0.046	0.012	0.029	0.028	0.029	0.029	0.028	0.028	0.010	0.029	0.030	0.012	0.030	0.029	0.028	0.028	0.029	0.010	0.030	0.029	0.010	0.046	0.028	0.029	0.030	0.029	0.025	-0.027	0.026	2016_7_13_9_12_31
FLNS2009GRWF____	-0.050	-0.019	-0.051	-0.019	-0.021	-0.051	-0.019	-0.020	-0.016	-0.050	-0.021	-0.017	-0.013	-0.051	-0.051	-0.050	-0.052	-0.016	-0.018	-0.050	-0.015	-0.012	-0.050	-0.020	-0.051	-0.050	-0.051	-0.020	-0.050	-0.018	-0.051	-0.050	0.013	0.049	0.015	0.015	0.015	0.012	0.016	0.014	0.015	0.014	0.015	0.013	0.049	0.013	0.014	0.047	0.015	0.014	0.046	0.047	0.014	0.045	0.014	0.015	0.048	0.013	0.015	0.015	0.013	0.014	0.013	0.013	-0.570	-0.573	-0.572	-0.555	-0.556	-0.571	-0.556	-0.556	-0.554	-0.571	-0.556	-0.554	-0.570	-0.570	-0.571	-0.587	-0.572	-0.554	-0.572	-0.587	-0.554	-0.567	-0.571	-0.556	-0.589	-0.570	-0.571	-0.556	-0.570	-0.555	-0.571	-0.570	-0.034	0.021	-0.567	2016_7_13_9_12_34
FLQS2C39GRX5____	-0.067	-0.067	-0.101	-0.102	-0.068	-0.103	-0.069	-0.102	-0.068	-0.070	-0.068	-0.068	-0.102	-0.099	-0.101	-0.101	-0.067	-0.069	-0.104	-0.038	-0.068	-0.068	-0.071	-0.068	-0.069	-0.069	-0.070	-0.067	-0.038	-0.069	-0.102	-0.067	-0.119	-0.084	-0.085	-0.084	-0.083	-0.119	-0.117	-0.116	-0.082	-0.117	-0.083	-0.122	-0.084	-0.082	-0.085	-0.081	-0.082	-0.088	-0.081	-0.084	-0.085	-0.084	-0.086	-0.083	-0.087	-0.117	-0.083	-0.084	-0.085	-0.117	-0.120	-0.119	0.687	0.670	0.652	0.652	0.669	0.669	0.685	0.668	0.668	0.684	0.669	0.688	0.652	0.653	0.653	0.651	0.670	0.671	0.650	0.684	0.669	0.669	0.668	0.668	0.670	0.685	0.667	0.669	0.685	0.685	0.670	0.687	-0.077	-0.095	0.670	2016_7_13_9_12_37
FLQS2C44GRX5____	-0.050	-0.017	-0.046	-0.047	-0.048	-0.049	-0.020	-0.017	-0.044	-0.048	-0.048	-0.045	-0.047	-0.047	-0.047	-0.046	-0.019	-0.044	-0.048	-0.017	-0.044	-0.049	-0.047	-0.019	-0.016	-0.050	-0.048	-0.019	-0.047	-0.019	-0.050	-0.050	0.001	0.000	0.002	0.003	0.001	0.003	0.002	0.001	0.001	0.003	0.001	0.001	0.001	0.002	0.003	0.003	0.002	0.000	0.003	0.003	0.002	0.003	0.002	-0.033	0.001	0.003	0.002	0.003	0.002	0.003	0.003	0.001	-0.025	-0.009	-0.024	-0.024	-0.024	-0.026	-0.011	-0.009	-0.023	-0.024	-0.024	-0.023	-0.024	-0.025	-0.025	-0.025	-0.010	-0.022	-0.026	-0.011	-0.023	-0.026	-0.025	0.008	-0.008	-0.026	-0.025	-0.011	-0.024	-0.010	-0.027	-0.025	-0.039	0.001	-0.020	2016_7_13_9_12_39
FLQS2CBBGRX5____	-0.129	-0.131	-0.131	-0.129	-0.171	-0.130	-0.094	-0.130	-0.129	-0.130	-0.171	-0.130	-0.131	-0.130	-0.130	-0.132	-0.132	-0.131	-0.093	-0.130	-0.129	-0.129	-0.095	-0.094	-0.131	-0.094	-0.133	-0.133	-0.130	-0.095	-0.090	-0.129	-0.040	-0.078	-0.039	-0.042	-0.078	-0.076	-0.041	-0.077	-0.042	-0.041	-0.078	-0.039	-0.077	-0.076	-0.041	-0.077	-0.075	-0.077	-0.080	-0.076	-0.041	-0.040	-0.037	-0.040	-0.077	-0.068	-0.076	-0.038	-0.076	-0.075	-0.039	-0.040	-0.605	-0.587	-0.606	-0.604	-0.607	-0.587	-0.587	-0.587	-0.604	-0.604	-0.607	-0.605	-0.588	-0.587	-0.604	-0.588	-0.588	-0.588	-0.567	-0.587	-0.604	-0.604	-0.589	-0.587	-0.587	-0.574	-0.589	-0.608	-0.588	-0.570	-0.585	-0.605	-0.125	-0.059	-0.593	2016_7_13_9_12_42
FLQS23VUGRX2____	-0.129	-0.098	-0.132	-0.130	-0.097	-0.132	-0.130	-0.098	-0.130	-0.129	-0.097	-0.092	-0.132	-0.171	-0.160	-0.171	-0.130	-0.094	-0.129	-0.169	-0.129	-0.129	-0.158	-0.129	-0.130	-0.129	-0.132	-0.092	-0.132	-0.096	-0.133	-0.129	-0.074	-0.076	-0.075	-0.111	-0.077	-0.077	-0.075	-0.077	-0.076	-0.077	-0.077	-0.076	-0.076	-0.041	-0.075	-0.077	-0.077	-0.075	-0.076	-0.076	-0.076	-0.076	-0.076	-0.077	-0.074	-0.074	-0.076	-0.076	-0.076	-0.077	-0.076	-0.074	-0.701	-0.685	-0.702	-0.684	-0.684	-0.701	-0.701	-0.684	-0.701	-0.700	-0.684	-0.683	-0.701	-0.738	-0.716	-0.721	-0.700	-0.684	-0.701	-0.719	-0.700	-0.700	-0.716	-0.700	-0.702	-0.701	-0.703	-0.682	-0.702	-0.684	-0.702	-0.701	-0.127	-0.076	-0.700	2016_7_13_9_12_44
FLQS30BLGRWY____	0.018	0.055	0.053	0.053	0.053	0.053	0.055	0.054	0.023	0.052	0.053	0.059	0.053	0.019	0.053	0.052	0.021	0.059	0.053	0.052	0.058	0.017	0.020	0.054	0.054	0.052	0.052	0.054	0.018	0.054	0.052	0.018	0.059	0.059	0.060	0.059	0.058	0.102	0.059	0.058	0.061	0.058	0.058	0.061	0.059	0.057	0.057	0.057	0.056	0.063	0.057	0.058	0.061	0.023	0.058	0.060	0.058	0.060	0.060	0.058	0.059	0.062	0.099	0.059	-0.695	-0.676	-0.677	-0.677	-0.676	-0.698	-0.676	-0.676	-0.692	-0.676	-0.676	-0.675	-0.677	-0.693	-0.675	-0.677	-0.692	-0.676	-0.676	-0.677	-0.676	-0.677	-0.692	-0.677	-0.675	-0.678	-0.677	-0.676	-0.694	-0.678	-0.697	-0.695	0.045	0.060	-0.682	2016_7_13_9_12_46
FLQS30DEGRWY____	-0.004	-0.037	-0.004	-0.004	0.032	-0.004	-0.003	0.028	-0.004	-0.004	0.032	-0.006	-0.002	0.030	-0.005	0.031	-0.003	0.033	0.030	0.031	-0.003	0.031	0.029	-0.004	-0.002	-0.004	-0.002	-0.002	0.029	-0.003	0.037	-0.004	-0.061	-0.027	-0.063	-0.065	-0.023	-0.102	-0.062	-0.103	-0.064	-0.062	-0.023	-0.058	-0.064	-0.024	-0.064	-0.022	-0.062	-0.025	-0.024	-0.023	-0.064	-0.024	-0.063	-0.064	-0.064	-0.063	-0.064	-0.025	-0.063	-0.063	-0.061	-0.061	0.703	0.670	0.704	0.704	0.702	0.723	0.704	0.739	0.704	0.703	0.702	0.700	0.705	0.701	0.703	0.701	0.704	0.703	0.701	0.701	0.704	0.701	0.719	0.704	0.705	0.703	0.704	0.686	0.720	0.704	0.723	0.703	0.008	-0.053	0.705	2016_7_13_9_12_48
FLQS30LQGRWY____	0.116	0.078	0.081	0.078	0.078	0.079	0.078	0.077	0.080	0.112	0.078	0.078	0.115	0.111	0.147	0.079	0.109	0.079	0.079	0.147	0.081	0.146	0.112	0.078	0.079	0.079	0.146	0.078	0.081	0.079	0.080	0.116	-0.012	-0.010	0.022	-0.007	-0.009	-0.008	-0.011	-0.008	-0.008	-0.012	-0.009	-0.011	-0.007	-0.009	-0.008	-0.009	-0.042	-0.011	-0.008	-0.009	-0.012	-0.010	-0.008	-0.011	-0.010	-0.011	-0.009	-0.009	0.023	-0.009	0.024	-0.012	0.177	0.159	0.143	0.157	0.158	0.158	0.159	0.157	0.159	0.176	0.158	0.159	0.175	0.174	0.192	0.158	0.189	0.159	0.158	0.193	0.161	0.192	0.174	0.159	0.159	0.159	0.191	0.158	0.143	0.158	0.142	0.177	0.095	-0.007	0.165	2016_7_13_9_12_53
FLQS30SPGRWY____	-0.181	-0.151	-0.148	-0.118	-0.151	-0.151	-0.117	-0.151	-0.182	-0.148	-0.151	-0.181	-0.149	-0.181	-0.148	-0.181	-0.148	-0.182	-0.150	-0.183	-0.181	-0.182	-0.179	-0.181	-0.151	-0.180	-0.116	-0.182	-0.148	-0.181	-0.150	-0.181	-0.165	-0.206	-0.164	-0.202	-0.204	-0.242	-0.201	-0.204	-0.202	-0.165	-0.204	-0.166	-0.203	-0.205	-0.204	-0.204	-0.203	-0.164	-0.164	-0.244	-0.164	-0.242	-0.164	-0.203	-0.200	-0.166	-0.164	-0.202	-0.164	-0.202	-0.203	-0.165	-0.682	-0.646	-0.665	-0.632	-0.647	-0.630	-0.633	-0.648	-0.665	-0.666	-0.647	-0.682	-0.647	-0.662	-0.647	-0.663	-0.647	-0.683	-0.667	-0.644	-0.683	-0.644	-0.682	-0.664	-0.649	-0.682	-0.650	-0.664	-0.666	-0.663	-0.648	-0.682	-0.161	-0.192	-0.659	2016_7_13_9_12_58
