SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	-0.041	-0.042	-0.070	-0.071	-0.041	-0.042	-0.071	-0.070	-0.071	-0.071	-0.071	-0.071	-0.041	-0.071	-0.040	-0.072	-0.071	-0.070	-0.099	-0.070	-0.071	-0.070	-0.070	-0.071	-0.041	-0.072	-0.071	-0.071	-0.070	-0.071	-0.071	-0.071	-0.025	-0.025	-0.076	-0.074	-0.048	-0.048	-0.074	-0.022	-0.050	-0.049	-0.049	-0.022	-0.048	-0.022	-0.028	-0.049	-0.024	-0.022	-0.023	-0.023	-0.024	-0.050	-0.050	-0.022	-0.075	-0.049	-0.022	-0.024	-0.050	-0.024	-0.029	-0.022	-0.015	-0.016	-0.025	-0.026	-0.015	-0.015	-0.026	-0.028	-0.027	-0.026	-0.026	-0.028	-0.015	-0.028	-0.015	-0.027	-0.028	-0.028	-0.040	-0.027	-0.027	-0.027	-0.027	-0.028	-0.013	-0.027	-0.028	-0.027	-0.026	-0.028	-0.028	-0.028	-0.065	-0.039	-0.025	2016_7_13_9_08_17
FLNS2009GRWF____	-0.078	-0.104	-0.106	-0.077	-0.078	-0.078	-0.077	-0.104	-0.047	-0.106	-0.106	-0.079	-0.078	-0.106	-0.077	-0.106	-0.106	-0.104	-0.077	-0.104	-0.106	-0.078	-0.078	-0.106	-0.077	-0.106	-0.077	-0.106	-0.077	-0.106	-0.077	-0.077	0.042	0.045	0.016	0.042	0.041	0.042	0.042	0.042	0.067	0.017	0.017	0.041	0.041	0.042	0.040	0.042	0.041	0.042	0.042	0.041	0.042	0.040	0.040	0.042	0.042	0.042	0.041	0.042	0.042	0.041	0.040	0.041	-0.572	-0.583	-0.583	-0.572	-0.572	-0.572	-0.572	-0.583	-0.560	-0.582	-0.582	-0.572	-0.572	-0.583	-0.572	-0.583	-0.583	-0.583	-0.572	-0.583	-0.583	-0.572	-0.572	-0.583	-0.572	-0.583	-0.572	-0.583	-0.572	-0.584	-0.572	-0.572	-0.090	0.040	-0.577	2016_7_13_9_08_33
FLQS2C39GRX5____	-0.188	-0.218	-0.247	-0.186	-0.188	-0.217	-0.186	-0.217	-0.217	-0.217	-0.217	-0.216	-0.188	-0.188	-0.216	-0.217	-0.217	-0.217	-0.217	-0.217	-0.188	-0.217	-0.217	-0.188	-0.186	-0.217	-0.215	-0.188	-0.217	-0.218	-0.216	-0.215	-0.019	-0.016	-0.075	-0.069	0.006	-0.017	-0.069	-0.040	0.027	-0.017	-0.017	-0.016	0.006	-0.018	-0.019	0.023	-0.053	-0.040	-0.041	-0.019	-0.018	-0.041	-0.041	-0.018	-0.069	0.023	-0.073	-0.018	-0.016	-0.017	-0.042	-0.073	0.586	0.574	0.564	0.589	0.585	0.574	0.589	0.575	0.572	0.575	0.575	0.575	0.585	0.586	0.574	0.573	0.576	0.575	0.575	0.575	0.586	0.575	0.575	0.586	0.588	0.573	0.577	0.586	0.575	0.575	0.575	0.577	-0.208	-0.028	0.578	2016_7_13_9_08_37
FLQS2C44GRX5____	-0.355	-0.320	-0.319	-0.319	-0.259	-0.292	-0.319	-0.317	-0.291	-0.288	-0.288	-0.318	-0.259	-0.291	-0.292	-0.318	-0.319	-0.317	-0.292	-0.293	-0.289	-0.292	-0.292	-0.291	-0.292	-0.318	-0.318	-0.289	-0.320	-0.320	-0.292	-0.318	0.028	0.053	-0.004	0.025	0.087	0.054	0.025	0.053	0.027	0.026	0.026	0.028	0.087	0.027	0.054	0.026	0.027	0.053	0.028	0.030	0.054	0.050	0.050	0.027	0.027	0.026	0.024	0.054	0.024	0.027	0.051	0.024	-0.144	-0.131	-0.129	-0.130	-0.108	-0.120	-0.130	-0.131	-0.118	-0.117	-0.117	-0.130	-0.108	-0.118	-0.120	-0.129	-0.130	-0.131	-0.119	-0.120	-0.119	-0.120	-0.120	-0.118	-0.119	-0.129	-0.129	-0.119	-0.130	-0.130	-0.120	-0.129	-0.303	0.037	-0.124	2016_7_13_9_08_39
FLQS2CBBGRX5____	-0.027	0.009	0.006	0.007	-0.021	-0.023	0.007	0.008	0.007	0.005	0.005	0.038	-0.021	0.006	0.010	0.007	0.006	0.008	0.005	0.009	0.006	0.006	0.006	0.006	0.008	0.007	0.007	0.006	0.006	0.007	0.009	0.007	-0.010	0.049	0.051	0.050	-0.044	-0.008	0.050	0.049	0.050	0.049	0.049	0.024	-0.044	0.051	0.048	0.051	0.048	0.049	0.050	0.048	0.048	0.053	0.053	0.051	0.024	0.051	0.050	0.048	0.048	0.049	0.028	0.050	-0.571	-0.559	-0.560	-0.560	-0.567	-0.570	-0.560	-0.559	-0.560	-0.560	-0.560	-0.546	-0.567	-0.560	-0.559	-0.560	-0.560	-0.559	-0.560	-0.559	-0.560	-0.560	-0.560	-0.560	-0.558	-0.560	-0.559	-0.560	-0.560	-0.560	-0.558	-0.559	0.004	0.038	-0.560	2016_7_13_9_08_42
FLQS23VUGRX2____	0.242	0.272	0.272	0.242	0.306	0.273	0.242	0.272	0.271	0.242	0.242	0.272	0.306	0.271	0.270	0.242	0.273	0.272	0.273	0.243	0.271	0.243	0.243	0.271	0.306	0.242	0.271	0.271	0.271	0.273	0.271	0.271	0.024	0.023	0.054	0.053	0.050	0.078	0.053	0.081	0.079	0.024	0.024	0.052	0.050	0.057	0.023	0.054	0.055	0.081	0.082	0.054	0.049	0.048	0.048	0.057	0.078	0.054	0.052	0.049	0.046	0.025	0.025	0.052	-0.577	-0.565	-0.566	-0.579	-0.552	-0.566	-0.579	-0.568	-0.567	-0.577	-0.577	-0.566	-0.552	-0.567	-0.566	-0.578	-0.566	-0.568	-0.567	-0.578	-0.567	-0.578	-0.578	-0.567	-0.554	-0.578	-0.567	-0.567	-0.566	-0.565	-0.566	-0.567	0.266	0.051	-0.569	2016_7_13_9_08_45
FLQS30BLGRWY____	-0.145	-0.115	-0.170	-0.174	-0.144	-0.115	-0.174	-0.172	-0.173	-0.144	-0.144	-0.140	-0.144	-0.208	-0.144	-0.174	-0.175	-0.172	-0.171	-0.171	-0.144	-0.144	-0.144	-0.208	-0.144	-0.174	-0.142	-0.144	-0.174	-0.145	-0.144	-0.142	-0.079	-0.017	-0.104	-0.077	-0.015	-0.011	-0.077	-0.079	-0.078	-0.048	-0.048	-0.105	-0.015	-0.078	-0.055	-0.078	-0.078	-0.079	-0.080	-0.105	-0.078	-0.078	-0.078	-0.078	-0.103	-0.078	-0.076	-0.078	-0.077	-0.078	-0.080	-0.076	-0.730	-0.720	-0.739	-0.741	-0.732	-0.720	-0.741	-0.741	-0.741	-0.730	-0.730	-0.727	-0.732	-0.755	-0.730	-0.741	-0.742	-0.741	-0.740	-0.739	-0.730	-0.728	-0.728	-0.755	-0.728	-0.741	-0.728	-0.730	-0.741	-0.730	-0.729	-0.728	-0.157	-0.071	-0.735	2016_7_13_9_08_47
FLQS30DEGRWY____	0.040	0.074	0.012	0.040	0.040	0.012	0.040	0.038	0.039	0.039	0.039	0.011	0.040	0.009	0.039	0.040	0.041	0.038	0.039	0.012	0.010	0.039	0.039	0.009	0.011	0.040	0.040	0.010	0.040	0.008	0.011	0.040	-0.006	-0.005	-0.031	0.023	-0.005	0.017	0.023	0.019	0.018	0.054	0.054	-0.007	-0.005	-0.037	0.018	-0.029	-0.005	0.019	0.020	-0.007	-0.010	-0.006	-0.006	-0.037	-0.031	-0.029	0.028	-0.010	-0.029	0.019	-0.009	0.028	0.690	0.704	0.680	0.689	0.690	0.678	0.689	0.689	0.689	0.687	0.687	0.679	0.690	0.680	0.690	0.691	0.691	0.689	0.689	0.679	0.679	0.690	0.690	0.680	0.680	0.691	0.689	0.679	0.691	0.677	0.679	0.689	0.031	0.001	0.686	2016_7_13_9_08_49
FLQS30LQGRWY____	0.053	0.053	0.026	0.054	0.053	0.054	0.054	0.026	0.052	0.054	0.054	0.054	0.053	0.055	0.054	0.024	0.023	0.026	0.026	0.054	0.053	0.026	0.026	0.055	0.053	0.024	0.054	0.053	0.053	0.052	0.054	0.054	-0.064	0.019	-0.009	0.019	0.022	0.017	0.019	-0.007	0.025	0.019	0.019	-0.006	0.022	0.020	-0.007	-0.007	-0.008	-0.007	-0.009	-0.007	-0.006	-0.009	-0.009	0.020	-0.006	-0.007	-0.005	-0.006	-0.005	-0.005	-0.010	-0.005	0.139	0.136	0.126	0.136	0.136	0.136	0.136	0.126	0.135	0.136	0.136	0.137	0.136	0.136	0.137	0.124	0.124	0.126	0.126	0.137	0.137	0.126	0.126	0.136	0.136	0.124	0.137	0.137	0.136	0.136	0.138	0.137	0.046	0.001	0.133	2016_7_13_9_08_53
FLQS30SPGRWY____	-0.084	-0.084	-0.114	-0.084	-0.053	-0.083	-0.084	-0.084	-0.114	-0.114	-0.114	-0.082	-0.053	-0.113	-0.084	-0.114	-0.115	-0.084	-0.084	-0.084	-0.085	-0.085	-0.085	-0.113	-0.083	-0.114	-0.084	-0.085	-0.114	-0.115	-0.083	-0.084	-0.057	-0.032	-0.086	-0.055	-0.031	-0.033	-0.055	-0.033	-0.058	-0.058	-0.058	-0.059	-0.031	-0.058	-0.033	-0.057	-0.058	-0.033	-0.058	-0.056	-0.058	-0.035	-0.035	-0.058	-0.056	-0.057	-0.034	-0.058	-0.054	-0.058	-0.006	-0.034	-0.706	-0.707	-0.717	-0.705	-0.694	-0.706	-0.705	-0.706	-0.718	-0.717	-0.717	-0.705	-0.694	-0.718	-0.707	-0.718	-0.717	-0.706	-0.706	-0.706	-0.706	-0.707	-0.707	-0.718	-0.705	-0.718	-0.707	-0.706	-0.718	-0.718	-0.707	-0.707	-0.092	-0.048	-0.709	2016_7_13_9_08_57
