SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-9.406	-9.252	-9.235	-9.230	-9.169	-9.214	-9.144	-9.289	-9.222	-9.287	-9.231	-9.230	-9.338	-9.379	-8.854	-9.057	-8.821	-9.417	-9.404	-9.100	-9.399	-9.523	-8.893	-8.715	-8.927	-9.156	-9.487	-9.258	-9.303	-9.362	-9.232	-9.328	116.990	117.733	117.615	117.603	117.562	117.413	117.438	117.180	117.325	117.282	117.065	117.596	117.015	116.983	117.527	117.308	117.809	117.317	116.992	117.133	117.020	117.077	117.190	116.853	116.981	117.626	117.429	117.351	117.636	117.414	117.358	117.017	94.418	94.315	94.311	94.309	94.281	94.308	94.274	94.354	94.316	94.349	94.330	94.309	94.384	94.405	94.130	94.236	94.103	94.411	94.417	94.264	94.414	94.472	94.161	94.087	94.185	94.272	94.440	94.332	94.343	94.380	94.319	94.379	2016_7_15_11_17_24
F2LS3EKPHFM2____	-9.126	-8.909	-9.081	-9.080	-9.008	-9.077	-8.978	-8.674	-8.877	-8.945	-8.965	-9.007	-9.120	-8.949	-8.769	-9.033	-8.948	-9.026	-9.114	-8.878	-9.178	-9.195	-8.804	-8.651	-8.825	-8.883	-9.149	-8.851	-9.164	-9.147	-8.960	-8.701	117.655	118.283	118.146	118.009	118.235	117.352	118.247	117.813	118.079	117.831	117.669	118.277	117.941	118.173	117.998	117.707	117.530	117.884	118.139	118.285	117.950	117.894	117.923	117.253	118.168	117.900	118.114	118.042	117.836	117.888	117.764	117.893	94.486	94.359	94.446	94.451	94.408	94.474	94.393	94.262	94.351	94.393	94.408	94.406	94.473	94.382	94.301	94.440	94.405	94.430	94.463	94.343	94.500	94.511	94.321	94.271	94.322	94.360	94.481	94.339	94.498	94.488	94.402	94.272	2016_7_15_11_17_29
F2LS3KLTHFM5____	-9.344	-9.209	-9.138	-9.491	-9.359	-9.321	-9.279	-9.152	-9.102	-9.020	-9.101	-9.106	-9.396	-9.435	-8.996	-9.124	-8.827	-9.115	-9.344	-8.832	-9.588	-9.469	-9.152	-8.788	-9.229	-9.230	-9.497	-9.261	-9.498	-9.715	-9.304	-9.327	117.722	117.685	118.233	117.749	117.956	118.646	117.664	118.015	117.677	117.982	117.880	117.812	117.752	117.716	117.734	117.534	117.889	117.628	117.728	117.828	117.254	117.964	117.407	117.339	117.194	117.770	117.835	117.905	117.667	117.941	117.771	117.822	94.494	94.430	94.375	94.564	94.492	94.448	94.465	94.390	94.379	94.328	94.371	94.376	94.518	94.538	94.325	94.395	94.238	94.387	94.494	94.243	94.631	94.545	94.413	94.239	94.459	94.437	94.564	94.447	94.571	94.665	94.473	94.482	2016_7_15_11_17_35
F2LS3SMLHFM5____	-9.391	-9.370	-9.235	-9.236	-9.283	-9.341	-9.322	-9.217	-9.102	-9.281	-9.272	-9.285	-9.308	-9.363	-9.056	-9.051	-9.010	-9.236	-9.403	-9.278	-9.390	-9.403	-9.019	-8.772	-8.968	-9.280	-9.300	-9.251	-9.359	-9.470	-9.287	-9.191	117.696	117.846	117.409	117.523	117.734	117.269	117.427	117.784	117.455	117.538	117.580	117.773	118.124	117.493	117.507	117.511	117.923	117.730	117.141	117.011	117.399	117.668	117.119	117.063	117.557	117.353	117.623	117.606	117.626	118.063	117.429	117.611	94.627	94.611	94.562	94.559	94.573	94.619	94.604	94.539	94.496	94.580	94.574	94.573	94.570	94.621	94.472	94.469	94.434	94.550	94.654	94.598	94.638	94.634	94.469	94.350	94.427	94.586	94.586	94.563	94.614	94.651	94.587	94.533	2016_7_15_11_17_40
F2LS38TUGRXL____	-8.947	-8.798	-8.841	-9.026	-8.908	-8.947	-9.058	-8.951	-8.949	-8.672	-8.746	-8.770	-8.591	-9.043	-8.570	-8.646	-8.814	-8.840	-9.251	-8.664	-9.056	-9.068	-8.751	-8.513	-8.786	-8.747	-8.956	-8.794	-9.028	-9.147	-9.014	-8.911	116.912	117.461	117.655	117.584	116.950	116.922	117.346	117.578	117.857	118.019	117.993	117.588	117.871	117.023	117.918	117.786	117.376	117.331	116.835	117.033	117.742	117.744	117.097	116.712	116.546	117.957	117.831	117.694	117.759	117.729	117.743	117.947	94.466	94.373	94.387	94.479	94.445	94.466	94.504	94.443	94.432	94.292	94.329	94.355	94.258	94.509	94.246	94.288	94.384	94.398	94.617	94.323	94.488	94.494	94.364	94.262	94.401	94.331	94.436	94.363	94.474	94.532	94.468	94.410	2016_7_15_11_17_45
F2LS3TKDHFM5____	-9.332	-9.321	-9.235	-9.530	-9.224	-9.342	-9.489	-9.214	-9.076	-9.090	-9.335	-9.345	-9.251	-9.534	-8.797	-9.112	-9.288	-9.415	-9.205	-9.200	-9.130	-9.447	-9.068	-9.086	-9.230	-9.212	-9.546	-9.058	-8.981	-9.403	-9.036	-9.186	117.921	117.480	117.681	117.667	117.689	117.421	117.684	117.523	117.723	117.751	117.670	118.053	117.734	117.637	117.467	117.581	117.320	117.413	117.729	117.528	117.680	117.948	117.518	117.373	117.438	117.559	117.496	117.765	117.782	117.874	117.771	117.618	94.525	94.536	94.487	94.630	94.481	94.549	94.610	94.482	94.408	94.414	94.536	94.526	94.492	94.633	94.282	94.431	94.526	94.584	94.470	94.476	94.436	94.579	94.412	94.426	94.494	94.480	94.645	94.398	94.360	94.561	94.387	94.465	2016_7_15_11_17_50
F2LS3MG9HFM5____	-9.072	-8.998	-8.800	-9.210	-9.138	-9.074	-9.111	-9.080	-8.900	-9.082	-8.896	-9.141	-9.114	-9.031	-8.978	-8.920	-8.928	-9.326	-9.074	-8.952	-9.126	-9.248	-8.809	-8.691	-8.569	-8.900	-9.108	-9.163	-9.212	-9.149	-8.960	-8.995	117.703	117.797	118.437	117.598	117.740	117.677	117.831	117.459	117.475	117.440	117.797	117.847	117.721	117.690	117.328	117.579	117.478	117.450	117.713	117.725	117.537	118.078	117.393	117.077	118.248	117.694	117.435	117.612	117.639	118.148	117.760	117.744	94.442	94.403	94.285	94.513	94.473	94.444	94.457	94.455	94.368	94.457	94.354	94.470	94.462	94.423	94.411	94.373	94.381	94.575	94.443	94.384	94.475	94.513	94.326	94.281	94.180	94.359	94.470	94.490	94.513	94.463	94.386	94.404	2016_7_15_11_17_54
F2LS3BDVGRXL____	-8.788	-8.581	-8.860	-8.809	-8.736	-8.916	-8.968	-8.777	-8.400	-8.738	-8.616	-8.806	-8.771	-8.807	-8.775	-8.367	-8.469	-8.802	-9.032	-8.399	-8.834	-8.974	-8.770	-8.468	-8.608	-8.608	-8.948	-8.634	-8.885	-9.110	-8.679	-8.769	116.993	117.055	117.807	117.119	117.470	116.991	117.021	117.846	117.588	117.146	117.252	117.180	117.382	117.619	116.846	117.444	117.315	117.721	117.032	117.733	117.461	117.399	116.839	117.008	117.605	117.208	117.143	117.686	117.107	117.784	117.405	117.263	94.339	94.236	94.344	94.345	94.297	94.402	94.426	94.303	94.130	94.309	94.246	94.341	94.317	94.326	94.338	94.118	94.173	94.320	94.457	94.124	94.345	94.415	94.336	94.183	94.230	94.244	94.412	94.240	94.382	94.466	94.272	94.320	2016_7_15_11_18_03
F2LS35BZHFM1____	-9.476	-9.278	-9.369	-9.618	-9.426	-9.541	-9.465	-9.363	-9.228	-9.421	-9.228	-9.233	-9.403	-9.568	-9.120	-8.999	-9.096	-9.237	-9.530	-9.005	-9.401	-9.601	-9.220	-9.025	-9.111	-9.315	-9.518	-9.201	-9.443	-9.618	-9.549	-8.988	117.328	117.411	117.673	117.135	117.423	116.832	117.574	117.527	117.943	117.426	117.951	117.941	117.678	117.171	117.864	117.527	117.675	117.896	117.396	116.983	117.693	117.619	116.998	116.986	117.505	117.039	117.303	117.917	117.709	117.679	117.213	117.842	94.438	94.339	94.373	94.515	94.410	94.489	94.423	94.376	94.295	94.408	94.294	94.297	94.389	94.489	94.245	94.200	94.241	94.301	94.462	94.222	94.388	94.487	94.327	94.232	94.255	94.371	94.459	94.283	94.407	94.493	94.478	94.183	2016_7_15_11_18_07
F2LS3HZVHFM5____	-9.827	-9.609	-9.534	-9.845	-9.586	-9.757	-9.812	-9.718	-9.368	-9.709	-9.646	-9.651	-9.745	-9.778	-9.715	-9.272	-9.105	-9.849	-9.752	-9.454	-9.934	-9.890	-9.503	-9.318	-9.512	-9.633	-9.724	-9.494	-9.957	-9.913	-9.775	-9.311	117.543	118.223	117.754	117.558	117.835	117.680	117.649	117.346	118.153	117.700	117.737	117.803	117.869	117.968	117.648	117.887	117.756	117.228	117.795	117.560	117.556	117.696	117.279	117.451	117.518	118.036	117.704	117.659	117.595	117.641	117.639	117.923	94.667	94.534	94.516	94.675	94.538	94.627	94.655	94.621	94.421	94.603	94.571	94.571	94.614	94.626	94.608	94.385	94.309	94.690	94.620	94.485	94.718	94.691	94.520	94.423	94.515	94.553	94.610	94.501	94.727	94.704	94.637	94.402	2016_7_15_11_18_16
F2LS339XHFM1____	-9.662	-9.274	-9.442	-9.614	-9.545	-9.549	-9.573	-9.552	-9.550	-9.366	-9.416	-9.436	-9.540	-9.579	-9.127	-8.817	-9.344	-9.620	-9.663	-9.356	-9.713	-9.790	-9.394	-9.039	-9.185	-9.298	-9.750	-9.343	-9.682	-9.867	-9.376	-9.456	117.452	117.489	117.672	117.934	117.952	117.285	117.963	117.457	117.280	117.630	117.741	117.797	117.431	117.452	117.524	118.376	117.409	117.597	117.400	117.672	117.474	117.368	117.322	117.374	117.261	117.637	117.423	117.445	117.642	117.558	117.503	117.689	94.613	94.423	94.497	94.570	94.536	94.565	94.550	94.559	94.565	94.462	94.482	94.490	94.555	94.573	94.350	94.170	94.460	94.587	94.615	94.456	94.637	94.678	94.488	94.314	94.389	94.429	94.657	94.458	94.615	94.708	94.472	94.504	2016_7_15_11_19_02
F2LS3HFRHFM5____	-9.476	-9.259	-9.731	-9.373	-9.556	-9.417	-9.464	-9.362	-9.274	-9.302	-9.172	-9.362	-9.277	-9.441	-8.982	-9.194	-9.087	-9.549	-9.599	-9.237	-9.797	-9.736	-9.347	-9.041	-9.195	-9.288	-9.381	-9.268	-9.505	-9.432	-9.438	-9.407	118.068	118.430	118.019	118.028	118.031	117.905	118.387	118.011	118.786	117.927	118.152	118.350	118.098	118.245	118.413	118.206	118.423	118.605	118.064	118.023	117.520	117.659	117.672	117.864	117.734	118.383	117.862	118.255	118.247	118.130	118.174	117.853	94.654	94.536	94.779	94.606	94.694	94.631	94.636	94.601	94.530	94.575	94.504	94.588	94.557	94.630	94.403	94.513	94.453	94.668	94.713	94.540	94.831	94.795	94.607	94.452	94.531	94.551	94.616	94.546	94.661	94.630	94.631	94.629	2016_7_15_11_19_06
F2LS3JESHFM5____	-9.410	-9.581	-9.437	-9.548	-9.487	-9.414	-9.318	-9.358	-9.157	-9.235	-9.230	-9.366	-9.696	-9.497	-9.191	-9.050	-9.074	-9.434	-9.473	-9.289	-9.642	-9.593	-9.082	-8.904	-9.150	-9.168	-9.434	-9.325	-9.430	-9.554	-9.358	-9.046	117.804	117.681	117.953	117.761	117.836	117.693	118.388	117.681	118.419	117.906	117.879	118.002	117.753	117.863	117.737	118.274	118.356	117.630	117.745	117.751	117.754	117.967	117.671	117.356	118.245	117.904	117.775	117.969	118.115	117.907	118.039	118.448	94.549	94.636	94.556	94.617	94.584	94.555	94.482	94.528	94.403	94.460	94.459	94.519	94.689	94.588	94.445	94.357	94.366	94.567	94.581	94.492	94.662	94.631	94.395	94.320	94.406	94.428	94.561	94.501	94.546	94.614	94.514	94.349	2016_7_15_11_19_10
F2LS3HFBHFM5____	-9.237	-8.905	-8.949	-9.137	-9.247	-9.060	-8.979	-8.727	-8.589	-8.946	-8.689	-8.947	-8.983	-9.270	-8.990	-9.074	-8.527	-8.936	-9.235	-9.130	-9.169	-9.478	-8.988	-8.631	-8.902	-8.521	-9.127	-8.672	-9.153	-9.501	-9.081	-8.977	117.494	117.852	117.923	117.711	117.459	117.150	117.556	117.788	118.064	117.303	117.332	117.649	117.527	117.364	116.858	117.554	117.795	117.989	117.498	117.438	117.593	117.390	117.235	116.984	116.827	118.018	117.973	118.183	117.499	117.462	117.351	117.283	94.652	94.478	94.497	94.596	94.658	94.580	94.525	94.394	94.318	94.519	94.392	94.506	94.528	94.673	94.556	94.571	94.298	94.488	94.651	94.603	94.616	94.773	94.541	94.377	94.515	94.287	94.581	94.354	94.612	94.781	94.582	94.534	2016_7_15_11_19_14
F2LS3A7AHFM2____	-8.981	-8.839	-8.825	-8.996	-8.987	-8.923	-8.756	-8.786	-8.710	-8.778	-8.815	-8.940	-8.977	-8.935	-8.619	-8.704	-8.743	-8.921	-8.917	-8.816	-9.014	-9.035	-8.802	-8.861	-8.630	-8.858	-9.081	-8.835	-9.086	-9.136	-9.023	-9.023	117.861	118.021	117.678	118.143	118.239	117.830	118.251	118.423	118.765	118.643	117.736	117.734	117.741	118.111	118.067	117.731	117.416	116.830	118.008	117.420	118.430	118.366	117.316	117.188	117.907	118.048	117.630	117.978	117.592	117.694	117.447	117.964	94.354	94.279	94.285	94.351	94.343	94.327	94.231	94.239	94.191	94.228	94.278	94.339	94.356	94.322	94.172	94.225	94.255	94.363	94.317	94.290	94.349	94.362	94.287	94.320	94.183	94.288	94.411	94.279	94.415	94.435	94.389	94.370	2016_7_15_11_19_18
F2LS3A8AGRXL____	-9.234	-8.910	-8.956	-9.081	-9.184	-9.238	-9.035	-9.054	-8.940	-8.638	-8.875	-9.013	-8.982	-9.149	-8.705	-8.697	-8.734	-9.132	-9.234	-8.742	-9.172	-9.309	-8.975	-8.555	-8.810	-8.871	-9.207	-9.101	-9.143	-9.326	-9.136	-8.758	117.662	117.942	117.690	117.751	117.697	117.549	118.164	117.913	117.735	117.768	117.936	117.741	117.757	117.658	117.730	117.993	117.871	118.060	117.666	117.814	117.749	117.697	117.589	117.592	117.964	117.961	117.890	117.702	118.097	117.893	117.775	118.297	94.573	94.406	94.438	94.496	94.548	94.580	94.459	94.477	94.429	94.281	94.390	94.464	94.448	94.533	94.315	94.302	94.324	94.509	94.573	94.330	94.540	94.609	94.451	94.247	94.357	94.387	94.552	94.508	94.513	94.609	94.522	94.320	2016_7_15_11_19_22
F2LS39Q6GRXL____	-9.464	-9.202	-9.175	-9.292	-9.230	-9.339	-9.198	-9.233	-9.043	-9.170	-9.052	-9.175	-9.193	-9.054	-9.069	-9.140	-9.139	-9.424	-9.278	-9.218	-9.273	-9.353	-9.085	-8.780	-9.045	-9.049	-9.379	-9.197	-9.301	-9.589	-9.225	-9.203	117.265	117.951	118.301	118.218	117.765	117.830	118.047	117.537	117.751	117.761	117.747	117.738	118.228	117.784	117.672	117.076	117.218	117.144	117.874	117.670	117.901	117.703	117.013	116.877	117.055	117.708	117.309	117.770	118.057	117.736	118.116	117.831	94.412	94.259	94.233	94.292	94.279	94.329	94.254	94.289	94.190	94.250	94.194	94.254	94.244	94.193	94.205	94.262	94.256	94.398	94.298	94.277	94.295	94.341	94.237	94.094	94.216	94.194	94.369	94.263	94.303	94.454	94.264	94.264	2016_7_15_11_19_26
F2LS38VQGRXL____	-9.134	-8.855	-9.072	-9.154	-9.015	-9.131	-8.959	-8.684	-8.759	-8.865	-9.004	-9.013	-9.030	-9.016	-8.707	-8.849	-8.623	-9.134	-9.241	-8.625	-9.355	-9.245	-8.940	-8.745	-8.820	-8.669	-9.403	-8.681	-9.151	-9.006	-8.958	-8.898	117.125	117.522	117.643	117.326	117.547	117.076	118.502	117.251	117.259	118.021	117.647	117.646	118.539	118.095	117.712	117.234	117.316	118.183	117.363	117.341	117.792	118.008	116.991	117.100	117.885	118.167	117.266	118.040	117.888	117.880	117.416	118.150	94.648	94.497	94.598	94.650	94.574	94.648	94.512	94.424	94.460	94.484	94.565	94.570	94.545	94.554	94.419	94.505	94.392	94.608	94.691	94.393	94.729	94.668	94.558	94.459	94.467	94.385	94.773	94.394	94.627	94.557	94.551	94.495	2016_7_15_11_19_35
F2LS30UNGRX8____	-9.806	-9.772	-9.641	-10.079	-9.882	-9.746	-9.827	-9.498	-9.616	-9.796	-9.876	-9.888	-9.710	-9.829	-9.705	-9.653	-9.661	-10.076	-9.747	-9.427	-9.907	-9.674	-9.209	-9.029	-9.121	-9.746	-9.760	-9.779	-10.021	-9.996	-9.619	-9.536	117.603	118.083	117.888	117.547	117.512	117.558	117.893	117.416	117.543	117.828	117.686	117.799	118.077	117.520	117.528	117.660	117.685	117.535	117.549	117.492	117.556	117.639	117.801	117.729	117.470	117.500	117.771	117.569	117.597	117.762	117.654	117.446	94.660	94.624	94.569	94.794	94.701	94.633	94.658	94.518	94.571	94.646	94.691	94.692	94.595	94.675	94.614	94.583	94.587	94.793	94.633	94.481	94.711	94.595	94.363	94.279	94.334	94.635	94.631	94.648	94.764	94.745	94.567	94.535	2016_7_15_11_19_40
F2LS3957GRXL____	-9.725	-9.661	-9.635	-9.573	-9.685	-9.802	-9.598	-9.559	-9.561	-9.502	-9.444	-9.693	-9.659	-9.582	-9.211	-9.457	-9.361	-9.697	-9.804	-9.553	-9.606	-9.738	-9.418	-9.114	-9.253	-9.558	-9.764	-9.594	-9.817	-9.931	-9.627	-9.660	118.038	117.858	117.730	117.999	117.615	117.287	117.820	117.924	117.647	117.888	117.726	117.466	117.786	117.828	117.523	117.834	117.218	117.467	117.396	117.588	117.680	118.014	117.197	117.134	117.507	117.746	117.885	117.674	117.568	117.665	117.440	117.485	94.830	94.806	94.799	94.758	94.827	94.897	94.777	94.754	94.766	94.728	94.707	94.837	94.808	94.769	94.602	94.708	94.686	94.839	94.894	94.765	94.787	94.837	94.714	94.569	94.623	94.761	94.855	94.781	94.893	94.945	94.806	94.821	2016_7_15_11_19_45
