SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-25.906	-25.839	-25.935	-25.543	-25.903	-25.695	-25.660	-25.454	-25.802	-25.647	-25.745	-25.751	-26.031	-25.612	-25.550	-25.400	-25.981	-25.843	-26.144	-25.481	-26.156	-25.614	-25.497	-25.463	-25.783	-25.541	-25.859	-25.541	-25.816	-25.950	-25.673	-25.520	125.012	125.061	124.990	124.923	125.118	124.841	124.856	124.789	124.650	124.722	125.223	124.923	124.923	124.952	124.732	124.781	124.956	124.789	125.097	124.941	125.020	124.953	125.057	124.799	124.712	124.923	124.718	124.923	124.649	125.105	124.594	124.831	101.529	101.495	101.544	101.378	101.518	101.452	101.435	101.350	101.516	101.441	101.439	101.469	101.592	101.405	101.398	101.327	101.567	101.521	101.626	101.349	101.638	101.406	101.345	101.353	101.502	101.376	101.535	101.376	101.522	101.540	101.464	101.375	2016_7_15_11_23_44
F2LS3EKPHFM2____	-25.699	-25.831	-25.366	-25.366	-25.727	-25.425	-25.748	-25.494	-25.740	-25.695	-26.230	-25.790	-26.029	-25.799	-25.636	-25.390	-25.957	-25.415	-25.967	-25.506	-26.083	-25.791	-25.521	-25.341	-25.615	-25.750	-25.777	-25.750	-25.749	-26.083	-25.673	-25.640	125.487	125.530	125.288	125.397	125.401	125.310	125.324	125.206	125.124	125.193	125.538	125.397	125.396	125.377	125.067	125.310	125.395	125.310	125.522	125.325	125.452	125.327	125.463	125.386	125.369	125.390	125.194	125.390	125.125	125.537	125.127	125.246	101.625	101.679	101.497	101.487	101.645	101.520	101.661	101.560	101.676	101.650	101.853	101.673	101.778	101.679	101.635	101.505	101.746	101.516	101.739	101.555	101.797	101.680	101.549	101.477	101.599	101.656	101.686	101.656	101.680	101.788	101.646	101.621	2016_7_15_11_23_48
F2LS3KLTHFM5____	-25.863	-26.148	-26.011	-25.258	-26.172	-25.768	-25.752	-26.071	-25.835	-25.747	-26.066	-25.991	-25.815	-25.957	-25.839	-25.606	-25.949	-25.702	-26.320	-25.752	-26.166	-25.707	-25.226	-25.717	-25.874	-26.055	-25.934	-26.055	-25.845	-25.607	-25.818	-25.741	125.570	125.612	125.485	125.410	125.545	125.332	125.404	125.402	125.252	125.273	125.611	125.364	125.411	125.335	125.199	125.274	125.470	125.276	125.486	125.476	125.411	125.341	125.535	125.401	125.180	125.376	125.272	125.376	125.253	125.552	125.255	125.322	101.594	101.715	101.667	101.343	101.732	101.574	101.561	101.700	101.611	101.570	101.679	101.669	101.587	101.657	101.617	101.508	101.641	101.550	101.801	101.554	101.741	101.546	101.318	101.545	101.634	101.696	101.652	101.696	101.615	101.484	101.603	101.563	2016_7_15_11_23_53
F2LS3SMLHFM5____	-25.715	-26.013	-25.949	-25.555	-25.973	-25.759	-25.779	-25.819	-25.745	-25.660	-25.992	-26.016	-26.043	-25.723	-25.668	-25.650	-25.751	-25.722	-26.337	-25.508	-25.851	-25.742	-25.346	-25.524	-25.734	-25.767	-25.734	-25.767	-26.110	-26.285	-25.681	-25.557	125.462	125.455	125.271	125.256	125.390	125.175	125.249	125.134	124.988	125.116	125.521	125.319	125.321	125.180	125.048	125.180	125.259	125.178	125.451	125.319	125.379	125.250	125.387	125.188	124.966	125.247	125.059	125.247	125.041	125.519	124.990	125.233	101.648	101.779	101.768	101.596	101.768	101.693	101.695	101.723	101.704	101.655	101.764	101.793	101.804	101.677	101.665	101.645	101.682	101.677	101.921	101.570	101.715	101.679	101.493	101.589	101.701	101.690	101.692	101.690	101.859	101.892	101.676	101.599	2016_7_15_11_23_58
F2LS38TUGRXL____	-25.209	-25.622	-25.604	-25.437	-25.571	-25.467	-25.201	-25.177	-25.366	-25.190	-25.716	-25.574	-25.763	-25.597	-25.427	-25.471	-25.595	-25.488	-25.864	-25.394	-26.056	-25.279	-25.050	-25.242	-25.463	-25.424	-25.246	-25.424	-25.367	-25.727	-25.412	-25.367	125.133	124.949	124.910	124.846	125.031	124.803	124.992	124.773	124.637	124.721	125.105	124.962	125.007	124.740	124.772	124.766	124.896	124.763	125.140	125.010	125.006	125.056	124.967	124.780	124.618	124.957	124.700	124.957	124.649	125.102	124.697	124.841	101.480	101.678	101.674	101.606	101.648	101.623	101.489	101.498	101.593	101.508	101.705	101.656	101.735	101.686	101.608	101.628	101.671	101.636	101.767	101.572	101.864	101.518	101.425	101.526	101.638	101.590	101.535	101.590	101.593	101.711	101.608	101.575	2016_7_15_11_24_01
F2LS3TKDHFM5____	-25.537	-25.882	-25.746	-25.532	-25.507	-25.739	-25.469	-25.897	-25.975	-25.774	-26.055	-25.503	-25.728	-25.619	-25.806	-25.514	-25.678	-25.531	-25.867	-25.327	-25.960	-26.170	-25.489	-25.585	-25.843	-25.702	-26.108	-25.702	-25.993	-26.175	-25.850	-25.615	125.669	125.610	125.530	125.465	125.594	125.388	125.456	125.394	125.246	125.317	125.615	125.523	125.470	125.391	125.258	125.388	125.471	125.389	125.542	125.523	125.525	125.463	125.599	125.292	125.174	125.460	125.319	125.460	125.193	125.616	125.200	125.396	101.486	101.643	101.590	101.502	101.480	101.600	101.475	101.669	101.716	101.621	101.718	101.484	101.588	101.547	101.641	101.501	101.565	101.508	101.642	101.407	101.684	101.782	101.471	101.541	101.665	101.577	101.768	101.577	101.729	101.770	101.665	101.545	2016_7_15_11_24_06
F2LS3MG9HFM5____	-25.579	-25.877	-25.857	-25.514	-25.662	-25.793	-25.465	-25.497	-25.845	-25.872	-25.855	-25.714	-25.849	-25.714	-25.599	-25.336	-25.798	-25.774	-25.942	-25.347	-25.850	-25.772	-25.140	-25.446	-25.592	-25.571	-25.900	-25.454	-25.856	-25.701	-25.595	-25.615	125.606	125.591	125.468	125.457	125.465	125.261	125.383	125.391	125.185	125.258	125.595	125.401	125.454	125.270	125.255	125.254	125.455	125.319	125.526	125.401	125.455	125.390	125.523	125.332	125.167	125.389	125.255	125.448	125.186	125.540	125.133	125.386	101.546	101.677	101.680	101.530	101.595	101.671	101.516	101.529	101.700	101.705	101.667	101.623	101.677	101.635	101.586	101.471	101.655	101.657	101.712	101.462	101.678	101.650	101.361	101.512	101.591	101.562	101.718	101.505	101.705	101.605	101.595	101.581	2016_7_15_11_24_12
F2LS3BDVGRXL____	-25.480	-25.419	-25.524	-25.184	-25.368	-25.402	-25.313	-25.452	-25.740	-25.530	-25.564	-26.184	-25.741	-25.361	-25.345	-25.290	-25.316	-25.364	-25.357	-25.221	-25.605	-25.321	-24.970	-25.108	-25.372	-25.360	-25.551	-25.360	-25.868	-25.761	-25.435	-25.302	125.113	125.104	124.916	124.904	125.033	124.823	124.900	124.830	124.634	124.704	125.045	124.913	125.027	124.843	124.759	124.827	124.963	124.830	125.199	124.979	125.010	124.840	125.034	124.840	124.616	124.901	124.759	124.901	124.636	125.109	124.638	124.842	101.555	101.529	101.592	101.443	101.512	101.546	101.500	101.568	101.713	101.613	101.598	101.883	101.677	101.526	101.527	101.497	101.496	101.529	101.493	101.453	101.619	101.509	101.337	101.415	101.552	101.521	101.618	101.521	101.769	101.679	101.577	101.501	2016_7_15_11_24_16
F2LS35BZHFM1____	-25.737	-26.397	-25.793	-25.685	-26.113	-26.214	-26.041	-25.438	-26.189	-26.154	-26.250	-25.944	-26.178	-25.904	-25.795	-25.788	-25.938	-25.684	-26.378	-25.876	-26.235	-26.118	-25.455	-25.562	-25.881	-25.798	-26.246	-25.798	-26.205	-26.439	-25.920	-25.663	125.075	125.073	124.928	124.865	125.269	124.788	124.742	124.734	124.590	124.665	125.072	124.931	125.262	124.998	124.734	124.733	124.926	124.729	125.094	124.944	125.393	125.263	124.996	124.803	124.577	124.744	124.665	124.744	124.592	125.266	124.715	124.799	101.449	101.738	101.486	101.444	101.596	101.684	101.613	101.348	101.692	101.669	101.674	101.552	101.625	101.529	101.505	101.502	101.550	101.456	101.728	101.521	101.638	101.598	101.331	101.396	101.557	101.505	101.710	101.505	101.699	101.739	101.562	101.441	2016_7_15_11_24_19
F2LS3HZVHFM5____	-26.233	-26.884	-26.325	-26.111	-26.381	-26.745	-26.709	-26.031	-26.607	-26.281	-26.925	-26.332	-26.665	-26.407	-26.123	-26.468	-25.980	-26.479	-26.820	-26.108	-27.125	-26.778	-26.203	-26.523	-26.596	-26.644	-26.297	-26.644	-26.618	-26.636	-26.237	-26.150	125.490	125.523	125.410	125.342	125.449	125.245	125.314	125.269	125.129	125.201	125.597	125.375	125.380	125.196	125.056	125.117	125.272	125.179	125.459	125.389	125.458	125.323	125.381	125.272	125.056	125.380	125.199	125.380	125.131	125.522	125.126	125.311	101.695	101.976	101.742	101.655	101.763	101.941	101.919	101.626	101.892	101.742	101.987	101.748	101.894	101.798	101.686	101.832	101.604	101.831	101.954	101.649	102.087	101.948	101.691	101.841	101.894	101.884	101.749	101.884	101.896	101.868	101.730	101.675	2016_7_15_11_24_23
