SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-63.295	-63.475	-63.543	-63.372	-63.341	-63.409	-63.268	-63.333	-63.201	-63.194	-63.165	-63.230	-63.016	-63.087	-63.161	-63.052	-63.050	-63.086	-63.048	-63.123	-63.061	-63.093	-63.121	-63.030	-63.023	-63.195	-63.062	-63.049	-63.165	-63.055	-63.087	-63.089	143.040	143.295	143.361	143.397	143.322	143.361	143.426	143.465	143.429	143.290	143.393	143.221	143.211	143.183	143.325	143.109	143.175	143.319	143.317	143.397	143.428	143.358	143.217	143.394	143.357	143.359	143.463	143.395	143.149	143.394	143.218	143.396	113.691	113.713	113.726	113.664	113.664	113.681	113.625	113.640	113.602	113.620	113.595	113.642	113.572	113.600	113.604	113.599	113.589	113.579	113.567	113.581	113.555	113.576	113.606	113.550	113.553	113.610	113.550	113.556	113.631	113.558	113.595	113.569	2016_7_15_11_31_29
F2LS3EKPHFM2____	-63.232	-63.412	-63.452	-63.306	-63.303	-63.345	-63.225	-63.232	-63.123	-63.091	-63.061	-63.169	-62.945	-62.991	-63.066	-63.022	-62.981	-63.021	-62.987	-63.059	-63.024	-63.061	-63.090	-62.948	-62.992	-63.100	-63.020	-62.988	-63.134	-62.992	-63.031	-63.025	143.097	143.351	143.414	143.453	143.346	143.417	143.451	143.486	143.451	143.344	143.445	143.276	143.265	143.234	143.379	143.166	143.230	143.372	143.406	143.452	143.486	143.417	143.276	143.414	143.417	143.414	143.487	143.486	143.208	143.450	143.308	143.454	113.891	113.914	113.918	113.863	113.878	113.881	113.836	113.833	113.802	113.807	113.783	113.843	113.770	113.790	113.794	113.810	113.787	113.780	113.763	113.781	113.764	113.786	113.817	113.749	113.763	113.800	113.763	113.752	113.842	113.759	113.792	113.769	2016_7_15_11_31_34
F2LS3KLTHFM5____	-63.356	-63.529	-63.606	-63.431	-63.392	-63.501	-63.319	-63.352	-63.225	-63.225	-63.223	-63.282	-63.077	-63.112	-63.180	-63.111	-63.112	-63.146	-63.140	-63.143	-63.115	-63.146	-63.181	-63.084	-63.073	-63.213	-63.114	-63.106	-63.216	-63.108	-63.145	-63.142	143.019	143.237	143.342	143.379	143.267	143.307	143.373	143.409	143.376	143.270	143.343	143.165	143.191	143.158	143.269	143.089	143.156	143.297	143.299	143.338	143.375	143.303	143.197	143.339	143.304	143.303	143.410	143.375	143.093	143.339	143.196	143.342	113.849	113.874	113.884	113.821	113.824	113.855	113.784	113.790	113.752	113.768	113.757	113.803	113.730	113.747	113.753	113.757	113.747	113.737	113.735	113.730	113.715	113.736	113.764	113.710	113.712	113.759	113.710	113.713	113.791	113.718	113.752	113.729	2016_7_15_11_31_38
F2LS3SMLHFM5____	-63.284	-63.422	-63.523	-63.319	-63.319	-63.354	-63.246	-63.278	-63.147	-63.146	-63.116	-63.177	-62.996	-63.039	-63.107	-63.039	-63.039	-63.071	-62.968	-63.069	-63.039	-63.072	-63.102	-63.006	-63.003	-63.140	-63.039	-62.998	-63.142	-63.001	-63.071	-63.036	143.140	143.355	143.425	143.458	143.387	143.422	143.493	143.529	143.492	143.388	143.457	143.282	143.275	143.280	143.389	143.209	143.276	143.419	143.425	143.460	143.494	143.423	143.281	143.459	143.423	143.424	143.529	143.495	143.215	143.458	143.317	143.460	113.916	113.930	113.954	113.881	113.891	113.898	113.851	113.856	113.818	113.833	113.813	113.859	113.799	113.813	113.820	113.823	113.814	113.803	113.768	113.797	113.781	113.803	113.834	113.776	113.780	113.826	113.776	113.768	113.857	113.774	113.818	113.785	2016_7_15_11_31_42
F2LS38TUGRXL____	-63.163	-63.302	-63.371	-63.195	-63.195	-63.232	-63.125	-63.161	-63.024	-63.025	-62.993	-63.058	-62.880	-62.916	-62.985	-62.916	-62.914	-62.949	-62.913	-62.947	-62.919	-62.954	-62.990	-62.884	-62.881	-63.018	-62.918	-62.880	-63.021	-62.882	-62.954	-62.917	143.223	143.485	143.549	143.541	143.472	143.507	143.576	143.610	143.573	143.469	143.537	143.363	143.393	143.363	143.474	143.289	143.355	143.501	143.497	143.542	143.573	143.504	143.396	143.540	143.505	143.508	143.608	143.574	143.295	143.538	143.398	143.540	113.888	113.896	113.909	113.852	113.862	113.869	113.823	113.830	113.790	113.805	113.785	113.832	113.768	113.784	113.791	113.795	113.785	113.775	113.764	113.769	113.755	113.776	113.805	113.748	113.752	113.797	113.749	113.741	113.829	113.747	113.792	113.759	2016_7_15_11_31_46
F2LS3TKDHFM5____	-63.076	-63.221	-63.280	-63.109	-63.143	-63.181	-63.037	-63.074	-62.944	-62.947	-62.916	-62.970	-62.799	-62.828	-62.898	-62.830	-62.833	-62.862	-62.830	-62.860	-62.830	-62.864	-62.900	-62.805	-62.790	-62.932	-62.830	-62.789	-62.935	-62.791	-62.866	-62.827	143.229	143.484	143.516	143.547	143.479	143.512	143.582	143.618	143.585	143.480	143.549	143.371	143.401	143.369	143.479	143.298	143.366	143.509	143.506	143.549	143.584	143.511	143.405	143.550	143.514	143.512	143.619	143.585	143.303	143.547	143.403	143.549	113.768	113.778	113.794	113.732	113.753	113.761	113.703	113.710	113.671	113.687	113.667	113.711	113.649	113.664	113.671	113.675	113.666	113.655	113.644	113.648	113.633	113.655	113.682	113.630	113.630	113.678	113.628	113.619	113.709	113.625	113.672	113.637	2016_7_15_11_31_50
F2LS3MG9HFM5____	-63.078	-63.220	-63.290	-63.114	-63.115	-63.149	-63.042	-63.074	-62.946	-62.945	-62.913	-62.972	-62.798	-62.835	-62.905	-62.836	-62.833	-62.869	-62.770	-62.868	-62.834	-62.867	-62.902	-62.805	-62.800	-62.937	-62.835	-62.796	-62.939	-62.797	-62.866	-62.833	143.142	143.353	143.424	143.459	143.388	143.424	143.495	143.531	143.496	143.390	143.462	143.285	143.314	143.281	143.389	143.211	143.279	143.420	143.427	143.459	143.497	143.425	143.320	143.461	143.425	143.424	143.532	143.495	143.215	143.459	143.320	143.459	113.817	113.833	113.846	113.782	113.793	113.799	113.753	113.758	113.720	113.736	113.714	113.760	113.697	113.715	113.722	113.725	113.714	113.706	113.671	113.699	113.683	113.704	113.731	113.678	113.682	113.728	113.678	113.670	113.759	113.676	113.719	113.688	2016_7_15_11_31_53
F2LS3BDVGRXL____	-63.003	-63.154	-63.223	-63.048	-63.050	-63.087	-62.978	-63.011	-62.874	-62.874	-62.839	-62.908	-62.721	-62.763	-62.837	-62.805	-62.756	-62.793	-62.751	-62.802	-62.769	-62.803	-62.840	-62.734	-62.732	-62.873	-62.769	-62.731	-62.874	-62.734	-62.803	-62.765	143.170	143.424	143.490	143.525	143.454	143.489	143.557	143.593	143.557	143.454	143.520	143.348	143.338	143.308	143.454	143.277	143.302	143.447	143.443	143.525	143.558	143.489	143.382	143.524	143.488	143.489	143.593	143.559	143.280	143.522	143.382	143.525	113.796	113.809	113.822	113.759	113.770	113.777	113.731	113.736	113.696	113.711	113.689	113.738	113.677	113.695	113.698	113.714	113.694	113.685	113.671	113.676	113.660	113.682	113.710	113.654	113.658	113.705	113.655	113.647	113.736	113.654	113.698	113.664	2016_7_15_11_31_57
F2LS35BZHFM1____	-63.342	-63.486	-63.554	-63.382	-63.378	-63.420	-63.302	-63.334	-63.202	-63.204	-63.173	-63.243	-63.030	-63.100	-63.170	-63.100	-63.097	-63.134	-63.062	-63.133	-63.097	-63.128	-63.167	-63.062	-63.065	-63.204	-63.096	-63.058	-63.208	-63.057	-63.138	-63.100	143.044	143.303	143.370	143.403	143.294	143.365	143.402	143.436	143.400	143.295	143.366	143.226	143.214	143.186	143.335	143.114	143.180	143.324	143.318	143.404	143.402	143.332	143.222	143.365	143.368	143.367	143.436	143.401	143.159	143.363	143.260	143.404	113.705	113.715	113.728	113.666	113.680	113.684	113.639	113.645	113.606	113.622	113.601	113.645	113.576	113.603	113.605	113.614	113.603	113.594	113.571	113.582	113.570	113.591	113.621	113.564	113.565	113.611	113.565	113.557	113.644	113.563	113.605	113.571	2016_7_15_11_32_01
F2LS3HZVHFM5____	-64.119	-64.258	-64.328	-64.153	-64.155	-64.190	-64.082	-64.119	-63.969	-63.970	-63.934	-64.017	-63.830	-63.841	-63.942	-63.872	-63.865	-63.906	-63.826	-63.908	-63.873	-63.910	-63.946	-63.831	-63.839	-63.979	-63.872	-63.839	-63.981	-63.840	-63.909	-63.872	142.806	143.022	143.086	143.122	143.052	143.089	143.157	143.191	143.153	143.050	143.115	142.946	142.974	142.938	143.054	142.870	142.937	143.079	143.074	143.123	143.154	143.088	142.981	143.120	143.087	143.088	143.188	143.156	142.877	143.120	142.982	143.124	114.067	114.081	114.095	114.031	114.042	114.048	114.002	114.009	113.965	113.981	113.959	114.012	113.946	113.954	113.971	113.975	113.963	113.955	113.929	113.949	113.933	113.955	113.983	113.924	113.931	113.978	113.928	113.921	114.010	113.927	113.971	113.937	2016_7_15_11_32_05
