SN	Distance_X_LOGO_Earphone_LD1	Distance_X_LOGO_Earphone_LD2	Distance_X_LOGO_Earphone_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_LD1	Distance_Y_LOGO_Earphone_LD2	Distance_Y_LOGO_Earphone_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_LD1	Angle_Earphone_LD2	Angle_Earphone_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-29.511	-29.493	-29.480	-29.604	-29.532	-29.534	-29.566	-29.533	-29.498	-29.533	-29.637	-29.677	-29.496	-29.410	-29.326	-29.430	-29.465	-29.535	-29.445	-29.394	-29.449	-29.428	-29.428	-29.497	-29.465	-29.375	-29.431	-29.410	-29.465	-29.394	-29.570	-29.464	139.104	138.900	139.138	139.228	139.148	139.111	139.337	139.220	139.181	139.260	139.286	139.361	139.230	139.068	138.905	139.100	139.205	139.182	138.928	139.129	138.827	139.232	139.200	139.276	139.205	139.068	139.093	139.103	139.205	139.067	139.245	139.199	101.799	101.809	101.784	101.825	101.804	101.808	101.801	101.798	101.788	101.795	101.834	101.843	101.783	101.762	101.743	101.768	101.773	101.802	101.788	101.751	101.798	101.756	101.758	101.779	101.773	101.749	101.769	101.759	101.773	101.756	101.811	101.773	2016_7_15_11_35_07
F2LS3EKPHFM2____	-29.704	-29.633	-29.685	-29.789	-29.716	-29.722	-29.751	-29.716	-29.683	-29.717	-29.822	-29.822	-29.683	-29.617	-29.510	-29.617	-29.614	-29.716	-29.649	-29.581	-29.638	-29.617	-29.615	-29.682	-29.614	-29.582	-29.616	-29.617	-29.614	-29.544	-29.757	-29.648	138.825	138.760	139.097	138.954	138.954	138.736	138.991	138.957	138.960	138.992	139.021	139.209	138.886	138.841	138.774	138.841	138.986	138.956	138.986	138.913	138.650	138.841	139.018	138.987	138.986	138.911	138.881	138.876	138.986	138.885	138.911	138.985	102.129	102.106	102.098	102.151	102.122	102.143	102.133	102.122	102.109	102.119	102.159	102.143	102.115	102.093	102.056	102.093	102.079	102.122	102.093	102.072	102.117	102.093	102.077	102.106	102.079	102.073	102.089	102.090	102.079	102.060	102.142	102.093	2016_7_15_11_35_11
F2LS3KLTHFM5____	-29.796	-29.725	-29.753	-29.882	-29.811	-29.811	-29.845	-29.810	-29.776	-29.812	-29.915	-29.950	-29.777	-29.704	-29.648	-29.708	-29.742	-29.811	-29.742	-29.671	-29.723	-29.704	-29.706	-29.774	-29.742	-29.671	-29.753	-29.707	-29.742	-29.671	-29.845	-29.741	138.869	138.769	138.988	139.025	138.960	138.917	139.030	138.996	138.997	139.033	139.031	139.141	138.921	139.016	138.673	138.989	139.019	139.026	138.989	138.917	138.697	139.060	139.059	139.055	139.019	139.015	138.778	138.985	139.019	138.919	139.027	139.020	102.066	102.046	102.039	102.087	102.064	102.068	102.071	102.061	102.047	102.058	102.099	102.104	102.054	102.017	102.024	102.021	102.032	102.058	102.034	102.012	102.051	102.013	102.014	102.042	102.032	102.004	102.057	102.021	102.032	102.012	102.072	102.031	2016_7_15_11_35_15
F2LS3SMLHFM5____	-29.639	-29.571	-29.617	-29.718	-29.648	-29.648	-29.688	-29.648	-29.613	-29.653	-29.753	-29.788	-29.619	-29.551	-29.446	-29.551	-29.584	-29.648	-29.578	-29.513	-29.570	-29.546	-29.543	-29.683	-29.584	-29.508	-29.552	-29.550	-29.584	-29.508	-29.683	-29.583	138.954	138.821	139.158	139.050	139.015	138.945	139.155	139.050	139.050	139.191	139.085	139.120	139.045	139.109	138.855	139.079	139.080	139.015	138.980	139.075	138.775	139.181	139.050	139.085	139.080	139.050	139.042	139.075	139.080	138.945	139.050	139.105	102.106	102.090	102.080	102.129	102.104	102.110	102.108	102.101	102.088	102.091	102.140	102.151	102.090	102.058	102.038	102.061	102.074	102.104	102.080	102.046	102.093	102.050	102.060	102.112	102.074	102.046	102.064	102.061	102.074	102.055	102.115	102.071	2016_7_15_11_35_20
F2LS38TUGRXL____	-29.370	-29.253	-29.348	-29.456	-29.384	-29.383	-29.417	-29.383	-29.349	-29.383	-29.490	-29.526	-29.349	-29.277	-29.173	-29.276	-29.313	-29.382	-29.310	-29.242	-29.314	-29.282	-29.276	-29.347	-29.313	-29.242	-29.276	-29.278	-29.313	-29.242	-29.417	-29.313	138.879	138.825	139.079	138.996	139.039	138.854	139.069	138.963	139.037	138.997	139.030	139.175	138.967	139.004	138.781	138.935	139.003	138.999	138.935	138.927	138.698	139.149	139.006	139.039	139.003	138.996	138.934	139.002	139.003	138.932	139.031	139.033	102.031	101.989	102.005	102.055	102.023	102.038	102.033	102.029	102.009	102.026	102.065	102.067	102.015	101.983	101.961	101.989	101.998	102.025	102.002	101.976	102.023	101.974	101.983	102.008	101.998	101.970	101.989	101.984	101.998	101.976	102.037	101.995	2016_7_15_11_35_23
F2LS3TKDHFM5____	-29.326	-29.251	-29.335	-29.443	-29.371	-29.378	-29.407	-29.372	-29.378	-29.378	-29.444	-29.478	-29.343	-29.273	-29.163	-29.268	-29.303	-29.370	-29.302	-29.197	-29.287	-29.267	-29.273	-29.336	-29.303	-29.231	-29.268	-29.308	-29.303	-29.197	-29.343	-29.267	138.911	138.788	139.180	139.108	139.039	138.880	139.184	139.040	139.042	139.020	139.139	139.247	138.915	138.985	138.859	139.008	139.069	139.034	139.005	139.001	138.775	139.181	138.985	139.141	139.069	139.065	139.006	139.003	139.069	139.005	138.915	139.035	101.921	101.901	101.902	101.950	101.928	101.943	101.930	101.928	101.930	101.932	101.948	101.952	101.927	101.893	101.860	101.890	101.898	101.928	101.903	101.862	101.916	101.875	101.893	101.905	101.898	101.870	101.890	101.906	101.898	101.862	101.927	101.887	2016_7_15_11_35_28
F2LS3MG9HFM5____	-29.380	-29.312	-29.345	-29.468	-29.380	-29.399	-29.431	-29.397	-29.345	-29.398	-29.485	-29.536	-29.345	-29.275	-29.227	-29.293	-29.380	-29.397	-29.310	-29.257	-29.312	-29.292	-29.292	-29.361	-29.380	-29.256	-29.294	-29.292	-29.380	-29.258	-29.469	-29.327	138.940	138.806	138.982	139.095	138.947	138.954	139.125	139.060	138.982	139.096	139.017	139.237	138.912	138.982	138.806	139.027	138.982	139.056	138.912	138.987	138.764	139.206	139.136	139.095	138.982	139.058	139.025	139.027	138.982	138.990	139.099	139.091	101.975	101.959	101.958	101.996	101.974	101.981	101.980	101.972	101.958	101.969	102.010	102.012	101.963	101.930	101.925	101.933	101.971	101.972	101.950	101.922	101.963	101.918	101.924	101.955	101.971	101.916	101.934	101.933	101.971	101.923	101.997	101.941	2016_7_15_11_35_31
F2LS3BDVGRXL____	-29.317	-29.239	-29.293	-29.398	-29.327	-29.327	-29.360	-29.326	-29.292	-29.327	-29.431	-29.468	-29.292	-29.220	-29.118	-29.259	-29.257	-29.325	-29.257	-29.188	-29.278	-29.222	-29.265	-29.290	-29.257	-29.160	-29.224	-29.224	-29.257	-29.188	-29.361	-29.256	138.827	138.776	139.109	138.999	138.966	138.896	139.105	138.967	139.003	139.001	139.066	139.174	138.933	139.064	138.778	138.963	138.965	139.032	139.002	138.923	138.656	139.103	138.912	139.103	138.965	138.912	138.930	138.964	138.965	138.930	139.032	139.065	101.968	101.941	101.935	101.986	101.960	101.966	101.961	101.960	101.943	101.957	101.993	101.999	101.949	101.910	101.893	101.934	101.933	101.954	101.930	101.909	101.967	101.907	101.940	101.934	101.933	101.899	101.922	101.920	101.933	101.908	101.968	101.924	2016_7_15_11_35_35
F2LS35BZHFM1____	-29.737	-29.662	-29.752	-29.820	-29.751	-29.790	-29.786	-29.750	-29.716	-29.751	-29.857	-29.891	-29.716	-29.684	-29.538	-29.648	-29.682	-29.752	-29.683	-29.610	-29.666	-29.646	-29.646	-29.715	-29.682	-29.609	-29.648	-29.648	-29.682	-29.611	-29.787	-29.681	138.845	138.793	139.096	139.048	139.016	138.907	139.079	139.016	139.018	139.052	139.082	139.161	138.978	139.043	138.840	138.947	139.041	139.048	138.977	138.940	138.712	139.049	139.049	139.047	139.041	139.036	138.977	138.980	139.041	138.947	139.019	139.039	101.909	101.884	101.894	101.925	101.900	101.925	101.909	101.900	101.887	101.897	101.937	101.943	101.890	101.872	101.832	101.866	101.871	101.898	101.877	101.851	101.892	101.856	101.857	101.884	101.871	101.843	101.863	101.863	101.871	101.851	101.914	101.871	2016_7_15_11_35_39
F2LS3HZVHFM5____	-30.425	-30.355	-30.440	-30.547	-30.478	-30.486	-30.510	-30.476	-30.443	-30.477	-30.580	-30.582	-30.443	-30.372	-30.270	-30.378	-30.373	-30.476	-30.406	-30.339	-30.360	-30.372	-30.371	-30.441	-30.373	-30.339	-30.375	-30.339	-30.373	-30.339	-30.510	-30.373	138.686	138.590	138.890	138.883	138.846	138.538	138.854	138.818	138.847	138.851	138.884	139.026	138.810	138.844	138.599	138.855	138.845	138.779	138.747	138.710	138.442	138.922	138.787	138.851	138.845	138.774	138.809	138.812	138.845	138.776	138.851	138.818	102.261	102.241	102.249	102.292	102.268	102.298	102.280	102.270	102.254	102.267	102.305	102.293	102.257	102.226	102.207	102.228	102.227	102.273	102.248	102.225	102.256	102.220	102.231	102.253	102.227	102.219	102.231	102.216	102.227	102.219	102.280	102.229	2016_7_15_11_35_42
