SN	Distance_X_LOGO_Front_Camera_LD1	Distance_X_LOGO_Front_Camera_LD2	Distance_X_LOGO_Front_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_LD1	Distance_Y_LOGO_Front_Camera_LD2	Distance_Y_LOGO_Front_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_LD1	Angle_Front_Camera_LD2	Angle_Front_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-23.071	-23.008	-23.009	-22.936	-22.936	-22.856	-22.849	-22.781	-22.779	-22.783	-22.778	-22.778	-22.854	-22.853	-22.811	-22.853	-22.779	-22.812	-22.898	-22.742	-22.783	-22.816	-22.814	-22.847	-22.810	-22.778	-22.745	-22.941	-22.868	-22.889	-22.849	-22.854	138.854	138.804	138.800	138.837	138.837	138.887	138.979	138.827	138.901	138.896	138.939	138.939	138.911	138.886	138.938	138.886	138.901	138.909	138.870	138.938	138.896	138.944	138.791	138.879	138.839	138.939	138.874	138.828	138.731	138.827	138.793	138.911	99.255	99.233	99.234	99.202	99.202	99.167	99.158	99.141	99.135	99.137	99.132	99.132	99.164	99.165	99.145	99.165	99.135	99.147	99.185	99.117	99.137	99.147	99.156	99.163	99.151	99.132	99.123	99.204	99.181	99.184	99.170	99.164	2016_7_15_11_51_45
F2LS3EKPHFM2____	-23.202	-23.135	-23.131	-23.065	-23.065	-22.992	-23.029	-22.998	-22.994	-22.998	-22.997	-22.997	-23.027	-23.033	-23.033	-23.033	-22.994	-23.033	-23.025	-22.960	-22.998	-22.986	-23.030	-23.070	-23.026	-22.997	-22.959	-23.068	-22.994	-23.062	-23.026	-23.027	138.738	138.739	138.738	138.775	138.775	138.828	138.809	138.708	138.785	138.779	138.775	138.775	138.818	138.820	138.773	138.820	138.785	138.740	138.855	138.769	138.779	138.872	138.710	138.706	138.675	138.775	138.706	138.772	138.672	138.759	138.718	138.818	99.545	99.518	99.517	99.488	99.488	99.455	99.471	99.465	99.459	99.460	99.461	99.461	99.470	99.472	99.475	99.472	99.459	99.477	99.466	99.446	99.460	99.450	99.478	99.494	99.479	99.461	99.450	99.489	99.466	99.488	99.476	99.470	2016_7_15_11_51_49
F2LS3KLTHFM5____	-23.230	-23.157	-23.190	-23.085	-23.085	-23.016	-23.052	-22.976	-22.977	-22.978	-22.975	-22.975	-23.052	-23.012	-23.012	-23.012	-22.977	-23.011	-23.051	-22.940	-22.978	-23.017	-23.012	-23.046	-23.010	-22.975	-22.982	-23.122	-23.017	-23.087	-23.046	-23.052	138.829	138.857	138.856	138.933	138.933	138.945	138.898	138.823	138.862	138.897	138.892	138.892	138.891	138.895	138.861	138.895	138.862	138.858	138.928	138.939	138.897	138.891	138.788	138.824	138.790	138.892	138.822	138.890	138.789	138.828	138.791	138.891	99.455	99.424	99.437	99.390	99.390	99.362	99.379	99.354	99.351	99.349	99.349	99.349	99.380	99.363	99.365	99.363	99.351	99.365	99.377	99.331	99.349	99.365	99.370	99.382	99.369	99.349	99.356	99.408	99.372	99.398	99.384	99.380	2016_7_15_11_50_07
F2LS3SMLHFM5____	-23.166	-23.096	-23.059	-23.026	-23.026	-22.958	-22.991	-22.920	-22.921	-22.920	-22.920	-22.920	-22.989	-22.956	-22.956	-22.956	-22.921	-22.955	-22.990	-22.885	-22.920	-22.956	-22.956	-22.991	-22.951	-22.920	-22.883	-22.993	-22.955	-22.989	-22.993	-22.989	138.855	138.855	138.859	138.888	138.888	138.858	138.921	138.863	138.828	138.891	138.887	138.887	138.889	138.891	138.884	138.891	138.828	138.849	138.925	138.890	138.891	138.850	138.787	138.818	138.787	138.887	138.819	138.890	138.783	138.794	138.760	138.889	99.537	99.509	99.493	99.478	99.478	99.453	99.462	99.437	99.440	99.436	99.436	99.436	99.463	99.450	99.450	99.450	99.440	99.452	99.461	99.422	99.436	99.453	99.457	99.469	99.455	99.436	99.426	99.465	99.457	99.470	99.474	99.463	2016_7_15_11_50_11
F2LS38TUGRXL____	-22.930	-22.917	-22.905	-22.909	-22.909	-22.715	-22.704	-22.677	-22.672	-22.674	-22.673	-22.673	-22.874	-22.707	-22.699	-22.707	-22.672	-22.700	-22.874	-22.636	-22.674	-22.839	-22.706	-22.738	-22.708	-22.673	-22.804	-22.836	-22.839	-22.909	-22.739	-22.874	138.860	138.896	138.903	138.838	138.838	138.886	138.982	138.763	138.844	138.885	138.881	138.881	138.838	138.883	138.929	138.883	138.844	138.896	138.873	138.877	138.885	138.908	138.779	138.821	138.794	138.881	138.768	138.900	138.803	138.768	138.780	138.838	99.466	99.459	99.453	99.459	99.459	99.378	99.368	99.371	99.364	99.362	99.362	99.362	99.445	99.375	99.369	99.375	99.364	99.372	99.443	99.347	99.362	99.427	99.382	99.392	99.382	99.362	99.422	99.426	99.433	99.464	99.395	99.445	2016_7_15_11_50_15
F2LS3TKDHFM5____	-22.854	-22.780	-22.820	-22.712	-22.712	-22.640	-22.641	-22.602	-22.603	-22.603	-22.603	-22.603	-22.675	-22.636	-22.636	-22.636	-22.603	-22.636	-22.674	-22.567	-22.603	-22.606	-22.566	-22.602	-22.599	-22.603	-22.606	-22.712	-22.640	-22.709	-22.671	-22.675	138.848	138.874	138.847	138.909	138.909	138.907	138.944	138.839	138.874	138.907	138.912	138.912	138.906	138.882	138.909	138.882	138.874	138.873	138.944	138.907	138.907	138.910	138.807	138.842	138.810	138.912	138.841	138.909	138.808	138.840	138.810	138.906	99.346	99.315	99.333	99.285	99.285	99.257	99.254	99.246	99.244	99.242	99.241	99.241	99.271	99.257	99.255	99.257	99.244	99.257	99.268	99.227	99.242	99.243	99.233	99.245	99.247	99.241	99.247	99.286	99.263	99.289	99.275	99.271	2016_7_15_11_50_19
F2LS3MG9HFM5____	-22.860	-22.785	-22.789	-22.679	-22.679	-22.609	-22.644	-22.570	-22.571	-22.607	-22.605	-22.605	-22.682	-22.640	-22.604	-22.640	-22.571	-22.606	-22.643	-22.569	-22.607	-22.609	-22.640	-22.674	-22.640	-22.605	-22.611	-22.719	-22.646	-22.713	-22.672	-22.682	138.863	138.866	138.900	138.906	138.906	138.911	138.941	138.872	138.872	138.878	138.903	138.903	138.898	138.877	138.902	138.877	138.872	138.902	138.940	138.901	138.878	138.904	138.834	138.830	138.804	138.903	138.833	138.898	138.795	138.835	138.772	138.898	99.383	99.353	99.353	99.308	99.308	99.279	99.291	99.266	99.267	99.281	99.278	99.278	99.310	99.294	99.278	99.294	99.267	99.279	99.291	99.264	99.281	99.280	99.297	99.311	99.299	99.278	99.285	99.325	99.302	99.326	99.314	99.310	2016_7_15_11_50_23
F2LS3BDVGRXL____	-22.814	-22.741	-22.776	-22.704	-22.704	-22.601	-22.667	-22.562	-22.562	-22.563	-22.560	-22.560	-22.634	-22.596	-22.595	-22.596	-22.562	-22.596	-22.634	-22.526	-22.563	-22.599	-22.596	-22.633	-22.594	-22.560	-22.564	-22.676	-22.601	-22.670	-22.629	-22.634	138.799	138.798	138.834	138.832	138.832	138.839	138.869	138.763	138.800	138.834	138.832	138.832	138.869	138.834	138.831	138.834	138.800	138.800	138.867	138.832	138.834	138.870	138.729	138.735	138.730	138.832	138.798	138.831	138.696	138.772	138.731	138.869	99.377	99.348	99.360	99.331	99.331	99.289	99.314	99.279	99.276	99.274	99.273	99.273	99.301	99.288	99.288	99.288	99.276	99.290	99.301	99.260	99.274	99.286	99.294	99.309	99.294	99.273	99.277	99.320	99.299	99.322	99.308	99.301	2016_7_15_11_50_27
F2LS35BZHFM1____	-23.241	-23.138	-23.171	-23.107	-23.107	-23.036	-23.070	-23.002	-23.003	-23.003	-23.001	-23.001	-23.068	-23.040	-23.037	-23.040	-23.003	-23.037	-23.068	-22.967	-23.003	-23.032	-23.039	-23.073	-23.039	-23.001	-23.002	-23.105	-23.033	-23.105	-23.037	-23.068	138.856	138.816	138.858	138.845	138.845	138.899	138.925	138.826	138.866	138.902	138.892	138.892	138.891	138.899	138.891	138.899	138.866	138.852	138.928	138.893	138.902	138.890	138.788	138.821	138.749	138.892	138.775	138.887	138.785	138.826	138.794	138.891	99.323	99.284	99.294	99.270	99.270	99.237	99.249	99.229	99.226	99.224	99.224	99.224	99.251	99.239	99.239	99.239	99.226	99.241	99.248	99.210	99.224	99.236	99.246	99.257	99.249	99.224	99.232	99.266	99.244	99.270	99.245	99.251	2016_7_15_11_51_02
F2LS3HZVHFM5____	-23.873	-23.798	-23.801	-23.728	-23.728	-23.657	-23.694	-23.620	-23.620	-23.620	-23.619	-23.619	-23.692	-23.656	-23.655	-23.656	-23.620	-23.654	-23.691	-23.584	-23.620	-23.658	-23.655	-23.689	-23.650	-23.619	-23.623	-23.733	-23.658	-23.727	-23.688	-23.692	138.735	138.736	138.734	138.768	138.768	138.769	138.778	138.701	138.733	138.769	138.769	138.769	138.771	138.769	138.767	138.769	138.733	138.734	138.804	138.768	138.769	138.770	138.666	138.701	138.669	138.769	138.700	138.766	138.665	138.701	138.666	138.771	99.651	99.621	99.622	99.590	99.590	99.562	99.576	99.552	99.549	99.547	99.547	99.547	99.576	99.562	99.561	99.562	99.549	99.563	99.573	99.533	99.547	99.562	99.568	99.579	99.566	99.547	99.553	99.593	99.569	99.595	99.582	99.576	2016_7_15_11_50_39
