SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-26.041	-26.015	-26.015	-25.945	-26.085	-25.867	4.260	-25.958	4.260	-26.015	-26.015	-25.910	-25.980	-26.015	-25.980	-25.980	-26.143	-26.050	-25.875	-25.980	-26.015	-26.015	-26.085	4.260	-26.050	-26.085	-26.155	-26.015	-25.980	-25.910	-26.155	-26.050	138.709	138.683	138.683	138.613	138.683	138.722	149.253	138.717	149.253	138.753	138.683	138.648	138.648	138.683	138.718	138.648	139.136	138.683	138.613	138.578	138.613	138.613	138.648	149.253	138.683	138.648	138.788	138.788	138.613	138.823	138.578	138.718	100.454	100.446	100.446	100.423	100.474	100.384	88.187	100.421	88.187	100.441	100.446	100.407	100.434	100.446	100.429	100.434	100.463	100.460	100.395	100.440	100.451	100.451	100.476	88.187	100.460	100.476	100.494	100.438	100.437	100.393	100.510	100.457	2016_7_15_14_51_45
F2LS3EKPHFM2____	-26.127	-26.092	-26.093	-26.022	-26.161	-25.955	-26.123	-26.090	-25.989	-26.091	-26.089	-25.990	-26.096	-26.089	-26.090	-26.057	-26.235	-26.125	-26.029	-26.057	-26.094	-26.093	-26.158	-26.062	-26.123	-26.158	-26.237	-26.093	-26.056	-25.992	-26.235	-26.128	138.941	138.907	138.941	138.843	138.942	138.841	138.902	138.917	138.905	138.974	138.946	138.903	138.868	138.946	138.940	138.910	138.944	138.940	138.834	138.845	138.869	138.877	138.906	138.834	138.940	138.913	139.083	139.019	138.870	139.051	138.805	139.011	100.701	100.690	100.687	100.667	100.714	100.640	100.702	100.688	100.649	100.684	100.685	100.649	100.694	100.685	100.686	100.675	100.744	100.700	100.670	100.680	100.693	100.692	100.716	100.683	100.700	100.715	100.734	100.682	100.678	100.639	100.754	100.696	2016_7_15_14_51_52
F2LS3KLTHFM5____	-26.200	-26.168	-26.162	-26.094	-26.235	-26.022	-26.161	-26.161	-26.057	-26.166	-26.166	-26.055	-26.183	-26.166	-26.170	-26.128	-26.304	-26.200	-26.095	-26.127	-26.164	-26.165	-26.236	-26.132	-26.253	-26.288	-26.306	-26.166	-26.126	-26.113	-26.358	-26.202	139.039	139.065	139.039	138.967	139.039	138.964	139.034	138.968	139.028	139.134	139.071	138.996	138.988	139.071	139.101	139.030	139.075	139.037	138.855	138.960	138.966	138.999	139.007	138.986	139.023	138.918	139.141	139.067	138.992	139.093	138.848	139.071	100.627	100.613	100.612	100.590	100.641	100.562	100.612	100.617	100.571	100.607	100.611	100.573	100.625	100.611	100.611	100.599	100.666	100.627	100.600	100.604	100.618	100.616	100.644	100.604	100.650	100.672	100.662	100.612	100.601	100.589	100.705	100.626	2016_7_15_14_51_54
F2LS3SMLHFM5____	-26.110	-26.077	-26.075	-26.006	-26.147	-25.933	-26.044	-26.074	-25.935	-26.075	-26.076	-25.934	-26.010	-26.076	-26.039	-26.040	-26.219	-26.113	-26.010	-26.041	-26.078	-26.077	-26.150	-26.045	-26.113	-26.147	-26.217	-26.077	-26.040	-25.973	-26.220	-26.114	139.060	139.033	139.055	138.987	139.061	138.987	139.037	138.989	139.022	139.104	139.038	139.020	138.998	139.038	139.066	138.998	139.096	139.058	138.894	138.954	138.984	138.968	139.027	138.961	139.060	139.004	139.167	139.064	138.962	139.103	138.886	139.068	100.699	100.688	100.686	100.663	100.714	100.634	100.674	100.690	100.632	100.682	100.687	100.632	100.664	100.687	100.670	100.676	100.739	100.700	100.672	100.680	100.692	100.693	100.717	100.681	100.700	100.718	100.734	100.686	100.679	100.641	100.756	100.700	2016_7_15_14_51_58
F2LS38TUGRXL____	-25.989	-25.896	-25.931	-25.828	-25.969	-25.755	-25.891	-25.954	-25.747	-25.897	-25.898	-25.793	-25.863	-25.898	-25.861	-25.858	-26.032	-25.928	-25.827	-25.859	-25.895	-25.884	-25.966	-25.857	-25.929	-25.967	-26.070	-25.930	-25.859	-25.790	-26.040	-25.971	138.943	139.042	138.983	138.910	138.986	138.917	139.044	138.873	139.005	139.116	139.023	138.989	138.952	139.023	139.104	138.988	139.081	139.025	138.905	138.859	138.920	138.873	138.951	138.974	138.985	138.951	139.148	139.079	138.920	139.117	138.862	139.076	100.684	100.640	100.658	100.623	100.673	100.593	100.638	100.675	100.583	100.635	100.642	100.603	100.634	100.642	100.621	100.629	100.691	100.654	100.623	100.639	100.649	100.648	100.674	100.630	100.657	100.675	100.701	100.651	100.634	100.592	100.711	100.667	2016_7_15_14_52_01
F2LS3TKDHFM5____	-25.843	-25.816	-25.813	-25.745	-25.884	-25.677	-25.773	-25.812	-25.711	-25.813	-25.814	-25.633	-25.773	-25.814	-25.782	-25.776	-25.952	-25.849	-25.746	-25.773	-25.808	-25.808	-25.886	-25.778	-25.850	-25.887	-25.953	-25.815	-25.775	-25.710	-25.960	-25.851	139.020	139.076	139.050	138.997	139.078	139.001	139.078	139.002	139.039	139.145	139.048	138.915	138.985	139.048	139.110	139.010	139.114	139.050	138.936	138.915	138.880	138.950	139.041	139.008	139.051	139.038	139.182	139.108	138.977	139.147	138.902	139.087	100.530	100.515	100.516	100.493	100.542	100.465	100.498	100.519	100.476	100.509	100.517	100.454	100.505	100.517	100.499	100.504	100.567	100.531	100.498	100.510	100.527	100.521	100.546	100.505	100.531	100.547	100.562	100.513	100.506	100.468	100.586	100.528	2016_7_15_14_52_04
F2LS3MG9HFM5____	-25.902	-25.829	-25.834	-25.753	-25.939	-25.686	-25.832	-25.830	-25.719	-25.866	-25.830	-25.720	-25.797	-25.830	-25.835	-25.795	-25.968	-25.863	-25.763	-25.795	-25.880	-25.831	-25.950	-25.798	-25.904	-25.903	-25.968	-25.870	-25.831	-25.725	-25.972	-25.867	139.065	139.041	139.063	138.964	139.042	138.966	139.065	138.971	139.030	139.112	139.043	139.002	139.002	139.043	139.097	139.001	139.077	139.038	138.897	138.933	138.877	138.972	138.982	138.965	139.039	139.004	139.147	139.099	138.967	139.112	138.865	139.076	100.586	100.559	100.559	100.534	100.603	100.507	100.558	100.564	100.516	100.568	100.559	100.518	100.549	100.559	100.557	100.548	100.611	100.572	100.543	100.553	100.591	100.565	100.611	100.552	100.589	100.591	100.606	100.571	100.565	100.512	100.629	100.571	2016_7_15_14_52_07
F2LS3BDVGRXL____	-25.835	-25.740	-25.800	-25.674	-25.812	-25.598	-25.730	-25.740	-25.596	-25.741	-25.738	-25.695	-25.706	-25.738	-25.705	-25.695	-25.940	-25.774	-25.674	-25.765	-25.741	-25.730	-25.812	-25.707	-25.774	-25.812	-25.918	-25.743	-25.738	-25.639	-25.885	-25.777	138.947	139.004	138.947	138.931	138.983	138.930	138.877	138.933	139.004	139.068	139.004	138.912	138.963	139.004	139.033	138.912	138.912	139.001	138.855	138.842	138.961	138.877	138.968	138.929	139.003	138.971	139.083	139.033	138.899	139.072	138.826	139.038	100.576	100.534	100.562	100.513	100.564	100.483	100.540	100.540	100.477	100.530	100.534	100.523	100.524	100.534	100.518	100.523	100.621	100.548	100.519	100.556	100.538	100.540	100.566	100.527	100.548	100.566	100.600	100.533	100.541	100.489	100.605	100.547	2016_7_15_14_52_10
F2LS35BZHFM1____	-26.134	-26.098	-26.134	-26.033	-26.201	-25.992	-26.132	-26.131	-26.030	-26.105	-26.100	-25.997	-26.066	-26.100	-26.066	-26.066	-26.243	-26.132	-26.035	-26.063	-26.101	-26.103	-26.167	-26.145	-26.130	-26.201	-26.279	-26.100	-26.097	-26.002	-26.244	-26.137	139.006	138.977	139.005	138.945	139.007	138.908	138.975	138.910	138.944	139.125	138.986	138.967	138.966	138.986	139.041	138.942	139.043	139.006	138.864	138.908	138.935	138.912	138.975	138.902	139.008	138.948	139.108	139.007	138.902	139.047	138.832	139.041	100.468	100.456	100.469	100.433	100.495	100.419	100.470	100.475	100.432	100.448	100.457	100.417	100.444	100.457	100.439	100.446	100.509	100.468	100.440	100.448	100.461	100.463	100.484	100.481	100.467	100.500	100.519	100.455	100.461	100.413	100.525	100.467	2016_7_15_14_52_12
F2LS3HZVHFM5____	-26.836	-26.802	-26.798	-26.726	-26.869	-26.650	-26.796	-26.795	-26.685	-26.798	-26.799	-26.686	-26.765	-26.799	-26.797	-26.760	-26.942	-26.833	-26.761	-26.760	-26.797	-26.802	-26.903	-26.763	-26.829	-26.870	-26.942	-26.799	-26.761	-26.693	-26.940	-26.838	138.898	138.895	138.895	138.811	138.897	138.789	138.898	138.824	138.860	138.964	138.890	138.856	138.855	138.890	138.927	138.854	138.927	138.892	138.722	138.777	138.823	138.821	138.861	138.825	138.895	138.855	138.997	138.926	138.791	138.966	138.719	138.931	100.823	100.809	100.808	100.785	100.836	100.757	100.807	100.812	100.765	100.802	100.809	100.766	100.798	100.809	100.805	100.796	100.862	100.822	100.806	100.802	100.813	100.815	100.852	100.799	100.820	100.840	100.857	100.806	100.801	100.760	100.878	100.821	2016_7_15_14_52_15
