SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-50.758	-50.755	-50.829	-50.795	-50.794	-50.895	-50.643	-50.690	-50.618	-50.865	-50.830	-50.792	-50.585	-50.826	-50.758	-50.620	-50.718	-50.655	-50.690	-50.836	-50.620	-50.719	-50.756	-50.720	-50.585	-50.760	-50.585	-50.830	-50.756	-50.762	-50.682	-50.687	129.840	129.767	129.769	129.723	129.763	129.875	129.807	129.898	129.831	129.793	129.828	129.801	129.828	129.769	129.767	129.828	129.845	129.933	129.898	129.873	129.863	129.977	129.803	129.909	129.793	129.968	130.003	129.933	129.976	129.702	129.908	129.984	111.174	111.183	111.211	111.205	111.198	111.220	111.134	111.139	111.121	111.221	111.203	111.192	111.109	111.210	111.184	111.122	111.157	111.120	111.139	111.198	111.117	111.138	111.178	111.148	111.114	111.155	111.083	111.187	111.152	111.195	111.134	111.125	2016_7_15_14_55_27
F2LS3EKPHFM2____	-50.760	-50.758	-50.870	-50.795	-50.834	-50.898	-50.684	-50.721	-50.613	-50.896	-50.827	-50.797	-50.578	-50.829	-50.801	-50.611	-50.761	-50.691	-50.727	-50.835	-50.617	-50.724	-50.759	-50.724	-50.579	-50.797	-50.505	-50.828	-50.758	-50.769	-50.722	-50.688	129.954	129.883	129.879	129.846	129.880	129.988	129.960	130.025	129.953	129.915	129.951	129.915	129.958	129.881	129.883	129.954	129.990	130.061	130.024	129.987	129.986	130.092	129.917	130.023	129.928	130.093	130.126	130.058	130.088	129.812	130.025	130.098	111.387	111.397	111.440	111.416	111.426	111.435	111.357	111.361	111.331	111.444	111.413	111.407	111.317	111.424	111.413	111.330	111.382	111.344	111.364	111.411	111.327	111.352	111.392	111.363	111.321	111.380	111.264	111.397	111.366	111.412	111.362	111.338	2016_7_15_14_55_30
F2LS3KLTHFM5____	-50.928	-50.930	-50.968	-50.930	-50.934	-51.032	-50.785	-50.826	-50.756	-51.028	-50.965	-50.963	-50.715	-50.966	-50.897	-50.750	-50.860	-50.794	-50.860	-50.967	-50.755	-50.864	-50.898	-50.896	-50.717	-50.894	-50.646	-50.963	-50.928	-50.940	-50.825	-50.830	129.854	129.817	129.814	129.745	129.813	129.924	129.856	129.957	129.886	129.849	129.886	129.851	129.853	129.816	129.815	129.846	129.888	129.991	129.956	129.920	129.889	130.027	129.852	129.958	129.822	130.025	130.059	129.993	130.025	129.747	129.956	130.030	111.371	111.377	111.392	111.388	111.379	111.400	111.316	111.316	111.300	111.410	111.380	111.385	111.289	111.391	111.365	111.304	111.340	111.299	111.330	111.376	111.299	111.321	111.360	111.343	111.295	111.332	111.232	111.363	111.345	111.391	111.316	111.307	2016_7_15_14_55_32
F2LS3SMLHFM5____	-50.753	-50.753	-50.804	-50.788	-50.729	-50.858	-50.648	-50.683	-50.613	-50.858	-50.753	-50.788	-50.508	-50.823	-50.753	-50.579	-50.718	-50.648	-50.613	-50.788	-50.613	-50.648	-50.684	-50.718	-50.578	-50.694	-50.438	-50.823	-50.683	-50.747	-50.683	-50.656	129.880	129.810	129.829	129.775	129.868	129.915	129.880	129.950	129.880	129.845	129.880	129.915	129.880	129.810	129.810	129.894	129.915	129.985	129.950	129.915	129.915	130.020	129.851	129.950	129.845	130.085	130.055	129.985	130.020	129.747	129.950	130.083	111.409	111.419	111.436	111.438	111.401	111.444	111.369	111.372	111.355	111.454	111.409	111.417	111.315	111.446	111.419	111.340	111.390	111.353	111.345	111.417	111.350	111.348	111.387	111.385	111.347	111.356	111.262	111.420	111.361	111.427	111.372	111.342	2016_7_15_14_55_35
F2LS38TUGRXL____	-50.574	-50.606	-50.677	-50.643	-50.643	-50.707	-50.515	-50.534	-50.430	-50.734	-50.672	-50.642	-50.390	-50.673	-50.608	-50.419	-50.568	-50.501	-50.499	-50.642	-50.468	-50.536	-50.608	-50.571	-50.454	-50.629	-50.316	-50.629	-50.603	-50.613	-50.533	-50.501	129.886	129.815	129.818	129.783	129.813	129.926	129.882	129.960	129.886	129.843	129.890	129.849	129.885	129.819	129.817	129.878	129.925	129.994	129.958	129.922	129.923	130.024	129.851	129.957	129.843	130.018	130.056	129.983	130.026	129.750	129.958	130.034	111.364	111.387	111.414	111.406	111.401	111.409	111.342	111.338	111.309	111.432	111.401	111.396	111.294	111.412	111.388	111.306	111.356	111.320	111.325	111.385	111.318	111.329	111.382	111.352	111.325	111.366	111.240	111.371	111.355	111.399	111.338	111.314	2016_7_15_14_55_37
F2LS3TKDHFM5____	-50.607	-50.608	-50.680	-50.646	-50.645	-50.711	-50.493	-50.531	-50.425	-50.708	-50.678	-50.640	-50.421	-50.678	-50.610	-50.419	-50.567	-50.502	-50.538	-50.646	-50.462	-50.536	-50.604	-50.571	-50.423	-50.608	-50.319	-50.677	-50.605	-50.611	-50.532	-50.534	130.095	130.023	130.025	129.989	130.021	130.132	130.105	130.167	130.094	130.060	130.096	130.058	130.104	130.023	130.025	130.098	130.100	130.201	130.166	130.129	130.131	130.233	130.060	130.167	130.074	130.235	130.267	130.203	130.233	129.957	130.166	130.242	111.256	111.267	111.294	111.286	111.281	111.290	111.211	111.216	111.186	111.299	111.283	111.274	111.183	111.293	111.267	111.183	111.240	111.199	111.219	111.266	111.195	111.208	111.260	111.231	111.188	111.235	111.120	111.266	111.235	111.278	111.216	111.206	2016_7_15_14_55_39
F2LS3MG9HFM5____	-50.559	-50.557	-50.630	-50.592	-50.593	-50.695	-50.442	-50.487	-50.416	-50.693	-50.627	-50.593	-50.376	-50.625	-50.559	-50.408	-50.523	-50.455	-50.483	-50.597	-50.419	-50.525	-50.560	-50.525	-50.375	-50.558	-50.303	-50.622	-50.556	-50.562	-50.483	-50.486	129.948	129.876	129.877	129.842	129.875	129.955	129.924	130.017	129.949	129.884	129.949	129.912	129.954	129.877	129.878	129.950	129.983	130.051	130.016	129.984	129.981	130.086	129.912	130.017	129.925	130.089	130.121	130.023	130.084	129.808	129.989	130.093	111.295	111.305	111.332	111.323	111.319	111.346	111.253	111.257	111.240	111.356	111.320	111.313	111.224	111.331	111.305	111.237	111.276	111.240	111.255	111.304	111.236	111.261	111.300	111.271	111.228	111.273	111.171	111.308	111.273	111.317	111.260	111.245	2016_7_15_14_55_42
F2LS3BDVGRXL____	-50.533	-50.532	-50.606	-50.569	-50.571	-50.635	-50.421	-50.459	-50.388	-50.634	-50.603	-50.567	-50.349	-50.603	-50.536	-50.382	-50.496	-50.429	-50.460	-50.573	-50.392	-50.496	-50.532	-50.497	-50.350	-50.535	-50.242	-50.601	-50.532	-50.535	-50.459	-50.462	129.969	129.897	129.897	129.863	129.896	130.006	129.975	130.039	129.969	129.934	129.970	129.932	129.974	129.898	129.899	129.967	130.005	130.074	130.039	130.003	130.003	130.108	129.933	130.039	129.945	130.109	130.141	130.075	130.107	129.825	130.038	130.145	111.290	111.300	111.329	111.320	111.316	111.323	111.246	111.251	111.234	111.334	111.317	111.309	111.219	111.327	111.302	111.233	111.271	111.235	111.252	111.300	111.231	111.255	111.295	111.266	111.223	111.270	111.153	111.300	111.269	111.312	111.252	111.237	2016_7_15_14_55_44
F2LS35BZHFM1____	-50.759	-50.759	-50.827	-50.793	-50.796	-50.856	-50.643	-50.687	-50.616	-50.860	-50.824	-50.831	-50.573	-50.826	-50.793	-50.609	-50.722	-50.687	-50.687	-50.790	-50.618	-50.723	-50.794	-50.724	-50.576	-50.755	-50.505	-50.830	-50.753	-50.765	-50.686	-50.693	129.848	129.777	129.777	129.743	129.807	129.886	129.852	129.920	129.850	129.813	129.848	129.845	129.850	129.776	129.780	129.843	129.885	129.956	129.953	129.883	129.883	130.023	129.813	129.919	129.818	129.989	130.019	129.933	129.984	129.709	129.919	130.022	111.172	111.182	111.209	111.201	111.192	111.203	111.127	111.134	111.117	111.216	111.197	111.200	111.100	111.208	111.195	111.115	111.152	111.128	111.129	111.179	111.113	111.132	111.191	111.148	111.106	111.149	111.049	111.186	111.149	111.195	111.133	111.121	2016_7_15_14_55_47
F2LS3HZVHFM5____	-51.444	-51.445	-51.517	-51.483	-51.482	-51.549	-51.330	-51.370	-51.299	-51.549	-51.517	-51.479	-51.259	-51.517	-51.448	-51.294	-51.411	-51.337	-51.374	-51.482	-51.300	-51.406	-51.439	-51.405	-51.259	-51.448	-51.191	-51.514	-51.443	-51.447	-51.370	-51.373	129.745	129.678	129.675	129.638	129.674	129.782	129.762	129.817	129.747	129.708	129.743	129.712	129.763	129.672	129.676	129.756	129.782	129.854	129.817	129.781	129.784	129.887	129.714	129.818	129.728	129.883	129.926	129.852	129.889	129.608	129.816	129.899	111.516	111.526	111.554	111.547	111.541	111.550	111.470	111.477	111.460	111.561	111.544	111.534	111.442	111.555	111.528	111.457	111.498	111.458	111.478	111.525	111.455	111.480	111.518	111.490	111.448	111.496	111.392	111.526	111.494	111.538	111.477	111.465	2016_7_15_14_55_51
