SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-66.301	-66.152	-66.265	-66.008	-65.880	-66.046	-65.978	-66.091	-66.092	-66.024	-66.206	-66.026	-66.008	-66.125	-66.393	-65.976	-66.345	-66.099	-66.011	-66.101	-65.996	-65.973	-66.015	-65.879	-66.282	-66.014	-66.124	-66.238	-66.168	-66.016	-66.304	-65.989	131.331	131.108	131.293	131.114	131.110	130.968	131.115	130.970	131.004	130.905	131.133	131.115	131.114	131.007	131.178	131.086	131.094	131.120	130.968	131.117	130.904	131.142	131.043	130.936	131.154	131.008	130.795	131.217	131.078	131.145	131.098	131.179	116.608	116.595	116.602	116.544	116.500	116.583	116.533	116.598	116.592	116.586	116.610	116.550	116.544	116.603	116.667	116.538	116.665	116.574	116.570	116.576	116.577	116.527	116.559	116.530	116.632	116.565	116.641	116.606	116.606	116.541	116.650	116.526	2016_7_15_15_05_59
F2LS3EKPHFM2____	-66.286	-66.140	-66.254	-65.957	-65.871	-65.998	-65.930	-66.076	-66.077	-66.005	-66.193	-66.008	-65.957	-66.110	-66.378	-65.963	-66.293	-66.082	-66.002	-66.081	-65.978	-65.952	-66.001	-65.828	-66.234	-66.000	-66.113	-66.281	-66.162	-66.021	-66.291	-66.059	131.378	131.164	131.347	131.211	131.205	131.065	131.165	131.067	131.101	130.961	131.184	131.169	131.211	131.062	131.270	131.098	131.143	131.173	131.069	131.172	130.958	131.201	131.098	131.028	131.197	131.066	130.855	131.308	131.092	131.235	131.144	131.225	116.824	116.811	116.818	116.739	116.710	116.779	116.737	116.805	116.800	116.800	116.826	116.764	116.739	116.818	116.875	116.761	116.868	116.789	116.779	116.789	116.790	116.739	116.774	116.726	116.838	116.779	116.856	116.835	116.831	116.757	116.867	116.772	2016_7_15_15_06_02
F2LS3KLTHFM5____	-66.352	-66.211	-66.318	-66.073	-65.985	-66.075	-66.040	-66.144	-66.111	-66.082	-66.263	-66.087	-66.073	-66.183	-66.416	-66.039	-66.359	-66.190	-66.039	-66.154	-66.053	-66.038	-66.075	-65.906	-66.385	-66.075	-66.178	-66.347	-66.277	-66.095	-66.359	-66.135	131.373	131.155	131.299	131.157	131.151	131.017	131.159	131.054	131.061	130.952	131.170	131.129	131.157	131.053	131.224	131.089	131.138	131.134	131.010	131.164	130.953	131.189	131.089	130.983	131.196	131.053	130.845	131.256	131.127	131.184	131.101	131.222	116.753	116.742	116.754	116.694	116.664	116.719	116.682	116.736	116.724	116.733	116.757	116.703	116.694	116.750	116.801	116.694	116.796	116.738	116.708	116.721	116.722	116.676	116.706	116.666	116.795	116.712	116.785	116.771	116.770	116.697	116.803	116.704	2016_7_15_15_06_05
F2LS3SMLHFM5____	-66.204	-66.067	-66.173	-65.916	-65.791	-65.962	-65.858	-65.967	-66.004	-65.936	-66.120	-65.939	-65.916	-66.032	-66.270	-65.890	-66.219	-66.010	-65.919	-66.013	-65.906	-65.881	-65.928	-65.790	-66.238	-65.926	-66.038	-66.171	-66.094	-65.894	-66.218	-65.921	131.386	131.159	131.351	131.178	131.211	131.063	131.215	131.062	131.097	130.963	131.194	131.171	131.178	131.109	131.280	131.144	131.152	131.175	131.031	131.175	130.923	131.206	131.097	131.031	131.167	131.062	130.855	131.317	131.139	131.243	131.156	131.229	116.808	116.800	116.803	116.744	116.695	116.780	116.718	116.782	116.789	116.789	116.812	116.753	116.744	116.797	116.850	116.741	116.854	116.778	116.771	116.779	116.785	116.727	116.762	116.726	116.858	116.768	116.843	116.809	116.813	116.725	116.853	116.737	2016_7_15_15_06_07
F2LS38TUGRXL____	-66.108	-65.962	-66.076	-65.821	-65.692	-65.854	-65.788	-65.895	-65.897	-65.829	-65.966	-65.834	-65.821	-65.927	-66.196	-65.787	-66.121	-65.902	-65.825	-65.904	-65.801	-65.782	-65.823	-65.646	-66.083	-65.822	-65.927	-66.060	-66.023	-65.916	-66.141	-65.808	131.435	131.223	131.402	131.224	131.217	131.082	131.226	131.084	131.151	130.973	131.239	131.185	131.224	131.118	131.286	131.156	131.197	131.192	131.082	131.191	130.979	131.255	131.155	131.045	131.259	131.121	130.877	131.321	131.150	131.249	131.202	131.286	116.791	116.777	116.785	116.728	116.684	116.764	116.716	116.778	116.767	116.774	116.776	116.739	116.728	116.783	116.848	116.728	116.837	116.762	116.754	116.763	116.764	116.709	116.741	116.698	116.813	116.746	116.825	116.794	116.811	116.757	116.843	116.712	2016_7_15_15_06_09
F2LS3TKDHFM5____	-66.146	-65.999	-66.071	-65.814	-65.727	-65.856	-65.782	-65.934	-65.897	-65.868	-66.008	-65.867	-65.814	-65.933	-66.194	-65.780	-66.133	-65.938	-65.822	-65.936	-65.805	-65.773	-65.818	-65.685	-66.091	-65.859	-65.973	-66.092	-66.018	-65.838	-66.147	-65.840	131.541	131.317	131.498	131.359	131.353	131.219	131.362	131.219	131.253	131.114	131.337	131.327	131.359	131.252	131.386	131.290	131.299	131.329	131.218	131.330	131.114	131.392	131.292	131.180	131.355	131.255	131.009	131.462	131.286	131.390	131.340	131.430	116.695	116.683	116.677	116.612	116.582	116.651	116.600	116.678	116.659	116.673	116.683	116.636	116.612	116.672	116.739	116.612	116.733	116.660	116.639	116.659	116.651	116.592	116.625	116.598	116.709	116.646	116.729	116.690	116.695	116.614	116.731	116.608	2016_7_15_15_06_12
F2LS3MG9HFM5____	-66.026	-65.886	-65.991	-65.733	-65.652	-65.741	-65.708	-65.820	-65.821	-65.755	-65.933	-65.761	-65.733	-65.852	-66.080	-65.710	-66.079	-65.831	-65.741	-65.837	-65.727	-65.704	-65.747	-65.606	-66.060	-65.743	-65.852	-66.030	-65.949	-65.759	-66.036	-65.726	131.441	131.215	131.369	131.270	131.220	131.077	131.226	131.079	131.118	130.975	131.242	131.185	131.270	131.121	131.289	131.156	131.161	131.190	131.081	131.188	130.972	131.255	131.155	131.048	131.217	131.121	130.911	131.323	131.147	131.251	131.205	131.287	116.707	116.697	116.707	116.634	116.615	116.671	116.633	116.698	116.692	116.694	116.709	116.659	116.634	116.702	116.752	116.646	116.774	116.683	116.670	116.685	116.685	116.627	116.659	116.629	116.758	116.664	116.739	116.729	116.731	116.647	116.751	116.629	2016_7_15_15_06_14
F2LS3BDVGRXL____	-66.022	-65.922	-65.992	-65.735	-65.650	-65.779	-65.706	-65.818	-65.852	-65.752	-65.919	-65.787	-65.735	-65.888	-66.138	-65.702	-66.020	-65.857	-65.744	-65.859	-65.759	-65.703	-65.743	-65.609	-66.120	-65.745	-65.886	-66.037	-65.935	-65.751	-66.062	-65.758	131.449	131.233	131.411	131.275	131.269	131.129	131.276	131.133	131.135	131.032	131.249	131.240	131.275	131.169	131.305	131.205	131.216	131.242	131.133	131.243	131.031	131.302	131.203	131.097	131.276	131.171	130.927	131.340	131.204	131.264	131.256	131.300	116.712	116.715	116.709	116.643	116.614	116.684	116.632	116.696	116.708	116.691	116.711	116.667	116.643	116.715	116.778	116.643	116.752	116.691	116.671	116.692	116.694	116.627	116.658	116.630	116.777	116.664	116.756	116.737	116.725	116.650	116.760	116.646	2016_7_15_15_06_17
F2LS35BZHFM1____	-66.272	-66.128	-66.239	-65.949	-65.831	-65.987	-65.912	-66.058	-66.060	-65.957	-66.132	-65.960	-65.949	-66.057	-66.324	-65.910	-66.219	-66.029	-65.950	-66.026	-65.924	-65.911	-65.946	-65.823	-66.223	-65.947	-66.090	-66.215	-66.144	-66.001	-66.240	-65.967	131.334	131.118	131.299	131.159	131.154	131.017	131.156	131.015	131.051	130.911	131.135	131.124	131.159	131.050	131.226	131.087	131.099	131.125	131.016	131.126	130.911	131.194	131.089	130.979	131.152	131.053	130.779	131.258	131.080	131.188	131.134	131.225	116.596	116.585	116.591	116.515	116.475	116.553	116.502	116.578	116.572	116.561	116.583	116.525	116.515	116.572	116.634	116.514	116.620	116.549	116.540	116.548	116.550	116.495	116.526	116.502	116.612	116.533	116.631	116.590	116.597	116.528	116.621	116.510	2016_7_15_15_06_19
F2LS3HZVHFM5____	-66.986	-66.834	-66.954	-66.700	-66.566	-66.736	-66.668	-66.772	-66.769	-66.698	-66.850	-66.709	-66.700	-66.809	-67.041	-66.666	-67.034	-66.775	-66.705	-66.776	-66.671	-66.663	-66.702	-66.522	-66.927	-66.703	-66.802	-66.980	-66.868	-66.719	-66.991	-66.691	131.049	130.840	131.061	130.926	130.930	130.781	130.882	130.781	130.785	130.689	130.899	130.855	130.926	130.772	130.988	130.812	130.818	130.895	130.781	130.893	130.682	130.864	130.812	130.710	130.919	130.773	130.578	130.977	130.851	130.907	130.817	130.943	116.961	116.945	116.948	116.884	116.837	116.922	116.880	116.935	116.933	116.925	116.941	116.900	116.884	116.949	116.991	116.892	117.019	116.915	116.911	116.916	116.917	116.882	116.905	116.860	116.964	116.912	116.981	116.972	116.956	116.894	117.004	116.878	2016_7_15_15_06_22
