SN	Distance_X_LOGO_NFC_Down1	Distance_X_LOGO_NFC_Down2	Distance_X_LOGO_NFC_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_NFC_Down1	Distance_Y_LOGO_NFC_Down2	Distance_Y_LOGO_NFC_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_NFC_Down1	Angle_NFC_Down2	Angle_NFC_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-67.754	-67.571	-67.647	-67.571	-67.687	-67.651	-67.643	-67.682	-67.649	-67.683	-67.647	-67.678	-67.646	-67.643	-67.644	-67.609	-67.609	-67.607	-67.650	-67.644	-67.787	-67.571	-67.680	-67.652	-67.680	-67.682	-67.715	-67.675	-67.751	-67.609	-67.689	-67.652	138.487	138.512	138.326	138.512	138.477	138.408	138.511	138.467	138.513	138.475	138.335	138.541	138.469	138.450	138.438	138.488	138.488	138.517	138.555	138.506	138.488	138.518	138.444	138.455	138.507	138.404	138.475	138.484	138.487	138.553	138.510	138.548	115.891	115.826	115.882	115.826	115.871	115.870	115.850	115.870	115.852	115.870	115.880	115.857	115.858	115.861	115.863	115.843	115.843	115.837	115.845	115.852	115.902	115.825	115.874	115.862	115.863	115.881	115.880	115.866	115.890	115.832	115.866	115.847	2016_7_15_15_13_21
F2LS3EKPHFM2____	-67.762	-67.592	-67.662	-67.592	-67.727	-67.662	-67.662	-67.697	-67.656	-67.692	-67.654	-67.697	-67.662	-67.620	-67.657	-67.621	-67.621	-67.592	-67.662	-67.662	-67.797	-67.592	-67.691	-67.622	-67.697	-67.697	-67.732	-67.662	-67.767	-67.627	-67.691	-67.657	138.563	138.526	138.456	138.526	138.565	138.421	138.596	138.596	138.599	138.564	138.463	138.561	138.596	138.533	138.566	138.569	138.569	138.631	138.561	138.561	138.562	138.596	138.530	138.531	138.596	138.526	138.596	138.561	138.596	138.631	138.600	138.636	116.111	116.061	116.095	116.061	116.099	116.101	116.073	116.084	116.070	116.088	116.092	116.090	116.073	116.069	116.076	116.064	116.064	116.044	116.078	116.078	116.123	116.049	116.093	116.070	116.084	116.096	116.096	116.078	116.108	116.055	116.082	116.065	2016_7_15_15_13_24
F2LS3KLTHFM5____	-67.827	-67.646	-67.712	-67.646	-67.793	-67.722	-67.716	-67.750	-67.722	-67.752	-67.716	-67.750	-67.714	-67.680	-67.749	-67.715	-67.715	-67.645	-67.757	-67.714	-67.861	-67.642	-67.754	-67.719	-67.752	-67.750	-67.786	-67.715	-67.903	-67.763	-67.761	-67.726	138.486	138.523	138.387	138.523	138.486	138.376	138.520	138.518	138.514	138.484	138.383	138.553	138.523	138.443	138.483	138.490	138.490	138.556	138.553	138.550	138.441	138.473	138.450	138.449	138.514	138.451	138.519	138.482	138.533	138.498	138.517	138.550	116.050	115.984	116.028	115.984	116.039	116.033	116.008	116.020	116.011	116.026	116.030	116.014	116.007	116.008	116.025	116.012	116.012	115.978	116.016	116.002	116.069	115.991	116.032	116.021	116.021	116.031	116.031	116.013	116.068	116.027	116.023	116.006	2016_7_15_15_13_27
F2LS3SMLHFM5____	-67.763	-67.588	-67.633	-67.588	-67.708	-67.658	-67.658	-67.693	-67.639	-67.671	-67.658	-67.693	-67.658	-67.599	-67.658	-67.602	-67.602	-67.588	-67.658	-67.634	-67.779	-67.588	-67.673	-67.623	-67.693	-67.693	-67.728	-67.635	-67.763	-67.623	-67.693	-67.658	138.560	138.525	138.462	138.525	138.562	138.420	138.595	138.595	138.592	138.562	138.385	138.560	138.595	138.519	138.490	138.558	138.558	138.560	138.560	138.626	138.557	138.595	138.524	138.455	138.595	138.525	138.525	138.558	138.525	138.560	138.525	138.630	116.126	116.073	116.099	116.073	116.107	116.114	116.085	116.097	116.079	116.095	116.120	116.103	116.085	116.078	116.102	116.072	116.072	116.068	116.091	116.072	116.132	116.062	116.102	116.096	116.097	116.108	116.120	116.084	116.132	116.079	116.108	116.080	2016_7_15_15_13_30
F2LS38TUGRXL____	-67.595	-67.450	-67.515	-67.450	-67.588	-67.516	-67.534	-67.550	-67.520	-67.551	-67.534	-67.569	-67.514	-67.483	-67.534	-67.480	-67.480	-67.448	-67.525	-67.534	-67.674	-67.441	-67.569	-67.485	-67.569	-67.550	-67.604	-67.534	-67.624	-67.499	-67.557	-67.534	138.639	138.673	138.560	138.673	138.647	138.588	138.663	138.675	138.679	138.645	138.523	138.768	138.690	138.616	138.628	138.658	138.658	138.757	138.768	138.698	138.558	138.685	138.593	138.610	138.663	138.615	138.663	138.628	138.670	138.698	138.687	138.628	116.082	116.028	116.068	116.028	116.078	116.064	116.057	116.061	116.050	116.066	116.080	116.052	116.046	116.048	116.063	116.040	116.040	116.014	116.037	116.052	116.121	116.023	116.080	116.050	116.069	116.071	116.081	116.063	116.086	116.040	116.061	116.063	2016_7_15_15_13_33
F2LS3TKDHFM5____	-67.563	-67.388	-67.458	-67.388	-67.528	-67.458	-67.458	-67.493	-67.458	-67.493	-67.458	-67.493	-67.528	-67.493	-67.458	-67.423	-67.423	-67.388	-67.458	-67.458	-67.598	-67.388	-67.493	-67.423	-67.493	-67.491	-67.528	-67.458	-67.563	-67.493	-67.563	-67.458	138.635	138.740	138.530	138.740	138.705	138.635	138.740	138.670	138.670	138.635	138.600	138.775	138.670	138.670	138.635	138.635	138.635	138.775	138.775	138.705	138.635	138.670	138.671	138.600	138.740	138.671	138.670	138.635	138.670	138.705	138.740	138.705	115.981	115.906	115.963	115.906	115.958	115.946	115.929	115.952	115.941	115.958	115.952	115.935	115.964	115.952	115.946	115.935	115.935	115.900	115.924	115.935	115.993	115.917	115.952	115.940	115.941	115.952	115.964	115.946	115.976	115.947	115.964	115.935	2016_7_15_15_13_36
F2LS3MG9HFM5____	-67.565	-67.390	-67.460	-67.390	-67.509	-67.440	-67.460	-67.495	-67.442	-67.469	-67.433	-67.495	-67.460	-67.425	-67.436	-67.400	-67.400	-67.390	-67.445	-67.435	-67.580	-67.390	-67.471	-67.406	-67.470	-67.466	-67.530	-67.460	-67.565	-67.425	-67.477	-67.447	138.632	138.667	138.457	138.667	138.640	138.575	138.667	138.667	138.674	138.636	138.539	138.702	138.667	138.597	138.641	138.646	138.646	138.632	138.705	138.704	138.633	138.597	138.607	138.604	138.673	138.604	138.667	138.632	138.667	138.702	138.677	138.707	116.018	115.954	116.012	115.954	115.998	115.986	115.978	115.989	115.970	115.985	115.989	115.984	115.978	115.977	115.974	115.961	115.961	115.960	115.966	115.963	116.023	115.966	115.991	115.970	115.980	115.990	116.001	115.983	116.013	115.960	115.982	115.967	2016_7_15_15_13_38
F2LS3BDVGRXL____	-67.483	-67.304	-67.380	-67.304	-67.446	-67.379	-67.374	-67.408	-67.377	-67.415	-67.380	-67.415	-67.380	-67.340	-67.374	-67.338	-67.338	-67.303	-67.378	-67.373	-67.519	-67.310	-67.406	-67.345	-67.407	-67.409	-67.443	-67.380	-67.485	-67.345	-67.412	-67.382	138.763	138.745	138.597	138.745	138.774	138.668	138.812	138.798	138.807	138.702	138.597	138.772	138.737	138.740	138.774	138.784	138.784	138.834	138.789	138.839	138.761	138.737	138.738	138.742	138.807	138.737	138.806	138.702	138.807	138.772	138.812	138.840	115.978	115.921	115.971	115.921	115.964	115.959	115.934	115.947	115.936	115.965	115.971	115.954	115.948	115.934	115.940	115.926	115.926	115.906	115.939	115.929	115.990	115.924	115.956	115.935	115.945	115.958	115.958	115.953	115.971	115.930	115.946	115.932	2016_7_15_15_13_41
F2LS35BZHFM1____	-67.844	-67.654	-67.730	-67.654	-67.808	-67.738	-67.728	-67.766	-67.736	-67.769	-67.734	-67.764	-67.727	-67.695	-67.733	-67.697	-67.697	-67.655	-67.741	-67.730	-67.878	-67.654	-67.769	-67.703	-67.766	-67.766	-67.800	-67.727	-67.837	-67.692	-67.779	-67.740	138.458	138.486	138.355	138.486	138.450	138.382	138.484	138.489	138.485	138.452	138.352	138.521	138.490	138.417	138.449	138.459	138.459	138.532	138.514	138.520	138.458	138.498	138.414	138.418	138.480	138.428	138.487	138.456	138.491	138.542	138.478	138.517	115.926	115.858	115.904	115.858	115.915	115.903	115.883	115.894	115.885	115.901	115.906	115.888	115.881	115.882	115.890	115.876	115.876	115.850	115.882	115.877	115.937	115.855	115.908	115.885	115.896	115.904	115.906	115.887	115.918	115.861	115.901	115.881	2016_7_15_15_13_43
F2LS3HZVHFM5____	-68.587	-68.408	-68.476	-68.408	-68.552	-68.477	-68.477	-68.515	-68.480	-68.516	-68.478	-68.514	-68.476	-68.442	-68.481	-68.443	-68.443	-68.408	-68.486	-68.481	-68.622	-68.404	-68.515	-68.444	-68.517	-68.512	-68.549	-68.478	-68.587	-68.441	-68.520	-68.488	138.207	138.203	138.073	138.203	138.170	138.098	138.247	138.209	138.243	138.211	138.069	138.282	138.251	138.175	138.173	138.216	138.216	138.279	138.233	138.244	138.204	138.251	138.176	138.129	138.202	138.184	138.205	138.175	138.201	138.289	138.206	138.188	116.281	116.222	116.266	116.222	116.275	116.262	116.238	116.256	116.239	116.257	116.267	116.244	116.237	116.238	116.251	116.232	116.232	116.209	116.243	116.239	116.293	116.213	116.262	116.246	116.258	116.260	116.269	116.250	116.282	116.219	116.259	116.251	2016_7_15_15_13_45
