SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-12.044	-11.646	-11.707	-11.728	-11.502	-11.466	-11.495	-11.647	-11.654	-11.802	-11.822	-11.828	-11.737	-11.709	-11.941	-11.593	-11.577	-11.398	-11.584	-11.354	-11.826	-11.472	-11.647	-11.577	-11.686	-11.643	-11.548	-11.429	-11.813	-11.645	-11.230	-11.712	-117.467	-117.506	-117.888	-117.752	-117.837	-117.832	-117.625	-117.628	-117.577	-116.956	-117.509	-117.223	-118.373	-117.700	-117.361	-117.204	-117.811	-118.295	-117.724	-118.426	-117.191	-117.690	-117.582	-117.792	-117.550	-118.062	-117.839	-118.347	-117.545	-117.659	-117.924	-117.666	264.483	264.677	264.666	264.649	264.762	264.779	264.755	264.682	264.676	264.575	264.592	264.575	264.675	264.656	264.527	264.688	264.725	264.833	264.717	264.860	264.575	264.770	264.680	264.724	264.660	264.705	264.740	264.821	264.598	264.685	264.897	264.653	2016_7_15_15_18_45
F2LS3EKPHFM2____	-11.570	-11.426	-11.360	-11.328	-11.296	-11.478	-11.290	-11.502	-11.442	-11.440	-11.673	-11.536	-11.536	-11.438	-11.473	-11.434	-11.510	-11.473	-11.376	-11.296	-11.465	-11.598	-11.430	-11.367	-11.478	-11.502	-11.473	-11.291	-11.337	-11.435	-11.361	-11.366	-117.171	-117.209	-117.672	-117.275	-117.350	-116.630	-117.144	-117.676	-117.224	-117.317	-117.150	-117.466	-117.500	-116.560	-116.611	-117.509	-117.452	-117.402	-117.368	-117.279	-117.289	-117.461	-117.478	-117.364	-117.385	-117.576	-117.546	-117.529	-117.389	-117.684	-117.120	-117.055	264.024	264.095	264.149	264.146	264.165	264.042	264.158	264.080	264.088	264.093	263.973	264.054	264.056	264.058	264.044	264.105	264.066	264.082	264.127	264.161	264.080	264.024	264.106	264.131	264.078	264.076	264.088	264.175	264.147	264.113	264.123	264.117	2016_7_15_15_18_48
F2LS3KLTHFM5____	-11.569	-11.340	-11.484	-11.331	-11.477	-11.196	-11.330	-11.759	-11.504	-11.492	-11.473	-11.385	-11.391	-11.297	-11.469	-11.369	-11.501	-11.340	-11.366	-11.353	-11.333	-11.389	-11.362	-11.428	-11.527	-11.504	-11.533	-11.231	-11.588	-11.359	-11.289	-11.340	-117.058	-117.495	-117.663	-116.892	-117.750	-117.140	-117.672	-116.962	-117.100	-117.643	-116.774	-117.861	-117.699	-117.097	-116.887	-117.314	-117.262	-117.219	-117.699	-117.680	-117.036	-117.795	-117.227	-117.438	-117.589	-117.070	-117.168	-117.222	-117.580	-117.628	-116.721	-117.320	264.019	264.150	264.088	264.126	264.096	264.203	264.163	263.922	264.052	264.084	264.052	264.146	264.135	264.153	264.059	264.128	264.061	264.137	264.147	264.153	264.132	264.141	264.127	264.105	264.064	264.051	264.041	264.190	264.034	264.147	264.139	264.142	2016_7_15_15_18_50
F2LS3SMLHFM5____	-11.575	-11.764	-11.380	-11.335	-11.362	-11.396	-11.364	-11.646	-11.499	-11.441	-11.796	-11.483	-11.470	-11.303	-11.473	-11.501	-11.629	-11.857	-11.583	-11.296	-11.659	-11.610	-11.439	-11.550	-11.481	-11.767	-11.546	-11.304	-11.475	-11.357	-11.293	-11.692	-117.525	-117.616	-116.966	-116.761	-117.900	-117.486	-117.100	-117.290	-118.093	-117.475	-117.816	-116.817	-117.650	-117.361	-117.469	-117.776	-118.052	-117.881	-117.512	-117.557	-118.023	-117.670	-117.301	-118.230	-117.606	-117.858	-117.177	-117.349	-117.533	-118.237	-117.713	-117.645	264.038	263.951	264.106	264.118	264.158	264.123	264.120	263.992	264.102	264.100	263.946	264.049	264.095	264.162	264.085	264.086	264.037	263.919	264.034	264.174	264.021	264.028	264.093	264.083	264.087	263.961	264.035	264.161	264.087	264.176	264.183	263.987	2016_7_15_15_18_53
F2LS38TUGRXL____	-11.773	-11.410	-11.757	-11.464	-11.295	-11.325	-11.298	-11.644	-11.659	-11.665	-11.807	-11.744	-11.405	-11.300	-11.404	-11.527	-11.830	-11.741	-11.517	-11.355	-11.534	-11.731	-11.362	-11.444	-11.470	-11.768	-11.795	-11.306	-11.474	-11.628	-11.303	-11.621	-117.991	-117.775	-117.817	-118.090	-117.919	-118.038	-117.644	-117.771	-117.320	-117.168	-118.087	-117.952	-117.927	-117.909	-117.893	-117.346	-118.067	-118.100	-117.876	-118.493	-118.367	-118.143	-118.503	-117.816	-118.467	-118.070	-118.164	-118.026	-117.810	-118.179	-117.555	-118.595	263.965	264.129	263.964	264.118	264.192	264.183	264.178	264.016	263.988	263.978	263.953	263.977	264.139	264.188	264.138	264.053	263.941	263.985	264.083	264.189	264.098	263.993	264.186	264.115	264.133	263.971	263.963	264.191	264.100	264.044	264.171	264.066	2016_7_15_15_18_55
F2LS3TKDHFM5____	-11.779	-12.113	-11.776	-11.663	-11.648	-11.608	-11.757	-11.795	-11.780	-11.644	-11.688	-11.873	-11.875	-11.644	-11.805	-11.851	-11.853	-11.890	-11.690	-11.410	-11.735	-11.606	-11.704	-11.714	-11.741	-11.858	-11.825	-11.641	-11.674	-11.505	-11.638	-11.755	-117.505	-116.624	-117.272	-117.731	-117.022	-117.272	-117.468	-116.619	-117.415	-118.251	-116.561	-117.518	-117.552	-117.493	-117.451	-117.241	-117.522	-117.285	-117.425	-117.915	-118.013	-118.194	-118.216	-117.627	-118.169	-117.321	-117.356	-117.594	-118.043	-118.302	-116.982	-118.240	264.613	264.408	264.603	264.679	264.653	264.684	264.622	264.562	264.608	264.713	264.611	264.568	264.569	264.677	264.598	264.565	264.578	264.548	264.652	264.810	264.658	264.729	264.683	264.650	264.663	264.566	264.583	264.684	264.689	264.783	264.656	264.660	2016_7_15_15_18_57
F2LS3MG9HFM5____	-12.239	-12.116	-11.853	-11.801	-11.774	-11.679	-11.708	-12.241	-11.857	-12.053	-12.100	-12.256	-11.751	-11.498	-12.011	-11.801	-11.789	-11.886	-11.849	-11.640	-12.020	-12.009	-11.712	-11.715	-11.893	-11.858	-11.954	-11.892	-11.684	-11.645	-11.772	-11.620	-117.287	-117.150	-117.464	-117.600	-117.684	-117.533	-116.950	-117.024	-117.617	-118.116	-116.363	-117.566	-117.493	-117.607	-117.773	-116.151	-117.389	-117.401	-117.952	-117.866	-117.477	-117.907	-117.545	-117.431	-117.701	-117.580	-117.537	-117.783	-117.500	-117.562	-116.524	-117.390	264.380	264.432	264.575	264.607	264.624	264.662	264.620	264.365	264.580	264.511	264.400	264.386	264.626	264.753	264.514	264.535	264.602	264.556	264.601	264.697	264.495	264.521	264.647	264.640	264.567	264.578	264.530	264.572	264.658	264.680	264.568	264.684	2016_7_15_15_19_00
F2LS3BDVGRXL____	-11.438	-11.340	-11.491	-11.322	-11.291	-11.451	-11.291	-11.505	-11.578	-11.512	-11.477	-11.674	-11.412	-11.282	-11.459	-11.491	-11.582	-11.545	-11.436	-11.349	-11.413	-11.464	-11.375	-11.429	-11.535	-11.582	-11.490	-11.349	-11.390	-11.419	-11.221	-11.413	-117.731	-117.845	-117.824	-117.965	-118.102	-118.368	-117.374	-117.960	-117.508	-117.351	-117.770	-117.692	-117.472	-118.225	-118.080	-118.125	-117.421	-117.572	-118.111	-118.230	-117.455	-118.085	-117.315	-117.728	-118.009	-117.347	-117.391	-118.220	-118.263	-118.446	-117.800	-118.327	264.114	264.166	264.093	264.181	264.202	264.137	264.168	264.092	264.036	264.060	264.097	263.999	264.114	264.212	264.120	264.107	264.029	264.055	264.132	264.180	264.113	264.118	264.125	264.118	264.080	264.026	264.073	264.179	264.162	264.156	264.222	264.154	2016_7_15_15_19_02
F2LS35BZHFM1____	-11.706	-11.285	-11.418	-11.325	-11.301	-11.260	-11.283	-11.433	-11.589	-11.310	-11.305	-11.333	-11.392	-11.232	-11.254	-11.225	-11.426	-11.413	-11.434	-11.282	-11.305	-11.587	-11.304	-10.990	-11.331	-11.435	-11.267	-11.226	-11.305	-11.240	-11.219	-11.297	-117.295	-117.828	-117.955	-117.503	-117.453	-117.569	-117.500	-117.630	-116.622	-117.298	-117.285	-117.761	-118.112	-117.315	-118.145	-117.861	-118.401	-117.325	-117.722	-118.225	-117.285	-118.206	-117.393	-117.915	-118.463	-117.940	-117.907	-117.887	-117.320	-117.471	-117.984	-117.420	264.638	264.866	264.808	264.832	264.841	264.866	264.852	264.785	264.662	264.829	264.831	264.840	264.828	264.868	264.896	264.897	264.825	264.781	264.789	264.886	264.831	264.739	264.837	265.012	264.873	264.799	264.879	264.897	264.833	264.872	264.905	264.842	2016_7_15_15_19_04
F2LS3HZVHFM5____	-10.990	-11.140	-11.210	-10.895	-11.074	-10.955	-10.982	-11.142	-11.147	-11.147	-11.181	-10.955	-10.955	-10.873	-11.041	-10.990	-11.082	-11.114	-11.199	-11.078	-10.955	-11.101	-11.060	-11.004	-11.040	-11.212	-11.246	-10.935	-10.955	-11.074	-10.864	-11.056	-116.970	-116.887	-116.939	-117.668	-117.284	-116.935	-117.666	-117.470	-117.348	-117.518	-116.954	-117.460	-117.635	-117.470	-117.791	-117.460	-117.447	-117.470	-117.949	-117.212	-117.355	-117.924	-117.495	-117.893	-117.848	-116.857	-117.343	-117.593	-117.670	-117.625	-117.497	-117.769	264.295	264.219	264.187	264.373	264.269	264.311	264.331	264.245	264.237	264.245	264.202	264.335	264.343	264.375	264.308	264.318	264.272	264.258	264.239	264.264	264.330	264.285	264.285	264.330	264.311	264.182	264.189	264.350	264.344	264.285	264.380	264.300	2016_7_15_15_19_07
