SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-58.080	-58.006	-57.980	-58.009	-57.979	-58.045	-58.007	-58.008	-58.049	-58.016	-57.979	-58.054	-57.947	-57.981	-58.016	-57.947	-57.937	-58.019	-58.007	-57.947	-58.085	-58.079	-58.017	-57.977	-57.909	-58.081	-57.948	-58.015	-57.980	-58.051	-58.080	-58.080	-57.894	-57.824	-57.929	-57.927	-57.859	-57.926	-57.930	-57.892	-57.998	-57.895	-57.859	-57.894	-57.927	-57.860	-58.001	-57.859	-57.930	-57.859	-57.961	-57.824	-57.962	-57.861	-57.966	-57.861	-57.821	-57.861	-57.893	-57.858	-57.894	-57.792	-57.926	-57.894	225.245	225.247	225.312	225.297	225.278	225.279	225.299	225.280	225.312	225.277	225.278	225.258	225.327	225.277	225.329	225.293	225.333	225.258	225.314	225.276	225.276	225.229	225.312	225.279	225.293	225.228	225.310	225.259	225.294	225.209	225.261	225.245	2016_7_15_16_02_29
F2LS3EKPHFM2____	-57.900	-57.828	-57.859	-57.830	-57.829	-57.865	-57.860	-57.829	-57.864	-57.897	-57.829	-57.899	-57.795	-57.829	-57.866	-57.796	-57.787	-57.862	-57.829	-57.795	-57.901	-57.866	-57.866	-57.826	-57.759	-57.865	-57.827	-57.864	-57.796	-57.865	-57.900	-57.900	-57.754	-57.685	-57.788	-57.788	-57.721	-57.788	-57.790	-57.754	-57.858	-57.753	-57.721	-57.755	-57.787	-57.717	-57.859	-57.718	-57.787	-57.720	-57.822	-57.684	-57.823	-57.720	-57.825	-57.717	-57.682	-57.720	-57.753	-57.720	-57.752	-57.651	-57.788	-57.754	224.591	224.592	224.628	224.642	224.609	224.625	224.628	224.626	224.660	224.592	224.609	224.592	224.659	224.608	224.660	224.624	224.663	224.593	224.660	224.608	224.624	224.590	224.643	224.609	224.624	224.591	224.626	224.591	224.641	224.557	224.607	224.591	2016_7_15_16_03_13
F2LS3KLTHFM5____	-57.901	-57.828	-57.830	-57.830	-57.827	-57.897	-57.859	-57.829	-57.869	-57.902	-57.827	-57.902	-57.797	-57.830	-57.898	-57.798	-57.788	-57.867	-57.859	-57.797	-57.904	-57.930	-57.898	-57.857	-57.758	-57.901	-57.798	-57.861	-57.831	-57.930	-57.900	-57.901	-57.828	-57.794	-57.901	-57.899	-57.793	-57.900	-57.863	-57.864	-57.970	-57.827	-57.793	-57.828	-57.902	-57.792	-57.971	-57.831	-57.902	-57.792	-57.898	-57.795	-57.932	-57.830	-57.901	-57.832	-57.754	-57.829	-57.827	-57.792	-57.866	-57.757	-57.900	-57.828	224.627	224.646	224.698	224.697	224.646	224.664	224.665	224.680	224.713	224.625	224.646	224.627	224.715	224.644	224.699	224.679	224.719	224.626	224.682	224.662	224.677	224.613	224.665	224.650	224.661	224.628	224.677	224.629	224.681	224.577	224.663	224.627	2016_7_15_16_03_16
F2LS3SMLHFM5____	-57.953	-57.921	-57.882	-57.851	-57.878	-57.885	-57.879	-57.850	-57.919	-57.918	-57.878	-57.953	-57.847	-57.880	-57.919	-57.846	-57.809	-57.917	-57.880	-57.847	-57.953	-57.953	-57.919	-57.878	-57.855	-57.952	-57.846	-57.915	-57.881	-57.956	-57.949	-57.953	-57.952	-57.937	-57.985	-57.982	-57.916	-57.985	-57.985	-57.949	-58.015	-57.951	-57.916	-57.951	-57.984	-57.880	-58.018	-57.912	-57.980	-57.918	-57.982	-57.879	-57.979	-57.916	-57.984	-57.916	-57.934	-57.916	-57.949	-57.914	-57.951	-57.952	-57.985	-57.952	224.663	224.671	224.714	224.728	224.682	224.712	224.715	224.712	224.710	224.679	224.682	224.662	224.731	224.663	224.712	224.696	224.748	224.664	224.713	224.678	224.675	224.645	224.695	224.682	224.702	224.645	224.714	224.662	224.697	224.661	224.681	224.663	2016_7_15_16_03_20
F2LS38TUGRXL____	-58.026	-57.984	-57.955	-57.954	-57.953	-57.990	-57.952	-57.954	-57.993	-57.990	-57.953	-58.027	-57.922	-57.955	-57.991	-57.922	-57.921	-57.992	-57.953	-57.921	-58.028	-58.024	-58.024	-57.951	-57.915	-58.025	-57.922	-57.987	-57.954	-58.023	-58.024	-58.026	-57.959	-57.886	-57.993	-57.991	-57.922	-57.991	-57.993	-57.956	-58.062	-57.957	-57.922	-57.957	-57.994	-57.924	-58.063	-57.925	-58.032	-57.922	-58.027	-57.887	-58.025	-57.925	-58.029	-57.925	-57.884	-57.924	-57.959	-57.921	-57.960	-57.853	-57.990	-57.959	224.630	224.615	224.682	224.681	224.647	224.664	224.683	224.664	224.697	224.647	224.647	224.628	224.699	224.648	224.698	224.664	224.717	224.629	224.699	224.646	224.661	224.614	224.665	224.650	224.647	224.613	224.681	224.630	224.666	224.579	224.646	224.630	2016_7_15_16_03_22
F2LS3TKDHFM5____	-58.098	-58.026	-58.027	-58.059	-58.026	-58.096	-58.026	-58.058	-58.070	-58.063	-58.026	-58.106	-57.993	-58.028	-58.066	-57.995	-57.986	-58.071	-58.058	-57.994	-58.106	-58.099	-58.066	-58.025	-57.987	-58.098	-57.993	-58.061	-58.027	-58.099	-58.096	-58.098	-57.745	-57.673	-57.780	-57.779	-57.710	-57.779	-57.780	-57.743	-57.852	-57.746	-57.710	-57.746	-57.779	-57.710	-57.852	-57.709	-57.780	-57.710	-57.814	-57.674	-57.814	-57.712	-57.817	-57.711	-57.672	-57.711	-57.745	-57.709	-57.746	-57.640	-57.779	-57.745	225.162	225.162	225.215	225.198	225.181	225.180	225.215	225.181	225.229	225.180	225.181	225.159	225.231	225.179	225.232	225.196	225.235	225.159	225.216	225.178	225.193	225.146	225.214	225.181	225.181	225.145	225.214	225.163	225.198	225.110	225.180	225.162	2016_7_15_16_03_26
F2LS3MG9HFM5____	-58.172	-58.132	-58.100	-58.101	-58.133	-58.137	-58.131	-58.132	-58.141	-58.137	-58.133	-58.176	-58.067	-58.102	-58.136	-58.069	-58.060	-58.141	-58.100	-58.069	-58.177	-58.173	-58.137	-58.130	-58.032	-58.171	-58.069	-58.136	-58.101	-58.171	-58.172	-58.172	-57.809	-57.737	-57.843	-57.842	-57.774	-57.843	-57.841	-57.807	-57.916	-57.810	-57.774	-57.811	-57.844	-57.776	-57.914	-57.745	-57.842	-57.746	-57.876	-57.741	-57.879	-57.777	-57.881	-57.772	-57.735	-57.774	-57.810	-57.773	-57.810	-57.706	-57.842	-57.809	225.158	225.142	225.210	225.209	225.160	225.192	225.194	225.176	225.226	225.175	225.160	225.157	225.227	225.176	225.227	225.177	225.229	225.142	225.227	225.175	225.190	225.142	225.210	225.160	225.190	225.141	225.209	225.158	225.193	225.107	225.174	225.158	2016_7_15_16_03_29
F2LS3BDVGRXL____	-57.962	-57.923	-57.893	-57.893	-57.924	-57.928	-57.892	-57.924	-57.927	-57.928	-57.924	-57.960	-57.859	-57.894	-57.929	-57.859	-57.822	-57.926	-57.924	-57.858	-57.962	-57.962	-57.961	-57.890	-57.791	-57.961	-57.859	-57.927	-57.892	-57.961	-57.961	-57.962	-57.879	-57.810	-57.912	-57.912	-57.846	-57.914	-57.916	-57.879	-57.983	-57.878	-57.846	-57.879	-57.912	-57.840	-57.985	-57.839	-57.882	-57.813	-57.948	-57.775	-57.949	-57.845	-57.950	-57.847	-57.806	-57.844	-57.847	-57.842	-57.847	-57.775	-57.912	-57.879	224.622	224.607	224.673	224.672	224.624	224.656	224.675	224.641	224.691	224.639	224.624	224.623	224.689	224.636	224.691	224.653	224.693	224.607	224.675	224.622	224.657	224.605	224.658	224.642	224.670	224.605	224.657	224.621	224.641	224.571	224.639	224.622	2016_7_15_16_03_31
F2LS35BZHFM1____	-57.885	-57.814	-57.815	-57.814	-57.813	-57.850	-57.813	-57.814	-57.847	-57.850	-57.813	-57.880	-57.780	-57.814	-57.822	-57.780	-57.743	-57.848	-57.813	-57.780	-57.882	-57.884	-57.851	-57.811	-57.745	-57.855	-57.781	-57.849	-57.815	-57.884	-57.884	-57.885	-57.940	-57.909	-58.012	-58.015	-57.944	-58.015	-58.014	-57.979	-58.081	-57.979	-57.944	-58.009	-58.014	-57.942	-58.085	-57.942	-58.012	-57.943	-58.049	-57.907	-58.077	-57.943	-58.052	-57.975	-57.906	-57.976	-57.978	-57.942	-57.979	-57.873	-58.014	-57.940	225.364	225.384	225.435	225.436	225.402	225.418	225.437	225.419	225.452	225.401	225.402	225.401	225.453	225.401	225.467	225.417	225.470	225.384	225.454	225.400	225.433	225.366	225.437	225.419	225.417	225.397	225.434	225.383	225.418	225.332	225.401	225.364	2016_7_15_16_03_34
F2LS3HZVHFM5____	-58.021	-57.981	-57.948	-57.948	-57.947	-57.984	-57.980	-57.947	-57.988	-57.984	-57.947	-58.025	-57.914	-57.951	-57.985	-57.917	-57.875	-57.988	-57.946	-57.917	-58.026	-58.021	-57.986	-57.945	-57.876	-58.020	-57.916	-57.981	-57.949	-58.019	-58.018	-58.021	-57.949	-57.873	-57.982	-58.015	-57.909	-58.016	-57.983	-57.944	-58.051	-57.948	-57.909	-57.946	-58.017	-57.878	-58.050	-57.912	-57.979	-57.912	-58.015	-57.875	-58.015	-57.946	-58.020	-57.912	-57.872	-57.910	-57.946	-57.874	-57.947	-57.842	-58.015	-57.949	224.627	224.609	224.679	224.696	224.644	224.679	224.665	224.662	224.694	224.645	224.644	224.624	224.714	224.627	224.695	224.661	224.714	224.625	224.697	224.642	224.658	224.626	224.680	224.647	224.661	224.609	224.678	224.610	224.662	224.575	224.662	224.627	2016_7_15_16_03_37
