SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-55.002	-55.142	-55.178	-55.107	-55.004	-55.038	-55.004	-55.108	-54.993	-55.282	-54.941	-55.077	-54.866	-54.808	-54.468	-54.451	-53.718	-54.153	-54.167	-54.468	-54.099	-54.864	-54.013	-54.020	-54.103	-54.032	-53.965	-53.965	-53.908	-54.064	-54.188	-54.258	-131.292	-131.258	-131.217	-131.365	-131.394	-131.504	-131.574	-131.678	-131.325	-131.426	-131.677	-131.710	-131.852	-131.779	-131.920	-131.888	-132.210	-132.025	-131.613	-132.235	-132.269	-131.395	-132.340	-132.309	-132.269	-132.410	-132.444	-132.551	-132.550	-132.276	-132.130	-132.270	246.964	246.907	246.887	246.937	246.980	246.984	247.008	246.985	246.973	246.881	247.047	247.001	247.102	247.112	247.260	247.261	247.582	247.393	247.324	247.308	247.449	247.032	247.492	247.485	247.448	247.496	247.526	247.542	247.563	247.464	247.396	247.391	2016_7_15_16_11_03
F2LS3EKPHFM2____	-54.865	-55.042	-55.077	-55.005	-54.868	-54.902	-54.901	-55.006	-54.799	-55.179	-54.840	-54.942	-54.728	-54.667	-54.324	-54.315	-53.616	-54.009	-54.029	-54.314	-53.962	-54.732	-53.869	-53.881	-53.965	-53.894	-53.827	-53.828	-53.757	-53.965	-54.036	-54.104	-131.419	-131.388	-131.346	-131.493	-131.489	-131.600	-131.703	-131.809	-131.349	-131.555	-131.804	-131.842	-131.977	-131.872	-132.065	-131.982	-132.338	-132.170	-131.704	-132.366	-132.402	-131.492	-132.485	-132.440	-132.395	-132.543	-132.576	-132.686	-132.688	-132.402	-132.265	-132.403	247.084	247.013	246.994	247.043	247.093	247.098	247.114	247.092	247.097	246.988	247.152	247.120	247.221	247.227	247.384	247.375	247.688	247.517	247.438	247.433	247.569	247.144	247.617	247.605	247.567	247.616	247.646	247.662	247.688	247.568	247.521	247.517	2016_7_15_16_11_06
F2LS3KLTHFM5____	-54.764	-54.869	-54.903	-54.866	-54.763	-54.798	-54.766	-54.869	-54.693	-55.006	-54.698	-54.800	-54.590	-54.526	-54.171	-54.175	-53.484	-53.869	-53.890	-54.170	-53.827	-54.589	-53.729	-53.745	-53.830	-53.764	-53.689	-53.693	-53.618	-53.904	-53.904	-53.974	-131.347	-131.285	-131.245	-131.420	-131.451	-131.558	-131.600	-131.735	-131.310	-131.455	-131.737	-131.770	-131.911	-131.805	-131.976	-131.916	-132.277	-132.102	-131.632	-132.291	-132.292	-131.422	-132.347	-132.361	-132.287	-132.487	-132.497	-132.575	-132.607	-132.347	-132.207	-132.347	247.130	247.081	247.063	247.103	247.147	247.150	247.168	247.151	247.151	247.057	247.215	247.182	247.281	247.289	247.447	247.437	247.748	247.578	247.499	247.496	247.623	247.207	247.667	247.664	247.621	247.676	247.705	247.715	247.748	247.602	247.581	247.576	2016_7_15_16_11_09
F2LS3SMLHFM5____	-54.900	-55.040	-55.076	-55.004	-54.901	-54.935	-54.900	-55.004	-54.831	-55.180	-54.835	-54.939	-54.727	-54.660	-54.305	-54.341	-53.608	-53.991	-54.061	-54.305	-53.954	-54.762	-53.852	-53.874	-53.956	-53.886	-53.817	-53.818	-53.746	-53.956	-54.027	-54.098	-131.407	-131.373	-131.335	-131.480	-131.511	-131.620	-131.688	-131.792	-131.368	-131.543	-131.795	-131.828	-131.967	-131.898	-132.032	-132.002	-132.321	-132.139	-131.718	-132.352	-132.384	-131.511	-132.458	-132.422	-132.383	-132.527	-132.560	-132.670	-132.672	-132.388	-132.247	-132.387	247.567	247.510	247.491	247.540	247.583	247.587	247.611	247.588	247.587	247.485	247.651	247.618	247.718	247.732	247.884	247.867	248.187	248.017	247.927	247.933	248.068	247.635	248.117	248.103	248.067	248.115	248.146	248.162	248.189	248.068	248.020	248.015	2016_7_15_16_11_12
F2LS3TKDHFM5____	-55.195	-55.335	-55.369	-55.298	-55.195	-55.229	-55.197	-55.302	-55.125	-55.506	-55.132	-55.237	-55.024	-54.956	-54.606	-54.635	-53.906	-54.292	-54.355	-54.603	-54.253	-55.055	-54.215	-54.215	-54.256	-54.180	-54.116	-54.180	-54.110	-54.250	-54.390	-54.390	-131.355	-131.271	-131.230	-131.377	-131.460	-131.515	-131.588	-131.692	-131.264	-131.469	-131.688	-131.724	-131.864	-131.788	-131.930	-131.950	-132.257	-132.041	-131.670	-132.284	-132.319	-131.460	-132.405	-132.370	-132.314	-132.475	-132.496	-132.615	-132.615	-132.335	-132.195	-132.335	246.858	246.793	246.774	246.823	246.874	246.870	246.894	246.871	246.869	246.760	246.933	246.900	247.000	247.014	247.165	247.157	247.475	247.299	247.218	247.220	247.356	246.926	247.383	247.377	247.353	247.406	247.433	247.427	247.453	247.359	247.286	247.307	2016_7_15_16_11_15
F2LS38TUGRXL____	-54.990	-55.134	-55.166	-55.095	-54.991	-55.028	-54.991	-55.096	-54.922	-55.268	-54.929	-55.031	-54.820	-54.754	-54.404	-54.438	-53.699	-54.087	-54.154	-54.427	-54.049	-54.850	-53.938	-53.969	-54.053	-53.979	-53.910	-53.908	-53.836	-54.048	-54.153	-54.185	-131.350	-131.286	-131.279	-131.425	-131.487	-131.532	-131.633	-131.737	-131.280	-131.487	-131.701	-131.771	-131.880	-131.804	-131.940	-131.911	-132.263	-132.051	-131.661	-132.289	-132.296	-131.453	-132.399	-132.335	-132.291	-132.436	-132.468	-132.609	-132.611	-132.333	-132.188	-132.330	247.082	247.019	247.006	247.055	247.103	247.096	247.125	247.103	247.097	247.000	247.159	247.132	247.227	247.240	247.390	247.373	247.702	247.525	247.441	247.435	247.576	247.150	247.633	247.612	247.574	247.624	247.654	247.676	247.703	247.583	247.521	247.531	2016_7_15_16_11_18
F2LS3MG9HFM5____	-55.208	-55.350	-55.420	-55.359	-55.211	-55.284	-55.249	-55.355	-55.141	-55.534	-55.184	-55.289	-55.080	-55.010	-54.661	-54.694	-53.959	-54.414	-54.414	-54.659	-54.311	-55.114	-54.274	-54.274	-54.379	-54.239	-54.239	-54.174	-54.169	-54.309	-54.449	-54.519	-131.161	-131.126	-131.083	-131.291	-131.265	-131.371	-131.442	-131.546	-131.125	-131.291	-131.547	-131.641	-131.721	-131.649	-131.789	-131.746	-132.131	-131.956	-131.536	-132.166	-132.150	-131.326	-132.271	-132.236	-132.201	-132.341	-132.376	-132.428	-132.481	-132.201	-132.061	-132.201	246.878	246.820	246.787	246.842	246.893	246.882	246.907	246.884	246.897	246.777	246.947	246.923	247.013	247.027	247.178	247.159	247.491	247.295	247.231	247.237	247.363	246.938	247.395	247.390	247.346	247.419	247.424	247.456	247.466	247.372	247.299	247.294	2016_7_15_16_11_21
F2LS3BDVGRXL____	-55.055	-55.195	-55.231	-55.161	-55.057	-55.092	-55.058	-55.161	-54.987	-55.335	-54.997	-55.135	-54.886	-54.854	-54.466	-54.503	-53.770	-54.153	-54.219	-54.468	-54.154	-54.918	-54.075	-54.072	-54.120	-54.047	-53.981	-53.980	-53.910	-54.118	-54.189	-54.256	-131.142	-131.112	-131.070	-131.217	-131.244	-131.354	-131.426	-131.530	-131.104	-131.279	-131.529	-131.563	-131.703	-131.626	-131.768	-131.735	-132.058	-131.877	-131.456	-132.087	-132.118	-131.247	-132.195	-132.155	-132.115	-132.262	-132.294	-132.402	-132.406	-132.125	-131.983	-132.122	247.594	247.537	247.517	247.566	247.609	247.614	247.637	247.615	247.614	247.511	247.676	247.630	247.744	247.744	247.910	247.891	248.213	248.043	247.954	247.958	248.079	247.661	248.120	248.115	248.091	248.140	248.170	248.187	248.213	248.094	248.046	248.042	2016_7_15_16_11_25
F2LS35BZHFM1____	-54.729	-54.869	-54.905	-54.834	-54.766	-54.800	-54.729	-54.838	-54.662	-55.010	-54.667	-54.806	-54.593	-54.491	-54.196	-54.231	-53.496	-53.823	-53.893	-54.170	-53.846	-54.594	-53.741	-53.748	-53.846	-53.776	-53.692	-53.689	-53.618	-53.846	-53.916	-53.986	-131.138	-131.102	-131.062	-131.209	-131.237	-131.346	-131.417	-131.522	-131.067	-131.270	-131.519	-131.556	-131.694	-131.590	-131.777	-131.812	-132.057	-131.868	-131.450	-132.080	-132.127	-131.207	-132.197	-132.117	-132.127	-132.267	-132.287	-132.394	-132.394	-132.127	-131.987	-132.127	247.013	246.955	246.935	246.984	247.014	247.018	247.056	247.032	247.026	246.929	247.095	247.048	247.149	247.171	247.309	247.301	247.612	247.462	247.372	247.365	247.493	247.073	247.542	247.527	247.493	247.540	247.574	247.591	247.618	247.493	247.445	247.441	2016_7_15_16_11_27
F2LS3HZVHFM5____	-54.176	-54.318	-54.353	-54.317	-54.177	-54.248	-54.177	-54.315	-54.108	-54.490	-54.113	-54.216	-54.002	-53.968	-53.584	-53.655	-52.883	-53.267	-53.336	-53.617	-53.266	-54.040	-53.158	-53.188	-53.229	-53.158	-53.089	-53.125	-53.056	-53.230	-53.302	-53.370	-131.353	-131.321	-131.279	-131.426	-131.456	-131.566	-131.635	-131.738	-131.316	-131.489	-131.739	-131.775	-131.914	-131.840	-131.979	-131.944	-132.262	-132.087	-131.663	-132.295	-132.326	-131.458	-132.396	-132.362	-132.324	-132.471	-132.501	-132.606	-132.607	-132.331	-132.191	-132.331	247.875	247.817	247.797	247.833	247.890	247.881	247.917	247.882	247.894	247.778	247.957	247.925	248.025	248.026	248.191	248.159	248.495	248.325	248.236	248.226	248.362	247.941	248.412	248.396	248.375	248.423	248.454	248.456	248.482	248.376	248.328	248.323	2016_7_15_16_11_30
