SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-63.920	-63.742	-63.909	-63.954	-63.945	-63.849	-63.959	-63.840	-63.885	-63.773	-63.916	-63.744	-63.814	-63.824	-63.851	-63.913	-63.858	-63.990	-63.910	-64.472	-63.882	-63.922	-64.230	-64.230	-63.850	-63.883	-63.856	-63.945	-63.929	-64.159	-63.846	-63.844	-120.287	-119.946	-119.737	-119.809	-119.805	-119.836	-119.840	-119.630	-120.224	-120.253	-120.253	-119.703	-119.703	-119.846	-119.808	-120.323	-119.773	-119.699	-119.805	-120.085	-120.254	-119.809	-120.190	-120.157	-119.878	-119.808	-119.772	-119.875	-119.813	-120.119	-120.186	-120.224	242.351	242.350	242.246	242.244	242.246	242.288	242.248	242.251	242.352	242.399	242.346	242.301	242.275	242.300	242.282	242.361	242.272	242.208	242.259	242.106	242.359	242.255	242.217	242.210	242.296	242.270	242.273	242.260	242.254	242.229	242.359	242.367	2016_7_15_16_13_52
F2LS3EKPHFM2____	-63.884	-63.726	-63.904	-63.949	-63.878	-63.870	-63.917	-63.850	-63.872	-63.767	-63.905	-63.736	-63.846	-63.841	-63.878	-63.908	-63.875	-63.952	-63.844	-64.465	-63.873	-63.920	-64.216	-64.218	-63.848	-63.881	-63.877	-63.883	-63.901	-64.147	-63.837	-63.833	-120.299	-119.952	-119.747	-119.850	-119.776	-119.881	-119.849	-119.644	-120.229	-120.261	-120.260	-119.714	-119.745	-119.886	-119.848	-120.332	-119.816	-119.712	-119.748	-120.106	-120.263	-119.819	-120.205	-120.167	-119.886	-119.817	-119.815	-119.816	-119.794	-120.130	-120.196	-120.235	241.693	241.683	241.576	241.579	241.591	241.615	241.591	241.576	241.683	241.729	241.677	241.632	241.597	241.627	241.606	241.690	241.600	241.551	241.599	241.439	241.690	241.584	241.551	241.542	241.624	241.599	241.599	241.598	241.586	241.562	241.690	241.699	2016_7_15_16_13_57
F2LS3KLTHFM5____	-63.741	-63.589	-63.764	-63.810	-63.736	-63.690	-63.840	-63.700	-63.735	-63.630	-63.770	-63.588	-63.665	-63.666	-63.701	-63.761	-63.702	-63.805	-63.700	-64.323	-63.735	-63.776	-64.075	-64.071	-63.700	-63.737	-63.700	-63.738	-63.756	-64.002	-63.700	-63.691	-120.259	-119.950	-119.734	-119.805	-119.732	-119.831	-119.910	-119.630	-120.225	-120.260	-120.330	-119.698	-119.770	-119.839	-119.802	-120.325	-119.768	-119.700	-119.736	-120.092	-120.260	-119.803	-120.224	-120.149	-119.945	-119.804	-119.766	-119.803	-119.781	-120.113	-120.190	-120.227	241.738	241.733	241.626	241.622	241.636	241.672	241.632	241.629	241.734	241.779	241.741	241.684	241.670	241.683	241.663	241.744	241.656	241.604	241.650	241.489	241.740	241.635	241.607	241.594	241.691	241.649	241.656	241.649	241.638	241.612	241.740	241.750	2016_7_15_16_14_00
F2LS3SMLHFM5____	-63.873	-63.721	-63.893	-63.939	-63.872	-63.821	-63.904	-63.837	-63.859	-63.755	-63.897	-63.723	-63.802	-63.801	-63.835	-63.899	-63.835	-63.945	-63.836	-64.426	-63.861	-63.903	-64.209	-64.203	-63.837	-63.867	-63.837	-63.872	-63.889	-64.107	-63.820	-63.822	-120.304	-119.995	-119.784	-119.855	-119.782	-119.879	-119.890	-119.679	-120.263	-120.303	-120.303	-119.747	-119.750	-119.888	-119.850	-120.346	-119.820	-119.748	-119.787	-120.115	-120.305	-119.854	-120.248	-120.201	-119.929	-119.853	-119.818	-119.852	-119.831	-120.135	-120.228	-120.275	241.698	241.693	241.587	241.584	241.595	241.633	241.604	241.587	241.695	241.741	241.689	241.644	241.615	241.642	241.622	241.696	241.616	241.561	241.609	241.455	241.702	241.598	241.562	241.555	241.637	241.611	241.615	241.609	241.598	241.578	241.703	241.711	2016_7_15_16_14_03
F2LS38TUGRXL____	-64.001	-63.822	-64.026	-64.074	-64.004	-63.961	-64.038	-63.970	-63.959	-63.848	-64.025	-63.826	-63.934	-63.936	-63.968	-63.990	-63.939	-64.075	-63.972	-64.552	-63.956	-64.042	-64.308	-64.365	-63.969	-64.003	-63.972	-64.003	-64.020	-64.295	-63.951	-63.980	-120.404	-120.082	-119.880	-119.950	-119.878	-119.978	-119.981	-119.774	-120.363	-120.390	-120.392	-119.846	-119.844	-119.987	-119.949	-120.462	-119.917	-119.844	-119.881	-120.235	-120.393	-119.950	-120.341	-120.365	-120.017	-119.949	-119.914	-119.948	-119.925	-120.330	-120.326	-120.365	241.670	241.673	241.557	241.553	241.565	241.601	241.572	241.557	241.678	241.724	241.659	241.625	241.584	241.612	241.592	241.686	241.597	241.531	241.578	241.433	241.684	241.565	241.544	241.527	241.605	241.579	241.584	241.579	241.568	241.546	241.673	241.670	2016_7_15_16_14_06
F2LS3TKDHFM5____	-64.221	-64.072	-64.243	-64.291	-64.221	-64.178	-64.254	-64.190	-64.211	-64.120	-64.245	-64.078	-64.151	-64.154	-64.187	-64.275	-64.189	-64.291	-64.189	-64.802	-64.210	-64.257	-64.559	-64.558	-64.185	-64.219	-64.186	-64.221	-64.237	-64.488	-64.190	-64.173	-120.279	-119.937	-119.728	-119.800	-119.727	-119.826	-119.834	-119.630	-120.211	-120.260	-120.242	-119.696	-119.697	-119.836	-119.798	-120.342	-119.765	-119.692	-119.731	-120.079	-120.242	-119.800	-120.186	-120.149	-119.868	-119.800	-119.763	-119.798	-119.776	-120.112	-120.190	-120.216	242.238	242.225	242.120	242.117	242.128	242.164	242.137	242.120	242.228	242.271	242.221	242.175	242.148	242.175	242.155	242.230	242.148	242.095	242.141	241.983	242.234	242.129	242.094	242.087	242.170	242.143	242.148	242.142	242.132	242.106	242.232	242.243	2016_7_15_16_14_09
F2LS3MG9HFM5____	-64.225	-64.029	-64.206	-64.249	-64.225	-64.131	-64.211	-64.120	-64.225	-64.068	-64.190	-64.029	-64.155	-64.106	-64.141	-64.190	-64.141	-64.295	-64.139	-64.760	-64.155	-64.260	-64.516	-64.508	-64.144	-64.225	-64.135	-64.179	-64.230	-64.438	-64.190	-64.132	-120.050	-119.731	-119.516	-119.590	-119.525	-119.614	-119.626	-119.420	-120.015	-120.008	-120.050	-119.483	-119.490	-119.626	-119.588	-120.190	-119.552	-119.490	-119.519	-119.876	-120.050	-119.595	-119.976	-119.932	-119.665	-119.595	-119.552	-119.587	-119.562	-119.895	-119.980	-120.011	242.191	242.200	242.092	242.090	242.086	242.139	242.112	242.104	242.184	242.241	242.204	242.151	242.105	242.151	242.130	242.232	242.123	242.053	242.117	241.958	242.217	242.087	242.068	242.062	242.144	242.100	242.125	242.116	242.092	242.081	242.190	242.218	2016_7_15_16_14_11
F2LS3BDVGRXL____	-63.880	-63.730	-63.908	-63.952	-63.879	-63.833	-63.917	-63.846	-63.868	-63.764	-63.905	-63.733	-63.812	-63.810	-63.845	-63.904	-63.845	-63.951	-63.842	-64.464	-63.869	-63.919	-64.214	-64.212	-63.847	-63.882	-63.842	-63.881	-63.899	-64.140	-63.832	-63.829	-120.184	-119.875	-119.661	-119.733	-119.660	-119.757	-119.771	-119.559	-120.145	-120.179	-120.180	-119.628	-119.630	-119.768	-119.731	-120.252	-119.699	-119.625	-119.665	-120.021	-120.184	-119.733	-120.121	-120.078	-119.806	-119.733	-119.695	-119.733	-119.709	-120.041	-120.109	-120.153	241.671	241.666	241.558	241.555	241.568	241.604	241.576	241.560	241.668	241.714	241.661	241.616	241.587	241.615	241.595	241.676	241.589	241.534	241.583	241.422	241.675	241.568	241.535	241.527	241.609	241.581	241.589	241.582	241.570	241.547	241.674	241.684	2016_7_15_16_14_14
F2LS35BZHFM1____	-63.805	-63.608	-63.781	-63.875	-63.805	-63.770	-63.790	-63.755	-63.805	-63.637	-63.782	-63.603	-63.735	-63.735	-63.770	-63.782	-63.717	-63.824	-63.770	-64.341	-63.747	-63.840	-64.095	-64.093	-63.770	-63.805	-63.770	-63.752	-63.801	-64.023	-63.770	-63.705	-120.190	-119.818	-119.601	-119.735	-119.665	-119.770	-119.711	-119.497	-120.155	-120.122	-120.122	-119.569	-119.630	-119.770	-119.735	-120.193	-119.637	-119.567	-119.665	-119.953	-120.126	-119.735	-120.059	-120.020	-119.805	-119.735	-119.700	-119.671	-119.681	-119.982	-120.120	-120.093	242.375	242.374	242.267	242.258	242.271	242.305	242.285	242.256	242.368	242.424	242.370	242.327	242.290	242.318	242.298	242.384	242.298	242.244	242.284	242.129	242.384	242.272	242.241	242.234	242.311	242.285	242.291	242.292	242.275	242.252	242.374	242.393	2016_7_15_16_14_16
F2LS3HZVHFM5____	-63.542	-63.385	-63.575	-63.621	-63.542	-63.493	-63.575	-63.515	-63.526	-63.425	-63.567	-63.425	-63.481	-63.473	-63.542	-63.565	-63.506	-63.619	-63.509	-64.128	-63.532	-63.615	-63.878	-63.878	-63.512	-63.546	-63.539	-63.548	-63.593	-63.807	-63.494	-63.560	-120.263	-119.945	-119.741	-119.812	-119.737	-119.837	-119.846	-119.635	-120.223	-120.252	-120.253	-119.736	-119.706	-119.846	-119.841	-120.324	-119.774	-119.706	-119.741	-120.102	-120.257	-119.842	-120.202	-120.164	-119.881	-119.811	-119.805	-119.810	-119.818	-120.126	-120.186	-120.295	241.813	241.809	241.697	241.694	241.709	241.747	241.718	241.699	241.811	241.854	241.801	241.752	241.726	241.756	241.730	241.816	241.730	241.674	241.722	241.563	241.815	241.702	241.676	241.668	241.749	241.722	241.724	241.721	241.706	241.687	241.816	241.812	2016_7_15_16_14_19
F2LS339XHFM1____	-63.669	-63.519	-63.697	-63.746	-63.672	-63.624	-63.703	-63.641	-63.650	-63.549	-63.691	-63.522	-63.609	-63.597	-63.638	-63.692	-63.633	-63.745	-63.630	-64.254	-63.658	-63.713	-64.001	-64.015	-63.642	-63.673	-63.632	-63.675	-63.691	-63.931	-63.620	-63.613	-120.327	-120.012	-119.803	-119.876	-119.802	-119.900	-119.908	-119.700	-120.284	-120.320	-120.320	-119.767	-119.772	-119.909	-119.871	-120.392	-119.839	-119.768	-119.805	-120.167	-120.323	-119.874	-120.265	-120.295	-119.945	-119.872	-119.836	-119.873	-119.851	-120.190	-120.250	-120.292	241.778	241.772	241.664	241.660	241.674	241.711	241.683	241.665	241.777	241.821	241.769	241.723	241.691	241.722	241.700	241.783	241.695	241.639	241.689	241.529	241.781	241.672	241.643	241.643	241.713	241.687	241.695	241.686	241.676	241.654	241.781	241.792	2016_7_15_16_14_22
F2LS3HFRHFM5____	-63.958	-63.805	-63.984	-64.031	-63.957	-63.912	-63.990	-63.885	-63.946	-63.840	-63.981	-63.807	-63.890	-63.884	-63.922	-63.984	-63.918	-64.029	-63.916	-64.540	-63.944	-63.997	-64.292	-64.291	-63.924	-63.958	-63.922	-63.958	-64.009	-64.219	-63.908	-63.908	-120.325	-119.971	-119.800	-119.871	-119.798	-119.894	-119.903	-119.694	-120.279	-120.312	-120.312	-119.763	-119.765	-119.906	-119.867	-120.355	-119.835	-119.764	-119.801	-120.161	-120.312	-119.870	-120.258	-120.220	-119.939	-119.869	-119.832	-119.869	-119.843	-120.182	-120.243	-120.286	241.670	241.657	241.557	241.554	241.567	241.602	241.575	241.573	241.666	241.711	241.659	241.615	241.585	241.615	241.593	241.667	241.588	241.533	241.582	241.422	241.673	241.566	241.533	241.526	241.607	241.580	241.586	241.580	241.556	241.545	241.673	241.681	2016_7_15_16_14_24
F2LS3JESHFM5____	-63.737	-63.588	-63.764	-63.813	-63.743	-63.697	-63.773	-63.710	-63.724	-63.618	-63.728	-63.592	-63.675	-63.670	-63.705	-63.758	-63.703	-63.814	-63.704	-64.317	-63.726	-63.778	-64.040	-64.085	-63.703	-63.739	-63.701	-63.741	-63.758	-64.015	-63.686	-63.684	-120.406	-120.089	-119.883	-119.956	-119.883	-119.982	-119.987	-119.781	-120.367	-120.395	-120.399	-119.848	-119.851	-119.991	-119.955	-120.467	-119.920	-119.850	-119.886	-120.275	-120.397	-119.955	-120.341	-120.365	-120.021	-119.955	-119.918	-119.954	-119.930	-120.330	-120.329	-120.367	242.443	242.436	242.329	242.325	242.337	242.374	242.346	242.329	242.440	242.485	242.444	242.386	242.356	242.386	242.365	242.447	242.359	242.304	242.352	242.202	242.445	242.338	242.317	242.305	242.379	242.353	242.359	242.352	242.341	242.324	242.446	242.454	2016_7_15_16_14_28
F2LS3HFBHFM5____	-63.875	-63.730	-63.899	-63.947	-63.876	-63.832	-63.913	-63.840	-63.875	-63.763	-63.910	-63.734	-63.806	-63.875	-63.841	-63.980	-63.845	-63.943	-63.846	-64.460	-63.875	-63.915	-64.213	-64.213	-63.840	-63.873	-63.841	-63.875	-63.889	-64.142	-63.840	-63.832	-120.120	-119.806	-119.594	-119.667	-119.594	-119.695	-119.701	-119.490	-120.085	-120.115	-120.120	-119.562	-119.562	-119.770	-119.666	-120.260	-119.629	-119.558	-119.598	-119.946	-120.120	-119.667	-120.053	-120.011	-119.735	-119.667	-119.629	-119.665	-119.642	-119.974	-120.050	-120.085	241.661	241.652	241.548	241.544	241.556	241.592	241.564	241.549	241.654	241.701	241.648	241.602	241.576	241.591	241.583	241.649	241.575	241.524	241.568	241.409	241.661	241.556	241.522	241.513	241.597	241.572	241.576	241.570	241.561	241.532	241.660	241.670	2016_7_15_16_14_31
