SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-30.868	-30.810	-30.809	-30.578	-30.805	-30.807	-30.875	-30.776	-30.878	-30.843	-30.807	-30.804	-30.700	-30.871	-30.980	-30.952	-30.803	-30.842	-30.912	-30.916	-30.587	-30.843	-30.914	-30.840	-30.756	-30.806	-30.828	-30.553	-30.795	-30.841	-30.911	-30.947	131.098	131.315	131.173	131.118	131.171	131.105	131.321	131.380	131.109	131.175	131.244	131.354	131.276	131.178	131.318	131.173	131.242	131.277	131.381	131.313	131.304	131.313	131.279	131.208	131.225	131.313	131.375	131.303	131.404	131.281	131.177	131.318	103.071	103.026	103.039	102.949	103.038	103.045	103.052	103.005	103.074	103.053	103.031	103.019	102.984	103.064	103.096	103.098	103.030	103.043	103.062	103.070	102.934	103.039	103.072	103.049	103.012	103.024	103.027	102.921	103.011	103.042	103.081	103.082	2016_7_15_14_58_12
F2LS3EKPHFM2____	-30.897	-30.865	-30.866	-30.636	-30.864	-30.864	-30.934	-30.832	-30.935	-30.899	-30.864	-30.869	-30.760	-30.934	-31.039	-31.006	-30.867	-30.900	-30.970	-30.969	-30.638	-30.901	-30.941	-30.899	-30.809	-30.864	-30.856	-30.580	-30.854	-30.899	-30.970	-31.006	131.089	131.271	131.133	131.114	131.132	131.063	131.309	131.344	131.098	131.134	131.233	131.374	131.270	131.167	131.342	131.134	131.203	131.270	131.376	131.273	131.294	131.303	131.239	131.168	131.221	131.274	131.366	131.293	131.400	131.275	131.169	131.306	103.314	103.283	103.296	103.203	103.295	103.302	103.307	103.262	103.329	103.310	103.286	103.274	103.239	103.321	103.347	103.354	103.290	103.297	103.316	103.325	103.186	103.294	103.317	103.307	103.264	103.282	103.269	103.163	103.265	103.296	103.336	103.338	2016_7_15_14_58_15
F2LS3KLTHFM5____	-30.933	-30.875	-30.874	-30.672	-30.871	-30.873	-30.942	-30.839	-30.945	-30.907	-30.871	-30.874	-30.769	-30.942	-31.045	-31.015	-30.875	-30.906	-30.980	-30.978	-30.615	-30.908	-30.983	-30.909	-30.817	-30.874	-30.894	-30.586	-30.895	-30.905	-30.977	-31.014	131.082	131.263	131.124	131.073	131.126	131.055	131.300	131.337	131.090	131.126	131.195	131.334	131.230	131.159	131.299	131.126	131.194	131.231	131.335	131.263	131.287	131.265	131.229	131.160	131.215	131.265	131.361	131.248	131.395	131.268	131.159	131.299	103.234	103.192	103.205	103.126	103.204	103.212	103.216	103.170	103.238	103.219	103.197	103.185	103.151	103.230	103.259	103.263	103.199	103.208	103.229	103.235	103.082	103.205	103.240	103.216	103.173	103.191	103.191	103.074	103.188	103.204	103.244	103.246	2016_7_15_14_58_18
F2LS3SMLHFM5____	-30.815	-30.753	-30.779	-30.551	-30.779	-30.780	-30.850	-30.719	-30.851	-30.815	-30.778	-30.779	-30.646	-30.845	-30.921	-30.919	-30.777	-30.813	-30.883	-30.887	-30.533	-30.814	-30.887	-30.813	-30.733	-30.780	-30.775	-30.499	-30.771	-30.811	-30.882	-30.920	131.226	131.442	131.300	131.248	131.301	131.233	131.477	131.508	131.267	131.303	131.374	131.512	131.404	131.337	131.475	131.301	131.373	131.407	131.510	131.441	131.432	131.442	131.407	131.338	131.355	131.442	131.535	131.433	131.566	131.441	131.336	131.476	103.280	103.233	103.258	103.168	103.258	103.265	103.270	103.213	103.291	103.272	103.250	103.237	103.193	103.282	103.299	103.316	103.250	103.262	103.280	103.289	103.143	103.258	103.292	103.268	103.233	103.244	103.233	103.129	103.229	103.257	103.297	103.299	2016_7_15_14_58_20
F2LS38TUGRXL____	-30.795	-30.733	-30.734	-30.498	-30.733	-30.732	-30.803	-30.700	-30.804	-30.770	-30.731	-30.730	-30.629	-30.804	-30.907	-30.879	-30.731	-30.763	-30.837	-30.841	-30.478	-30.766	-30.841	-30.764	-30.684	-30.732	-30.756	-30.479	-30.716	-30.767	-30.838	-30.873	131.191	131.381	131.239	131.186	131.273	131.172	131.385	131.448	131.206	131.242	131.312	131.450	131.343	131.275	131.414	131.210	131.342	131.347	131.451	131.381	131.399	131.382	131.345	131.277	131.290	131.349	131.475	131.371	131.510	131.379	131.274	131.415	103.300	103.256	103.270	103.177	103.266	103.276	103.284	103.236	103.302	103.284	103.262	103.248	103.216	103.295	103.324	103.333	103.259	103.272	103.292	103.300	103.149	103.269	103.304	103.279	103.244	103.258	103.256	103.152	103.236	103.270	103.309	103.310	2016_7_15_14_58_23
F2LS3TKDHFM5____	-30.648	-30.559	-30.558	-30.355	-30.580	-30.581	-30.653	-30.549	-30.653	-30.617	-30.579	-30.583	-30.448	-30.651	-30.760	-30.727	-30.581	-30.615	-30.689	-30.690	-30.336	-30.615	-30.690	-30.588	-30.532	-30.556	-30.579	-30.305	-30.577	-30.619	-30.688	-30.725	131.295	131.511	131.370	131.319	131.370	131.302	131.546	131.580	131.307	131.372	131.443	131.582	131.475	131.406	131.546	131.369	131.442	131.476	131.579	131.511	131.502	131.512	131.476	131.408	131.425	131.511	131.604	131.503	131.605	131.480	131.377	131.546	103.139	103.081	103.094	103.015	103.103	103.110	103.117	103.071	103.140	103.118	103.096	103.084	103.039	103.129	103.161	103.164	103.097	103.108	103.128	103.135	102.990	103.104	103.138	103.103	103.078	103.080	103.080	102.977	103.080	103.109	103.147	103.146	2016_7_15_14_58_25
F2LS3MG9HFM5____	-30.670	-30.608	-30.608	-30.403	-30.637	-30.608	-30.675	-30.573	-30.677	-30.673	-30.605	-30.603	-30.500	-30.707	-30.781	-30.749	-30.602	-30.638	-30.743	-30.713	-30.382	-30.640	-30.713	-30.640	-30.554	-30.604	-30.628	-30.355	-30.626	-30.639	-30.744	-30.778	131.140	131.357	131.216	131.163	131.186	131.119	131.392	131.394	131.153	131.189	131.260	131.399	131.289	131.222	131.392	131.216	131.286	131.322	131.396	131.327	131.346	131.329	131.293	131.225	131.269	131.358	131.419	131.346	131.451	131.325	131.222	131.361	103.199	103.152	103.166	103.086	103.180	103.175	103.176	103.134	103.200	103.195	103.160	103.146	103.114	103.206	103.220	103.224	103.156	103.168	103.204	103.198	103.059	103.167	103.201	103.178	103.138	103.150	103.154	103.048	103.150	103.168	103.221	103.222	2016_7_15_14_58_28
F2LS3BDVGRXL____	-30.535	-30.507	-30.506	-30.275	-30.503	-30.504	-30.576	-30.444	-30.577	-30.537	-30.505	-30.507	-30.402	-30.574	-30.680	-30.647	-30.505	-30.538	-30.613	-30.611	-30.252	-30.541	-30.613	-30.509	-30.452	-30.476	-30.494	-30.222	-30.495	-30.540	-30.609	-30.649	131.275	131.455	131.314	131.267	131.313	131.245	131.491	131.526	131.280	131.316	131.387	131.525	131.420	131.352	131.490	131.315	131.385	131.421	131.524	131.455	131.480	131.454	131.420	131.351	131.371	131.457	131.546	131.479	131.577	131.455	131.350	131.489	103.138	103.109	103.122	103.031	103.121	103.128	103.134	103.076	103.155	103.135	103.115	103.102	103.069	103.147	103.177	103.180	103.115	103.125	103.146	103.152	103.001	103.123	103.156	103.120	103.094	103.096	103.095	102.989	103.092	103.123	103.161	103.164	2016_7_15_14_58_31
F2LS35BZHFM1____	-31.010	-30.947	-30.947	-30.720	-30.947	-30.951	-31.018	-30.916	-31.020	-30.981	-30.947	-30.946	-30.845	-31.019	-31.120	-31.092	-30.949	-30.982	-31.055	-31.053	-30.692	-30.984	-31.056	-30.984	-30.895	-30.947	-30.971	-30.697	-30.970	-30.985	-31.057	-31.092	131.113	131.327	131.187	131.136	131.187	131.087	131.364	131.397	131.153	131.188	131.258	131.398	131.290	131.222	131.363	131.187	131.257	131.294	131.397	131.329	131.316	131.327	131.293	131.222	131.241	131.328	131.420	131.351	131.452	131.326	131.222	131.361	103.128	103.081	103.094	103.005	103.094	103.106	103.106	103.061	103.128	103.108	103.087	103.073	103.042	103.121	103.149	103.154	103.088	103.098	103.119	103.124	102.976	103.096	103.129	103.106	103.067	103.080	103.082	102.975	103.078	103.097	103.136	103.137	2016_7_15_14_58_34
F2LS3HZVHFM5____	-31.510	-31.449	-31.474	-31.249	-31.476	-31.479	-31.549	-31.414	-31.549	-31.511	-31.449	-31.478	-31.343	-31.547	-31.648	-31.619	-31.478	-31.483	-31.581	-31.580	-31.227	-31.483	-31.554	-31.483	-31.423	-31.479	-31.466	-31.196	-31.469	-31.479	-31.549	-31.589	131.030	131.246	131.106	131.060	131.106	131.004	131.251	131.318	131.039	131.108	131.177	131.285	131.213	131.108	131.282	131.075	131.146	131.213	131.318	131.245	131.235	131.248	131.213	131.143	131.161	131.248	131.307	131.238	131.342	131.248	131.143	131.247	103.409	103.362	103.386	103.298	103.387	103.399	103.403	103.341	103.424	103.402	103.369	103.371	103.322	103.416	103.441	103.450	103.384	103.380	103.410	103.417	103.272	103.376	103.409	103.387	103.360	103.375	103.363	103.259	103.361	103.375	103.414	103.420	2016_7_15_14_58_37
