SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-67.753	-67.650	-67.607	-67.684	-67.719	-67.756	-67.653	-67.678	-67.616	-67.718	-67.754	-67.649	-67.534	-67.753	-67.676	-67.754	-67.649	-67.683	-67.639	-67.648	-67.647	-67.687	-67.685	-67.575	-67.650	-67.566	-67.581	-67.540	-67.544	-67.475	-67.609	-67.544	143.948	143.951	143.948	144.020	144.021	143.981	143.977	144.040	143.949	143.981	143.945	143.879	144.025	143.985	143.974	143.949	143.982	143.948	144.008	144.010	144.078	143.984	144.052	144.123	144.260	144.167	144.182	144.115	144.194	144.163	144.081	144.308	115.027	114.993	114.979	114.993	115.005	115.023	114.990	114.988	114.982	115.010	115.027	115.003	114.944	115.021	114.998	115.027	114.988	115.004	114.980	114.983	114.972	115.000	114.989	114.942	114.945	114.932	114.935	114.932	114.921	114.903	114.959	114.904	2016_7_15_15_15_57
F2LS3EKPHFM2____	-67.610	-67.537	-67.463	-67.572	-67.608	-67.644	-67.537	-67.538	-67.471	-67.606	-67.641	-67.536	-67.396	-67.641	-67.537	-67.642	-67.537	-67.571	-67.534	-67.502	-67.505	-67.573	-67.572	-67.465	-67.505	-67.431	-67.401	-67.398	-67.399	-67.331	-67.466	-67.401	143.946	143.939	143.941	144.009	144.009	143.970	143.969	144.044	143.945	143.972	143.936	143.869	144.017	143.976	143.976	143.937	143.973	143.937	144.008	144.002	144.081	143.971	144.043	144.154	144.277	144.181	144.236	144.200	144.192	144.174	144.143	144.295	115.210	115.188	115.163	115.188	115.200	115.218	115.183	115.172	115.165	115.205	115.222	115.198	115.129	115.216	115.182	115.222	115.182	115.199	115.176	115.166	115.155	115.194	115.183	115.131	115.125	115.116	115.098	115.102	115.104	115.084	115.133	115.089	2016_7_15_15_16_00
F2LS3KLTHFM5____	-67.789	-67.686	-67.612	-67.720	-67.759	-67.791	-67.689	-67.718	-67.651	-67.719	-67.789	-67.685	-67.574	-67.788	-67.715	-67.789	-67.686	-67.718	-67.682	-67.654	-67.684	-67.724	-67.721	-67.611	-67.687	-67.600	-67.579	-67.573	-67.546	-67.510	-67.613	-67.582	143.870	143.867	143.872	143.938	143.940	143.903	143.896	143.968	143.866	143.909	143.868	143.806	143.951	143.907	143.897	143.869	143.906	143.871	143.939	143.934	144.001	143.899	143.973	144.053	144.183	144.113	144.148	144.097	144.114	144.087	144.058	144.235	115.185	115.152	115.127	115.152	115.165	115.180	115.148	115.147	115.141	115.156	115.185	115.161	115.102	115.179	115.157	115.185	115.146	115.162	115.139	115.131	115.131	115.159	115.147	115.099	115.104	115.086	115.074	115.080	115.068	115.061	115.099	115.062	2016_7_15_15_16_02
F2LS3SMLHFM5____	-67.587	-67.485	-67.414	-67.521	-67.558	-67.588	-67.487	-67.518	-67.449	-67.553	-67.586	-67.487	-67.377	-67.586	-67.516	-67.586	-67.487	-67.517	-67.484	-67.454	-67.485	-67.523	-67.520	-67.414	-67.486	-67.408	-67.381	-67.378	-67.346	-67.308	-67.416	-67.382	143.930	143.927	143.934	143.993	143.997	143.960	143.958	144.032	143.926	143.964	143.930	143.862	144.005	143.969	143.964	143.928	143.962	143.932	144.003	144.001	144.073	143.955	144.030	144.158	144.268	144.183	144.206	144.197	144.196	144.167	144.151	144.292	115.219	115.186	115.162	115.188	115.199	115.215	115.182	115.181	115.175	115.203	115.219	115.197	115.139	115.213	115.191	115.219	115.181	115.196	115.174	115.164	115.164	115.194	115.182	115.128	115.134	115.122	115.109	115.110	115.100	115.092	115.129	115.097	2016_7_15_15_16_04
F2LS38TUGRXL____	-67.468	-67.403	-67.295	-67.439	-67.476	-67.469	-67.403	-67.399	-67.329	-67.471	-67.467	-67.404	-67.256	-67.467	-67.396	-67.468	-67.404	-67.397	-67.401	-67.333	-67.401	-67.440	-67.438	-67.331	-67.408	-67.324	-67.260	-67.258	-67.228	-67.190	-67.329	-67.297	143.932	143.899	143.931	143.964	143.968	143.965	143.928	144.043	143.929	143.934	143.933	143.830	144.005	143.937	143.970	143.935	143.934	143.934	144.000	144.004	144.033	143.927	144.002	144.109	144.243	144.139	144.277	144.233	144.241	144.162	144.091	144.267	115.204	115.188	115.148	115.190	115.202	115.200	115.184	115.165	115.160	115.205	115.204	115.199	115.124	115.204	115.175	115.204	115.183	115.181	115.172	115.150	115.167	115.196	115.184	115.133	115.137	115.126	115.084	115.090	115.079	115.079	115.135	115.098	2016_7_15_15_16_07
F2LS3TKDHFM5____	-67.434	-67.294	-67.254	-67.368	-67.404	-67.401	-67.331	-67.325	-67.257	-67.399	-67.397	-67.330	-67.183	-67.397	-67.323	-67.398	-67.331	-67.327	-67.289	-67.297	-67.329	-67.369	-67.368	-67.256	-67.334	-67.249	-67.248	-67.248	-67.191	-67.119	-67.258	-67.227	144.027	144.063	144.025	144.093	144.094	144.061	144.061	144.130	144.061	144.062	144.030	143.961	144.133	144.068	144.091	144.031	144.067	144.063	144.134	144.089	144.162	144.060	144.130	144.233	144.357	144.270	144.305	144.270	144.288	144.272	144.214	144.393	115.089	115.038	115.030	115.057	115.069	115.073	115.050	115.037	115.026	115.072	115.076	115.065	114.991	115.070	115.043	115.076	115.049	115.048	115.025	115.034	115.034	115.062	115.051	114.999	115.006	114.991	114.986	114.991	114.970	114.949	115.003	114.965	2016_7_15_15_16_09
F2LS3MG9HFM5____	-67.446	-67.344	-67.266	-67.376	-67.414	-67.411	-67.344	-67.333	-67.305	-67.411	-67.410	-67.308	-67.227	-67.408	-67.372	-67.409	-67.344	-67.339	-67.336	-67.308	-67.341	-67.380	-67.377	-67.264	-67.341	-67.253	-67.229	-67.225	-67.198	-67.162	-67.265	-67.235	144.028	144.052	144.056	144.120	144.118	144.090	144.078	144.155	144.048	144.088	144.059	143.992	144.132	144.099	144.046	144.061	144.089	144.059	144.114	144.115	144.184	144.085	144.156	144.192	144.321	144.268	144.294	144.239	144.308	144.269	144.203	144.410	115.128	115.091	115.065	115.091	115.104	115.107	115.087	115.072	115.079	115.107	115.111	115.088	115.041	115.105	115.101	115.111	115.085	115.088	115.079	115.070	115.070	115.098	115.086	115.044	115.049	115.029	115.017	115.024	115.004	114.999	115.042	115.001	2016_7_15_15_16_12
F2LS3BDVGRXL____	-67.438	-67.333	-67.256	-67.369	-67.405	-67.439	-67.335	-67.363	-67.297	-67.404	-67.439	-67.333	-67.222	-67.439	-67.362	-67.438	-67.334	-67.367	-67.326	-67.297	-67.329	-67.371	-67.369	-67.259	-67.333	-67.253	-67.230	-67.225	-67.195	-67.157	-67.261	-67.230	144.033	144.035	144.025	144.102	144.102	144.063	144.070	144.124	144.034	144.067	144.031	143.966	144.095	144.069	144.055	144.027	144.069	144.035	144.093	144.090	144.162	144.067	144.135	144.221	144.352	144.264	144.304	144.259	144.275	144.251	144.214	144.379	115.133	115.099	115.075	115.100	115.112	115.129	115.094	115.095	115.087	115.117	115.134	115.109	115.053	115.128	115.105	115.134	115.094	115.110	115.087	115.078	115.078	115.106	115.095	115.046	115.050	115.038	115.024	115.029	115.017	115.008	115.048	115.012	2016_7_15_15_16_14
F2LS35BZHFM1____	-67.878	-67.776	-67.700	-67.811	-67.847	-67.883	-67.778	-67.875	-67.805	-67.843	-67.878	-67.840	-67.735	-67.878	-67.805	-67.880	-67.840	-67.807	-67.840	-67.742	-67.840	-67.815	-67.813	-67.705	-67.781	-67.770	-67.674	-67.671	-67.641	-67.606	-67.770	-67.675	143.882	143.886	143.887	143.959	143.956	143.913	143.918	143.933	143.828	143.920	143.880	143.758	143.898	143.919	143.916	143.881	143.863	143.889	143.898	143.946	143.968	143.915	143.990	144.063	144.147	144.073	144.158	144.104	144.126	144.091	144.038	144.236	115.077	115.043	115.018	115.043	115.055	115.074	115.039	115.068	115.061	115.060	115.077	115.084	115.028	115.071	115.048	115.078	115.067	115.053	115.062	115.023	115.051	115.051	115.039	114.993	115.005	115.012	114.968	114.976	114.962	114.956	115.018	114.957	2016_7_15_15_16_17
F2LS3HZVHFM5____	-68.610	-68.506	-68.395	-68.543	-68.582	-68.575	-68.531	-68.503	-68.435	-68.538	-68.572	-68.473	-68.356	-68.571	-68.499	-68.572	-68.508	-68.500	-68.464	-68.496	-68.505	-68.547	-68.544	-68.461	-68.514	-68.428	-68.426	-68.401	-68.370	-68.293	-68.461	-68.426	143.542	143.543	143.543	143.607	143.605	143.575	143.578	143.639	143.542	143.580	143.547	143.482	143.618	143.586	143.573	143.544	143.577	143.579	143.645	143.613	143.674	143.569	143.641	143.753	143.848	143.787	143.823	143.814	143.788	143.778	143.753	143.893	115.434	115.400	115.364	115.402	115.415	115.418	115.403	115.384	115.377	115.405	115.421	115.399	115.340	115.415	115.393	115.422	115.395	115.393	115.371	115.386	115.380	115.409	115.397	115.353	115.356	115.337	115.331	115.324	115.318	115.294	115.353	115.320	2016_7_15_15_16_19
