SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-37.385	-37.235	-37.333	-37.333	-37.235	-37.352	-37.391	-37.391	-37.274	-37.388	-37.340	-37.333	-37.312	-37.340	-37.356	-37.333	-37.317	-37.360	-37.333	-37.347	-37.340	-37.404	-37.354	-37.333	-37.340	-37.352	-37.277	-37.351	-37.240	-37.235	-37.236	-37.277	-139.063	-139.063	-139.027	-139.027	-138.993	-139.024	-139.037	-139.037	-138.941	-138.961	-138.958	-139.027	-139.027	-138.993	-139.063	-139.027	-139.025	-139.028	-139.027	-138.994	-138.993	-138.959	-138.977	-139.028	-138.958	-139.024	-139.063	-139.062	-138.939	-138.993	-138.942	-139.063	254.690	254.747	254.706	254.706	254.740	254.698	254.685	254.685	254.720	254.678	254.696	254.706	254.714	254.700	254.701	254.706	254.712	254.696	254.706	254.697	254.700	254.671	254.693	254.706	254.696	254.698	254.731	254.702	254.733	254.740	254.735	254.731	2016_7_15_15_47_28
F2LS3EKPHFM2____	-37.203	-37.105	-37.137	-37.137	-37.100	-37.211	-37.214	-37.214	-37.140	-37.205	-37.135	-37.137	-37.138	-37.177	-37.177	-37.137	-37.142	-37.211	-37.137	-37.210	-37.137	-37.169	-37.174	-37.140	-37.176	-37.211	-37.138	-37.170	-37.102	-37.100	-37.134	-37.138	-139.186	-139.186	-139.149	-139.149	-139.114	-139.188	-139.116	-139.116	-139.115	-139.081	-139.078	-139.149	-139.150	-139.115	-139.185	-139.149	-139.153	-139.151	-139.149	-139.115	-139.116	-139.080	-139.153	-139.149	-139.081	-139.188	-139.185	-139.185	-139.114	-139.114	-139.115	-139.185	255.346	255.383	255.367	255.367	255.378	255.343	255.334	255.334	255.362	255.334	255.361	255.367	255.367	255.348	255.355	255.367	255.365	255.339	255.367	255.336	255.364	255.348	255.353	255.366	255.345	255.343	255.370	255.358	255.377	255.378	255.365	255.370	2016_7_15_15_47_31
F2LS3KLTHFM5____	-37.132	-37.029	-37.063	-37.063	-37.020	-37.098	-37.098	-37.098	-37.062	-37.134	-37.059	-37.063	-37.064	-37.058	-37.105	-37.063	-37.068	-37.101	-37.063	-37.097	-37.064	-37.132	-37.097	-37.062	-37.057	-37.098	-37.063	-37.133	-37.026	-37.020	-37.024	-37.063	-139.258	-139.256	-139.221	-139.221	-139.184	-139.219	-139.185	-139.185	-139.189	-139.152	-139.151	-139.221	-139.224	-139.191	-139.256	-139.221	-139.218	-139.225	-139.221	-139.223	-139.182	-139.151	-139.225	-139.223	-139.150	-139.219	-139.258	-139.258	-139.188	-139.184	-139.187	-139.258	255.371	255.410	255.393	255.393	255.406	255.380	255.376	255.376	255.391	255.359	255.388	255.393	255.393	255.392	255.381	255.393	255.391	255.379	255.393	255.380	255.389	255.360	255.381	255.394	255.388	255.380	255.397	255.371	255.404	255.406	255.405	255.397	2016_7_15_15_47_34
F2LS3SMLHFM5____	-37.285	-37.220	-37.256	-37.256	-37.212	-37.290	-37.284	-37.284	-37.248	-37.360	-37.243	-37.256	-37.256	-37.248	-37.301	-37.256	-37.221	-37.291	-37.256	-37.288	-37.255	-37.317	-37.289	-37.256	-37.249	-37.290	-37.218	-37.283	-37.214	-37.212	-37.214	-37.218	-139.200	-139.240	-139.161	-139.161	-139.167	-139.160	-139.172	-139.172	-139.172	-139.137	-139.135	-139.161	-139.163	-139.172	-139.200	-139.161	-139.161	-139.209	-139.161	-139.128	-139.125	-139.135	-139.206	-139.162	-139.136	-139.160	-139.198	-139.238	-139.169	-139.167	-139.172	-139.198	255.308	255.338	255.316	255.316	255.333	255.302	255.306	255.306	255.320	255.273	255.318	255.316	255.316	255.319	255.302	255.316	255.329	255.307	255.316	255.300	255.312	255.289	255.307	255.315	255.315	255.302	255.334	255.313	255.332	255.333	255.333	255.334	2016_7_15_15_47_38
F2LS38TUGRXL____	-37.340	-37.276	-37.317	-37.317	-37.239	-37.354	-37.356	-37.356	-37.315	-37.343	-37.311	-37.317	-37.280	-37.316	-37.354	-37.317	-37.313	-37.354	-37.317	-37.309	-37.316	-37.385	-37.351	-37.318	-37.279	-37.354	-37.277	-37.308	-37.279	-37.239	-37.278	-37.277	-139.273	-139.312	-139.234	-139.234	-139.201	-139.235	-139.201	-139.201	-139.200	-139.165	-139.163	-139.234	-139.236	-139.203	-139.270	-139.234	-139.275	-139.235	-139.234	-139.201	-139.201	-139.164	-139.236	-139.236	-139.169	-139.235	-139.270	-139.273	-139.201	-139.201	-139.201	-139.270	254.657	254.686	254.662	254.662	254.688	254.648	254.644	254.644	254.659	254.645	254.657	254.662	254.676	254.659	254.651	254.662	254.667	254.648	254.662	254.662	254.659	254.629	254.649	254.661	254.670	254.648	254.681	254.669	254.673	254.688	254.673	254.681	2016_7_15_15_47_40
F2LS3TKDHFM5____	-37.656	-37.553	-37.587	-37.587	-37.541	-37.622	-37.622	-37.622	-37.589	-37.615	-37.584	-37.587	-37.550	-37.585	-37.629	-37.587	-37.592	-37.626	-37.587	-37.623	-37.587	-37.652	-37.582	-37.585	-37.586	-37.622	-37.546	-37.623	-37.549	-37.541	-37.551	-37.546	-139.129	-139.129	-139.093	-139.093	-139.055	-139.091	-139.059	-139.059	-139.060	-139.024	-139.022	-139.093	-139.094	-139.060	-139.130	-139.093	-139.092	-139.096	-139.093	-139.058	-139.056	-139.022	-139.095	-139.093	-139.024	-139.091	-139.129	-139.129	-139.057	-139.055	-139.059	-139.129	254.593	254.633	254.616	254.616	254.630	254.603	254.599	254.599	254.612	254.598	254.610	254.616	254.631	254.614	254.604	254.616	254.614	254.602	254.616	254.599	254.612	254.584	254.618	254.617	254.610	254.603	254.636	254.606	254.627	254.630	254.626	254.636	2016_7_15_15_47_43
F2LS3MG9HFM5____	-37.480	-37.371	-37.451	-37.451	-37.366	-37.446	-37.446	-37.446	-37.406	-37.526	-37.400	-37.451	-37.404	-37.403	-37.490	-37.451	-37.453	-37.446	-37.451	-37.443	-37.451	-37.481	-37.403	-37.444	-37.445	-37.446	-37.403	-37.448	-37.365	-37.366	-37.373	-37.403	-139.124	-139.165	-139.088	-139.088	-139.053	-139.088	-139.056	-139.056	-139.055	-139.022	-139.017	-139.088	-139.090	-139.057	-139.125	-139.088	-139.133	-139.090	-139.088	-139.055	-139.052	-139.019	-139.089	-139.088	-139.021	-139.088	-139.125	-139.125	-139.053	-139.053	-139.056	-139.125	255.170	255.216	255.177	255.177	255.206	255.179	255.176	255.176	255.191	255.142	255.189	255.177	255.195	255.192	255.166	255.177	255.181	255.179	255.177	255.177	255.173	255.159	255.196	255.180	255.173	255.179	255.199	255.182	255.207	255.206	255.204	255.199	2016_7_15_15_47_45
F2LS3BDVGRXL____	-37.521	-37.475	-37.498	-37.498	-37.459	-37.533	-37.483	-37.483	-37.495	-37.568	-37.498	-37.498	-37.492	-37.498	-37.492	-37.498	-37.653	-37.489	-37.498	-37.539	-37.708	-37.575	-37.533	-37.498	-37.498	-37.533	-37.492	-37.549	-37.460	-37.459	-37.412	-37.492	-139.105	-139.054	-139.076	-139.076	-138.984	-139.076	-139.035	-139.035	-139.034	-139.006	-139.076	-139.076	-139.067	-139.041	-139.105	-139.076	-139.063	-139.072	-139.076	-138.986	-139.041	-138.951	-139.076	-139.076	-139.006	-139.076	-139.102	-139.056	-139.031	-138.984	-139.034	-139.102	255.111	255.124	255.117	255.117	255.123	255.103	255.119	255.119	255.114	255.083	255.117	255.117	255.119	255.113	255.122	255.117	255.056	255.120	255.117	255.092	255.033	255.075	255.103	255.117	255.110	255.103	255.122	255.095	255.127	255.123	255.146	255.122	2016_7_15_15_47_47
F2LS35BZHFM1____	-37.215	-37.145	-37.183	-37.183	-37.133	-37.213	-37.217	-37.217	-37.181	-37.256	-37.176	-37.183	-37.183	-37.178	-37.218	-37.183	-37.187	-37.182	-37.183	-37.216	-37.180	-37.254	-37.218	-37.218	-37.144	-37.213	-37.182	-37.218	-37.145	-37.133	-37.145	-37.182	-139.218	-139.213	-139.179	-139.179	-139.183	-139.220	-139.146	-139.146	-139.146	-139.112	-139.108	-139.179	-139.182	-139.148	-139.257	-139.179	-139.179	-139.182	-139.179	-139.186	-139.183	-139.111	-139.181	-139.178	-139.113	-139.220	-139.216	-139.215	-139.145	-139.183	-139.147	-139.216	254.850	254.877	254.858	254.858	254.878	254.851	254.842	254.842	254.856	254.823	254.854	254.858	254.859	254.857	254.853	254.858	254.857	254.859	254.858	254.846	254.860	254.824	254.845	254.845	254.867	254.851	254.863	254.848	254.870	254.878	254.870	254.863	2016_7_15_15_47_49
F2LS3HZVHFM5____	-36.686	-36.619	-36.690	-36.690	-36.612	-36.722	-36.723	-36.723	-36.690	-36.766	-36.687	-36.690	-36.656	-36.655	-36.736	-36.690	-36.658	-36.731	-36.690	-36.649	-36.653	-36.762	-36.726	-36.690	-36.692	-36.722	-36.655	-36.689	-36.622	-36.612	-36.619	-36.655	-139.346	-139.342	-139.309	-139.309	-139.270	-139.307	-139.275	-139.275	-139.277	-139.241	-139.239	-139.309	-139.313	-139.276	-139.346	-139.309	-139.309	-139.312	-139.309	-139.274	-139.270	-139.241	-139.310	-139.308	-139.240	-139.307	-139.346	-139.344	-139.274	-139.270	-139.276	-139.346	254.966	254.991	254.960	254.960	254.987	254.948	254.944	254.944	254.957	254.924	254.954	254.960	254.974	254.971	254.946	254.960	254.973	254.945	254.960	254.973	254.971	254.926	254.947	254.960	254.952	254.948	254.977	254.964	254.983	254.987	254.984	254.977	2016_7_15_15_47_52
