SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-8.586	-8.278	-8.541	-8.535	-8.582	-8.639	-8.338	-8.405	-8.173	-8.303	-8.470	-8.528	-8.268	-8.594	-8.316	-8.408	-8.117	-8.607	-8.376	-8.275	-8.491	-8.700	-8.396	-8.335	-8.161	-8.460	-8.669	-8.152	-8.724	-8.786	-8.543	-8.340	117.481	118.981	118.081	117.869	118.108	117.759	118.053	117.474	118.558	117.983	117.803	117.869	118.298	117.976	117.215	117.995	118.154	117.740	118.019	117.755	117.962	117.829	117.399	117.580	117.769	117.770	117.908	118.259	118.179	117.886	117.516	118.575	94.205	94.005	94.162	94.167	94.181	94.221	94.065	94.118	93.969	94.051	94.138	94.163	94.023	94.192	94.083	94.101	93.955	94.206	94.084	94.045	94.142	94.248	94.116	94.080	93.989	94.134	94.230	93.969	94.247	94.287	94.183	94.048	2016_7_15_11_12_34
F2LS3A8AGRXL____	-9.250	-8.569	-9.032	-9.156	-9.090	-9.133	-9.049	-9.023	-9.006	-9.077	-9.078	-9.090	-9.120	-9.144	-8.797	-8.570	-8.664	-9.032	-9.138	-8.956	-9.185	-9.133	-8.800	-8.629	-8.812	-9.075	-9.221	-9.110	-9.096	-9.009	-8.959	-8.507	117.707	118.283	118.000	117.853	117.744	117.668	118.220	117.646	117.983	117.808	117.657	117.780	117.853	118.152	117.463	118.191	118.479	117.670	117.594	117.412	117.608	117.756	117.846	117.259	118.087	117.680	117.679	117.734	117.772	118.015	117.951	117.753	94.727	94.378	94.611	94.676	94.648	94.672	94.611	94.620	94.599	94.640	94.646	94.647	94.659	94.659	94.517	94.381	94.416	94.623	94.677	94.596	94.700	94.669	94.504	94.443	94.502	94.644	94.715	94.658	94.650	94.600	94.577	94.366	2016_7_15_11_12_40
F2LS3BDVGRXL____	-9.063	-8.799	-8.900	-9.023	-8.662	-9.068	-8.794	-8.956	-8.748	-9.019	-8.695	-8.956	-8.997	-9.092	-8.487	-8.718	-8.485	-8.840	-9.065	-8.620	-8.569	-9.194	-8.811	-8.511	-8.701	-8.452	-9.220	-8.926	-9.037	-9.272	-8.967	-8.729	117.046	117.190	117.666	117.651	117.214	116.869	117.631	117.165	117.925	117.207	117.448	117.127	117.195	117.218	116.969	117.432	117.525	117.193	117.052	117.739	117.596	117.472	117.232	117.022	117.824	117.564	117.206	117.349	117.231	117.453	117.023	117.141	94.439	94.305	94.336	94.396	94.238	94.448	94.286	94.382	94.254	94.411	94.245	94.384	94.401	94.446	94.161	94.257	94.141	94.325	94.440	94.198	94.179	94.486	94.309	94.171	94.234	94.123	94.509	94.360	94.419	94.525	94.393	94.273	2016_7_15_11_12_52
F2LS3EKPHFM2____	-9.316	-8.897	-8.925	-9.008	-9.285	-9.193	-9.248	-9.138	-8.736	-9.088	-9.017	-8.882	-9.117	-9.414	-8.844	-8.973	-8.862	-9.041	-9.314	-8.961	-9.292	-9.240	-9.250	-8.705	-8.701	-8.991	-9.153	-8.836	-9.086	-9.148	-8.900	-8.890	117.508	118.427	118.929	117.994	117.041	117.674	117.888	117.446	118.005	117.350	117.789	118.211	117.877	117.028	117.510	117.705	118.071	117.152	117.511	117.460	117.940	118.474	117.094	116.914	117.965	118.368	117.773	118.387	118.167	117.683	117.296	117.214	94.545	94.309	94.304	94.378	94.548	94.479	94.498	94.461	94.246	94.441	94.390	94.309	94.435	94.612	94.317	94.372	94.305	94.425	94.544	94.375	94.517	94.472	94.529	94.271	94.231	94.356	94.456	94.281	94.409	94.457	94.352	94.350	2016_7_15_11_14_57
F2LS3HFBHFM5____	-9.318	-9.044	-9.153	-9.074	-9.262	-9.119	-9.124	-8.716	-8.929	-9.010	-8.876	-8.885	-9.115	-9.289	-8.911	-8.839	-8.666	-8.896	-9.319	-8.887	-8.767	-9.324	-9.002	-8.862	-8.904	-8.685	-9.025	-8.850	-9.289	-9.460	-9.088	-8.959	117.638	117.934	117.353	118.183	117.433	117.740	117.581	117.380	118.549	117.819	117.933	117.870	117.864	117.517	117.580	117.578	118.209	117.493	117.475	117.532	118.007	117.676	117.380	117.310	117.379	117.626	117.567	117.835	117.521	117.681	117.689	118.567	94.659	94.515	94.590	94.520	94.640	94.559	94.567	94.377	94.438	94.503	94.434	94.441	94.552	94.649	94.464	94.429	94.323	94.460	94.666	94.454	94.379	94.661	94.516	94.450	94.468	94.353	94.520	94.425	94.650	94.726	94.546	94.451	2016_7_15_11_15_04
F2LS3HFRHFM5____	-8.927	-8.738	-8.906	-9.041	-8.839	-8.945	-9.062	-8.702	-8.955	-8.962	-8.836	-8.893	-8.939	-8.965	-8.654	-8.720	-8.548	-9.019	-9.006	-8.779	-8.799	-9.141	-8.833	-8.656	-8.895	-8.639	-8.896	-8.602	-9.176	-9.294	-9.156	-9.057	118.607	117.964	118.620	118.208	118.371	118.234	118.507	118.012	118.466	118.171	118.273	118.811	118.284	118.512	118.401	118.402	118.691	118.960	118.461	117.843	118.094	118.365	117.738	117.804	118.490	118.177	118.454	118.459	118.312	118.291	118.495	118.361	94.574	94.506	94.563	94.643	94.540	94.596	94.643	94.487	94.592	94.606	94.542	94.550	94.591	94.595	94.450	94.482	94.389	94.605	94.617	94.530	94.531	94.686	94.560	94.472	94.563	94.450	94.564	94.423	94.704	94.762	94.688	94.645	2016_7_15_11_15_10
F2LS3HQHHFM5____	-9.056	-8.643	-8.894	-9.275	-9.185	-8.966	-9.182	-9.008	-8.896	-8.872	-9.069	-8.903	-8.987	-9.218	-8.657	-8.644	-8.802	-8.958	-9.237	-8.677	-9.116	-9.355	-8.930	-8.561	-8.778	-9.196	-9.391	-8.850	-9.340	-9.203	-9.092	-9.185	117.455	117.612	117.610	116.866	117.544	116.809	116.966	117.525	116.987	117.686	117.051	117.067	117.408	116.899	116.729	117.448	117.462	117.260	117.452	117.605	117.278	117.541	116.591	116.769	116.826	116.879	116.937	117.700	116.771	117.609	116.825	116.755	94.230	94.024	94.146	94.359	94.289	94.210	94.310	94.204	94.170	94.132	94.251	94.170	94.199	94.330	94.063	94.031	94.107	94.190	94.318	94.041	94.266	94.372	94.201	94.014	94.118	94.320	94.413	94.121	94.394	94.295	94.272	94.319	2016_7_15_11_15_17
F2LS3HZVHFM5____	-8.572	-8.698	-8.800	-8.486	-8.612	-8.731	-8.637	-8.616	-8.556	-8.504	-8.443	-8.719	-8.827	-8.609	-8.449	-8.431	-8.253	-8.599	-8.579	-8.518	-8.688	-8.650	-8.604	-8.306	-8.471	-8.452	-8.750	-8.419	-8.700	-9.048	-8.759	-8.630	118.885	118.417	118.348	119.444	118.513	117.600	118.327	117.895	117.710	118.845	118.016	119.092	118.825	118.458	117.627	118.022	118.040	118.562	118.487	119.387	118.681	118.056	117.741	117.679	119.004	119.004	117.991	118.526	118.004	118.559	117.474	118.312	94.183	94.260	94.312	94.123	94.216	94.306	94.234	94.239	94.217	94.152	94.152	94.247	94.308	94.216	94.168	94.145	94.059	94.208	94.201	94.140	94.246	94.250	94.239	94.097	94.131	94.122	94.301	94.123	94.276	94.424	94.323	94.231	2016_7_15_11_16_04
F2LS3JESHFM5____	-8.889	-8.634	-8.734	-8.849	-8.909	-8.789	-8.658	-8.450	-8.434	-8.583	-8.324	-8.506	-8.689	-8.712	-8.427	-8.292	-8.247	-8.654	-8.758	-8.405	-8.905	-9.013	-8.582	-8.459	-8.604	-8.503	-8.729	-8.629	-8.866	-8.982	-8.909	-8.610	117.986	117.603	117.619	118.068	117.558	117.178	118.368	117.591	118.213	117.892	117.945	118.762	118.023	117.568	117.591	117.806	118.091	118.145	118.135	117.685	117.372	118.156	117.784	117.318	117.833	118.104	117.502	117.769	118.172	118.083	118.162	118.096	94.270	94.160	94.208	94.247	94.295	94.250	94.145	94.071	94.042	94.125	93.998	94.058	94.172	94.199	94.060	93.987	93.956	94.150	94.201	94.046	94.300	94.323	94.128	94.085	94.137	94.079	94.210	94.152	94.252	94.311	94.273	94.131	2016_7_15_11_16_10
F2LS3KLTHFM5____	-9.004	-8.933	-9.102	-9.108	-8.902	-9.081	-9.047	-9.003	-8.476	-8.966	-8.891	-9.056	-8.935	-8.967	-8.649	-9.110	-8.477	-9.015	-9.018	-8.624	-9.052	-9.387	-9.014	-8.878	-8.859	-8.518	-9.042	-9.008	-9.242	-9.154	-9.165	-9.060	118.014	117.688	117.759	117.635	118.049	117.634	118.378	118.425	118.232	117.776	118.148	117.365	117.959	117.982	118.148	117.482	118.374	118.571	117.756	118.185	118.165	118.161	117.410	117.473	117.476	118.690	117.720	117.794	117.930	117.974	117.912	118.111	94.294	94.272	94.351	94.359	94.244	94.346	94.302	94.279	94.032	94.285	94.235	94.344	94.263	94.278	94.118	94.366	94.028	94.279	94.311	94.105	94.312	94.474	94.322	94.253	94.244	94.036	94.323	94.305	94.413	94.369	94.376	94.318	2016_7_15_11_16_14
