SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-25.231	-25.133	-25.063	-25.000	-25.304	-25.131	-25.115	-25.172	-25.175	-25.185	-25.329	-25.251	-25.170	-25.265	-25.173	-24.979	-25.307	-25.112	-25.359	-25.024	-25.405	-25.249	-24.726	-24.862	-25.153	-24.976	-25.224	-24.976	-25.248	-25.341	-25.150	-25.116	125.678	125.701	125.619	125.468	125.602	125.451	125.453	125.468	125.212	125.284	125.734	125.531	125.461	125.323	125.316	125.388	125.528	125.450	125.725	125.461	125.475	125.462	125.586	125.282	125.323	125.513	125.286	125.513	125.215	125.802	125.278	125.378	101.377	101.332	101.308	101.294	101.416	101.353	101.346	101.369	101.393	101.391	101.415	101.398	101.369	101.423	101.383	101.292	101.423	101.345	101.429	101.305	101.471	101.404	101.163	101.249	101.374	101.279	101.408	101.279	101.425	101.414	101.376	101.353	2016_7_15_11_20_58
F2LS3A8AGRXL____	-25.531	-26.042	-26.036	-25.643	-25.417	-25.788	-25.583	-25.622	-25.954	-25.639	-25.732	-25.651	-25.939	-25.656	-25.535	-25.638	-25.495	-25.704	-26.161	-25.398	-26.104	-25.659	-25.667	-25.263	-25.957	-25.631	-25.964	-25.631	-25.862	-25.576	-25.839	-25.796	125.731	125.664	125.599	125.528	125.650	125.391	125.512	125.520	125.312	125.382	125.665	125.526	125.522	125.396	125.263	125.450	125.519	125.390	125.658	125.531	125.529	125.454	125.600	125.518	125.300	125.401	125.383	125.401	125.374	125.724	125.318	125.455	101.712	101.942	101.945	101.780	101.670	101.855	101.755	101.771	101.935	101.791	101.806	101.783	101.910	101.797	101.756	101.784	101.715	101.819	101.994	101.672	101.981	101.793	101.784	101.614	101.938	101.786	101.933	101.786	101.889	101.733	101.884	101.853	2016_7_15_11_21_05
F2LS3BDVGRXL____	-25.507	-25.481	-25.419	-25.508	-25.577	-25.943	-25.512	-25.251	-26.133	-25.283	-25.272	-25.584	-25.759	-25.881	-25.600	-25.198	-25.353	-25.501	-25.863	-25.393	-25.684	-25.584	-25.322	-25.424	-25.697	-25.267	-25.751	-25.267	-25.896	-25.495	-25.643	-25.618	125.124	125.219	125.042	124.975	125.101	124.899	125.032	124.900	124.700	124.776	125.333	125.035	125.033	124.919	124.839	124.892	125.028	124.896	125.152	125.016	125.083	124.964	125.103	124.850	124.745	124.958	124.712	124.958	124.704	125.113	124.705	124.857	101.533	101.513	101.502	101.547	101.566	101.745	101.543	101.441	101.847	101.465	101.411	101.575	101.652	101.716	101.600	101.418	101.474	101.551	101.687	101.493	101.615	101.581	101.454	101.521	101.651	101.442	101.678	101.442	101.742	101.529	101.630	101.606	2016_7_15_11_21_10
F2LS3EKPHFM2____	-25.815	-25.749	-25.469	-25.524	-25.895	-25.688	-25.522	-25.672	-25.854	-25.698	-25.526	-25.912	-26.061	-25.820	-25.911	-25.629	-25.921	-25.634	-25.955	-25.653	-25.759	-25.770	-26.495	-25.938	-25.889	-25.638	-25.895	-25.638	-25.909	-25.930	-25.947	-25.661	125.266	125.290	125.199	125.017	125.247	125.038	125.074	125.003	124.911	124.918	125.348	125.154	125.179	125.009	125.057	125.040	125.110	125.037	125.454	125.090	125.144	125.113	125.256	125.000	124.833	125.082	124.920	125.082	124.913	125.196	124.908	125.064	101.657	101.626	101.511	101.552	101.694	101.622	101.546	101.618	101.706	101.637	101.523	101.709	101.773	101.682	101.718	101.596	101.718	101.598	101.701	101.601	101.644	101.651	101.956	101.735	101.729	101.596	101.724	101.596	101.730	101.714	101.748	101.608	2016_7_15_11_21_14
F2LS3HFBHFM5____	-25.705	-25.880	-25.924	-25.415	-25.970	-25.682	-25.692	-25.495	-25.841	-25.462	-25.877	-25.878	-25.975	-25.642	-25.738	-25.634	-25.912	-25.585	-26.070	-25.527	-26.071	-25.780	-25.309	-25.567	-25.419	-25.569	-25.889	-25.569	-25.732	-25.938	-25.662	-25.560	125.667	125.597	125.532	125.460	125.532	125.378	125.387	125.453	125.250	125.380	125.656	125.522	125.517	125.369	125.316	125.379	125.407	125.378	125.531	125.462	125.457	125.390	125.580	125.455	125.171	125.386	125.319	125.386	125.246	125.661	125.249	125.320	101.690	101.773	101.799	101.582	101.819	101.706	101.710	101.618	101.787	101.610	101.767	101.779	101.822	101.690	101.736	101.685	101.804	101.664	101.863	101.631	101.870	101.748	101.525	101.649	101.609	101.656	101.802	101.656	101.740	101.793	101.709	101.658	2016_7_15_11_21_19
F2LS3HFRHFM5____	-25.735	-26.017	-25.872	-25.667	-25.686	-25.735	-25.600	-25.449	-25.722	-25.951	-26.000	-25.901	-26.004	-25.706	-25.699	-25.323	-25.215	-25.224	-25.854	-25.675	-26.242	-25.902	-25.178	-25.148	-25.666	-25.647	-25.858	-25.647	-25.741	-26.047	-25.673	-25.638	126.229	126.214	126.091	126.025	126.108	126.006	126.001	126.012	125.817	125.884	126.115	125.913	125.981	126.003	125.874	125.933	125.966	125.933	126.176	125.993	125.913	125.780	126.113	125.949	125.798	126.073	125.816	126.073	125.810	126.121	125.810	125.854	101.793	101.917	101.865	101.781	101.782	101.813	101.754	101.687	101.824	101.918	101.919	101.893	101.932	101.800	101.809	101.639	101.589	101.596	101.849	101.788	102.042	101.906	101.560	101.561	101.801	101.768	101.884	101.768	101.833	101.939	101.803	101.784	2016_7_15_11_21_23
F2LS3HQHHFM5____	-25.205	-25.626	-25.789	-25.512	-25.594	-25.592	-25.452	-25.493	-25.832	-25.566	-25.841	-25.774	-25.896	-25.674	-25.631	-25.559	-25.591	-25.340	-25.910	-25.467	-25.677	-25.717	-25.219	-25.253	-25.582	-25.257	-25.708	-25.257	-25.726	-25.939	-25.578	-25.552	124.928	124.861	124.609	124.603	124.732	124.551	124.716	124.645	124.449	124.518	124.863	124.722	124.727	124.668	124.464	124.582	124.715	124.645	124.891	124.756	124.817	124.657	124.847	124.655	124.426	124.720	124.575	124.720	124.562	124.807	124.506	124.614	101.228	101.419	101.514	101.392	101.417	101.433	101.356	101.380	101.548	101.424	101.514	101.497	101.550	101.458	101.458	101.415	101.417	101.313	101.542	101.359	101.446	101.478	101.242	101.273	101.439	101.269	101.482	101.269	101.491	101.562	101.431	101.409	2016_7_15_11_21_27
F2LS3HZVHFM5____	-25.631	-25.618	-25.590	-25.397	-25.229	-25.567	-25.677	-25.160	-25.453	-25.483	-25.908	-25.560	-25.624	-25.573	-25.332	-25.287	-25.585	-25.130	-26.027	-25.578	-25.794	-25.690	-25.602	-24.998	-25.445	-25.047	-25.504	-25.047	-25.463	-25.644	-25.393	-25.491	126.233	126.225	126.033	125.908	125.989	125.948	126.081	125.896	125.749	125.821	126.130	125.922	125.926	125.955	125.813	125.877	125.925	125.942	126.059	125.944	125.985	125.856	125.988	125.895	125.674	126.005	125.819	126.005	125.752	126.130	125.814	125.861	101.537	101.532	101.537	101.464	101.383	101.534	101.571	101.361	101.502	101.509	101.667	101.534	101.561	101.536	101.444	101.418	101.544	101.344	101.725	101.539	101.630	101.596	101.546	101.290	101.505	101.302	101.518	101.302	101.506	101.552	101.470	101.509	2016_7_15_11_21_31
F2LS3JESHFM5____	-25.292	-25.337	-25.439	-25.067	-25.275	-25.477	-25.338	-25.129	-25.425	-25.032	-25.735	-25.412	-25.600	-25.436	-25.339	-25.257	-25.431	-25.179	-25.595	-25.200	-25.706	-25.313	-25.002	-25.142	-25.418	-25.278	-25.516	-25.278	-25.192	-25.461	-25.095	-25.204	125.678	125.638	125.537	125.471	125.596	125.326	125.396	125.338	125.256	125.348	125.740	125.535	125.528	125.334	125.086	125.328	125.527	125.389	125.663	125.530	125.536	125.401	125.475	125.401	125.182	125.528	125.204	125.528	125.213	125.671	125.340	125.372	101.340	101.363	101.417	101.259	101.339	101.452	101.385	101.298	101.435	101.255	101.528	101.405	101.488	101.433	101.413	101.355	101.414	101.316	101.474	101.312	101.534	101.373	101.230	101.298	101.439	101.347	101.480	101.347	101.337	101.414	101.283	101.328	2016_7_15_11_21_35
F2LS3KLTHFM5____	-25.840	-25.953	-25.921	-25.429	-25.441	-25.706	-25.613	-25.470	-25.691	-25.545	-26.326	-25.623	-25.862	-25.708	-25.699	-25.588	-25.820	-25.427	-25.861	-25.553	-26.130	-25.790	-25.396	-25.412	-25.846	-25.598	-25.919	-25.598	-25.994	-26.235	-25.788	-25.892	125.832	125.753	125.691	125.681	125.676	125.536	125.542	125.550	125.404	125.476	125.760	125.671	125.610	125.598	125.467	125.473	125.611	125.472	125.619	125.616	125.609	125.545	125.680	125.551	125.332	125.545	125.475	125.545	125.533	125.762	125.408	125.478	101.536	101.592	101.584	101.370	101.375	101.504	101.462	101.399	101.509	101.439	101.755	101.455	101.566	101.499	101.507	101.458	101.547	101.388	101.564	101.430	101.683	101.540	101.355	101.374	101.583	101.456	101.603	101.456	101.630	101.715	101.551	101.590	2016_7_15_11_21_38
