SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-55.420	-55.617	-55.386	-55.531	-55.535	-55.533	-55.421	-55.494	-55.461	-55.461	-55.422	-55.452	-55.504	-55.527	-55.461	-55.443	-55.461	-55.461	-55.467	-55.357	-55.425	-55.391	-55.422	-55.388	-55.448	-55.314	-55.289	-55.422	-55.319	-55.425	-55.387	-55.425	141.355	141.404	141.247	141.328	141.313	141.349	141.355	141.287	141.396	141.358	141.392	141.453	141.402	141.361	141.396	141.409	141.396	141.396	141.402	141.348	141.453	141.454	141.392	141.494	141.392	141.429	141.316	141.392	141.390	141.414	141.423	141.414	111.433	111.496	111.436	111.476	111.480	111.474	111.434	111.469	111.442	111.447	111.429	111.431	111.456	111.470	111.442	111.434	111.442	111.442	111.443	111.412	111.422	111.410	111.429	111.403	111.438	111.386	111.393	111.429	111.393	111.427	111.412	111.427	2016_7_15_11_26_01
F2LS3A8AGRXL____	-55.771	-55.872	-55.780	-55.841	-55.887	-55.891	-55.817	-55.799	-55.813	-55.818	-55.774	-55.839	-55.814	-55.888	-55.813	-55.749	-55.813	-55.813	-55.778	-55.751	-55.810	-55.778	-55.774	-55.784	-55.809	-55.714	-55.636	-55.774	-55.720	-55.809	-55.779	-55.809	141.264	141.258	141.165	141.233	141.223	141.259	141.264	141.194	141.265	141.267	141.254	141.292	141.268	141.271	141.265	141.310	141.265	141.265	141.268	141.265	141.333	141.288	141.254	141.430	141.300	141.343	141.195	141.254	141.305	141.295	141.308	141.295	111.778	111.815	111.795	111.807	111.825	111.821	111.794	111.798	111.793	111.794	111.781	111.798	111.793	111.818	111.793	111.764	111.793	111.793	111.780	111.771	111.782	111.777	111.781	111.760	111.786	111.747	111.741	111.781	111.754	111.787	111.775	111.787	2016_7_15_11_26_05
F2LS3BDVGRXL____	-55.852	-55.959	-55.818	-55.925	-55.948	-55.999	-55.852	-55.932	-55.851	-55.947	-55.819	-55.921	-55.857	-55.924	-55.851	-55.785	-55.851	-55.851	-55.821	-55.787	-55.856	-55.820	-55.819	-55.819	-55.887	-55.753	-55.722	-55.819	-55.785	-55.894	-55.859	-55.894	141.208	141.239	141.101	141.214	141.133	141.203	141.237	141.139	141.245	141.243	141.271	141.363	141.277	141.244	141.245	141.277	141.245	141.245	141.277	141.246	141.302	141.273	141.271	141.375	141.245	141.319	141.173	141.271	141.215	141.242	141.249	141.242	111.591	111.624	111.594	111.616	111.636	111.644	111.587	111.629	111.586	111.620	111.571	111.594	111.583	111.611	111.586	111.558	111.586	111.586	111.571	111.563	111.580	111.571	111.571	111.557	111.598	111.541	111.551	111.571	111.567	111.601	111.588	111.601	2016_7_15_11_26_09
F2LS3EKPHFM2____	-56.132	-56.238	-56.099	-56.199	-56.240	-56.227	-56.132	-56.158	-56.131	-56.136	-56.095	-56.201	-56.133	-56.199	-56.131	-56.060	-56.131	-56.131	-56.097	-56.097	-56.128	-56.098	-56.095	-56.098	-56.168	-56.069	-55.405	-56.095	-56.023	-56.119	-56.091	-56.119	141.241	141.278	141.137	141.261	141.173	141.209	141.275	141.176	141.279	141.238	141.275	141.312	141.279	141.246	141.279	141.322	141.279	141.279	141.321	141.180	141.301	141.308	141.275	141.382	141.277	141.322	140.909	141.275	141.251	141.268	141.283	141.268	111.686	111.718	111.689	111.707	111.733	111.724	111.682	111.704	111.681	111.688	111.669	111.700	111.681	111.709	111.681	111.650	111.681	111.681	111.663	111.682	111.676	111.665	111.669	111.655	111.694	111.653	111.477	111.669	111.647	111.678	111.666	111.678	2016_7_15_11_26_14
F2LS3HFBHFM5____	-55.899	-56.000	-55.873	-55.969	-56.017	-56.025	-55.914	-55.949	-55.912	-55.915	-55.873	-55.975	-55.906	-55.983	-55.912	-55.835	-55.912	-55.912	-55.871	-55.832	-55.915	-55.874	-55.873	-55.911	-55.940	-55.803	-55.769	-55.873	-55.810	-55.914	-55.870	-55.914	141.208	141.197	141.134	141.175	141.165	141.243	141.233	141.163	141.271	141.231	141.266	141.353	141.275	141.241	141.271	141.274	141.271	141.271	141.276	141.175	141.297	141.302	141.266	141.373	141.242	141.314	141.223	141.266	141.284	141.260	141.278	141.260	111.727	111.764	111.728	111.756	111.774	111.766	111.729	111.750	111.723	111.729	111.710	111.734	111.720	111.752	111.723	111.695	111.723	111.723	111.708	111.708	111.720	111.705	111.710	111.708	111.737	111.678	111.679	111.710	111.685	111.725	111.707	111.725	2016_7_15_11_26_26
F2LS3HFRHFM5____	-55.852	-56.001	-55.855	-55.968	-55.963	-55.964	-55.899	-55.896	-55.897	-55.895	-55.864	-55.930	-55.897	-55.930	-55.897	-55.827	-55.897	-55.897	-55.862	-55.785	-55.860	-55.864	-55.864	-55.861	-55.899	-55.792	-55.716	-55.864	-55.754	-55.909	-55.866	-55.909	141.243	141.287	141.111	141.206	141.170	141.207	141.244	141.168	141.248	141.209	141.305	141.309	141.283	141.241	141.248	141.317	141.248	141.248	141.281	141.212	141.307	141.314	141.305	141.386	141.308	141.318	141.176	141.305	141.243	141.302	141.313	141.302	111.845	111.891	111.864	111.891	111.894	111.889	111.861	111.871	111.860	111.865	111.841	111.863	111.855	111.873	111.860	111.826	111.860	111.860	111.843	111.826	111.839	111.839	111.841	111.828	111.853	111.814	111.807	111.841	111.810	111.857	111.840	111.857	2016_7_15_11_26_29
F2LS3KLTHFM5____	-55.979	-56.087	-55.941	-56.007	-56.084	-56.043	-55.941	-56.026	-55.987	-55.982	-55.949	-56.010	-55.982	-56.013	-55.987	-55.910	-55.987	-55.987	-55.949	-55.908	-55.941	-55.947	-55.949	-55.947	-55.979	-55.876	-55.837	-55.949	-55.828	-55.982	-55.948	-55.982	141.281	141.314	141.138	141.243	141.208	141.239	141.302	141.234	141.344	141.278	141.340	141.380	141.317	141.312	141.344	141.318	141.344	141.344	141.348	141.248	141.369	141.378	141.340	141.415	141.343	141.356	141.217	141.340	141.282	141.336	141.343	141.336	111.546	111.579	111.553	111.561	111.593	111.574	111.530	111.569	111.540	111.548	111.527	111.543	111.542	111.554	111.540	111.517	111.540	111.540	111.526	111.526	111.521	111.521	111.527	111.516	111.538	111.500	111.505	111.527	111.493	111.540	111.527	111.540	2016_7_15_11_26_32
F2LS3JESHFM5____	-55.486	-55.589	-55.448	-55.552	-55.600	-55.622	-55.480	-55.519	-55.483	-55.483	-55.445	-55.550	-55.479	-55.553	-55.483	-55.414	-55.483	-55.483	-55.448	-55.412	-55.479	-55.443	-55.445	-55.449	-55.518	-55.376	-55.343	-55.445	-55.376	-55.514	-55.446	-55.514	141.435	141.438	141.304	141.368	141.365	141.374	141.406	141.333	141.440	141.405	141.440	141.441	141.413	141.406	141.440	141.472	141.440	141.440	141.439	141.373	141.433	141.438	141.440	141.574	141.440	141.474	141.336	141.440	141.444	141.405	141.436	141.405	111.382	111.417	111.386	111.414	111.431	111.438	111.383	111.407	111.380	111.385	111.366	111.403	111.382	111.409	111.380	111.351	111.380	111.380	111.368	111.364	111.379	111.366	111.366	111.350	111.392	111.338	111.345	111.366	111.342	111.395	111.367	111.395	2016_7_15_11_26_36
F2LS3HZVHFM5____	-55.690	-55.895	-55.619	-55.804	-55.802	-55.803	-55.693	-55.720	-55.695	-55.696	-55.658	-55.712	-55.688	-55.764	-55.695	-55.619	-55.695	-55.695	-55.649	-55.623	-55.693	-55.705	-55.658	-55.617	-55.730	-55.586	-55.547	-55.658	-55.590	-55.690	-55.655	-55.690	141.353	141.401	141.279	141.321	141.315	141.346	141.347	141.278	141.385	141.346	141.378	141.374	141.349	141.353	141.385	141.391	141.385	141.385	141.562	141.354	141.414	141.460	141.378	141.520	141.386	141.430	141.288	141.378	141.389	141.377	141.387	141.377	111.563	111.628	111.548	111.607	111.608	111.604	111.565	111.584	111.560	111.566	111.548	111.568	111.563	111.589	111.560	111.533	111.560	111.560	111.520	111.539	111.555	111.553	111.548	111.514	111.572	111.516	111.521	111.548	111.523	111.559	111.546	111.559	2016_7_15_11_26_40
F2LS3HQHHFM5____	-55.763	-55.867	-55.732	-55.829	-55.869	-55.872	-55.765	-55.800	-55.765	-55.769	-55.729	-55.833	-55.765	-55.832	-55.765	-55.697	-55.765	-55.765	-55.773	-55.697	-55.771	-55.729	-55.729	-55.729	-55.799	-55.664	-55.634	-55.729	-55.667	-55.770	-55.725	-55.770	141.270	141.309	141.158	141.244	141.199	141.281	141.267	141.205	141.307	141.263	141.300	141.339	141.308	141.279	141.307	141.303	141.307	141.307	141.317	141.231	141.329	141.293	141.300	141.407	141.306	141.348	141.200	141.300	141.271	141.289	141.318	141.289	111.362	111.393	111.366	111.389	111.409	111.399	111.363	111.384	111.357	111.365	111.346	111.377	111.357	111.385	111.357	111.334	111.357	111.357	111.359	111.344	111.356	111.347	111.346	111.331	111.370	111.316	111.326	111.346	111.328	111.362	111.342	111.362	2016_7_15_11_26_44
