SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-62.576	-62.718	-62.787	-62.613	-62.615	-62.653	-62.533	-62.566	-62.433	-62.430	-62.405	-62.437	-62.259	-62.299	-62.395	-62.330	-62.292	-62.329	-62.291	-62.364	-62.328	-62.360	-62.396	-62.294	-62.290	-62.426	-62.327	-62.289	-62.430	-62.289	-62.362	-62.326	143.375	143.632	143.697	143.732	143.661	143.695	143.730	143.765	143.730	143.623	143.696	143.514	143.540	143.509	143.626	143.443	143.506	143.648	143.647	143.732	143.730	143.659	143.552	143.694	143.660	143.659	143.766	143.728	143.448	143.692	143.553	143.695	113.604	113.614	113.627	113.564	113.575	113.583	113.538	113.543	113.504	113.519	113.500	113.537	113.473	113.491	113.507	113.511	113.490	113.481	113.469	113.481	113.469	113.490	113.518	113.463	113.466	113.512	113.463	113.456	113.544	113.461	113.506	113.473	2016_7_15_11_29_51
F2LS3A8AGRXL____	-62.954	-63.097	-63.201	-63.021	-63.022	-63.054	-62.921	-62.986	-62.842	-62.843	-62.779	-62.882	-62.665	-62.710	-62.810	-62.704	-62.699	-62.739	-62.699	-62.776	-62.743	-62.777	-62.781	-62.671	-62.708	-62.816	-62.743	-62.705	-62.846	-62.675	-62.746	-62.741	143.278	143.492	143.599	143.601	143.531	143.566	143.633	143.671	143.635	143.530	143.600	143.426	143.451	143.417	143.531	143.346	143.415	143.557	143.555	143.600	143.635	143.566	143.457	143.598	143.565	143.563	143.670	143.635	143.355	143.597	143.457	143.600	113.954	113.970	113.989	113.929	113.939	113.945	113.891	113.907	113.864	113.880	113.848	113.908	113.832	113.851	113.869	113.860	113.848	113.841	113.828	113.847	113.831	113.852	113.870	113.812	113.829	113.866	113.826	113.818	113.906	113.814	113.858	113.835	2016_7_15_11_29_55
F2LS3BDVGRXL____	-63.036	-63.205	-63.282	-63.103	-63.104	-63.142	-63.031	-63.061	-62.928	-62.929	-62.896	-62.962	-62.753	-62.794	-62.891	-62.825	-62.788	-62.823	-62.785	-62.854	-62.821	-62.857	-62.863	-62.758	-62.785	-62.926	-62.822	-62.783	-62.928	-62.786	-62.827	-62.820	143.220	143.403	143.547	143.541	143.471	143.506	143.576	143.611	143.576	143.471	143.540	143.365	143.389	143.358	143.472	143.292	143.354	143.497	143.494	143.541	143.576	143.504	143.396	143.538	143.506	143.506	143.611	143.576	143.297	143.538	143.396	143.541	113.767	113.796	113.801	113.742	113.753	113.760	113.713	113.718	113.678	113.694	113.673	113.721	113.647	113.665	113.681	113.686	113.664	113.655	113.642	113.659	113.643	113.665	113.683	113.627	113.641	113.688	113.638	113.630	113.720	113.636	113.671	113.647	2016_7_15_11_30_00
F2LS3EKPHFM2____	-63.302	-63.473	-63.540	-63.368	-63.370	-63.406	-63.295	-63.328	-63.160	-63.160	-63.156	-63.228	-63.015	-63.093	-63.157	-63.054	-63.050	-63.087	-63.014	-63.118	-63.087	-63.123	-63.128	-63.018	-63.052	-63.160	-63.087	-63.020	-63.193	-63.021	-63.092	-63.054	143.220	143.441	143.509	143.543	143.473	143.507	143.578	143.614	143.575	143.470	143.542	143.367	143.391	143.363	143.474	143.289	143.356	143.498	143.492	143.543	143.578	143.508	143.399	143.539	143.508	143.506	143.613	143.574	143.298	143.538	143.399	143.542	113.857	113.882	113.894	113.832	113.843	113.850	113.802	113.808	113.757	113.773	113.761	113.811	113.736	113.766	113.771	113.764	113.753	113.744	113.721	113.748	113.733	113.755	113.773	113.715	113.731	113.768	113.727	113.711	113.809	113.716	113.761	113.727	2016_7_15_11_30_05
F2LS3HFBHFM5____	-63.070	-63.205	-63.273	-63.101	-63.102	-63.140	-63.029	-63.066	-62.929	-62.930	-62.903	-62.963	-62.789	-62.823	-62.891	-62.822	-62.824	-62.856	-62.788	-62.853	-62.822	-62.856	-62.895	-62.791	-62.784	-62.924	-62.822	-62.784	-62.928	-62.785	-62.858	-62.821	143.210	143.429	143.497	143.529	143.458	143.494	143.565	143.599	143.563	143.460	143.530	143.352	143.382	143.351	143.463	143.279	143.345	143.489	143.483	143.533	143.565	143.497	143.386	143.530	143.497	143.497	143.600	143.567	143.285	143.530	143.388	143.533	113.899	113.912	113.925	113.862	113.873	113.881	113.833	113.840	113.800	113.815	113.796	113.842	113.779	113.795	113.801	113.805	113.796	113.786	113.764	113.779	113.764	113.785	113.814	113.758	113.761	113.808	113.758	113.750	113.840	113.756	113.802	113.768	2016_7_15_11_30_10
F2LS3KLTHFM5____	-63.147	-63.288	-63.355	-63.182	-63.184	-63.221	-63.109	-63.143	-63.014	-63.015	-62.983	-63.041	-62.868	-62.904	-62.970	-62.903	-62.888	-62.934	-62.861	-62.934	-62.903	-62.937	-62.973	-62.871	-62.866	-63.005	-62.904	-62.863	-63.007	-62.867	-62.936	-62.901	143.291	143.506	143.575	143.608	143.537	143.573	143.642	143.678	143.643	143.539	143.607	143.433	143.462	143.430	143.539	143.360	143.389	143.568	143.528	143.608	143.643	143.572	143.466	143.609	143.573	143.572	143.678	143.643	143.364	143.606	143.466	143.609	113.714	113.729	113.742	113.679	113.690	113.697	113.650	113.656	113.618	113.633	113.613	113.658	113.596	113.612	113.618	113.622	113.613	113.602	113.583	113.596	113.581	113.602	113.630	113.575	113.579	113.625	113.576	113.567	113.657	113.574	113.618	113.585	2016_7_15_11_30_14
F2LS3JESHFM5____	-62.638	-62.779	-62.842	-62.678	-62.674	-62.708	-62.604	-62.639	-62.496	-62.498	-62.469	-62.539	-62.322	-62.396	-62.457	-62.395	-62.356	-62.429	-62.354	-62.424	-62.393	-62.425	-62.463	-62.356	-62.356	-62.462	-62.393	-62.356	-62.494	-62.356	-62.428	-62.387	143.384	143.642	143.672	143.740	143.632	143.668	143.775	143.810	143.739	143.634	143.705	143.564	143.551	143.523	143.638	143.453	143.515	143.663	143.656	143.706	143.740	143.670	143.560	143.704	143.670	143.669	143.775	143.740	143.459	143.702	143.562	143.708	113.559	113.569	113.586	113.521	113.535	113.541	113.491	113.497	113.460	113.476	113.456	113.500	113.429	113.458	113.462	113.468	113.446	113.448	113.424	113.441	113.425	113.446	113.475	113.418	113.423	113.459	113.420	113.413	113.500	113.418	113.463	113.428	2016_7_15_11_30_18
F2LS3HZVHFM5____	-62.868	-63.015	-63.086	-62.910	-62.906	-62.948	-62.839	-62.897	-62.727	-62.728	-62.692	-62.775	-62.539	-62.587	-62.698	-62.617	-62.575	-62.613	-62.572	-62.664	-62.623	-62.659	-62.697	-62.588	-62.618	-62.733	-62.622	-62.595	-62.739	-62.596	-62.660	-62.629	143.356	143.638	143.701	143.735	143.628	143.702	143.769	143.771	143.764	143.661	143.726	143.558	143.543	143.513	143.668	143.445	143.507	143.651	143.648	143.735	143.731	143.667	143.557	143.732	143.667	143.702	143.766	143.768	143.489	143.733	143.560	143.736	113.739	113.747	113.761	113.697	113.712	113.715	113.669	113.688	113.632	113.647	113.626	113.678	113.601	113.622	113.636	113.642	113.619	113.610	113.597	113.615	113.602	113.623	113.652	113.590	113.610	113.643	113.597	113.587	113.676	113.593	113.639	113.603	2016_7_15_11_30_22
F2LS3HQHHFM5____	-62.915	-63.062	-63.129	-62.958	-62.959	-62.996	-62.886	-62.921	-62.785	-62.785	-62.752	-62.817	-62.599	-62.680	-62.747	-62.669	-62.633	-62.706	4.334	-62.712	-62.676	-62.713	-62.747	-62.634	-62.641	-62.782	-62.676	-62.641	-62.783	-62.643	-62.711	-62.676	143.257	143.508	143.576	143.609	143.539	143.573	143.642	143.679	143.643	143.539	143.606	143.433	143.424	143.432	143.539	143.324	143.388	143.534	149.394	143.609	143.644	143.573	143.468	143.577	143.574	143.573	143.679	143.644	143.365	143.607	143.467	143.609	113.531	113.544	113.556	113.494	113.504	113.512	113.465	113.471	113.431	113.446	113.425	113.472	113.401	113.427	113.434	113.439	113.417	113.420	88.159	113.412	113.394	113.417	113.444	113.390	113.393	113.440	113.389	113.383	113.471	113.389	113.432	113.399	2016_7_15_11_30_35
F2LS3HFRHFM5____	-63.018	-63.152	-63.226	-63.047	-63.049	-63.087	-62.977	-63.011	-62.872	-62.873	-62.839	-62.911	-62.691	-62.773	-62.837	-62.794	-62.754	-62.805	-62.768	-62.803	-62.768	-62.804	-62.842	-62.732	-62.733	-62.873	-62.769	-62.734	-62.875	-62.734	-62.805	-62.766	143.271	143.489	143.553	143.589	143.518	143.553	143.622	143.658	143.620	143.517	143.583	143.411	143.395	143.410	143.520	143.299	143.361	143.546	143.542	143.589	143.622	143.553	143.443	143.586	143.553	143.554	143.656	143.621	143.343	143.585	143.446	143.590	114.012	114.025	114.040	113.975	113.986	113.994	113.947	113.953	113.912	113.927	113.906	113.955	113.884	113.909	113.915	113.933	113.910	113.900	113.888	113.893	113.877	113.899	113.928	113.870	113.875	113.922	113.872	113.865	113.953	113.871	113.915	113.881	2016_7_15_11_30_40
