SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-50.237	-50.235	-50.273	-50.274	-50.238	-50.307	-50.090	-50.166	-50.058	-50.342	-50.270	-50.238	-50.025	-50.271	-50.201	-50.053	-50.201	-50.100	-50.130	-50.240	-50.064	-50.169	-50.237	-50.168	-50.060	-50.239	-49.950	-50.306	-50.236	-50.211	-50.164	-50.171	130.127	130.055	130.083	130.021	130.054	130.188	130.163	130.196	130.126	130.093	130.127	130.118	130.157	130.056	130.083	130.125	130.164	130.232	130.198	130.159	130.161	130.262	130.090	130.194	130.128	130.298	130.298	130.233	130.265	130.013	130.195	130.302	111.135	111.145	111.155	111.164	111.146	111.152	111.073	111.097	111.066	111.180	111.147	111.136	111.049	111.158	111.128	111.064	111.116	111.067	111.083	111.131	111.063	111.089	111.140	111.099	111.067	111.110	110.999	111.145	111.114	111.142	111.097	111.083	2016_7_15_14_54_07
F2LS3A8AGRXL____	-50.543	-50.543	-50.604	-50.578	-50.578	-50.648	-50.438	-50.464	-50.333	-50.648	-50.613	-50.564	-50.345	-50.613	-50.543	-50.379	-50.500	-50.429	-50.403	-50.567	-50.403	-50.508	-50.527	-50.497	-50.347	-50.543	-50.368	-50.613	-50.543	-50.543	-50.473	-50.459	129.937	129.867	129.884	129.902	129.937	130.042	130.007	130.023	129.937	129.972	130.007	129.924	129.965	129.867	129.867	129.961	129.989	130.066	130.007	130.000	130.042	130.147	129.931	130.031	129.938	130.077	130.112	130.042	130.147	129.867	130.007	130.152	111.489	111.500	111.520	111.508	111.503	111.514	111.439	111.446	111.409	111.524	111.506	111.499	111.409	111.526	111.500	111.423	111.465	111.426	111.425	111.489	111.420	111.445	111.484	111.457	111.414	111.468	111.396	111.500	111.458	111.500	111.452	111.425	2016_7_15_14_54_13
F2LS3BDVGRXL____	-50.625	-50.624	-50.700	-50.660	-50.663	-50.729	-50.512	-50.551	-50.480	-50.730	-50.728	-50.661	-50.440	-50.695	-50.625	-50.472	-50.587	-50.515	-50.557	-50.662	-50.487	-50.586	-50.624	-50.585	-50.450	-50.623	-50.369	-50.691	-50.656	-50.632	-50.549	-50.552	129.966	129.895	129.892	129.861	129.891	130.002	129.966	130.037	129.965	129.930	129.966	129.926	129.963	129.896	129.896	129.960	130.003	130.073	130.035	129.999	129.989	130.104	129.927	130.034	129.923	130.106	130.138	130.073	130.103	129.827	130.035	130.111	111.293	111.303	111.333	111.322	111.319	111.327	111.250	111.254	111.238	111.339	111.333	111.313	111.223	111.331	111.304	111.236	111.273	111.235	111.257	111.302	111.237	111.258	111.298	111.268	111.232	111.272	111.170	111.302	111.285	111.316	111.254	111.244	2016_7_15_14_54_15
F2LS3EKPHFM2____	-50.878	-50.843	-50.909	-50.911	-50.915	-50.978	-50.766	-50.807	-50.696	-50.977	-50.907	-50.877	-50.698	-50.947	-50.880	-50.691	-50.843	-50.775	-50.811	-50.879	-50.735	-50.806	-50.880	-50.842	-50.697	-50.841	-50.589	-50.945	-50.879	-50.883	-50.806	-50.807	130.053	130.010	130.010	129.945	130.010	130.118	130.096	130.152	130.084	130.048	130.082	130.043	130.095	130.014	130.013	130.090	130.118	130.186	130.153	130.116	130.119	130.220	130.045	130.122	130.063	130.223	130.257	130.158	130.224	129.945	130.157	130.232	111.378	111.371	111.396	111.407	111.399	111.407	111.329	111.336	111.304	111.417	111.385	111.379	111.303	111.411	111.385	111.301	111.355	111.319	111.338	111.369	111.314	111.326	111.380	111.354	111.308	111.339	111.238	111.388	111.353	111.396	111.335	111.324	2016_7_15_14_54_18
F2LS3HFBHFM5____	-50.482	-50.517	-50.552	-50.517	-50.516	-50.582	-50.371	-50.412	-50.341	-50.580	-50.548	-50.552	-50.301	-50.548	-50.484	-50.331	-50.447	-50.378	-50.407	-50.517	-50.342	-50.446	-50.483	-50.479	-50.303	-50.479	-50.237	-50.547	-50.514	-50.482	-50.414	-50.411	130.065	129.994	129.996	129.930	129.996	130.072	130.075	130.107	130.035	130.000	130.035	129.995	130.076	129.965	129.995	130.072	130.072	130.169	130.109	130.071	130.072	130.205	130.001	130.136	130.042	130.177	130.240	130.144	130.180	129.929	130.135	130.216	111.343	111.367	111.380	111.376	111.366	111.380	111.299	111.310	111.293	111.390	111.372	111.380	111.272	111.383	111.354	111.284	111.328	111.288	111.307	111.355	111.288	111.308	111.353	111.331	111.278	111.325	111.223	111.356	111.338	111.363	111.306	111.293	2016_7_15_14_54_20
F2LS3HFRHFM5____	-50.617	-50.618	-50.689	-50.652	-50.654	-50.721	-50.474	-50.548	-50.442	-50.719	-50.688	-50.620	-50.403	-50.688	-50.617	-50.434	-50.581	-50.479	-50.549	-50.655	-50.475	-50.548	-50.619	-50.585	-50.405	-50.618	-50.372	-50.688	-50.619	-50.618	-50.548	-50.547	130.129	130.028	130.059	129.993	130.028	130.165	130.142	130.200	130.131	130.093	130.096	130.090	130.142	130.025	130.062	130.140	130.136	130.236	130.200	130.135	130.137	130.267	130.092	130.198	130.108	130.269	130.304	130.235	130.273	129.959	130.199	130.284	111.524	111.540	111.562	111.558	111.553	111.559	111.468	111.487	111.457	111.569	111.556	111.531	111.441	111.567	111.534	111.453	111.510	111.456	111.488	111.538	111.469	111.478	111.531	111.502	111.447	111.504	111.405	111.536	111.504	111.550	111.488	111.475	2016_7_15_14_54_22
F2LS3HQHHFM5____	-50.481	-50.476	-50.547	-50.514	-50.518	-50.582	-50.366	-50.405	-50.375	-50.576	-50.546	-50.513	-50.297	-50.545	-50.479	-50.328	-50.442	-50.372	-50.405	-50.517	-50.336	-50.443	-50.477	-50.442	-50.295	-50.477	-50.225	-50.546	-50.476	-50.485	-50.405	-50.449	130.066	129.994	129.996	129.992	130.026	130.103	130.103	130.135	130.067	130.033	130.068	130.025	130.100	129.997	130.027	130.067	130.102	130.170	130.139	130.101	130.103	130.205	130.029	130.136	130.071	130.207	130.239	130.202	130.205	129.958	130.136	130.247	111.033	111.042	111.069	111.057	111.054	111.067	110.984	110.994	110.993	111.075	111.058	111.052	110.958	111.068	111.038	110.975	111.013	110.976	110.993	111.042	110.972	110.998	111.037	111.008	110.962	111.011	110.910	111.038	111.011	111.051	110.994	110.994	2016_7_15_14_54_25
F2LS3HZVHFM5____	-50.464	-50.465	-50.540	-50.504	-50.507	-50.571	-50.349	-50.392	-50.320	-50.571	-50.539	-50.500	-50.245	-50.538	-50.469	-50.314	-50.428	-50.361	-50.395	-50.506	-50.322	-50.428	-50.461	-50.428	-50.279	-50.469	-50.213	-50.534	-50.465	-50.434	-50.390	-50.395	130.162	130.092	130.093	130.055	130.089	130.198	130.174	130.232	130.163	130.125	130.160	130.127	130.168	130.091	130.090	130.165	130.197	130.266	130.233	130.194	130.196	130.301	130.130	130.233	130.140	130.300	130.333	130.269	130.301	130.027	130.232	130.312	111.251	111.262	111.290	111.282	111.278	111.286	111.205	111.213	111.195	111.297	111.280	111.270	111.166	111.290	111.264	111.193	111.232	111.196	111.214	111.262	111.192	111.216	111.255	111.227	111.183	111.232	111.129	111.262	111.231	111.259	111.212	111.202	2016_7_15_14_54_27
F2LS3JESHFM5____	-50.322	-50.320	-50.391	-50.357	-50.356	-50.423	-50.209	-50.290	-50.181	-50.459	-50.389	-50.356	-50.144	-50.388	-50.321	-50.176	-50.287	-50.221	-50.248	-50.358	-50.184	-50.290	-50.324	-50.290	-50.146	-50.358	-50.071	-50.385	-50.321	-50.332	-50.251	-50.254	130.179	130.108	130.109	130.070	130.107	130.216	130.186	130.247	130.176	130.146	130.178	130.142	130.183	130.108	130.110	130.178	130.213	130.281	130.249	130.212	130.211	130.314	130.143	130.247	130.152	130.318	130.349	130.286	130.315	130.037	130.248	130.324	111.096	111.105	111.132	111.125	111.119	111.129	111.051	111.073	111.042	111.153	111.121	111.114	111.027	111.131	111.105	111.040	111.077	111.042	111.057	111.105	111.038	111.063	111.102	111.073	111.032	111.089	110.974	111.104	111.075	111.120	111.058	111.048	2016_7_15_14_54_29
F2LS3KLTHFM5____	-50.703	-50.698	-50.766	-50.732	-50.733	-50.798	-50.588	-50.626	-50.554	-50.830	-50.764	-50.736	-50.514	-50.765	-50.700	-50.548	-50.663	-50.632	-50.623	-50.735	-50.558	-50.667	-50.697	-50.699	-50.519	-50.696	-50.447	-50.763	-50.697	-50.744	-50.625	-50.629	130.086	129.985	129.982	129.947	129.982	130.090	130.095	130.123	130.054	130.021	130.054	130.048	130.058	129.983	130.016	130.091	130.091	130.159	130.126	130.089	130.090	130.224	130.017	130.124	130.061	130.195	130.225	130.161	130.193	129.945	130.125	130.232	111.226	111.239	111.265	111.257	111.253	111.261	111.180	111.190	111.173	111.284	111.254	111.244	111.158	111.265	111.235	111.166	111.209	111.187	111.189	111.237	111.170	111.191	111.233	111.218	111.159	111.207	111.107	111.237	111.207	111.262	111.190	111.176	2016_7_15_14_54_32
