SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-65.611	-65.500	-65.576	-65.319	-65.227	-65.359	-65.291	-65.399	-65.398	-65.332	-65.514	-65.334	-65.319	-65.433	-65.705	-65.289	-65.620	-65.444	-65.324	-65.445	-65.302	-65.286	-65.328	-65.192	-65.633	-65.326	-65.433	-65.606	-65.567	-65.343	-65.652	-65.354	131.621	131.443	131.624	131.486	131.438	131.307	131.448	131.340	131.375	131.242	131.461	131.455	131.486	131.382	131.512	131.415	131.423	131.422	131.342	131.418	131.244	131.479	131.375	131.274	131.443	131.340	131.136	131.552	131.373	131.520	131.426	131.557	116.521	116.513	116.508	116.442	116.418	116.487	116.439	116.496	116.489	116.489	116.514	116.453	116.442	116.500	116.572	116.444	116.558	116.497	116.469	116.498	116.478	116.432	116.465	116.435	116.559	116.470	116.543	116.531	116.548	116.445	116.569	116.442	2016_7_15_15_04_46
F2LS3A8AGRXL____	-65.950	-65.808	-65.916	-65.666	-65.540	-65.704	-65.633	-65.740	-65.737	-65.675	-65.855	-65.680	-65.666	-65.775	-66.046	-65.633	-65.963	-65.750	-65.671	-65.748	-65.648	-65.634	-65.671	-65.497	-65.974	-65.669	-65.773	-65.947	-65.872	-65.727	-66.027	-65.697	131.555	131.339	131.477	131.342	131.336	131.200	131.388	131.201	131.241	131.108	131.355	131.310	131.342	131.237	131.401	131.271	131.319	131.316	131.200	131.314	131.105	131.371	131.271	131.165	131.335	131.237	131.001	131.438	131.267	131.369	131.272	131.402	116.859	116.848	116.861	116.798	116.754	116.835	116.778	116.848	116.840	116.841	116.861	116.808	116.798	116.854	116.920	116.798	116.905	116.831	116.824	116.831	116.832	116.781	116.811	116.769	116.906	116.817	116.894	116.879	116.882	116.814	116.936	116.798	2016_7_15_15_04_50
F2LS3BDVGRXL____	-66.094	-65.955	-66.062	-65.811	-65.685	-65.854	-65.781	-65.887	-65.886	-65.823	-65.995	-65.828	-65.811	-65.922	-66.176	-65.780	-66.089	-65.929	-65.820	-65.894	-65.795	-65.778	-65.818	-65.681	-66.079	-65.820	-65.921	-66.075	-66.007	-65.831	-66.097	-65.795	131.454	131.232	131.417	131.276	131.270	131.131	131.239	131.132	131.163	131.033	131.259	131.246	131.276	131.173	131.312	131.167	131.224	131.243	131.092	131.245	131.003	131.270	131.165	131.064	131.277	131.130	130.925	131.345	131.210	131.312	131.222	131.350	116.704	116.694	116.699	116.636	116.593	116.677	116.633	116.688	116.682	116.683	116.704	116.648	116.636	116.693	116.757	116.645	116.742	116.683	116.672	116.671	116.679	116.626	116.658	116.628	116.729	116.665	116.736	116.716	116.716	116.637	116.746	116.618	2016_7_15_15_04_54
F2LS3EKPHFM2____	-66.359	-66.213	-66.323	-66.069	-65.943	-66.109	-66.075	-66.146	-66.146	-66.079	-66.265	-66.085	-66.069	-66.182	-66.413	-66.003	-66.366	-66.154	-66.074	-66.154	-66.050	-66.029	-66.076	-65.901	-66.381	-66.074	-66.182	-66.312	-66.277	-66.131	-66.366	-66.059	131.466	131.288	131.434	131.293	131.286	131.152	131.288	131.148	131.181	131.045	131.309	131.260	131.293	131.183	131.361	131.222	131.273	131.260	131.149	131.258	131.048	131.325	131.221	131.113	131.285	131.185	130.940	131.396	131.214	131.323	131.270	131.360	116.795	116.776	116.788	116.725	116.682	116.763	116.728	116.777	116.771	116.772	116.790	116.736	116.725	116.783	116.833	116.714	116.831	116.760	116.752	116.761	116.761	116.705	116.740	116.697	116.835	116.745	116.826	116.791	116.811	116.741	116.832	116.709	2016_7_15_15_04_57
F2LS3HFBHFM5____	-65.932	-65.786	-65.896	-65.613	-65.514	-65.685	-65.615	-65.715	-65.716	-65.648	-65.830	-65.646	-65.613	-65.750	-65.989	-65.613	-65.936	-65.719	-65.615	-65.721	-65.613	-65.581	-65.650	-65.475	-65.919	-65.648	-65.751	-65.886	-65.810	-65.665	-65.934	-65.636	131.441	131.265	131.406	131.271	131.270	131.128	131.270	131.129	131.163	131.030	131.249	131.240	131.271	131.127	131.337	131.199	131.208	131.245	131.126	131.246	131.029	131.306	131.200	131.097	131.268	131.163	130.924	131.376	131.201	131.263	131.253	131.342	116.769	116.749	116.763	116.687	116.653	116.737	116.688	116.748	116.742	116.742	116.767	116.704	116.687	116.760	116.807	116.700	116.811	116.729	116.713	116.729	116.729	116.670	116.713	116.669	116.794	116.718	116.796	116.764	116.768	116.707	116.803	116.683	2016_7_15_15_04_59
F2LS3HFRHFM5____	-66.024	-65.878	-65.991	-65.744	-65.615	-65.777	-65.711	-65.810	-65.813	-65.747	-65.932	-65.751	-65.744	-65.851	-66.086	-65.710	-66.025	-65.818	-65.745	-65.819	-65.715	-65.710	-65.747	-65.573	-66.045	-65.746	-65.848	-65.983	-65.905	-65.764	-66.029	-65.734	131.510	131.337	131.520	131.342	131.340	131.199	131.341	131.201	131.234	131.140	131.359	131.311	131.342	131.233	131.449	131.270	131.278	131.352	131.198	131.315	131.133	131.375	131.272	131.169	131.300	131.237	130.988	131.486	131.265	131.372	131.326	131.410	116.928	116.908	116.915	116.860	116.815	116.897	116.849	116.908	116.903	116.896	116.923	116.868	116.860	116.917	116.961	116.861	116.969	116.884	116.886	116.891	116.886	116.842	116.874	116.831	116.972	116.879	116.958	116.918	116.930	116.862	116.962	116.845	2016_7_15_15_05_02
F2LS3HQHHFM5____	-65.930	-65.779	-65.895	-65.636	-65.517	-65.679	-65.572	-65.721	-65.722	-65.658	-65.790	-65.659	-65.636	-65.758	-66.023	-65.606	-65.933	-65.733	-65.643	-65.737	-65.640	-65.605	-65.608	-65.474	-65.907	-65.608	-65.757	-65.881	-65.801	-65.660	-65.887	-65.621	131.549	131.324	131.509	131.329	131.316	131.214	131.326	131.185	131.216	131.118	131.341	131.330	131.329	131.212	131.393	131.260	131.309	131.333	131.180	131.329	131.076	131.357	131.255	131.149	131.330	131.217	130.970	131.471	131.289	131.398	131.309	131.395	116.440	116.427	116.435	116.376	116.337	116.411	116.355	116.431	116.426	116.421	116.428	116.384	116.376	116.440	116.500	116.378	116.483	116.409	116.405	116.412	116.422	116.361	116.380	116.351	116.471	116.386	116.482	116.437	116.441	116.373	116.467	116.360	2016_7_15_15_05_05
F2LS3HZVHFM5____	-65.888	-65.736	-65.889	-65.598	-65.469	-65.633	-65.569	-65.674	-65.672	-65.607	-65.791	-65.613	-65.598	-65.752	-65.985	-65.569	-65.895	-65.682	-65.560	-65.684	-65.579	-65.567	-65.606	-65.465	-65.910	-65.604	-65.707	-65.878	-65.809	-65.614	-65.928	-65.590	131.652	131.440	131.577	131.484	131.485	131.338	131.483	131.338	131.374	131.244	131.500	131.453	131.484	131.331	131.505	131.413	131.420	131.454	131.336	131.454	131.244	131.470	131.412	131.271	131.439	131.378	131.136	131.577	131.367	131.509	131.422	131.548	116.646	116.630	116.659	116.574	116.529	116.612	116.564	116.626	116.619	116.619	116.639	116.585	116.574	116.655	116.705	116.577	116.689	116.609	116.587	116.610	116.610	116.566	116.590	116.565	116.691	116.595	116.673	116.656	116.668	116.576	116.700	116.560	2016_7_15_15_05_08
F2LS3JESHFM5____	-65.759	-65.580	-65.694	-65.443	-65.316	-65.478	-65.408	-65.519	-65.518	-65.452	-65.633	-65.490	-65.443	-65.554	-65.770	-65.408	-65.724	-65.525	-65.405	-65.522	-65.420	-65.404	-65.447	-65.305	-65.742	-65.447	-65.552	-65.714	-65.596	-65.496	-65.763	-65.422	131.685	131.505	131.652	131.508	131.508	131.370	131.509	131.405	131.398	131.302	131.490	131.483	131.508	131.402	131.578	131.438	131.491	131.482	131.365	131.483	131.267	131.543	131.438	131.336	131.509	131.403	131.192	131.614	131.433	131.539	131.496	131.622	116.497	116.466	116.480	116.418	116.373	116.454	116.405	116.462	116.463	116.457	116.487	116.439	116.418	116.475	116.520	116.418	116.519	116.451	116.429	116.450	116.451	116.398	116.431	116.399	116.522	116.437	116.511	116.494	116.484	116.431	116.531	116.391	2016_7_15_15_05_10
F2LS3KLTHFM5____	-66.164	-66.022	-66.129	-65.886	-65.753	-65.920	-65.851	-65.957	-65.955	-65.928	-66.108	-65.899	-65.886	-65.992	-66.224	-65.851	-66.201	-66.000	-65.885	-65.999	-65.942	-65.845	-65.921	-65.790	-66.193	-65.890	-65.990	-66.158	-66.085	-65.945	-66.247	-65.912	131.594	131.382	131.562	131.377	131.372	131.274	131.423	131.276	131.310	131.144	131.356	131.354	131.377	131.315	131.487	131.311	131.318	131.356	131.235	131.352	131.140	131.451	131.310	131.205	131.384	131.272	131.064	131.481	131.310	131.409	131.360	131.447	116.624	116.612	116.618	116.565	116.520	116.595	116.545	116.608	116.601	116.621	116.646	116.574	116.565	116.613	116.664	116.565	116.686	116.609	116.590	116.609	116.626	116.538	116.589	116.562	116.671	116.585	116.656	116.642	116.646	116.580	116.694	116.562	2016_7_15_15_05_12
