SN	Distance_X_LOGO_NFC_Down1	Distance_X_LOGO_NFC_Down2	Distance_X_LOGO_NFC_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_NFC_Down1	Distance_Y_LOGO_NFC_Down2	Distance_Y_LOGO_NFC_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_NFC_Down1	Angle_NFC_Down2	Angle_NFC_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-67.068	-66.893	-66.963	-66.893	-67.033	-66.963	-66.963	-66.998	-66.952	-66.998	-66.951	-66.998	-66.963	-66.928	-66.963	-66.928	-66.928	-66.893	-66.951	-66.963	-67.094	-66.893	-66.998	-66.928	-66.998	-66.986	-67.033	-66.963	-67.068	-66.928	-66.990	-66.963	138.843	138.808	138.668	138.808	138.843	138.773	138.878	138.878	138.881	138.843	138.743	138.913	138.878	138.808	138.843	138.843	138.843	138.913	138.912	138.913	138.850	138.878	138.808	138.808	138.878	138.812	138.878	138.843	138.878	138.913	138.876	138.913	115.808	115.755	115.801	115.755	115.796	115.784	115.767	115.779	115.763	115.785	115.785	115.773	115.767	115.767	115.773	115.761	115.761	115.738	115.758	115.761	115.816	115.744	115.790	115.767	115.779	115.785	115.791	115.773	115.802	115.750	115.776	115.761	2016_7_15_15_12_14
F2LS3A8AGRXL____	-67.412	-67.238	-67.305	-67.238	-67.448	-67.306	-67.306	-67.341	-67.308	-67.413	-67.335	-67.413	-67.305	-67.273	-67.378	-67.343	-67.343	-67.236	-67.310	-67.378	-67.448	-67.236	-67.413	-67.274	-67.413	-67.339	-67.448	-67.305	-67.483	-67.273	-67.341	-67.310	138.747	138.785	138.658	138.785	138.757	138.647	138.790	138.737	138.737	138.757	138.594	138.827	138.746	138.716	138.687	138.687	138.687	138.815	138.776	138.757	138.745	138.746	138.722	138.716	138.792	138.720	138.792	138.709	138.792	138.784	138.745	138.822	116.147	116.083	116.126	116.083	116.158	116.128	116.105	116.125	116.114	116.146	116.146	116.135	116.112	116.106	116.146	116.134	116.134	116.078	116.109	116.134	116.160	116.089	116.152	116.106	116.140	116.128	116.152	116.118	116.164	116.095	116.124	116.101	2016_7_15_15_12_17
F2LS3BDVGRXL____	-67.553	-67.360	-67.435	-67.360	-67.516	-67.445	-67.462	-67.474	-67.444	-67.477	-67.440	-67.473	-67.433	-67.401	-67.437	-67.405	-67.405	-67.363	-67.443	-67.436	-67.587	-67.364	-67.473	-67.410	-67.472	-67.475	-67.508	-67.433	-67.545	-67.399	-67.485	-67.447	138.582	138.652	138.514	138.652	138.668	138.549	138.599	138.655	138.657	138.620	138.514	138.688	138.656	138.630	138.619	138.627	138.627	138.694	138.747	138.689	138.583	138.662	138.586	138.585	138.651	138.545	138.653	138.622	138.660	138.707	138.654	138.691	115.998	115.923	115.970	115.923	115.972	115.968	115.965	115.960	115.950	115.967	115.972	115.954	115.946	115.940	115.954	115.941	115.941	115.917	115.935	115.942	116.009	115.922	115.971	115.950	115.960	115.978	115.972	115.952	115.983	115.926	115.964	115.945	2016_7_15_15_12_19
F2LS3EKPHFM2____	-67.830	-67.655	-67.725	-67.655	-67.795	-67.725	-67.725	-67.760	-67.725	-67.760	-67.725	-67.760	-67.725	-67.690	-67.725	-67.690	-67.690	-67.655	-67.725	-67.725	-67.865	-67.655	-67.760	-67.690	-67.760	-67.760	-67.795	-67.725	-67.830	-67.690	-67.760	-67.725	138.634	138.669	138.529	138.669	138.634	138.564	138.669	138.669	138.669	138.634	138.529	138.704	138.669	138.599	138.634	138.634	138.634	138.704	138.704	138.704	138.634	138.669	138.599	138.599	138.669	138.599	138.669	138.634	138.669	138.704	138.669	138.704	116.084	116.020	116.066	116.020	116.072	116.060	116.043	116.055	116.043	116.060	116.066	116.049	116.043	116.043	116.049	116.037	116.037	116.014	116.037	116.037	116.095	116.020	116.066	116.043	116.055	116.066	116.066	116.049	116.078	116.025	116.055	116.037	2016_7_15_15_12_23
F2LS3HFBHFM5____	-67.469	-67.285	-67.358	-67.285	-67.435	-67.365	-67.355	-67.393	-67.363	-67.398	-67.360	-67.391	-67.357	-67.323	-67.361	-67.325	-67.325	-67.287	-67.366	-67.359	-67.504	-67.290	-67.398	-67.329	-67.393	-67.395	-67.429	-67.356	-67.466	-67.325	-67.405	-67.368	138.605	138.589	138.452	138.589	138.599	138.483	138.635	138.589	138.588	138.558	138.456	138.623	138.592	138.523	138.555	138.613	138.613	138.635	138.673	138.627	138.603	138.611	138.518	138.526	138.628	138.528	138.592	138.562	138.601	138.652	138.630	138.623	116.086	116.027	116.073	116.027	116.075	116.071	116.043	116.063	116.053	116.069	116.073	116.057	116.050	116.050	116.058	116.036	116.036	116.020	116.040	116.045	116.097	116.025	116.076	116.052	116.056	116.073	116.074	116.055	116.085	116.030	116.060	116.049	2016_7_15_15_12_25
F2LS3HFRHFM5____	-67.500	-67.325	-67.395	-67.325	-67.465	-67.395	-67.395	-67.430	-67.395	-67.430	-67.395	-67.430	-67.395	-67.360	-67.395	-67.360	-67.360	-67.325	-67.384	-67.395	-67.535	-67.325	-67.430	-67.360	-67.430	-67.430	-67.465	-67.395	-67.500	-67.360	-67.430	-67.395	138.545	138.650	138.510	138.650	138.615	138.545	138.650	138.650	138.650	138.615	138.510	138.685	138.650	138.510	138.615	138.615	138.615	138.685	138.689	138.685	138.615	138.650	138.580	138.510	138.650	138.510	138.650	138.615	138.650	138.685	138.650	138.685	116.245	116.170	116.216	116.170	116.222	116.210	116.193	116.205	116.193	116.210	116.216	116.199	116.193	116.204	116.199	116.187	116.187	116.164	116.183	116.187	116.246	116.170	116.216	116.204	116.205	116.228	116.216	116.199	116.228	116.176	116.205	116.187	2016_7_15_15_12_29
F2LS3HQHHFM5____	-67.299	-67.149	-67.224	-67.149	-67.295	-67.227	-67.217	-67.226	-67.222	-67.261	-67.223	-67.253	-67.219	-67.187	-67.218	-67.184	-67.184	-67.150	-67.222	-67.220	-67.331	-67.182	-67.257	-67.192	-67.256	-67.259	-67.292	-67.215	-67.324	-67.222	-67.263	-67.224	138.652	138.675	138.528	138.675	138.737	138.613	138.672	138.717	138.717	138.636	138.582	138.745	138.716	138.612	138.687	138.695	138.695	138.766	138.760	138.750	138.657	138.723	138.604	138.611	138.667	138.603	138.676	138.691	138.734	138.755	138.717	138.709	115.712	115.659	115.707	115.659	115.697	115.695	115.682	115.677	115.676	115.702	115.698	115.682	115.675	115.681	115.679	115.667	115.667	115.644	115.669	115.670	115.722	115.662	115.706	115.683	115.696	115.707	115.706	115.678	115.707	115.670	115.690	115.678	2016_7_15_15_12_31
F2LS3HZVHFM5____	-67.397	-67.219	-67.286	-67.219	-67.363	-67.292	-67.287	-67.324	-67.292	-67.325	-67.290	-67.322	-67.286	-67.253	-67.290	-67.253	-67.253	-67.217	-67.298	-67.289	-67.432	-67.217	-67.325	-67.256	-67.324	-67.324	-67.360	-67.286	-67.395	-67.250	-67.332	-67.268	138.777	138.814	138.679	138.814	138.779	138.710	138.813	138.817	138.768	138.781	138.675	138.850	138.820	138.744	138.776	138.781	138.781	138.849	138.842	138.846	138.775	138.818	138.741	138.699	138.807	138.747	138.815	138.784	138.808	138.863	138.811	138.845	115.963	115.898	115.942	115.898	115.951	115.939	115.920	115.932	115.929	115.938	115.944	115.926	115.919	115.920	115.927	115.914	115.914	115.891	115.919	115.916	115.975	115.896	115.945	115.929	115.934	115.943	115.944	115.925	115.957	115.900	115.936	115.909	2016_7_15_15_12_35
F2LS3JESHFM5____	-67.127	-66.952	-67.022	-66.952	-67.092	-67.022	-67.022	-67.057	-67.022	-67.057	-67.022	-67.057	-67.022	-66.987	-67.022	-66.987	-66.987	-66.882	-67.008	-67.022	-67.162	-66.952	-67.057	-66.987	-67.057	-67.057	-67.092	-66.959	-67.127	-66.987	-67.057	-66.964	138.848	138.883	138.673	138.883	138.778	138.708	138.883	138.813	138.883	138.778	138.603	138.848	138.883	138.813	138.778	138.848	138.848	138.848	138.908	138.848	138.778	138.883	138.743	138.743	138.813	138.743	138.813	138.845	138.813	138.918	138.883	138.851	115.763	115.699	115.756	115.699	115.762	115.750	115.722	115.745	115.722	115.751	115.767	115.739	115.722	115.722	115.739	115.716	115.716	115.681	115.713	115.728	115.786	115.699	115.756	115.733	115.745	115.756	115.757	115.707	115.768	115.705	115.734	115.708	2016_7_15_15_12_37
F2LS3MG9HFM5____	-67.563	-67.388	-67.458	-67.388	-67.493	-67.458	-67.420	-67.493	-67.424	-67.451	-67.458	-67.493	-67.458	-67.378	-67.418	-67.382	-67.382	-67.388	-67.435	-67.458	-67.598	-67.388	-67.453	-67.386	-67.452	-67.447	-67.528	-67.421	-67.563	-67.423	-67.462	-67.430	138.762	138.727	138.587	138.727	138.760	138.622	138.794	138.797	138.791	138.757	138.587	138.832	138.727	138.712	138.758	138.765	138.765	138.762	138.826	138.762	138.762	138.797	138.722	138.673	138.787	138.724	138.797	138.755	138.727	138.762	138.793	138.823	116.133	116.080	116.126	116.080	116.110	116.121	116.080	116.104	116.082	116.097	116.126	116.098	116.104	116.080	116.085	116.072	116.072	116.075	116.080	116.098	116.145	116.069	116.103	116.088	116.092	116.101	116.116	116.087	116.139	116.086	116.094	116.079	2016_7_15_15_12_44
