SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-11.831	-11.504	-11.511	-11.264	-11.432	-11.406	-11.340	-11.633	-11.505	-11.427	-11.674	-11.678	-11.677	-11.351	-11.470	-11.504	-11.564	-11.535	-11.432	-11.437	-11.533	-11.593	-11.450	-11.302	-11.625	-11.507	-11.475	-11.365	-11.469	-11.437	-11.354	-11.548	-117.456	-117.501	-117.170	-117.496	-117.765	-117.233	-118.226	-117.879	-117.892	-118.676	-117.436	-117.221	-117.125	-118.222	-117.487	-117.794	-118.132	-118.022	-118.302	-117.501	-117.905	-118.207	-116.130	-117.860	-116.522	-117.864	-117.768	-117.816	-118.193	-117.649	-117.850	-118.183	263.911	264.071	264.052	264.187	264.118	264.106	264.184	264.027	264.089	264.163	263.986	263.974	263.970	264.179	264.087	264.085	264.072	264.081	264.143	264.104	264.076	264.062	264.032	264.185	263.966	264.087	264.098	264.153	264.121	264.111	264.160	264.082	2016_7_15_15_17_43
F2LS3A8AGRXL____	-12.038	-11.840	-11.446	-11.543	-11.702	-11.794	-11.494	-11.981	-11.520	-11.852	-11.753	-11.881	-11.748	-11.572	-11.870	-11.577	-11.846	-11.605	-11.550	-11.632	-11.679	-11.872	-11.776	-11.711	-11.737	-11.776	-11.811	-11.635	-11.611	-11.718	-11.629	-11.562	-117.769	-117.097	-117.223	-117.288	-117.629	-118.154	-117.345	-117.358	-116.973	-117.467	-117.104	-117.406	-117.512	-117.552	-118.061	-117.524	-117.531	-117.746	-117.425	-117.882	-117.367	-117.993	-117.175	-117.450	-118.047	-117.729	-117.370	-117.477	-117.659	-116.982	-117.332	-117.578	263.827	263.889	264.086	264.042	263.982	263.962	264.069	263.834	264.039	263.902	263.932	263.885	263.954	264.041	263.922	264.037	263.908	264.034	264.045	264.028	263.980	263.917	263.924	263.969	263.985	263.951	263.917	264.007	264.027	263.943	264.003	264.047	2016_7_15_15_17_48
F2LS3BDVGRXL____	-11.646	-11.637	-11.840	-11.806	-11.430	-11.604	-11.576	-11.654	-11.645	-11.525	-11.873	-11.549	-11.683	-11.288	-11.474	-11.796	-11.653	-11.613	-11.585	-11.422	-11.548	-11.481	-11.789	-11.439	-11.842	-11.802	-11.479	-11.357	-11.835	-11.507	-11.560	-11.822	-117.744	-117.704	-117.698	-117.248	-118.045	-117.641	-117.247	-117.177	-118.512	-117.091	-118.563	-117.630	-117.667	-118.436	-117.695	-117.003	-118.087	-118.032	-117.667	-118.772	-117.589	-118.156	-117.183	-117.940	-117.222	-117.018	-118.113	-118.495	-117.159	-118.323	-118.261	-118.870	264.014	264.017	263.918	263.913	264.132	264.030	264.024	263.983	264.051	264.042	263.945	264.056	263.993	264.219	264.095	263.906	264.027	264.044	264.040	264.170	264.054	264.113	263.918	264.123	263.895	263.904	264.112	264.188	263.895	264.109	264.080	263.984	2016_7_15_15_17_51
F2LS3EKPHFM2____	-11.232	-11.435	-11.238	-11.129	-11.364	-11.325	-11.358	-11.270	-11.239	-11.370	-11.412	-11.924	-11.393	-11.164	-11.335	-11.500	-11.499	-11.466	-11.430	-11.421	-11.405	-11.343	-11.773	-11.234	-11.465	-11.317	-11.211	-11.282	-11.396	-11.433	-11.161	-11.488	-117.616	-117.307	-117.567	-117.694	-117.510	-117.771	-117.371	-117.565	-117.582	-117.677	-117.645	-118.054	-118.258	-117.509	-117.620	-117.858	-118.203	-117.836	-118.111	-118.166	-117.384	-117.622	-117.320	-117.538	-118.407	-116.596	-117.389	-118.483	-118.198	-118.249	-117.417	-118.050	264.882	264.770	264.877	264.935	264.813	264.844	264.810	264.861	264.877	264.818	264.796	264.569	264.834	264.910	264.833	264.764	264.780	264.779	264.809	264.817	264.788	264.829	264.606	264.877	264.807	264.793	264.882	264.898	264.830	264.814	264.907	264.779	2016_7_15_15_17_53
F2LS3HFBHFM5____	-11.503	-11.340	-11.503	-11.396	-11.366	-11.400	-11.281	-11.635	-11.649	-11.891	-11.470	-11.464	-11.474	-11.060	-11.732	-11.441	-11.521	-11.743	-11.372	-11.425	-11.538	-11.409	-11.371	-11.434	-11.489	-11.776	-11.343	-11.362	-11.469	-11.364	-11.360	-11.550	-117.590	-117.565	-117.683	-117.683	-117.701	-117.492	-117.693	-118.021	-117.564	-117.779	-117.695	-118.141	-117.447	-118.615	-117.863	-117.320	-116.930	-117.629	-117.850	-118.425	-117.438	-117.408	-117.427	-117.520	-116.936	-117.596	-117.370	-117.744	-117.998	-118.112	-117.587	-118.253	264.750	264.827	264.754	264.806	264.821	264.795	264.862	264.707	264.678	264.572	264.771	264.795	264.757	265.010	264.653	264.767	264.710	264.636	264.826	264.826	264.726	264.787	264.806	264.780	264.726	264.618	264.817	264.825	264.786	264.841	264.819	264.759	2016_7_15_15_17_55
F2LS3HFRHFM5____	-11.897	-11.633	-11.507	-11.402	-11.759	-11.730	-11.424	-11.638	-11.898	-11.503	-11.809	-11.796	-11.733	-11.232	-11.740	-11.505	-11.764	-11.538	-11.362	-11.363	-11.525	-11.731	-11.436	-11.569	-11.537	-11.891	-11.465	-11.361	-11.401	-11.501	-11.604	-11.774	-117.229	-116.876	-117.131	-117.138	-117.347	-117.332	-117.273	-117.535	-116.815	-117.642	-117.143	-117.643	-117.681	-116.754	-117.389	-117.241	-117.777	-117.411	-117.970	-117.410	-117.752	-118.191	-117.219	-117.035	-117.657	-117.251	-117.549	-117.662	-117.445	-117.692	-117.370	-116.653	264.542	264.653	264.726	264.778	264.615	264.628	264.773	264.682	264.521	264.753	264.581	264.611	264.643	264.842	264.626	264.732	264.633	264.725	264.836	264.809	264.747	264.669	264.765	264.692	264.737	264.546	264.766	264.822	264.792	264.756	264.691	264.573	2016_7_15_15_17_58
F2LS3HQHHFM5____	-11.571	-11.492	-11.564	-11.466	-11.355	-11.328	-11.357	-11.777	-11.599	-11.725	-11.813	-11.805	-11.813	-11.355	-11.606	-11.599	-11.709	-11.488	-11.500	-11.286	-11.619	-11.672	-11.356	-11.433	-11.564	-11.571	-11.740	-11.301	-11.554	-11.312	-11.357	-11.763	-118.148	-118.183	-118.307	-118.177	-118.392	-117.929	-117.913	-117.852	-117.045	-117.580	-118.051	-118.291	-118.007	-118.720	-118.554	-116.941	-118.299	-117.720	-118.527	-118.983	-117.732	-118.301	-118.457	-118.599	-117.578	-118.480	-118.445	-118.366	-117.442	-117.815	-118.214	-118.277	264.070	264.109	264.080	264.121	264.184	264.176	264.161	263.956	264.004	263.968	263.948	263.964	263.947	264.200	264.072	263.999	264.010	264.089	264.121	264.244	264.027	264.028	264.187	264.156	264.046	264.085	264.002	264.209	264.044	264.179	264.175	263.984	2016_7_15_15_18_00
F2LS3HZVHFM5____	-11.564	-11.547	-11.096	-11.319	-11.484	-11.388	-11.284	-11.447	-11.434	-11.557	-11.540	-11.530	-11.393	-11.139	-11.136	-10.990	-11.294	-11.486	-11.498	-11.557	-11.517	-11.318	-11.342	-11.093	-11.654	-11.561	-11.525	-11.276	-11.524	-11.615	-11.271	-11.216	-117.446	-117.673	-117.554	-117.017	-117.693	-117.347	-117.018	-116.947	-117.952	-117.721	-116.621	-117.405	-117.565	-118.148	-117.132	-117.390	-117.931	-116.484	-117.700	-117.818	-118.355	-117.932	-118.423	-117.837	-117.785	-117.656	-117.624	-117.805	-117.725	-117.771	-117.978	-117.379	264.040	264.059	264.271	264.138	264.090	264.120	264.155	264.073	264.126	264.056	264.012	264.054	264.128	264.277	264.232	264.315	264.193	264.032	264.084	264.060	264.105	264.181	264.192	264.285	264.013	264.051	264.067	264.195	264.072	264.031	264.206	264.205	2016_7_15_15_18_03
F2LS3JESHFM5____	-11.769	-11.480	-11.526	-11.466	-11.499	-11.396	-11.289	-11.644	-11.512	-11.509	-11.606	-11.546	-11.544	-11.434	-11.547	-11.507	-11.665	-11.560	-11.432	-11.497	-11.599	-11.535	-11.437	-11.574	-11.478	-11.773	-11.473	-11.639	-11.552	-11.504	-11.489	-11.906	-117.660	-117.915	-116.770	-117.621	-117.842	-117.834	-117.435	-117.565	-117.837	-117.934	-118.026	-117.756	-117.795	-117.636	-117.089	-117.801	-116.171	-117.109	-118.045	-117.899	-118.156	-118.144	-117.773	-117.530	-118.010	-117.871	-117.915	-117.887	-117.081	-118.053	-118.255	-117.362	264.625	264.776	264.700	264.769	264.764	264.813	264.846	264.681	264.757	264.763	264.721	264.737	264.740	264.786	264.705	264.758	264.603	264.699	264.805	264.768	264.731	264.761	264.790	264.713	264.782	264.633	264.780	264.699	264.702	264.771	264.788	264.544	2016_7_15_15_18_05
F2LS3KLTHFM5____	-11.943	-11.691	-11.171	-11.050	-11.520	-11.729	-11.497	-11.648	-11.235	-11.567	-11.600	-11.863	-11.548	-11.227	-11.861	-11.778	-11.229	-11.201	-11.521	-11.060	-11.610	-11.541	-11.436	-11.434	-11.545	-11.782	-11.467	-11.420	-11.272	-11.437	-11.229	-11.645	-117.761	-117.739	-117.157	-117.816	-115.506	-117.802	-117.416	-116.693	-117.370	-118.522	-118.350	-117.726	-117.377	-117.492	-117.217	-117.398	-117.864	-117.548	-116.701	-117.285	-116.955	-117.734	-117.963	-117.907	-117.717	-117.460	-118.030	-118.076	-116.387	-118.043	-117.332	-116.541	264.546	264.666	264.890	264.979	264.642	264.651	264.745	264.637	264.869	264.763	264.739	264.583	264.718	264.879	264.559	264.608	264.895	264.894	264.699	264.950	264.668	264.739	264.800	264.798	264.736	264.609	264.788	264.813	264.805	264.803	264.870	264.631	2016_7_15_15_18_07
