SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-43.649	-43.850	-43.487	-43.751	-43.419	-43.316	-43.280	-43.557	-43.332	-43.794	-43.665	-43.452	-43.418	-43.732	-43.693	-43.974	-43.454	-43.593	-43.557	-43.627	-43.737	-43.599	-43.805	-43.608	-43.985	-43.547	-43.414	-43.767	-43.551	-43.697	-43.630	-43.662	-126.264	-126.436	-125.875	-126.206	-126.331	-126.086	-126.212	-126.155	-125.895	-126.368	-126.067	-125.875	-125.898	-125.840	-126.003	-125.902	-125.961	-126.159	-126.200	-126.435	-126.312	-126.093	-126.299	-126.427	-126.439	-125.983	-126.373	-126.435	-126.340	-126.298	-126.197	-126.400	250.722	250.665	250.733	250.673	250.825	250.832	250.865	250.744	250.799	250.678	250.688	250.747	250.765	250.629	250.667	250.539	250.759	250.730	250.750	250.755	250.693	250.718	250.664	250.761	250.611	250.724	250.832	250.698	250.772	250.707	250.720	250.736	2016_7_15_15_20_14
F2LS3A8AGRXL____	-43.773	-43.847	-43.666	-43.840	-43.751	-43.515	-43.459	-43.635	-43.524	-43.909	-43.875	-43.735	-43.662	-43.762	-43.922	-43.931	-43.830	-43.786	-43.624	-43.760	-43.948	-43.808	-43.805	-43.879	-43.951	-43.792	-43.611	-43.821	-43.808	-43.778	-43.773	-43.785	-125.982	-126.008	-125.605	-126.103	-126.421	-126.048	-126.066	-125.714	-125.624	-126.224	-125.906	-126.243	-125.757	-126.015	-125.912	-126.003	-126.150	-126.053	-125.919	-126.009	-126.040	-126.117	-125.840	-126.324	-126.046	-125.959	-126.316	-126.421	-126.065	-125.946	-125.916	-126.034	250.493	250.466	250.483	250.483	250.563	250.607	250.632	250.511	250.543	250.471	250.441	250.545	250.506	250.502	250.422	250.431	250.493	250.497	250.544	250.502	250.430	250.497	250.459	250.498	250.430	250.482	250.605	250.535	250.490	250.485	250.483	250.495	2016_7_15_15_20_19
F2LS3BDVGRXL____	-43.753	-43.784	-43.689	-43.620	-43.617	-43.388	-43.402	-43.457	-43.647	-43.883	-43.776	-43.426	-43.481	-43.641	-43.694	-43.993	-43.994	-43.873	-43.622	-43.826	-44.046	-43.755	-43.816	-43.855	-43.927	-43.743	-43.789	-43.983	-43.738	-43.889	-43.885	-43.840	-126.598	-126.775	-126.104	-126.682	-126.743	-126.609	-126.623	-126.270	-126.248	-126.529	-126.606	-126.294	-126.254	-126.312	-126.364	-126.258	-126.810	-126.673	-126.367	-126.733	-126.789	-126.626	-126.835	-126.832	-126.545	-126.455	-126.730	-126.828	-126.632	-126.844	-126.875	-126.663	250.631	250.643	250.588	250.697	250.707	250.780	250.777	250.705	250.625	250.569	250.623	250.721	250.693	250.637	250.622	250.487	250.563	250.593	250.652	250.621	250.540	250.635	250.639	250.623	250.554	250.615	250.635	250.570	250.642	250.611	250.617	250.605	2016_7_15_15_20_24
F2LS3EKPHFM2____	-44.218	-44.272	-44.071	-44.266	-43.827	-43.980	-43.485	-44.095	-43.986	-44.002	-44.303	-43.943	-43.949	-43.972	-44.021	-44.307	-44.062	-43.984	-43.896	-44.307	-44.307	-44.259	-44.268	-44.201	-44.405	-43.957	-43.871	-44.277	-44.134	-44.147	-44.307	-44.172	-126.327	-126.312	-126.082	-126.401	-126.342	-126.537	-126.345	-126.184	-126.304	-126.442	-126.277	-126.074	-126.237	-126.166	-126.326	-126.397	-126.327	-126.296	-126.152	-126.642	-126.187	-126.363	-126.252	-126.824	-126.455	-126.467	-126.453	-126.348	-126.304	-126.196	-126.292	-126.213	250.475	250.451	250.500	250.466	250.636	250.601	250.775	250.505	250.566	250.579	250.434	250.551	250.572	250.552	250.555	250.449	250.539	250.566	250.581	250.484	250.420	250.464	250.445	250.552	250.418	250.601	250.634	250.455	250.506	250.485	250.435	250.478	2016_7_15_15_20_27
F2LS3HFBHFM5____	-43.567	-43.610	-43.502	-43.575	-43.403	-43.184	-42.990	-43.400	-43.302	-43.594	-43.610	-43.468	-43.265	-43.551	-43.765	-43.669	-43.435	-43.574	-43.531	-43.425	-43.680	-43.456	-43.684	-43.465	-43.786	-43.471	-43.140	-43.477	-43.413	-43.548	-43.545	-43.687	-126.135	-126.233	-125.920	-125.881	-126.268	-126.083	-126.075	-126.091	-125.654	-125.998	-126.021	-125.930	-125.721	-125.903	-125.986	-125.789	-125.841	-126.149	-126.068	-126.035	-126.056	-126.154	-126.511	-126.185	-126.515	-126.045	-126.164	-125.899	-126.337	-125.980	-125.949	-126.077	250.803	250.799	250.799	250.764	250.888	250.951	251.029	250.865	250.843	250.773	250.770	250.814	250.868	250.777	250.702	250.713	250.816	250.802	250.808	250.846	250.746	250.851	250.808	250.851	250.768	250.829	250.980	250.806	250.894	250.789	250.786	250.746	2016_7_15_15_20_29
F2LS3HFRHFM5____	-43.797	-44.030	-43.862	-44.058	-43.624	-43.528	-43.533	-43.720	-43.598	-43.999	-44.034	-43.812	-43.370	-43.713	-44.013	-44.130	-43.774	-43.858	-43.702	-43.830	-44.013	-43.826	-43.771	-43.994	-44.053	-43.704	-43.927	-43.938	-43.696	-44.036	-44.075	-43.786	-125.623	-125.736	-125.433	-125.632	-125.570	-125.580	-125.777	-125.422	-125.203	-125.741	-125.567	-125.316	-125.320	-125.333	-125.565	-125.748	-125.401	-125.594	-125.448	-125.635	-125.622	-125.723	-125.676	-125.865	-125.823	-125.471	-125.752	-125.523	-125.704	-125.548	-125.627	-125.629	250.457	250.378	250.403	250.352	250.520	250.560	250.586	250.460	250.478	250.392	250.352	250.407	250.588	250.450	250.361	250.340	250.435	250.428	250.470	250.445	250.369	250.459	250.475	250.411	250.381	250.473	250.422	250.385	250.509	250.349	250.344	250.462	2016_7_15_15_20_32
F2LS3HQHHFM5____	-43.763	-44.142	-44.025	-43.820	-43.615	-43.636	-43.858	-43.776	-43.767	-43.865	-43.984	-43.782	-43.668	-43.714	-43.887	-44.027	-43.769	-43.905	-43.757	-43.824	-44.056	-43.726	-43.887	-43.927	-43.977	-43.748	-43.858	-43.888	-43.810	-43.948	-43.898	-43.833	-126.638	-126.861	-126.612	-126.630	-126.766	-126.833	-126.905	-126.497	-126.407	-126.802	-126.697	-126.575	-126.409	-126.524	-126.567	-126.470	-126.471	-126.838	-126.578	-126.713	-126.932	-126.841	-126.800	-127.050	-126.883	-126.734	-126.875	-126.645	-126.723	-126.735	-126.630	-126.807	250.726	250.604	250.616	250.702	250.804	250.805	250.725	250.701	250.692	250.707	250.645	250.709	250.732	250.730	250.666	250.596	250.700	250.696	250.720	250.712	250.649	250.769	250.699	250.717	250.674	250.745	250.721	250.676	250.719	250.665	250.670	250.721	2016_7_15_15_20_36
F2LS3HZVHFM5____	-43.616	-43.698	-43.386	-43.471	-43.263	-43.412	-42.865	-43.330	-43.303	-43.762	-43.569	-43.392	-43.315	-43.411	-43.415	-43.711	-43.354	-43.498	-43.350	-43.400	-43.773	-43.323	-43.575	-43.576	-43.631	-43.379	-43.310	-43.411	-43.568	-43.715	-43.544	-43.420	-125.836	-125.934	-125.570	-125.712	-125.900	-125.849	-125.764	-125.650	-125.600	-125.820	-125.775	-125.566	-125.727	-125.665	-125.635	-125.749	-125.658	-125.733	-125.688	-125.860	-125.881	-125.787	-125.755	-126.135	-125.899	-125.489	-126.004	-125.525	-125.918	-125.744	-125.762	-125.940	251.250	251.231	251.307	251.292	251.403	251.335	251.546	251.341	251.345	251.189	251.261	251.304	251.358	251.310	251.304	251.199	251.332	251.284	251.338	251.342	251.193	251.363	251.256	251.309	251.253	251.298	251.398	251.290	251.282	251.197	251.269	251.345	2016_7_15_15_20_38
F2LS3JESHFM5____	-44.136	-44.112	-43.745	-43.880	-43.675	-43.641	-43.600	-43.581	-43.778	-44.101	-44.087	-43.682	-43.607	-43.642	-43.823	-44.235	-43.589	-43.745	-43.807	-43.763	-44.122	-43.658	-44.055	-43.983	-44.270	-43.800	-43.662	-43.745	-43.955	-44.074	-44.074	-43.657	-126.453	-126.555	-126.076	-126.207	-126.566	-126.533	-126.536	-125.992	-125.965	-126.312	-126.326	-125.878	-125.900	-125.897	-126.010	-126.461	-125.959	-126.076	-126.198	-126.266	-126.499	-126.418	-126.429	-126.560	-126.461	-126.049	-126.119	-126.146	-126.636	-126.499	-126.529	-126.186	250.455	250.479	250.560	250.524	250.657	250.666	250.683	250.615	250.531	250.449	250.457	250.558	250.591	250.576	250.519	250.416	250.607	250.560	250.552	250.579	250.467	250.643	250.484	250.532	250.402	250.534	250.599	250.570	250.553	250.486	250.490	250.611	2016_7_15_15_20_41
F2LS3KLTHFM5____	-44.098	-44.125	-44.022	-44.083	-43.787	-43.931	-43.874	-43.868	-43.874	-43.751	-44.152	-43.955	-43.833	-44.162	-44.104	-44.296	-44.266	-44.147	-44.082	-44.042	-44.375	-43.683	-44.082	-43.953	-44.226	-44.259	-43.958	-44.210	-43.972	-44.217	-43.876	-44.192	-126.061	-126.157	-125.667	-125.998	-126.065	-126.265	-126.082	-125.661	-125.640	-126.034	-126.372	-125.793	-125.702	-126.096	-125.757	-126.019	-126.034	-126.073	-126.199	-126.363	-126.114	-126.206	-126.159	-126.484	-126.240	-125.992	-126.309	-126.024	-126.084	-125.970	-125.859	-126.111	250.486	250.489	250.461	250.483	250.613	250.583	250.580	250.523	250.517	250.623	250.508	250.506	250.543	250.466	250.441	250.400	250.414	250.468	250.512	250.551	250.382	250.675	250.507	250.605	250.460	250.411	250.578	250.436	250.541	250.425	250.548	250.455	2016_7_15_15_20_44
