SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-55.142	-55.271	-55.306	-55.236	-55.096	-55.247	-55.133	-55.239	-55.072	-55.422	-55.072	-55.172	-54.967	-54.895	-54.547	-54.582	-53.846	-54.231	-54.302	-54.617	-54.195	-55.002	-54.092	-54.111	-54.196	-54.127	-54.054	-54.056	-53.987	-54.197	-54.267	-54.334	-131.370	-131.335	-131.292	-131.441	-131.472	-131.650	-131.652	-131.756	-131.335	-131.510	-131.755	-131.790	-131.930	-131.812	-131.996	-132.035	-132.292	-132.111	-131.685	-132.385	-132.357	-131.475	-132.490	-132.391	-132.353	-132.490	-132.529	-132.638	-132.642	-132.420	-132.210	-132.357	247.022	246.969	246.949	246.998	247.055	247.027	247.069	247.046	247.043	246.940	247.108	247.076	247.174	247.182	247.339	247.332	247.644	247.474	247.383	247.373	247.525	247.090	247.583	247.561	247.524	247.570	247.603	247.619	247.645	247.534	247.476	247.474	2016_7_15_16_09_57
F2LS3A8AGRXL____	-55.126	-55.256	-55.291	-55.222	-55.081	-55.187	-55.119	-55.226	-55.047	-55.406	-55.060	-55.161	-54.947	-54.882	-54.531	-54.566	-53.831	-54.214	-54.286	-54.531	-54.179	-54.980	-54.076	-54.132	-54.181	-54.111	-54.040	-54.038	-53.968	-54.182	-54.249	-54.321	-131.496	-131.393	-131.355	-131.498	-131.532	-131.636	-131.710	-131.812	-131.390	-131.566	-131.814	-131.850	-131.990	-131.919	-132.056	-132.021	-132.406	-132.169	-131.741	-132.379	-132.414	-131.534	-132.546	-132.482	-132.416	-132.555	-132.589	-132.732	-132.736	-132.417	-132.277	-132.476	246.908	246.844	246.825	246.873	246.930	246.907	246.944	246.920	246.921	246.815	246.982	246.950	247.051	247.064	247.215	247.197	247.528	247.350	247.258	247.264	247.400	246.968	247.458	247.428	247.400	247.447	247.478	247.500	247.527	247.399	247.353	247.357	2016_7_15_16_10_03
F2LS3BDVGRXL____	-54.845	-54.987	-55.022	-54.951	-54.846	-54.880	-54.847	-54.953	-54.778	-55.126	-54.820	-54.888	-54.674	-54.609	-54.256	-54.291	-53.556	-53.940	-54.008	-54.254	-53.902	-54.710	-53.797	-53.859	-53.905	-53.833	-53.765	-53.766	-53.694	-53.904	-53.976	-54.046	-131.504	-131.471	-131.430	-131.577	-131.607	-131.715	-131.785	-131.890	-131.466	-131.640	-131.884	-131.922	-132.064	-131.992	-132.129	-132.093	-132.418	-132.240	-131.817	-132.447	-132.485	-131.608	-132.557	-132.516	-132.480	-132.626	-132.659	-132.764	-132.768	-132.484	-132.347	-132.485	247.058	247.000	246.981	247.030	247.073	247.077	247.101	247.077	247.077	246.975	247.126	247.106	247.207	247.220	247.372	247.354	247.676	247.506	247.417	247.421	247.558	247.124	247.607	247.578	247.556	247.604	247.635	247.650	247.677	247.557	247.509	247.504	2016_7_15_16_10_06
F2LS3EKPHFM2____	-55.052	-55.262	-55.297	-55.156	-55.052	-55.087	-55.122	-55.155	-55.052	-55.402	-54.982	-55.097	-54.947	-54.819	-54.463	-54.562	-53.764	-54.212	-54.212	-54.464	-54.152	-54.912	-54.006	-54.067	-54.156	-54.107	-54.019	-54.016	-53.967	-54.177	-54.247	-54.292	-131.466	-131.472	-131.437	-131.577	-131.612	-131.717	-131.787	-131.890	-131.472	-131.647	-131.892	-131.926	-132.067	-131.949	-132.131	-132.102	-132.426	-132.312	-131.822	-132.452	-132.484	-131.612	-132.560	-132.521	-132.482	-132.627	-132.659	-132.767	-132.837	-132.487	-132.347	-132.486	247.045	246.968	246.950	247.024	247.068	247.071	247.069	247.073	247.046	246.944	247.137	247.100	247.177	247.206	247.366	247.325	247.670	247.487	247.412	247.414	247.535	247.120	247.601	247.572	247.533	247.573	247.611	247.628	247.657	247.526	247.479	247.483	2016_7_15_16_10_09
F2LS3HFBHFM5____	-54.860	-55.003	-55.036	-55.020	-54.865	-54.897	-54.915	-55.009	-54.845	-55.195	-54.845	-54.950	-54.740	-54.666	-54.320	-54.355	-53.620	-54.005	-54.024	-54.320	-53.965	-54.845	-53.865	-53.935	-53.968	-53.900	-53.829	-53.900	-53.760	-53.970	-54.040	-54.180	-131.434	-131.367	-131.325	-131.516	-131.537	-131.644	-131.726	-131.785	-131.411	-131.586	-131.831	-131.866	-132.006	-131.890	-132.076	-132.041	-132.356	-132.181	-131.757	-132.391	-132.420	-131.551	-132.566	-132.461	-132.418	-132.566	-132.597	-132.706	-132.706	-132.426	-132.286	-132.426	247.202	247.139	247.120	247.156	247.217	247.221	247.227	247.201	247.205	247.102	247.269	247.236	247.335	247.345	247.502	247.483	247.804	247.635	247.563	247.550	247.685	247.226	247.745	247.703	247.684	247.732	247.763	247.753	247.805	247.685	247.638	247.607	2016_7_15_16_10_12
F2LS3HFRHFM5____	-54.836	-54.978	-55.011	-54.941	-54.836	-54.872	-54.836	-54.942	-54.766	-55.114	-54.777	-54.882	-54.663	-54.600	-54.245	-54.278	-53.543	-53.928	-53.999	-54.242	-53.891	-54.700	-53.801	-53.811	-53.893	-53.836	-53.766	-53.766	-53.696	-53.854	-53.964	-54.046	-131.495	-131.463	-131.423	-131.569	-131.597	-131.708	-131.777	-131.882	-131.458	-131.631	-131.881	-131.918	-132.056	-131.945	-132.117	-132.086	-132.405	-132.227	-131.802	-132.441	-132.471	-131.600	-132.548	-132.515	-132.469	-132.618	-132.653	-132.758	-132.758	-132.480	-132.333	-132.479	247.040	246.983	246.964	247.013	247.056	247.060	247.084	247.061	247.060	246.958	247.122	247.088	247.191	247.197	247.355	247.338	247.659	247.490	247.399	247.405	247.540	247.107	247.585	247.576	247.539	247.583	247.614	247.630	247.656	247.555	247.492	247.484	2016_7_15_16_10_15
F2LS3HQHHFM5____	-54.986	-55.127	-55.162	-55.091	-54.990	-55.025	-54.990	-55.094	-54.919	-55.266	-54.924	-55.025	-54.817	-54.746	-54.457	-54.431	-53.699	-54.083	-54.149	-54.398	-54.107	-54.848	-53.941	-54.038	-54.107	-54.037	-53.907	-53.905	-53.837	-54.107	-54.177	-54.185	-131.360	-131.327	-131.252	-131.432	-131.464	-131.574	-131.641	-131.746	-131.324	-131.496	-131.745	-131.781	-131.889	-131.811	-132.070	-131.959	-132.280	-132.061	-131.678	-132.311	-132.350	-131.464	-132.417	-132.377	-132.350	-132.490	-132.519	-132.628	-132.632	-132.350	-132.210	-132.346	247.076	247.019	246.994	247.048	247.091	247.095	247.118	247.096	247.095	246.994	247.159	247.127	247.221	247.235	247.382	247.374	247.695	247.519	247.436	247.440	247.554	247.143	247.626	247.584	247.554	247.601	247.654	247.671	247.697	247.554	247.507	247.525	2016_7_15_16_10_17
F2LS3HZVHFM5____	-55.050	-55.152	-55.226	-55.154	-55.055	-55.084	-55.050	-55.156	-54.980	-55.363	-55.028	-55.095	-54.877	-54.849	-54.460	-54.495	-53.761	-54.145	-54.215	-54.456	-54.106	-54.912	-54.002	-54.063	-54.109	-54.110	-53.971	-53.973	-53.903	-54.107	-54.177	-54.248	-131.411	-131.382	-131.339	-131.488	-131.530	-131.625	-131.697	-131.802	-131.374	-131.546	-131.800	-131.836	-131.974	-131.902	-132.042	-132.020	-132.332	-132.160	-131.740	-132.359	-132.395	-131.520	-132.464	-132.428	-132.388	-132.545	-132.566	-132.675	-132.677	-132.397	-132.258	-132.395	247.638	247.595	247.561	247.611	247.654	247.658	247.682	247.659	247.658	247.543	247.706	247.687	247.789	247.788	247.954	247.937	248.258	248.089	247.999	248.004	248.139	247.706	248.188	248.160	248.137	248.160	248.215	248.230	248.257	248.139	248.092	248.086	2016_7_15_16_10_20
F2LS3JESHFM5____	-54.994	-55.131	-55.168	-55.096	-54.993	-55.029	-55.028	-55.101	-54.957	-55.304	-54.966	-55.101	-54.854	-54.754	-54.439	-54.436	-53.701	-54.120	-54.153	-54.433	-54.105	-54.888	-54.000	-54.036	-54.086	-54.035	-53.965	-53.965	-53.895	-54.105	-54.175	-54.245	-131.314	-131.314	-131.273	-131.420	-131.448	-131.526	-131.628	-131.703	-131.306	-131.480	-131.730	-131.764	-131.905	-131.800	-131.974	-131.943	-132.264	-132.079	-131.663	-132.291	-132.341	-131.449	-132.411	-132.353	-132.320	-132.481	-132.516	-132.621	-132.621	-132.341	-132.201	-132.341	246.972	246.920	246.900	246.950	246.993	246.992	247.008	246.992	246.984	246.882	247.046	247.002	247.115	247.136	247.279	247.276	247.598	247.414	247.338	247.330	247.459	247.032	247.509	247.487	247.463	247.506	247.537	247.553	247.579	247.459	247.412	247.407	2016_7_15_16_10_23
F2LS3KLTHFM5____	-55.003	-55.207	-55.177	-55.172	-55.004	-55.039	-55.006	-55.113	-54.936	-55.284	-54.997	-55.079	-54.836	-54.806	-54.418	-54.453	-53.772	-54.102	-54.167	-54.420	-54.104	-54.867	-54.017	-54.025	-54.122	-54.052	-53.970	-53.968	-53.898	-54.122	-54.192	-54.262	-131.445	-131.473	-131.373	-131.578	-131.547	-131.656	-131.727	-131.833	-131.409	-131.580	-131.893	-131.897	-132.004	-131.934	-132.073	-132.041	-132.418	-132.180	-131.762	-132.395	-132.423	-131.549	-132.558	-132.462	-132.418	-132.628	-132.597	-132.706	-132.709	-132.418	-132.348	-132.418	247.060	246.989	246.984	247.018	247.076	247.079	247.103	247.080	247.079	246.977	247.131	247.102	247.208	247.208	247.374	247.356	247.666	247.507	247.419	247.422	247.544	247.127	247.596	247.579	247.536	247.594	247.619	247.637	247.663	247.536	247.499	247.484	2016_7_15_16_10_26
