SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-64.003	-63.812	-63.990	-64.034	-63.963	-63.918	-63.997	-63.968	-63.958	-63.851	-63.995	-63.815	-63.897	-63.891	-63.929	-63.988	-63.927	-64.035	-63.925	-64.550	-63.955	-64.002	-64.301	-64.303	-63.927	-63.964	-63.957	-63.965	-64.016	-64.231	-63.972	-63.917	-120.393	-120.081	-119.873	-119.946	-119.873	-119.972	-119.979	-119.767	-120.357	-120.385	-120.388	-119.837	-119.839	-119.981	-119.945	-120.457	-119.909	-119.838	-119.874	-120.230	-120.390	-119.946	-120.332	-120.293	-120.013	-119.946	-119.938	-119.944	-119.920	-120.255	-120.325	-120.359	241.667	241.676	241.569	241.567	241.579	241.616	241.588	241.556	241.677	241.722	241.669	241.627	241.597	241.627	241.606	241.685	241.600	241.545	241.593	241.432	241.684	241.579	241.544	241.536	241.620	241.593	241.594	241.592	241.569	241.555	241.665	241.692	2016_7_15_16_12_43
F2LS3A8AGRXL____	-64.015	-63.826	-64.038	-64.084	-64.011	-63.932	-64.050	-63.980	-64.005	-63.910	-64.050	-63.875	-63.944	-63.939	-63.942	-64.040	-63.975	-64.085	-63.980	-64.593	-64.007	-64.051	-64.349	-64.317	-63.977	-64.011	-63.974	-64.014	-64.026	-64.247	-63.969	-63.965	-120.407	-120.096	-119.885	-119.991	-119.922	-119.983	-120.050	-119.840	-120.370	-120.470	-120.470	-119.910	-119.895	-120.027	-119.958	-120.468	-119.956	-119.910	-119.945	-120.272	-120.403	-119.991	-120.380	-120.304	-120.058	-119.989	-119.955	-119.953	-119.966	-120.268	-120.330	-120.406	241.665	241.674	241.554	241.557	241.571	241.612	241.582	241.566	241.662	241.717	241.665	241.619	241.590	241.618	241.604	241.668	241.591	241.541	241.587	241.425	241.667	241.570	241.536	241.533	241.610	241.584	241.591	241.576	241.574	241.552	241.667	241.684	2016_7_15_16_12_49
F2LS3BDVGRXL____	-63.889	-63.739	-63.913	-63.964	-63.888	-63.844	-63.925	-63.860	-63.882	-63.774	-63.952	-63.742	-63.825	-63.819	-63.893	-63.945	-63.855	-63.997	-63.854	-64.475	-63.882	-63.964	-64.229	-64.226	-63.858	-63.926	-63.886	-63.891	-63.907	-64.155	-63.844	-63.842	-120.464	-120.153	-119.939	-120.012	-119.939	-120.036	-120.048	-119.836	-120.426	-120.459	-120.459	-119.906	-119.907	-120.048	-120.009	-120.558	-119.977	-119.905	-119.943	-120.299	-120.462	-120.008	-120.405	-120.362	-120.087	-120.008	-120.009	-120.012	-119.988	-120.322	-120.389	-120.433	241.723	241.718	241.611	241.606	241.620	241.656	241.628	241.610	241.719	241.765	241.699	241.668	241.637	241.667	241.632	241.721	241.640	241.573	241.633	241.474	241.726	241.606	241.586	241.578	241.661	241.620	241.635	241.633	241.623	241.597	241.726	241.735	2016_7_15_16_12_52
F2LS3EKPHFM2____	-64.018	-63.828	-64.038	-64.087	-64.085	-63.969	-64.048	-63.980	-64.015	-63.901	-64.042	-63.872	-63.948	-63.946	-63.979	-64.042	-63.980	-64.085	-63.980	-64.600	-64.008	-64.056	-64.350	-64.352	-63.982	-64.015	-63.982	-64.016	-64.064	-64.281	-63.972	-63.966	-120.506	-120.155	-119.953	-120.025	-120.015	-120.049	-120.054	-119.840	-120.435	-120.468	-120.468	-119.919	-119.918	-120.059	-120.020	-120.537	-119.986	-119.910	-120.015	-120.308	-120.468	-120.023	-120.410	-120.373	-120.092	-120.021	-119.986	-120.020	-120.031	-120.336	-120.400	-120.435	242.358	242.359	242.241	242.237	242.236	242.286	242.257	242.240	242.345	242.394	242.341	242.296	242.267	242.296	242.276	242.355	242.269	242.215	242.275	242.103	242.354	242.248	242.216	242.208	242.289	242.263	242.269	242.263	242.247	242.227	242.354	242.363	2016_7_15_16_12_55
F2LS3HFBHFM5____	-63.724	-63.539	-63.713	-63.805	-63.683	-63.700	-63.770	-63.700	-63.735	-63.630	-63.770	-63.595	-63.665	-63.665	-63.700	-63.770	-63.700	-63.805	-63.700	-64.272	-63.735	-63.725	-64.029	-64.028	-63.700	-63.723	-63.700	-63.735	-63.735	-63.955	-63.642	-63.645	-120.194	-119.888	-119.675	-119.805	-119.672	-119.840	-119.840	-119.630	-120.225	-120.190	-120.260	-119.700	-119.700	-119.840	-119.805	-120.330	-119.770	-119.700	-119.735	-120.023	-120.190	-119.746	-120.129	-120.088	-119.875	-119.742	-119.770	-119.805	-119.770	-120.053	-120.124	-120.200	242.405	242.414	242.307	242.298	242.317	242.345	242.318	242.303	242.408	242.440	242.401	242.356	242.330	242.358	242.338	242.415	242.331	242.278	242.324	242.168	242.401	242.317	242.279	242.272	242.351	242.317	242.331	242.325	242.318	242.292	242.422	242.436	2016_7_15_16_12_57
F2LS3HFRHFM5____	-63.807	-63.655	-63.832	-63.880	-63.809	-63.762	-63.839	-63.775	-63.793	-63.724	-63.828	-63.661	-63.740	-63.735	-63.774	-63.827	-63.773	-63.879	-63.771	-64.388	-63.793	-63.846	-64.137	-64.138	-63.772	-63.807	-63.772	-63.808	-63.822	-64.068	-63.756	-63.727	-120.463	-120.150	-119.942	-120.011	-119.940	-120.039	-120.046	-119.838	-120.421	-120.454	-120.454	-119.905	-119.908	-120.046	-120.010	-120.524	-119.975	-119.906	-119.943	-120.296	-120.459	-120.011	-120.399	-120.360	-120.080	-120.010	-119.974	-120.010	-119.985	-120.321	-120.385	-120.429	242.428	242.422	242.316	242.311	242.324	242.361	242.333	242.316	242.424	242.457	242.418	242.372	242.343	242.372	242.351	242.432	242.344	242.291	242.338	242.179	242.432	242.324	242.293	242.284	242.365	242.338	242.344	242.338	242.328	242.303	242.431	242.451	2016_7_15_16_13_00
F2LS3HQHHFM5____	-63.727	-63.545	-63.744	-63.805	-63.735	-63.700	-63.760	-63.700	-63.735	-63.630	-63.770	-63.573	-63.665	-63.655	-63.688	-63.770	-63.686	-63.805	-63.685	-64.273	-63.717	-63.758	-64.030	-64.032	-63.700	-63.719	-63.685	-63.721	-63.733	-63.990	-63.700	-63.677	-120.463	-120.146	-119.938	-120.015	-119.945	-120.050	-120.042	-119.840	-120.435	-120.470	-120.470	-119.903	-119.910	-120.045	-120.007	-120.540	-119.973	-119.910	-119.940	-120.288	-120.454	-120.009	-120.394	-120.360	-120.085	-120.008	-119.972	-120.008	-119.982	-120.320	-120.400	-120.426	241.783	241.789	241.674	241.666	241.678	241.712	241.688	241.670	241.775	241.821	241.769	241.730	241.697	241.728	241.708	241.783	241.702	241.645	241.696	241.546	241.785	241.682	241.657	241.650	241.719	241.697	241.702	241.696	241.686	241.657	241.781	241.795	2016_7_15_16_13_03
F2LS3HZVHFM5____	-63.885	-63.726	-63.898	-63.950	-63.875	-63.831	-63.910	-63.808	-63.868	-63.763	-63.904	-63.729	-63.808	-63.806	-63.841	-63.903	-63.842	-63.952	-63.840	-64.462	-63.869	-63.917	-64.212	-64.214	-63.843	-63.879	-63.843	-63.881	-63.892	-64.143	-63.832	-63.830	-120.543	-120.229	-120.054	-120.091	-120.052	-120.117	-120.125	-119.917	-120.501	-120.533	-120.534	-119.985	-120.020	-120.126	-120.089	-120.605	-120.054	-119.984	-120.022	-120.379	-120.536	-120.090	-120.514	-120.441	-120.159	-120.089	-120.052	-120.089	-120.098	-120.403	-120.463	-120.508	241.741	241.738	241.639	241.627	241.647	241.677	241.649	241.646	241.738	241.784	241.731	241.688	241.666	241.687	241.667	241.746	241.660	241.605	241.654	241.494	241.745	241.639	241.614	241.598	241.680	241.653	241.659	241.652	241.650	241.617	241.744	241.754	2016_7_15_16_13_06
F2LS3JESHFM5____	-63.859	-63.705	-63.855	-63.933	-63.857	-63.812	-63.897	-63.826	-63.814	-63.711	-63.856	-63.679	-63.791	-63.788	-63.795	-63.848	-63.822	-63.929	-63.822	-64.408	-63.815	-63.897	-64.160	-64.159	-63.829	-63.859	-63.825	-63.859	-63.876	-64.085	-63.782	-63.777	-120.444	-120.132	-119.894	-119.995	-119.923	-120.023	-120.029	-119.821	-120.376	-120.413	-120.412	-119.857	-119.891	-120.032	-119.962	-120.511	-119.960	-119.890	-119.929	-120.289	-120.442	-119.995	-120.391	-120.348	-120.067	-119.993	-119.960	-119.995	-119.973	-120.308	-120.341	-120.382	242.405	242.400	242.298	242.289	242.303	242.339	242.309	242.294	242.408	242.453	242.399	242.355	242.321	242.350	242.333	242.422	242.323	242.269	242.317	242.171	242.421	242.302	242.282	242.274	242.341	242.316	242.322	242.316	242.305	242.294	242.413	242.423	2016_7_15_16_13_11
F2LS3KLTHFM5____	-63.945	-63.737	-63.915	-63.920	-63.885	-63.840	-63.917	-63.840	-63.945	-63.774	-63.980	-63.736	-63.821	-63.814	-63.808	-63.980	-63.849	-64.015	-63.848	-64.474	-63.875	-63.980	-64.225	-64.223	-63.840	-63.945	-63.850	-63.891	-63.936	-64.153	-63.840	-63.841	-120.470	-120.096	-119.881	-119.953	-119.877	-119.977	-119.988	-119.840	-120.435	-120.431	-120.470	-119.843	-119.845	-119.985	-119.950	-120.540	-119.913	-119.910	-119.881	-120.242	-120.400	-120.015	-120.341	-120.296	-120.085	-120.015	-119.911	-119.949	-119.959	-120.261	-120.400	-120.373	242.378	242.381	242.272	242.285	242.283	242.320	242.293	242.292	242.371	242.434	242.365	242.332	242.300	242.331	242.326	242.379	242.303	242.241	242.297	242.137	242.390	242.275	242.248	242.240	242.341	242.288	242.303	242.295	242.280	242.259	242.403	242.397	2016_7_15_16_13_14
