SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-30.377	-30.320	-30.319	-30.087	-30.317	-30.317	-30.390	-30.285	-30.389	-30.353	-30.319	-30.320	-30.216	-30.387	-30.489	-30.458	-30.318	-30.351	-30.421	-30.423	-30.060	-30.354	-30.426	-30.353	-30.292	-30.319	-30.338	-30.063	-30.307	-30.351	-30.422	-30.457	131.359	131.542	131.402	131.383	131.403	131.333	131.579	131.614	131.368	131.403	131.474	131.646	131.505	131.438	131.579	131.404	131.473	131.509	131.613	131.543	131.565	131.543	131.508	131.438	131.489	131.544	131.634	131.565	131.666	131.543	131.438	131.576	103.046	103.005	103.018	102.924	103.017	103.024	103.030	102.983	103.050	103.032	103.011	102.995	102.965	103.042	103.071	103.075	103.011	103.021	103.040	103.047	102.895	103.019	103.052	103.028	102.999	103.004	103.004	102.896	102.988	103.018	103.057	103.058	2016_7_15_14_56_47
F2LS3A8AGRXL____	-30.655	-30.593	-30.591	-30.358	-30.590	-30.592	-30.664	-30.557	-30.665	-30.626	-30.593	-30.593	-30.488	-30.662	-30.765	-30.734	-30.591	-30.628	-30.700	-30.698	-30.405	-30.628	-30.699	-30.627	-30.539	-30.594	-30.615	-30.335	-30.614	-30.626	-30.697	-30.733	131.367	131.581	131.440	131.424	131.441	131.372	131.618	131.651	131.407	131.440	131.511	131.651	131.543	131.478	131.617	131.443	131.510	131.548	131.653	131.582	131.574	131.581	131.548	131.477	131.497	131.582	131.672	131.573	131.706	131.581	131.476	131.616	103.369	103.323	103.336	103.241	103.335	103.343	103.349	103.301	103.369	103.350	103.330	103.316	103.283	103.361	103.390	103.395	103.329	103.341	103.360	103.366	103.246	103.337	103.370	103.347	103.309	103.323	103.323	103.217	103.320	103.337	103.376	103.377	2016_7_15_14_56_51
F2LS3BDVGRXL____	-30.685	-30.624	-30.623	-30.425	-30.653	-30.653	-30.694	-30.624	-30.727	-30.687	-30.653	-30.656	-30.516	-30.721	-30.794	-30.795	-30.619	-30.689	-30.758	-30.761	-30.439	-30.691	-30.763	-30.655	-30.603	-30.626	-30.646	-30.371	-30.643	-30.657	-30.759	-30.795	131.305	131.517	131.376	131.327	131.376	131.308	131.552	131.586	131.342	131.378	131.448	131.559	131.479	131.413	131.553	131.376	131.447	131.483	131.586	131.517	131.510	131.517	131.483	131.411	131.432	131.517	131.608	131.510	131.610	131.515	131.412	131.551	103.165	103.119	103.132	103.055	103.144	103.151	103.144	103.112	103.178	103.158	103.138	103.128	103.078	103.169	103.186	103.203	103.123	103.149	103.168	103.175	103.043	103.147	103.179	103.142	103.118	103.119	103.119	103.015	103.118	103.133	103.185	103.186	2016_7_15_14_56_53
F2LS3EKPHFM2____	-30.941	-30.884	-30.883	-30.678	-30.883	-30.882	-30.953	-30.849	-30.955	-30.917	-30.880	-30.884	-30.779	-30.953	-31.058	-31.023	-30.883	-30.916	-31.019	-30.988	-30.657	-30.917	-30.991	-30.918	-30.856	-30.881	-30.902	-30.627	-30.902	-30.919	-30.988	-31.022	131.244	131.457	131.315	131.268	131.315	131.246	131.493	131.529	131.281	131.316	131.387	131.527	131.424	131.351	131.494	131.316	131.386	131.422	131.527	131.456	131.447	131.457	131.422	131.351	131.373	131.458	131.548	131.449	131.582	131.458	131.352	131.491	103.278	103.233	103.247	103.167	103.247	103.253	103.258	103.212	103.280	103.261	103.239	103.227	103.193	103.272	103.302	103.305	103.240	103.250	103.282	103.277	103.141	103.247	103.281	103.258	103.230	103.232	103.232	103.128	103.229	103.248	103.287	103.287	2016_7_15_14_56_55
F2LS3HFBHFM5____	-30.823	-30.796	-30.793	-30.566	-30.792	-30.795	-30.865	-30.762	-30.867	-30.829	-30.796	-30.799	-30.688	-30.864	-30.965	-30.936	-30.797	-30.828	-30.900	-30.899	-30.537	-30.831	-30.902	-30.830	-30.738	-30.798	-30.820	-30.509	-30.785	-30.828	-30.900	-30.933	131.224	131.442	131.303	131.251	131.305	131.199	131.446	131.516	131.233	131.305	131.373	131.514	131.407	131.337	131.479	131.306	131.374	131.411	131.515	131.442	131.427	131.443	131.409	131.337	131.357	131.444	131.538	131.428	131.538	131.445	131.340	131.441	103.349	103.316	103.329	103.240	103.328	103.340	103.344	103.295	103.366	103.343	103.323	103.310	103.275	103.355	103.382	103.387	103.323	103.333	103.352	103.359	103.211	103.330	103.363	103.340	103.300	103.317	103.317	103.199	103.302	103.329	103.369	103.373	2016_7_15_14_56_58
F2LS3HFRHFM5____	-30.735	-30.677	-30.672	-30.443	-30.671	-30.671	-30.743	-30.641	-30.744	-30.707	-30.671	-30.672	-30.567	-30.742	-30.846	-30.816	-30.671	-30.705	-30.779	-30.777	-30.415	-30.707	-30.778	-30.707	-30.620	-30.673	-30.664	-30.418	-30.665	-30.708	-30.777	-30.813	131.363	131.575	131.434	131.387	131.435	131.366	131.613	131.646	131.400	131.436	131.506	131.646	131.541	131.472	131.612	131.438	131.505	131.542	131.647	131.576	131.602	131.575	131.542	131.471	131.491	131.576	131.667	131.568	131.699	131.576	131.472	131.610	103.438	103.394	103.405	103.315	103.405	103.412	103.417	103.372	103.438	103.419	103.398	103.385	103.352	103.431	103.460	103.464	103.398	103.408	103.429	103.435	103.283	103.406	103.439	103.416	103.378	103.392	103.379	103.287	103.377	103.406	103.445	103.447	2016_7_15_14_57_01
F2LS3HQHHFM5____	-30.647	-30.585	-30.584	-30.354	-30.583	-30.582	-30.656	-30.553	-30.656	-30.619	-30.583	-30.582	-30.479	-30.651	-30.755	-30.726	-30.581	-30.618	-30.691	-30.690	-30.329	-30.620	-30.691	-30.618	-30.531	-30.585	-30.574	-30.297	-30.574	-30.617	-30.689	-30.725	131.294	131.478	131.338	131.287	131.336	131.267	131.512	131.546	131.302	131.338	131.408	131.549	131.439	131.372	131.512	131.338	131.407	131.442	131.545	131.477	131.501	131.477	131.442	131.374	131.391	131.478	131.568	131.500	131.596	131.477	131.372	131.510	102.960	102.917	102.930	102.839	102.930	102.936	102.943	102.897	102.963	102.944	102.923	102.909	102.877	102.954	102.984	102.989	102.922	102.934	102.954	102.960	102.809	102.931	102.964	102.940	102.903	102.917	102.903	102.796	102.901	102.930	102.970	102.972	2016_7_15_14_57_03
F2LS3HZVHFM5____	-30.534	-30.471	-30.467	-30.273	-30.469	-30.469	-30.573	-30.441	-30.543	-30.503	-30.467	-30.472	-30.367	-30.569	-30.676	-30.643	-30.466	-30.503	-30.578	-30.578	-30.250	-30.504	-30.610	-30.504	-30.449	-30.472	-30.495	-30.219	-30.494	-30.505	-30.604	-30.645	131.372	131.584	131.443	131.396	131.444	131.375	131.618	131.652	131.409	131.445	131.515	131.653	131.547	131.478	131.618	131.443	131.513	131.550	131.654	131.583	131.578	131.584	131.550	131.479	131.498	131.585	131.645	131.579	131.676	131.583	131.478	131.587	103.144	103.098	103.110	103.034	103.110	103.117	103.137	103.079	103.144	103.124	103.103	103.091	103.058	103.148	103.179	103.182	103.102	103.114	103.135	103.142	103.007	103.111	103.158	103.121	103.097	103.098	103.102	102.994	103.098	103.112	103.163	103.169	2016_7_15_14_57_07
F2LS3JESHFM5____	-30.517	-30.394	-30.422	-30.202	-30.423	-30.447	-30.495	-30.358	-30.517	-30.457	-30.447	-30.447	-30.317	-30.496	-30.622	-30.564	-30.447	-30.432	-30.552	-30.552	-30.168	-30.431	-30.502	-30.412	-30.377	-30.427	-30.412	-30.136	-30.411	-30.428	-30.552	-30.531	131.148	131.395	131.257	131.183	131.259	131.113	131.432	131.469	131.218	131.258	131.253	131.463	131.361	131.290	131.428	131.260	131.323	131.364	131.463	131.393	131.375	131.397	131.363	131.218	131.288	131.398	131.498	131.377	131.532	131.399	131.288	131.430	103.060	102.986	103.010	102.926	103.011	103.035	103.024	102.964	103.053	103.025	103.021	103.001	102.957	103.038	103.077	103.069	103.014	103.004	103.044	103.051	102.894	103.001	103.033	103.010	102.989	102.999	102.983	102.880	102.979	102.999	103.061	103.039	2016_7_15_14_57_09
F2LS3KLTHFM5____	-30.774	-30.715	-30.714	-30.483	-30.681	-30.715	-30.813	-30.651	-30.786	-30.750	-30.713	-30.716	-30.607	-30.813	-30.890	-30.825	-30.718	-30.750	-30.820	-30.790	-30.533	-30.721	-30.825	-30.720	-30.673	-30.686	-30.706	-30.429	-30.701	-30.749	-30.820	-30.857	131.224	131.402	131.264	131.211	131.265	131.193	131.360	131.475	131.229	131.265	131.332	131.472	131.370	131.290	131.439	131.266	131.334	131.370	131.473	131.404	131.290	131.403	131.369	131.299	131.290	131.405	131.499	131.387	131.531	131.405	131.299	131.437	103.130	103.088	103.101	103.010	103.087	103.108	103.132	103.055	103.134	103.116	103.094	103.082	103.046	103.139	103.157	103.147	103.096	103.106	103.125	103.119	103.023	103.090	103.137	103.100	103.081	103.076	103.075	102.971	103.070	103.102	103.141	103.143	2016_7_15_14_57_12
