SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3A7AHFM2____	-37.581	-37.511	-37.514	-37.514	-37.469	-37.553	-37.548	-37.548	-37.510	-37.581	-37.505	-37.514	-37.547	-37.511	-37.558	-37.514	-37.548	-37.584	-37.514	-37.551	-37.508	-37.576	-37.545	-37.516	-37.511	-37.553	-37.515	-37.581	-37.507	-37.469	-37.474	-37.515	-139.156	-139.196	-139.119	-139.119	-139.085	-139.119	-139.128	-139.128	-139.128	-139.053	-139.091	-139.119	-139.161	-139.129	-139.156	-139.119	-139.160	-139.162	-139.119	-139.086	-139.086	-139.092	-139.164	-139.120	-139.095	-139.119	-139.156	-139.195	-139.126	-139.085	-139.129	-139.156	254.776	254.807	254.798	254.798	254.812	254.783	254.786	254.786	254.801	254.765	254.798	254.798	254.790	254.800	254.785	254.798	254.789	254.776	254.798	254.781	254.797	254.771	254.791	254.797	254.797	254.783	254.801	254.780	254.801	254.812	254.814	254.801	2016_7_15_15_45_55
F2LS3A8AGRXL____	-37.488	-37.378	-37.414	-37.414	-37.364	-37.452	-37.488	-37.488	-37.410	-37.482	-37.425	-37.414	-37.408	-37.449	-37.412	-37.414	-37.355	-37.405	-37.414	-37.450	-37.411	-37.425	-37.453	-37.355	-37.445	-37.452	-37.411	-37.460	-37.367	-37.364	-37.372	-37.411	-139.207	-139.155	-139.168	-139.168	-139.134	-139.172	-139.134	-139.134	-139.134	-139.103	-139.172	-139.168	-139.169	-139.135	-139.206	-139.168	-139.172	-139.171	-139.168	-139.137	-139.135	-139.172	-139.169	-139.172	-139.101	-139.172	-139.204	-139.207	-139.132	-139.134	-139.133	-139.204	254.706	254.742	254.730	254.730	254.745	254.716	254.698	254.698	254.728	254.697	254.726	254.730	254.732	254.713	254.735	254.730	254.753	254.733	254.730	254.713	254.728	254.726	254.715	254.753	254.711	254.716	254.734	254.716	254.744	254.745	254.742	254.734	2016_7_15_15_45_58
F2LS3BDVGRXL____	-37.343	-37.239	-37.271	-37.271	-37.274	-37.255	-37.298	-37.298	-37.268	-37.440	-37.169	-37.271	-37.410	-37.223	-37.313	-37.271	-37.276	-37.307	-37.271	-37.311	-37.268	-37.340	-37.313	-37.220	-37.220	-37.255	-37.270	-37.266	-37.230	-37.274	-37.234	-37.270	-139.277	-139.274	-139.240	-139.240	-139.202	-139.240	-139.206	-139.206	-139.207	-139.172	-139.172	-139.240	-139.232	-139.210	-139.276	-139.240	-139.237	-139.243	-139.240	-139.157	-139.202	-139.172	-139.191	-139.242	-139.175	-139.240	-139.274	-139.227	-139.204	-139.202	-139.206	-139.274	254.760	254.800	254.784	254.784	254.779	254.790	254.770	254.770	254.782	254.712	254.816	254.784	254.730	254.799	254.771	254.784	254.781	254.770	254.784	254.760	254.781	254.750	254.762	254.803	254.797	254.790	254.788	254.784	254.796	254.779	254.794	254.788	2016_7_15_15_46_01
F2LS3EKPHFM2____	-37.368	-37.233	-37.266	-37.266	-37.226	-37.309	-37.315	-37.315	-37.277	-37.335	-37.265	-37.266	-37.270	-37.275	-37.303	-37.266	-37.269	-37.310	-37.266	-37.299	-37.259	-37.334	-37.304	-37.265	-37.237	-37.309	-37.267	-37.296	-37.228	-37.226	-37.230	-37.267	-139.270	-139.267	-139.233	-139.233	-139.195	-139.191	-139.156	-139.156	-139.156	-139.167	-139.160	-139.233	-139.190	-139.155	-139.269	-139.233	-139.234	-139.189	-139.233	-139.197	-139.198	-139.163	-139.235	-139.232	-139.120	-139.191	-139.267	-139.266	-139.195	-139.195	-139.157	-139.267	254.876	254.927	254.911	254.911	254.923	254.890	254.884	254.884	254.899	254.878	254.904	254.911	254.905	254.900	254.901	254.911	254.910	254.890	254.911	254.895	254.910	254.878	254.897	254.911	254.911	254.890	254.915	254.903	254.922	254.923	254.917	254.915	2016_7_15_15_46_03
F2LS3HFBHFM5____	-37.273	-37.124	-37.198	-37.198	-37.182	-37.239	-37.235	-37.235	-37.156	-37.271	-37.210	-37.198	-37.195	-37.196	-37.238	-37.198	-37.203	-37.235	-37.198	-37.239	-37.193	-37.263	-37.237	-37.153	-37.193	-37.239	-37.195	-37.197	-37.118	-37.182	-37.162	-37.195	-139.343	-139.340	-139.305	-139.305	-139.266	-139.305	-139.271	-139.271	-139.269	-139.239	-139.232	-139.305	-139.304	-139.271	-139.342	-139.305	-139.304	-139.306	-139.305	-139.218	-139.267	-139.283	-139.306	-139.253	-139.237	-139.305	-139.342	-139.340	-139.268	-139.266	-139.270	-139.342	254.699	254.756	254.724	254.724	254.726	254.708	254.706	254.706	254.736	254.689	254.712	254.724	254.725	254.721	254.712	254.724	254.722	254.710	254.724	254.699	254.722	254.696	254.709	254.736	254.719	254.708	254.729	254.728	254.751	254.726	254.734	254.729	2016_7_15_15_46_05
F2LS3HFRHFM5____	-37.342	-37.237	-37.343	-37.343	-37.223	-37.337	-37.298	-37.298	-37.262	-37.376	-37.303	-37.343	-37.270	-37.263	-37.312	-37.343	-37.272	-37.344	-37.343	-37.300	-37.304	-37.342	-37.346	-37.307	-37.262	-37.337	-37.271	-37.310	-37.226	-37.223	-37.230	-37.271	-139.330	-139.330	-139.292	-139.292	-139.256	-139.289	-139.259	-139.259	-139.259	-139.227	-139.170	-139.292	-139.294	-139.260	-139.329	-139.292	-139.294	-139.291	-139.292	-139.257	-139.255	-139.178	-139.295	-139.293	-139.224	-139.289	-139.330	-139.330	-139.257	-139.256	-139.259	-139.330	254.747	254.787	254.743	254.743	254.785	254.745	254.757	254.757	254.771	254.724	254.746	254.743	254.771	254.770	254.759	254.743	254.770	254.742	254.743	254.756	254.754	254.732	254.742	254.757	254.767	254.745	254.774	254.760	254.784	254.785	254.783	254.774	2016_7_15_15_46_08
F2LS3HQHHFM5____	-37.552	-37.399	-37.479	-37.479	-37.456	-37.520	-37.516	-37.516	-37.476	-37.554	-37.517	-37.479	-37.478	-37.474	-37.523	-37.479	-37.532	-37.520	-37.479	-37.515	-37.477	-37.595	-37.516	-37.475	-37.478	-37.520	-37.481	-37.521	-37.436	-37.456	-37.441	-37.481	-139.085	-139.030	-139.048	-139.048	-139.009	-139.049	-139.014	-139.014	-139.015	-138.984	-138.978	-139.048	-139.050	-139.013	-139.084	-139.048	-139.049	-139.050	-139.048	-139.017	-139.012	-139.028	-139.048	-139.048	-138.982	-139.049	-139.086	-139.086	-139.011	-139.009	-139.014	-139.086	254.776	254.829	254.800	254.800	254.805	254.785	254.782	254.782	254.798	254.765	254.779	254.800	254.801	254.799	254.787	254.800	254.780	254.785	254.800	254.783	254.797	254.754	254.786	254.802	254.794	254.785	254.803	254.788	254.813	254.805	254.811	254.803	2016_7_15_15_46_10
F2LS3HZVHFM5____	-37.555	-37.489	-37.439	-37.439	-37.380	-37.590	-37.565	-37.565	-37.528	-37.553	-37.555	-37.439	-37.482	-37.477	-37.527	-37.439	-37.547	-37.526	-37.439	-37.520	-37.555	-37.555	-37.590	-37.481	-37.485	-37.590	-37.437	-37.521	-37.441	-37.380	-37.450	-37.437	-139.265	-139.319	-139.283	-139.283	-139.195	-139.300	-139.202	-139.202	-139.205	-139.171	-139.230	-139.283	-139.242	-139.207	-139.322	-139.283	-139.290	-139.243	-139.283	-139.195	-139.265	-139.230	-139.230	-139.283	-139.160	-139.300	-139.277	-139.274	-139.202	-139.195	-139.195	-139.277	255.262	255.293	255.308	255.308	255.322	255.252	255.252	255.252	255.266	255.253	255.258	255.308	255.288	255.286	255.279	255.308	255.267	255.271	255.308	255.268	255.262	255.258	255.245	255.292	255.278	255.252	255.308	255.276	255.299	255.322	255.295	255.308	2016_7_15_15_46_12
F2LS3JESHFM5____	-37.570	-37.523	-37.489	-37.489	-37.444	-37.527	-37.523	-37.523	-37.488	-37.558	-37.532	-37.489	-37.558	-37.488	-37.542	-37.489	-37.558	-37.523	-37.489	-37.663	-37.558	-37.565	-37.523	-37.491	-37.488	-37.527	-37.494	-37.593	-37.453	-37.444	-37.523	-37.494	-139.201	-139.189	-139.161	-139.161	-139.128	-139.164	-139.189	-139.189	-139.189	-139.154	-139.090	-139.161	-139.224	-139.189	-139.200	-139.161	-139.154	-139.224	-139.161	-139.189	-139.189	-139.097	-139.224	-139.163	-139.154	-139.164	-139.200	-139.189	-139.189	-139.128	-139.189	-139.200	255.187	255.204	255.214	255.214	255.227	255.199	255.204	255.204	255.217	255.186	255.190	255.214	255.194	255.217	255.197	255.214	255.186	255.207	255.214	255.150	255.190	255.178	255.207	255.213	255.213	255.199	255.216	255.177	255.230	255.227	255.204	255.216	2016_7_15_15_46_15
F2LS3KLTHFM5____	-37.559	-37.452	-37.524	-37.524	-37.441	-37.559	-37.519	-37.519	-37.485	-37.549	-37.519	-37.524	-37.527	-37.477	-37.526	-37.524	-37.489	-37.557	-37.524	-37.520	-37.482	-37.592	-37.557	-37.481	-37.479	-37.559	-37.484	-37.551	-37.446	-37.441	-37.453	-37.484	-139.339	-139.378	-139.300	-139.300	-139.264	-139.299	-139.266	-139.266	-139.267	-139.232	-139.230	-139.300	-139.304	-139.269	-139.338	-139.300	-139.300	-139.347	-139.300	-139.267	-139.263	-139.229	-139.303	-139.302	-139.231	-139.299	-139.337	-139.336	-139.266	-139.264	-139.268	-139.337	255.243	255.288	255.252	255.252	255.280	255.239	255.250	255.250	255.264	255.235	255.247	255.252	255.251	255.267	255.255	255.252	255.265	255.244	255.252	255.250	255.264	255.218	255.240	255.269	255.262	255.239	255.271	255.245	255.278	255.280	255.276	255.271	2016_7_15_15_46_17
