SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3HQHHFM5____	0.350	0.197	0.341	0.197	0.248	0.248	0.197	0.281	0.326	0.248	0.162	0.327	0.351	0.161	0.197	0.248	0.248	0.197	0.167	0.248	0.283	0.168	0.197	0.154	0.149	0.197	0.096	0.248	0.197	0.159	0.140	0.143	-0.018	-0.121	-0.005	-0.057	-0.018	-0.018	-0.005	-0.005	-0.018	-0.005	-0.014	-0.005	-0.005	-0.084	-0.084	-0.018	-0.005	-0.057	-0.005	-0.014	-0.005	-0.005	-0.018	-0.084	-0.155	-0.084	-0.005	-0.005	-0.121	-0.005	-0.005	-0.014	-0.188	-0.098	-0.165	-0.098	0.008	-0.098	-0.100	-0.150	-0.146	-0.217	-0.079	-0.139	-0.185	-0.075	-0.067	-0.205	0.004	-0.221	-0.099	-0.223	-0.148	-0.100	-0.100	-0.073	-0.067	-0.100	-0.027	-0.211	-0.098	-0.085	-0.047	-0.060	0.221	-0.033	-0.114	2016_7_15_11_17_24
F2LS3EKPHFM2____	-0.015	0.012	-0.004	0.072	-0.045	-0.116	-0.015	-0.054	-0.015	-0.143	-0.052	-0.015	0.003	-0.075	-0.075	0.060	0.086	-0.015	-0.015	-0.083	-0.114	-0.045	-0.052	-0.054	-0.015	-0.108	-0.004	0.015	0.078	-0.001	0.060	-0.015	-0.147	-0.203	-0.147	-0.147	-0.203	-0.203	-0.147	-0.203	-0.074	-0.203	-0.203	-0.066	-0.064	-0.147	-0.205	-0.147	-0.203	-0.203	-0.203	-0.203	-0.147	-0.147	-0.205	-0.147	-0.203	-0.203	-0.147	-0.147	-0.147	-0.205	-0.203	-0.147	0.059	-0.050	-0.142	-0.073	-0.018	0.005	0.105	-0.005	-0.105	0.048	-0.018	-0.097	-0.038	0.005	0.016	-0.068	-0.100	-0.005	0.081	0.032	0.017	-0.039	-0.004	0.000	-0.091	-0.004	-0.025	-0.058	-0.089	-0.031	-0.050	0.078	-0.024	-0.168	-0.021	2016_7_15_11_17_29
F2LS3KLTHFM5____	0.340	0.276	0.256	0.383	0.276	0.240	0.232	0.149	0.276	0.267	0.210	0.267	0.276	0.276	0.347	0.253	0.350	0.276	0.326	0.208	0.256	0.276	0.138	0.267	0.370	0.276	0.276	0.253	0.256	0.267	0.139	0.267	0.292	0.197	0.141	0.141	0.093	0.197	0.197	0.197	0.141	0.141	0.268	0.141	0.207	0.266	0.197	0.197	0.141	0.207	0.197	0.197	0.197	0.197	0.197	0.134	0.282	0.197	0.141	0.197	0.263	0.197	0.141	0.289	-0.200	-0.158	-0.024	-0.205	-0.248	-0.102	-0.163	-0.111	-0.158	-0.043	-0.136	-0.032	-0.255	-0.260	-0.207	-0.029	-0.210	-0.108	-0.183	-0.138	-0.158	-0.071	-0.091	-0.158	-0.215	-0.164	-0.241	-0.142	-0.158	-0.158	-0.097	-0.164	0.266	0.194	-0.150	2016_7_15_11_17_35
F2LS3SMLHFM5____	-0.019	0.013	-0.027	-0.063	-0.094	0.100	-0.092	-0.004	-0.019	-0.000	0.086	0.044	0.021	-0.087	-0.000	0.034	-0.019	-0.069	-0.004	-0.000	-0.035	-0.160	-0.151	-0.153	-0.004	-0.027	-0.105	-0.152	0.032	-0.032	-0.004	-0.019	0.418	0.414	0.418	0.485	0.417	0.556	0.486	0.365	0.418	0.485	0.496	0.414	0.414	0.543	0.486	0.416	0.414	0.414	0.365	0.418	0.365	0.365	0.418	0.418	0.496	0.485	0.418	0.418	0.418	0.348	0.414	0.418	0.044	0.115	0.014	0.106	0.154	0.055	0.150	0.044	0.111	0.018	0.064	0.067	0.112	0.146	0.074	0.093	0.045	0.123	0.010	0.106	0.128	0.205	0.189	0.177	0.072	0.120	0.167	0.189	0.086	0.127	0.210	0.230	-0.032	0.432	0.111	2016_7_15_11_17_40
F2LS38TUGRXL____	0.354	0.295	0.226	0.295	0.163	0.421	0.333	0.388	0.295	0.295	0.200	0.211	0.348	0.295	0.237	0.269	0.348	0.333	0.333	0.243	0.151	0.295	0.220	0.277	0.295	0.280	0.290	0.333	0.348	0.279	0.279	0.354	0.156	0.281	0.230	0.353	0.341	0.210	0.261	0.210	0.210	0.156	0.210	0.210	0.284	0.210	0.156	0.156	0.367	0.156	0.230	0.376	0.230	0.230	0.351	0.261	0.210	0.230	0.156	0.230	0.362	0.357	0.285	0.230	-0.318	-0.377	-0.241	-0.362	-0.208	-0.352	-0.400	-0.282	-0.318	-0.148	-0.199	-0.210	-0.282	-0.358	-0.194	-0.233	-0.424	-0.262	-0.282	-0.247	-0.193	-0.336	-0.236	-0.261	-0.295	-0.255	-0.262	-0.390	-0.298	-0.264	-0.262	-0.404	0.290	0.247	-0.286	2016_7_15_11_17_45
F2LS3TKDHFM5____	0.403	0.406	0.353	0.411	0.339	0.531	0.411	0.524	0.379	0.403	0.461	0.460	0.454	0.461	0.373	0.406	0.454	0.454	0.275	0.411	0.388	0.332	0.388	0.403	0.411	0.530	0.458	0.411	0.388	0.411	0.411	0.332	-0.143	-0.201	-0.264	-0.258	-0.320	-0.268	-0.235	-0.131	-0.255	-0.201	-0.201	-0.143	-0.315	-0.209	-0.127	-0.071	-0.143	-0.143	-0.143	-0.201	-0.063	-0.201	-0.201	-0.127	-0.127	-0.143	-0.266	-0.143	-0.262	-0.201	-0.201	-0.134	-0.304	-0.327	-0.295	-0.332	-0.285	-0.382	-0.332	-0.382	-0.307	-0.199	-0.353	-0.332	-0.341	-0.348	-0.353	-0.327	-0.348	-0.341	-0.261	-0.412	-0.202	-0.278	-0.305	-0.327	-0.417	-0.397	-0.346	-0.344	-0.193	-0.218	-0.207	-0.289	0.414	-0.189	-0.315	2016_7_15_11_17_50
F2LS3MG9HFM5____	-0.348	-0.330	-0.293	-0.276	-0.293	-0.408	-0.220	-0.216	-0.202	-0.230	-0.196	-0.287	-0.293	-0.284	-0.141	-0.219	-0.333	-0.163	-0.404	-0.149	-0.337	-0.217	-0.291	-0.276	-0.293	-0.393	-0.276	-0.149	-0.284	-0.349	-0.276	-0.288	0.134	0.134	0.134	0.190	0.064	0.134	0.199	0.134	0.134	0.249	0.134	0.134	0.134	0.134	0.134	0.070	0.243	0.267	0.134	0.134	0.194	0.210	0.070	0.134	0.134	0.047	0.190	0.134	0.134	0.134	0.134	0.134	0.307	0.284	0.276	0.140	0.276	0.340	0.235	0.224	0.214	0.239	0.209	0.283	0.280	0.269	0.173	0.241	0.289	0.205	0.332	0.195	0.292	0.234	0.285	0.259	0.280	0.326	0.263	0.183	0.269	0.308	0.366	0.280	-0.272	0.146	0.261	2016_7_15_11_17_54
F2LS3BDVGRXL____	-0.275	-0.218	-0.040	-0.214	-0.162	-0.152	-0.150	-0.179	-0.162	-0.281	-0.079	-0.150	-0.226	-0.285	-0.093	-0.179	-0.162	-0.038	-0.033	-0.221	-0.150	-0.220	-0.041	-0.043	-0.093	-0.150	-0.272	-0.292	-0.152	-0.162	-0.288	-0.162	0.053	0.135	0.053	0.020	0.020	0.053	0.020	0.006	0.020	0.061	0.053	-0.053	0.020	0.006	0.123	-0.012	0.053	0.006	0.020	0.006	0.135	0.073	0.053	0.014	0.053	0.053	0.063	0.020	0.124	0.053	0.020	0.020	0.100	0.069	-0.008	0.051	-0.059	0.046	0.037	0.079	0.124	0.102	-0.001	0.043	0.084	0.120	0.037	0.139	-0.032	0.005	-0.017	0.074	0.037	0.071	-0.027	-0.012	0.004	0.043	0.097	0.120	0.037	0.059	0.121	-0.047	-0.166	0.042	0.047	2016_7_15_11_18_03
F2LS35BZHFM1____	0.491	0.609	0.555	0.609	0.609	0.597	0.609	0.694	0.644	0.644	0.706	0.711	0.750	0.692	0.730	0.549	0.644	0.542	0.741	0.575	0.552	0.479	0.555	0.644	0.586	0.501	0.716	0.673	0.493	0.475	0.644	0.644	0.682	0.596	0.816	0.682	0.611	0.667	0.755	0.682	0.682	0.747	0.667	0.682	0.756	0.667	0.611	0.682	0.740	0.682	0.682	0.682	0.611	0.682	0.798	0.682	0.740	0.682	0.740	0.682	0.740	0.667	0.740	0.667	0.026	0.059	-0.015	-0.139	-0.034	-0.032	-0.136	-0.089	-0.170	-0.169	-0.062	-0.077	-0.106	-0.104	-0.067	0.000	-0.188	0.016	-0.111	-0.026	-0.006	0.042	-0.015	-0.047	-0.011	0.006	-0.106	-0.047	0.018	0.037	-0.062	-0.047	0.614	0.694	-0.052	2016_7_15_11_18_07
F2LS3HZVHFM5____	1.255	1.102	1.075	1.075	1.102	1.026	1.175	1.102	1.075	1.205	1.203	1.102	1.102	1.169	1.266	1.075	1.075	1.250	1.173	1.102	1.246	1.240	1.102	1.012	1.041	1.181	1.102	1.075	1.257	1.075	1.016	1.041	0.594	0.490	0.594	0.678	0.678	0.549	0.678	0.549	0.594	0.594	0.549	0.549	0.549	0.490	0.549	0.490	0.549	0.594	0.692	0.594	0.549	0.549	0.462	0.490	0.594	0.549	0.549	0.490	0.549	0.549	0.594	0.549	-0.484	-0.274	-0.378	-0.345	-0.322	-0.321	-0.421	-0.382	-0.345	-0.451	-0.419	-0.324	-0.306	-0.410	-0.440	-0.240	-0.250	-0.482	-0.419	-0.345	-0.472	-0.441	-0.281	-0.326	-0.384	-0.431	-0.309	-0.378	-0.451	-0.280	-0.314	-0.345	1.128	0.565	-0.368	2016_7_15_11_18_16
F2LS339XHFM1____	1.158	1.094	1.034	1.109	1.082	1.114	1.171	1.109	1.086	0.983	1.071	1.052	1.113	1.194	1.097	1.052	1.235	1.113	1.097	1.087	1.041	1.103	1.103	1.082	1.103	1.040	1.219	1.094	1.157	1.161	1.094	1.109	0.494	0.591	0.622	0.752	0.622	0.622	0.686	0.622	0.622	0.622	0.622	0.758	0.622	0.686	0.622	0.591	0.686	0.698	0.544	0.591	0.622	0.622	0.622	0.622	0.622	0.622	0.562	0.622	0.622	0.622	0.622	0.622	-0.374	-0.226	-0.305	-0.356	-0.324	-0.365	-0.384	-0.447	-0.338	-0.287	-0.311	-0.329	-0.362	-0.408	-0.250	-0.327	-0.425	-0.449	-0.345	-0.327	-0.329	-0.449	-0.266	-0.338	-0.370	-0.314	-0.406	-0.285	-0.383	-0.391	-0.326	-0.240	1.105	0.628	-0.345	2016_7_15_11_19_02
F2LS3HFRHFM5____	0.549	0.521	0.469	0.332	0.458	0.472	0.402	0.458	0.319	0.340	0.336	0.469	0.338	0.476	0.328	0.474	0.539	0.530	0.458	0.458	0.476	0.458	0.514	0.385	0.300	0.458	0.485	0.458	0.329	0.458	0.402	0.350	0.244	0.244	0.267	0.180	0.340	0.329	0.120	0.244	0.244	0.244	0.121	0.244	0.186	0.267	0.244	0.196	0.268	0.355	0.244	0.267	0.244	0.268	0.244	0.244	0.268	0.244	0.267	0.204	0.244	0.161	0.321	0.244	-0.080	-0.030	-0.030	0.037	-0.154	-0.035	0.007	-0.114	0.062	0.031	0.038	-0.038	0.034	-0.035	0.047	-0.031	-0.064	-0.063	-0.096	-0.010	-0.035	-0.109	-0.047	0.020	0.032	-0.101	-0.052	-0.123	0.043	-0.030	0.057	0.016	0.431	0.244	-0.027	2016_7_15_11_19_06
F2LS3JESHFM5____	0.665	0.696	0.703	0.699	0.578	0.625	0.660	0.699	0.723	0.652	0.696	0.665	0.696	0.785	0.764	0.758	0.696	0.780	0.715	0.696	0.737	0.580	0.665	0.696	0.546	0.665	0.705	0.696	0.564	0.572	0.696	0.665	-0.066	-0.078	-0.066	-0.066	-0.078	-0.090	-0.020	-0.090	-0.206	-0.014	0.066	-0.038	-0.078	-0.078	-0.146	-0.078	-0.066	-0.066	-0.078	-0.066	-0.078	-0.066	-0.066	-0.038	-0.090	-0.038	-0.066	-0.200	0.057	-0.078	-0.066	-0.066	-0.279	-0.476	-0.348	-0.370	-0.289	-0.305	-0.337	-0.457	-0.361	-0.335	-0.461	-0.461	-0.351	-0.389	-0.385	-0.370	-0.410	-0.417	-0.380	-0.446	-0.362	-0.308	-0.267	-0.235	-0.269	-0.349	-0.351	-0.349	-0.294	-0.303	-0.241	-0.218	0.679	-0.069	-0.349	2016_7_15_11_19_10
F2LS3HFBHFM5____	-0.081	-0.139	-0.059	0.063	-0.015	-0.059	-0.145	0.011	-0.059	-0.064	-0.187	0.062	-0.132	-0.019	0.079	-0.059	-0.139	0.040	-0.084	-0.019	-0.019	-0.059	-0.014	-0.059	-0.002	-0.164	-0.059	-0.178	-0.136	0.041	-0.007	0.018	0.144	0.082	0.145	0.219	0.153	0.221	0.219	0.219	0.219	0.219	0.221	0.221	0.337	0.153	0.286	0.219	0.153	0.153	0.153	0.094	0.219	0.286	0.145	0.326	0.221	0.221	0.219	0.221	0.219	0.219	0.338	0.153	0.007	0.037	0.093	-0.076	-0.018	-0.021	0.042	-0.017	0.120	-0.016	0.042	-0.065	0.024	-0.024	-0.092	-0.142	0.025	-0.028	0.015	-0.149	-0.021	-0.112	-0.025	0.073	-0.047	0.066	-0.061	0.071	0.038	-0.055	-0.036	-0.083	-0.051	0.207	-0.014	2016_7_15_11_19_14
