SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3HQHHFM5____	0.049	0.051	0.081	0.081	0.081	0.084	0.086	0.049	0.012	0.081	0.016	0.081	0.057	0.053	0.056	0.051	0.017	0.049	0.089	0.089	0.013	0.051	0.056	-0.025	0.013	0.010	0.063	0.012	0.013	0.015	0.015	0.057	-0.092	-0.086	-0.079	-0.079	-0.079	-0.082	-0.049	-0.044	-0.053	-0.079	-0.090	-0.079	-0.095	-0.082	-0.088	-0.051	-0.095	-0.087	-0.081	-0.081	-0.093	-0.051	-0.083	-0.043	-0.093	0.000	-0.126	-0.044	-0.093	-0.084	-0.079	-0.128	-0.010	-0.011	-0.023	-0.023	-0.023	-0.025	-0.028	-0.015	0.001	-0.023	0.002	-0.023	-0.012	-0.013	-0.012	-0.015	0.003	-0.010	-0.026	-0.026	0.004	-0.015	-0.013	0.013	0.004	-0.004	-0.011	-0.000	0.004	0.003	0.002	-0.010	0.047	-0.077	-0.011	2016_7_15_11_39_03
F2LS3EKPHFM2____	-0.057	-0.060	-0.058	-0.058	-0.058	-0.057	-0.054	-0.056	-0.128	-0.058	-0.055	-0.058	-0.128	-0.056	-0.053	-0.128	-0.063	-0.058	-0.053	-0.053	-0.058	-0.128	-0.061	-0.058	-0.058	-0.055	-0.054	-0.052	-0.058	-0.057	-0.063	-0.051	0.144	0.133	0.133	0.133	0.133	0.134	0.104	0.099	0.092	0.133	0.104	0.133	0.088	0.136	0.101	0.093	0.143	0.134	0.100	0.100	0.133	0.093	0.084	0.134	0.133	0.140	0.097	0.105	0.133	0.133	0.143	0.108	-0.032	-0.029	-0.030	-0.030	-0.030	-0.030	-0.028	-0.027	0.000	-0.030	-0.028	-0.030	0.002	-0.031	-0.028	0.001	-0.029	-0.030	-0.028	-0.028	-0.030	0.001	-0.024	-0.030	-0.030	-0.032	-0.028	-0.029	-0.030	-0.030	-0.028	-0.031	-0.066	0.119	-0.025	2016_7_15_11_39_07
F2LS3KLTHFM5____	0.185	0.226	0.154	0.154	0.154	0.151	0.155	0.150	0.195	0.154	0.197	0.154	0.196	0.185	0.195	0.195	0.154	0.190	0.193	0.193	0.154	0.195	0.195	0.152	0.154	0.189	0.152	0.154	0.154	0.153	0.158	0.190	0.061	0.098	0.032	0.032	0.032	0.032	0.106	0.105	0.067	0.032	0.071	0.032	0.068	0.071	0.068	0.068	0.103	0.068	0.068	0.068	0.065	0.068	0.067	0.102	0.065	0.097	0.105	0.103	0.065	0.067	0.073	0.066	-0.102	-0.121	-0.086	-0.086	-0.086	-0.086	-0.095	-0.092	-0.105	-0.086	-0.107	-0.086	-0.106	-0.102	-0.106	-0.106	-0.094	-0.104	-0.105	-0.105	-0.090	-0.106	-0.106	-0.092	-0.090	-0.107	-0.093	-0.093	-0.090	-0.090	-0.093	-0.104	0.173	0.070	-0.098	2016_7_15_11_39_11
F2LS3SMLHFM5____	-0.030	-0.065	-0.035	-0.035	-0.035	-0.034	-0.072	-0.034	-0.069	-0.035	-0.069	-0.035	-0.037	-0.034	-0.038	-0.034	-0.067	-0.034	-0.037	-0.037	-0.064	-0.034	-0.069	-0.065	-0.064	-0.069	-0.069	-0.068	-0.064	-0.033	-0.039	-0.063	0.056	0.018	0.055	0.055	0.055	0.055	0.052	0.059	0.018	0.055	0.020	0.055	0.057	0.056	0.091	0.017	0.013	0.054	0.093	0.093	0.019	0.017	0.053	0.019	0.019	0.025	0.066	0.016	0.019	0.055	0.057	0.020	0.131	0.148	0.133	0.133	0.133	0.133	0.147	0.132	0.150	0.133	0.149	0.133	0.133	0.132	0.130	0.136	0.149	0.133	0.130	0.130	0.148	0.136	0.146	0.148	0.148	0.148	0.145	0.149	0.148	0.132	0.134	0.147	-0.049	0.044	0.139	2016_7_15_11_39_16
F2LS38TUGRXL____	0.282	0.318	0.282	0.282	0.282	0.283	0.279	0.281	0.281	0.282	0.317	0.282	0.317	0.315	0.278	0.317	0.279	0.320	0.281	0.281	0.280	0.317	0.243	0.280	0.280	0.282	0.281	0.280	0.280	0.284	0.280	0.280	0.120	0.183	0.182	0.182	0.182	0.152	0.184	0.186	0.183	0.182	0.181	0.182	0.152	0.186	0.155	0.183	0.155	0.153	0.152	0.152	0.183	0.183	0.153	0.183	0.183	0.154	0.154	0.184	0.183	0.151	0.181	0.181	-0.237	-0.257	-0.243	-0.243	-0.243	-0.240	-0.241	-0.243	-0.242	-0.243	-0.256	-0.243	-0.253	-0.256	-0.239	-0.256	-0.240	-0.255	-0.240	-0.240	-0.242	-0.256	-0.225	-0.243	-0.242	-0.240	-0.240	-0.242	-0.242	-0.241	-0.242	-0.241	0.288	0.171	-0.244	2016_7_15_11_39_20
F2LS3TKDHFM5____	-0.212	-0.203	-0.159	-0.159	-0.159	-0.159	-0.157	-0.164	-0.156	-0.159	-0.156	-0.159	-0.157	-0.164	-0.155	-0.155	-0.154	-0.158	-0.157	-0.157	-0.159	-0.155	-0.156	-0.157	-0.159	-0.155	-0.164	-0.155	-0.159	-0.160	-0.150	-0.202	0.044	0.065	0.068	0.068	0.068	0.068	0.042	0.035	0.042	0.068	0.042	0.068	0.072	0.067	0.072	0.070	0.039	0.035	0.041	0.041	0.067	0.070	0.071	0.044	0.067	0.046	0.035	0.042	0.067	0.067	0.068	0.035	-0.056	-0.061	-0.078	-0.078	-0.078	-0.079	-0.077	-0.073	-0.077	-0.078	-0.077	-0.078	-0.079	-0.078	-0.080	-0.081	-0.078	-0.076	-0.077	-0.077	-0.079	-0.081	-0.080	-0.077	-0.079	-0.078	-0.073	-0.077	-0.079	-0.078	-0.082	-0.059	-0.162	0.056	-0.076	2016_7_15_11_39_29
F2LS3MG9HFM5____	-0.184	-0.157	-0.155	-0.155	-0.155	-0.186	-0.189	-0.187	-0.222	-0.155	-0.156	-0.155	-0.222	-0.153	-0.221	-0.222	-0.191	-0.187	-0.188	-0.188	-0.155	-0.222	-0.156	-0.155	-0.155	-0.156	-0.154	-0.223	-0.155	-0.154	-0.163	-0.154	0.012	0.046	0.048	0.048	0.048	0.050	0.054	0.050	0.055	0.048	0.052	0.048	0.054	0.045	0.052	0.056	0.055	0.049	0.050	0.050	0.048	0.056	0.047	0.050	0.048	0.048	0.046	0.055	0.048	0.048	0.051	0.080	0.206	0.192	0.192	0.192	0.192	0.203	0.204	0.204	0.217	0.192	0.192	0.192	0.217	0.191	0.216	0.216	0.204	0.204	0.204	0.204	0.192	0.216	0.191	0.192	0.192	0.192	0.191	0.217	0.192	0.191	0.194	0.188	-0.176	0.050	0.199	2016_7_15_11_39_33
F2LS3BDVGRXL____	-0.165	-0.153	-0.198	-0.198	-0.198	-0.155	-0.150	-0.159	-0.151	-0.198	-0.153	-0.198	-0.149	-0.155	-0.150	-0.148	-0.150	-0.150	-0.149	-0.149	-0.156	-0.148	-0.151	-0.115	-0.156	-0.152	-0.155	-0.149	-0.156	-0.150	-0.146	-0.154	0.095	0.096	0.083	0.083	0.083	0.120	0.094	0.121	0.118	0.083	0.119	0.083	0.123	0.089	0.094	0.121	0.120	0.096	0.093	0.093	0.119	0.121	0.122	0.125	0.119	0.094	0.087	0.125	0.119	0.091	0.126	0.097	0.021	0.017	0.035	0.035	0.035	0.015	0.015	0.016	0.014	0.035	0.015	0.035	0.013	0.019	0.016	0.012	0.013	0.016	0.015	0.015	0.015	0.012	0.014	0.000	0.015	0.017	0.018	0.012	0.015	0.016	0.011	0.017	-0.158	0.105	0.018	2016_7_15_11_39_37
F2LS35BZHFM1____	0.471	0.433	0.435	0.435	0.435	0.433	0.430	0.474	0.473	0.435	0.430	0.435	0.473	0.478	0.472	0.472	0.430	0.477	0.472	0.472	0.434	0.472	0.432	0.432	0.434	0.433	0.476	0.474	0.434	0.435	0.474	0.432	0.259	0.218	0.215	0.215	0.215	0.217	0.258	0.254	0.257	0.215	0.255	0.215	0.256	0.254	0.257	0.256	0.255	0.256	0.255	0.255	0.216	0.256	0.222	0.254	0.216	0.253	0.253	0.253	0.216	0.214	0.254	0.220	0.077	0.096	0.095	0.095	0.095	0.096	0.093	0.077	0.076	0.095	0.093	0.095	0.077	0.076	0.078	0.077	0.093	0.075	0.077	0.077	0.096	0.077	0.096	0.093	0.096	0.093	0.076	0.077	0.096	0.095	0.076	0.096	0.451	0.240	0.087	2016_7_15_11_39_40
F2LS3HZVHFM5____	1.093	1.018	1.060	1.060	1.060	1.097	1.100	1.056	1.140	1.060	1.060	1.060	1.141	1.128	1.103	1.139	1.057	1.096	1.101	1.101	1.099	1.139	1.058	1.098	1.099	1.095	1.099	1.100	1.099	1.097	1.058	1.017	0.281	0.289	0.287	0.287	0.287	0.319	0.276	0.288	0.274	0.287	0.289	0.287	0.274	0.323	0.282	0.275	0.317	0.290	0.324	0.324	0.320	0.275	0.314	0.321	0.320	0.314	0.325	0.282	0.320	0.323	0.288	0.288	-0.275	-0.247	-0.263	-0.263	-0.263	-0.280	-0.277	-0.261	-0.292	-0.263	-0.263	-0.263	-0.293	-0.292	-0.279	-0.292	-0.265	-0.277	-0.281	-0.281	-0.281	-0.292	-0.265	-0.281	-0.281	-0.280	-0.281	-0.278	-0.281	-0.280	-0.262	-0.247	1.087	0.298	-0.274	2016_7_15_11_39_44
