SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3HQHHFM5____	0.277	0.279	0.282	0.281	0.276	0.313	0.277	0.285	0.243	0.289	0.284	0.279	0.288	0.281	0.279	0.292	0.276	0.283	0.285	0.319	0.284	0.276	0.279	0.278	0.290	0.283	0.360	0.284	0.280	0.277	0.277	0.238	0.226	0.227	0.227	0.269	0.263	0.228	0.296	0.237	0.236	0.240	0.240	0.224	0.272	0.228	0.260	0.239	0.257	0.237	0.241	0.228	0.240	0.228	0.226	0.227	0.278	0.239	0.236	0.269	0.229	0.256	0.228	0.263	-0.141	-0.141	-0.142	-0.148	-0.144	-0.153	-0.150	-0.145	-0.128	-0.146	-0.145	-0.140	-0.151	-0.142	-0.146	-0.147	-0.144	-0.144	-0.146	-0.156	-0.145	-0.140	-0.141	-0.140	-0.152	-0.144	-0.173	-0.149	-0.141	-0.144	-0.140	-0.131	0.284	0.243	-0.145	2016_7_15_14_55_27
F2LS3EKPHFM2____	-0.118	-0.085	-0.039	-0.116	-0.081	-0.080	-0.082	-0.086	-0.083	-0.081	-0.080	-0.080	-0.120	-0.118	-0.079	-0.080	-0.082	-0.084	-0.084	-0.044	-0.118	-0.082	-0.121	-0.118	-0.118	-0.044	-0.084	-0.117	-0.121	-0.114	-0.084	-0.119	0.099	0.127	0.131	0.099	0.130	0.130	0.136	0.127	0.131	0.133	0.131	0.128	0.137	0.133	0.130	0.136	0.128	0.125	0.129	0.129	0.133	0.128	0.128	0.099	0.135	0.130	0.131	0.100	0.136	0.133	0.132	0.134	-0.009	-0.026	-0.044	-0.009	-0.027	-0.028	-0.028	-0.025	-0.027	-0.027	-0.028	-0.028	-0.014	-0.013	-0.028	-0.029	-0.027	-0.025	-0.026	-0.042	-0.013	-0.026	-0.012	-0.009	-0.013	-0.041	-0.026	-0.009	-0.013	-0.016	-0.027	-0.014	-0.092	0.127	-0.023	2016_7_15_14_55_30
F2LS3KLTHFM5____	0.225	0.232	0.202	0.198	0.201	0.234	0.197	0.200	0.202	0.198	0.201	0.227	0.201	0.201	0.197	0.202	0.197	0.162	0.237	0.232	0.197	0.197	0.201	0.197	0.198	0.198	0.199	0.200	0.231	0.196	0.200	0.201	0.232	0.168	0.168	0.202	0.169	0.166	0.239	0.166	0.168	0.172	0.168	0.197	0.205	0.167	0.201	0.245	0.203	0.168	0.170	0.169	0.201	0.197	0.165	0.166	0.239	0.170	0.166	0.168	0.168	0.198	0.169	0.202	-0.145	-0.138	-0.127	-0.131	-0.126	-0.139	-0.136	-0.126	-0.127	-0.126	-0.126	-0.141	-0.131	-0.126	-0.130	-0.138	-0.131	-0.112	-0.141	-0.139	-0.129	-0.130	-0.127	-0.125	-0.136	-0.125	-0.125	-0.126	-0.138	-0.129	-0.126	-0.131	0.205	0.186	-0.131	2016_7_15_14_55_32
F2LS3SMLHFM5____	-0.021	-0.021	-0.040	-0.021	-0.067	-0.021	-0.021	-0.021	-0.021	-0.021	-0.091	-0.021	-0.091	-0.007	-0.021	-0.055	-0.021	-0.021	-0.161	-0.011	-0.021	-0.091	-0.090	-0.021	-0.021	-0.080	-0.021	-0.021	-0.091	-0.027	-0.021	-0.035	0.131	0.131	0.112	0.131	0.084	0.131	0.131	0.131	0.131	0.131	0.131	0.061	0.131	0.145	0.131	0.117	0.131	0.131	0.131	0.143	0.131	0.131	0.125	0.131	0.131	0.066	0.131	0.131	0.131	0.124	0.131	0.088	0.113	0.114	0.123	0.113	0.138	0.113	0.113	0.113	0.114	0.114	0.140	0.124	0.140	0.106	0.114	0.129	0.114	0.113	0.167	0.108	0.113	0.140	0.140	0.113	0.113	0.145	0.114	0.113	0.140	0.116	0.113	0.125	-0.041	0.123	0.122	2016_7_15_14_55_35
F2LS38TUGRXL____	0.274	0.271	0.271	0.273	0.272	0.312	0.332	0.275	0.245	0.303	0.272	0.306	0.279	0.307	0.276	0.276	0.273	0.276	0.239	0.271	0.280	0.243	0.276	0.277	0.342	0.298	0.271	0.229	0.274	0.275	0.275	0.241	0.203	0.204	0.203	0.203	0.204	0.172	0.213	0.201	0.203	0.188	0.204	0.203	0.209	0.173	0.176	0.212	0.204	0.202	0.177	0.205	0.174	0.204	0.202	0.202	0.221	0.216	0.204	0.215	0.203	0.201	0.205	0.204	-0.251	-0.251	-0.251	-0.251	-0.250	-0.261	-0.275	-0.252	-0.240	-0.261	-0.251	-0.264	-0.255	-0.260	-0.249	-0.254	-0.251	-0.252	-0.235	-0.251	-0.250	-0.239	-0.252	-0.252	-0.281	-0.263	-0.250	-0.236	-0.252	-0.251	-0.252	-0.239	0.278	0.200	-0.253	2016_7_15_14_55_37
F2LS3TKDHFM5____	-0.164	-0.163	-0.161	-0.160	-0.161	-0.165	-0.173	-0.170	-0.206	-0.168	-0.163	-0.166	-0.175	-0.163	-0.231	-0.195	-0.169	-0.164	-0.093	-0.219	-0.169	-0.200	-0.167	-0.165	-0.173	-0.163	-0.137	-0.164	-0.166	-0.160	-0.169	-0.150	-0.130	-0.128	-0.130	-0.129	-0.126	-0.132	-0.140	-0.132	-0.129	-0.130	-0.131	-0.128	-0.139	-0.128	-0.130	-0.125	-0.100	-0.131	-0.131	-0.124	-0.131	-0.128	-0.130	-0.132	-0.144	-0.130	-0.127	-0.133	-0.128	-0.132	-0.131	-0.077	-0.051	-0.052	-0.052	-0.052	-0.053	-0.050	-0.047	-0.049	-0.035	-0.049	-0.052	-0.051	-0.045	-0.051	-0.025	-0.039	-0.054	-0.050	-0.078	-0.032	-0.049	-0.038	-0.050	-0.050	-0.045	-0.051	-0.062	-0.050	-0.051	-0.052	-0.049	-0.064	-0.169	-0.128	-0.049	2016_7_15_14_55_39
F2LS3MG9HFM5____	-0.134	-0.136	-0.063	-0.136	-0.205	-0.103	-0.146	-0.136	-0.137	-0.105	-0.136	-0.114	-0.142	-0.138	-0.134	-0.075	-0.135	-0.133	-0.140	-0.201	-0.134	-0.133	-0.133	-0.133	-0.143	-0.135	-0.075	-0.141	-0.137	-0.131	-0.140	-0.114	-0.006	-0.004	-0.005	-0.005	-0.003	0.022	0.018	-0.005	-0.007	0.023	-0.007	0.010	-0.012	-0.005	-0.006	-0.008	-0.006	-0.004	-0.004	-0.007	-0.004	-0.004	-0.005	-0.005	-0.018	-0.007	-0.004	0.024	-0.002	-0.006	0.023	0.013	0.188	0.189	0.162	0.189	0.215	0.172	0.190	0.189	0.190	0.173	0.190	0.179	0.192	0.190	0.189	0.166	0.189	0.187	0.191	0.214	0.188	0.188	0.189	0.188	0.194	0.189	0.166	0.186	0.189	0.187	0.186	0.179	-0.131	-0.000	0.187	2016_7_15_14_55_42
F2LS3BDVGRXL____	-0.092	-0.092	-0.094	-0.091	-0.092	-0.094	-0.091	-0.092	-0.092	-0.096	-0.125	-0.094	-0.091	-0.092	-0.089	-0.090	-0.091	-0.086	-0.097	-0.089	-0.095	-0.090	-0.092	-0.088	-0.100	-0.088	-0.127	-0.090	-0.124	-0.097	-0.090	-0.090	-0.003	-0.002	-0.005	-0.002	-0.005	-0.004	-0.009	-0.002	-0.004	-0.004	-0.004	-0.006	-0.011	-0.002	-0.003	-0.007	-0.002	-0.001	-0.004	-0.004	-0.014	-0.004	-0.006	-0.005	-0.022	-0.003	-0.003	-0.002	-0.004	0.002	-0.003	-0.034	0.003	0.003	0.004	0.002	0.003	0.004	0.004	0.003	0.004	0.005	0.016	0.004	0.004	0.004	0.002	0.003	0.002	0.000	0.005	0.002	0.006	0.003	0.003	0.002	0.009	0.002	0.017	0.002	0.016	0.004	0.002	0.007	-0.095	-0.006	0.005	2016_7_15_14_55_44
F2LS35BZHFM1____	0.272	0.271	0.268	0.272	0.272	0.227	0.261	0.274	0.275	0.272	0.269	0.310	0.272	0.269	0.303	0.273	0.270	0.308	0.274	0.264	0.274	0.273	0.308	0.274	0.270	0.267	0.276	0.278	0.229	0.274	0.274	0.278	0.265	0.264	0.264	0.262	0.232	0.262	0.305	0.263	0.262	0.262	0.265	0.231	0.262	0.266	0.262	0.264	0.263	0.262	0.230	0.264	0.266	0.229	0.264	0.263	0.256	0.263	0.266	0.286	0.262	0.261	0.263	0.268	0.140	0.141	0.141	0.140	0.145	0.158	0.138	0.139	0.139	0.140	0.141	0.130	0.141	0.141	0.128	0.140	0.141	0.127	0.144	0.143	0.139	0.145	0.126	0.140	0.142	0.143	0.138	0.135	0.157	0.139	0.140	0.137	0.273	0.261	0.140	2016_7_15_14_55_47
F2LS3HZVHFM5____	0.980	0.980	0.977	0.979	0.975	0.978	0.981	0.978	0.979	0.978	0.978	0.979	1.014	0.979	0.979	0.980	0.983	0.976	0.979	0.976	0.978	0.978	0.978	0.977	0.980	0.979	0.978	0.980	0.978	1.013	0.980	0.978	0.417	0.414	0.418	0.417	0.415	0.416	0.412	0.415	0.416	0.417	0.417	0.415	0.405	0.419	0.414	0.409	0.415	0.412	0.416	0.413	0.412	0.414	0.416	0.415	0.412	0.417	0.407	0.417	0.412	0.419	0.416	0.413	-0.265	-0.264	-0.264	-0.265	-0.263	-0.264	-0.265	-0.264	-0.265	-0.264	-0.264	-0.264	-0.276	-0.265	-0.264	-0.264	-0.266	-0.262	-0.264	-0.263	-0.263	-0.264	-0.263	-0.263	-0.265	-0.264	-0.263	-0.264	-0.263	-0.279	-0.265	-0.263	0.981	0.414	-0.265	2016_7_15_14_55_51
