SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3HQHHFM5____	0.084	0.154	0.143	0.084	0.147	0.138	0.138	0.077	0.055	0.077	0.009	0.023	0.084	0.084	0.084	-0.006	0.068	0.084	0.084	0.068	0.207	0.084	0.077	0.144	0.122	0.072	0.084	0.128	0.084	0.084	0.084	-0.051	-0.488	-0.488	-0.419	-0.425	-0.555	-0.488	-0.488	-0.488	-0.425	-0.624	-0.542	-0.488	-0.488	-0.488	-0.488	-0.488	-0.488	-0.418	-0.488	-0.557	-0.541	-0.611	-0.488	-0.488	-0.488	-0.418	-0.606	-0.488	-0.488	-0.488	-0.488	-0.611	-0.611	-0.568	-0.586	-0.528	-0.578	-0.603	-0.594	-0.726	-0.672	-0.607	-0.644	-0.611	-0.728	-0.620	-0.616	-0.689	-0.715	-0.744	-0.596	-0.616	-0.548	-0.742	-0.493	-0.568	-0.614	-0.620	-0.738	-0.612	-0.554	-0.506	-0.722	-0.669	0.088	-0.500	-0.626	2016_7_15_15_18_45
F2LS3EKPHFM2____	0.070	-0.009	0.122	0.060	-0.068	0.153	-0.068	0.070	0.060	0.070	0.070	0.060	0.143	0.070	0.138	-0.066	0.011	0.007	-0.054	0.070	0.060	0.070	0.070	0.133	0.013	0.185	0.070	0.009	-0.059	0.002	0.060	0.070	-0.445	-0.419	-0.495	-0.419	-0.419	-0.495	-0.445	-0.495	-0.358	-0.360	-0.495	-0.588	-0.419	-0.445	-0.495	-0.349	-0.419	-0.434	-0.419	-0.445	-0.419	-0.419	-0.445	-0.434	-0.495	-0.434	-0.495	-0.495	-0.434	-0.565	-0.445	-0.495	0.858	0.675	0.728	0.789	0.648	0.802	0.652	0.781	0.789	0.725	0.823	0.729	0.778	0.852	0.789	0.659	0.714	0.697	0.682	0.656	0.708	0.805	0.725	0.746	0.729	0.717	0.794	0.723	0.683	0.701	0.784	0.662	0.050	-0.451	0.738	2016_7_15_15_18_48
F2LS3KLTHFM5____	-0.078	-0.078	-0.074	-0.078	-0.043	-0.078	-0.167	-0.074	-0.127	-0.075	-0.127	-0.074	-0.157	-0.078	-0.127	-0.127	-0.078	-0.078	-0.155	-0.074	-0.078	-0.152	-0.074	-0.006	-0.018	-0.078	-0.078	-0.189	-0.043	-0.078	-0.078	-0.078	-0.330	-0.244	-0.270	-0.390	-0.329	-0.330	-0.390	-0.330	-0.270	-0.390	-0.244	-0.329	-0.329	-0.395	-0.330	-0.329	-0.329	-0.329	-0.244	-0.329	-0.330	-0.330	-0.390	-0.469	-0.329	-0.390	-0.330	-0.330	-0.244	-0.415	-0.329	-0.244	0.527	0.516	0.623	0.656	0.546	0.656	0.582	0.715	0.656	0.679	0.687	0.623	0.583	0.726	0.500	0.623	0.656	0.757	0.552	0.623	0.536	0.598	0.673	0.693	0.672	0.558	0.747	0.623	0.771	0.656	0.731	0.623	-0.090	-0.331	0.636	2016_7_15_15_18_50
F2LS3SMLHFM5____	0.131	0.087	0.131	0.131	0.131	0.131	0.014	0.166	0.056	0.131	0.062	0.178	0.081	0.207	0.006	0.008	0.004	0.166	0.072	0.131	0.054	0.081	0.087	0.166	0.012	0.131	0.071	0.087	0.166	0.087	0.070	0.131	-0.059	-0.059	-0.055	0.089	-0.055	-0.059	-0.055	0.089	0.003	-0.055	-0.055	-0.059	-0.055	0.003	-0.059	-0.055	0.063	-0.059	-0.055	0.089	0.089	0.071	-0.055	0.063	-0.055	-0.055	0.003	-0.059	-0.059	-0.059	0.003	0.003	0.862	0.744	0.825	0.881	0.807	0.842	0.684	0.744	0.667	0.645	0.684	0.794	0.724	0.731	0.695	0.694	0.673	0.744	0.692	0.744	0.639	0.710	0.665	0.852	0.692	0.728	0.718	0.831	0.773	0.773	0.671	0.879	0.099	-0.018	0.744	2016_7_15_15_18_53
F2LS38TUGRXL____	-0.074	0.004	0.074	0.074	-0.056	-0.001	-0.125	-0.002	0.004	0.004	-0.004	-0.070	-0.041	0.085	-0.004	-0.041	-0.004	0.004	0.004	-0.073	0.004	-0.065	-0.004	0.004	0.004	0.004	0.124	0.003	0.004	0.130	0.074	0.004	-0.124	-0.144	-0.163	-0.020	-0.124	-0.014	-0.144	-0.142	-0.200	-0.200	-0.144	-0.124	-0.124	-0.142	-0.200	-0.163	-0.285	-0.015	-0.124	-0.124	-0.163	-0.163	-0.124	-0.163	-0.163	-0.163	-0.142	-0.142	-0.143	-0.280	-0.124	-0.163	0.627	0.572	0.805	0.711	0.665	0.674	0.628	0.681	0.797	0.793	0.667	0.635	0.674	0.753	0.694	0.694	0.694	0.773	0.554	0.628	0.566	0.640	0.681	0.792	0.673	0.788	0.756	0.671	0.694	0.749	0.736	0.719	0.001	-0.145	0.693	2016_7_15_15_18_55
F2LS3TKDHFM5____	0.338	0.479	0.411	0.405	0.290	0.362	0.404	0.362	0.407	0.338	0.350	0.362	0.406	0.416	0.469	0.479	0.409	0.345	0.324	0.353	0.362	0.349	0.411	0.362	0.413	0.362	0.353	0.425	0.272	0.362	0.348	0.362	-0.361	-0.426	-0.376	-0.361	-0.376	-0.376	-0.376	-0.426	-0.306	-0.306	-0.361	-0.361	-0.250	-0.361	-0.251	-0.376	-0.361	-0.426	-0.361	-0.456	-0.376	-0.361	-0.376	-0.376	-0.376	-0.456	-0.361	-0.376	-0.426	-0.306	-0.361	-0.361	0.168	0.281	0.225	0.198	0.182	0.133	0.202	0.152	0.211	0.140	0.230	0.264	0.207	0.229	0.238	0.249	0.202	0.187	0.189	0.082	0.076	0.174	0.180	0.291	0.206	0.226	0.188	0.243	0.114	0.187	0.201	0.074	0.378	-0.368	0.192	2016_7_15_15_18_57
F2LS3MG9HFM5____	0.136	0.271	0.137	0.136	0.149	0.136	0.149	0.136	0.136	0.254	0.211	0.257	0.137	0.136	0.204	0.224	0.136	0.149	0.144	0.142	0.149	0.149	0.149	0.136	0.144	0.208	0.270	0.251	0.149	0.136	0.207	0.136	-0.034	-0.008	0.059	0.059	0.059	0.059	0.059	-0.076	0.068	-0.076	-0.076	-0.008	-0.076	-0.034	-0.008	-0.076	-0.034	-0.076	-0.008	0.064	-0.008	0.059	-0.011	-0.008	-0.008	-0.011	-0.008	0.059	-0.008	-0.034	-0.076	-0.008	0.189	0.122	0.048	0.204	0.164	-0.044	0.023	0.191	0.055	0.055	0.143	0.134	0.066	0.054	0.098	0.172	-0.025	0.040	-0.044	0.066	0.094	-0.049	-0.003	0.054	0.089	0.101	0.143	0.106	-0.006	-0.031	0.160	0.066	0.171	-0.007	0.076	2016_7_15_15_19_00
F2LS3BDVGRXL____	-0.208	-0.135	-0.149	-0.208	-0.139	-0.153	-0.135	-0.149	-0.067	-0.013	-0.153	-0.153	-0.135	-0.006	-0.015	-0.135	-0.071	-0.068	-0.149	-0.073	-0.135	-0.017	-0.153	-0.010	-0.135	-0.220	0.011	-0.008	-0.153	-0.088	-0.139	-0.153	-0.013	0.141	0.126	-0.071	0.057	-0.013	0.127	-0.013	-0.013	-0.013	-0.013	0.062	-0.013	-0.013	-0.013	0.057	-0.071	-0.013	0.057	-0.013	-0.013	-0.071	0.132	-0.013	0.057	-0.013	-0.071	-0.013	-0.013	0.123	-0.013	-0.013	-0.100	-0.149	-0.175	-0.092	-0.070	-0.107	-0.144	-0.109	0.015	-0.018	-0.152	0.057	-0.121	0.007	-0.025	-0.201	-0.002	-0.011	-0.092	-0.010	-0.059	-0.005	-0.207	0.005	-0.185	-0.122	0.039	0.009	-0.092	-0.047	-0.142	-0.170	-0.110	0.013	-0.077	2016_7_15_15_19_02
F2LS35BZHFM1____	-0.016	-0.046	-0.073	-0.057	0.013	-0.065	0.074	-0.066	-0.027	0.009	-0.027	0.006	0.063	-0.134	-0.074	-0.046	-0.001	0.023	-0.046	-0.001	-0.016	-0.027	-0.120	-0.167	-0.069	0.006	-0.046	-0.046	-0.027	-0.122	-0.071	-0.058	0.144	0.089	0.144	0.089	0.144	0.086	0.089	0.144	0.070	0.089	0.144	0.089	0.144	0.144	0.144	0.089	0.144	0.086	0.070	0.144	0.089	0.144	0.144	0.071	0.089	0.089	0.144	0.144	0.181	0.089	0.089	0.089	-0.021	-0.021	-0.054	-0.026	0.015	-0.035	0.038	-0.038	-0.019	0.031	-0.027	0.005	0.009	-0.094	-0.055	-0.114	-0.020	0.047	0.094	-0.019	0.015	0.099	-0.047	-0.083	-0.070	-0.010	-0.143	-0.004	-0.021	-0.058	-0.046	-0.027	-0.039	0.114	-0.022	2016_7_15_15_19_04
F2LS3HZVHFM5____	-0.372	-0.407	-0.341	-0.424	-0.410	-0.433	-0.302	-0.305	-0.287	-0.410	-0.359	-0.372	-0.438	-0.266	-0.372	-0.359	-0.349	-0.372	-0.299	-0.479	-0.359	-0.359	-0.282	-0.372	-0.372	-0.349	-0.279	-0.341	-0.372	-0.359	-0.407	-0.372	-0.203	-0.281	-0.212	-0.203	-0.212	-0.212	-0.212	-0.281	-0.212	-0.203	-0.281	-0.212	-0.203	-0.281	-0.146	-0.203	-0.203	-0.146	-0.212	-0.212	-0.281	-0.212	-0.281	-0.203	-0.203	-0.281	-0.281	-0.212	-0.212	-0.146	-0.203	-0.212	-0.255	-0.160	-0.160	-0.235	-0.179	-0.191	-0.176	-0.172	-0.111	-0.189	-0.190	-0.281	-0.215	-0.098	-0.076	-0.172	-0.079	-0.226	-0.155	-0.204	-0.225	-0.104	-0.093	-0.045	-0.298	-0.131	-0.122	-0.155	-0.272	-0.254	-0.174	-0.095	-0.362	-0.220	-0.172	2016_7_15_15_19_07
