SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3HQHHFM5____	0.017	-0.065	-0.065	0.070	0.003	0.068	-0.065	-0.053	-0.053	0.068	-0.123	-0.097	0.011	-0.011	-0.117	-0.059	-0.053	0.009	-0.006	0.007	-0.088	-0.053	-0.059	-0.124	0.011	-0.065	-0.065	-0.128	-0.128	-0.116	-0.132	-0.053	-0.168	-0.331	-0.404	-0.287	-0.165	-0.407	-0.287	-0.287	-0.305	-0.349	-0.167	-0.363	-0.283	-0.346	-0.287	-0.220	-0.283	-0.288	-0.234	-0.237	-0.292	-0.222	-0.169	-0.347	-0.292	-0.413	-0.424	-0.287	-0.172	-0.359	-0.283	-0.344	0.126	0.106	0.010	0.136	0.120	0.180	-0.014	-0.006	0.043	0.171	0.069	0.106	0.105	0.140	0.088	0.103	0.137	0.139	0.126	0.131	0.126	0.207	0.096	0.093	0.141	0.126	0.030	0.083	0.067	0.099	0.081	0.122	-0.047	-0.291	0.103	2016_7_15_15_31_28
F2LS3EKPHFM2____	-0.640	-0.732	-0.637	-0.698	-0.551	-0.748	-0.640	-0.708	-0.572	-0.637	-0.738	-0.562	-0.685	-0.558	-0.549	-0.554	-0.694	-0.603	-0.552	-0.763	-0.543	-0.640	-0.640	-0.640	-0.694	-0.620	-0.545	-0.753	-0.736	-0.640	-0.764	-0.617	-0.352	-0.415	-0.420	-0.358	-0.297	-0.545	-0.288	-0.471	-0.415	-0.485	-0.415	-0.293	-0.424	-0.538	-0.472	-0.422	-0.411	-0.368	-0.411	-0.422	-0.411	-0.421	-0.363	-0.427	-0.411	-0.421	-0.427	-0.411	-0.367	-0.411	-0.378	-0.411	-0.270	-0.215	-0.176	-0.209	-0.158	-0.203	-0.085	-0.197	-0.130	-0.105	-0.190	-0.163	-0.194	-0.128	-0.133	-0.092	-0.177	-0.169	-0.143	-0.226	-0.174	-0.299	-0.271	-0.175	-0.224	-0.138	-0.137	-0.198	-0.223	-0.142	-0.232	-0.193	-0.645	-0.409	-0.180	2016_7_15_15_31_39
F2LS3KLTHFM5____	-0.870	-0.783	-0.774	-0.741	-0.741	-0.662	-0.780	-0.701	-0.650	-0.716	-0.772	-0.716	-0.712	-0.794	-0.693	-0.777	-0.753	-0.810	-0.758	-0.655	-0.867	-0.741	-0.745	-0.614	-0.816	-0.758	-0.643	-0.874	-0.709	-0.772	-0.745	-0.753	-0.119	0.138	-0.036	-0.006	0.028	-0.006	0.013	0.028	0.028	0.008	0.028	0.028	0.013	0.028	0.028	-0.002	-0.011	-0.037	-0.063	-0.106	0.010	0.131	0.004	0.001	0.008	-0.010	-0.069	-0.057	0.028	0.016	0.016	0.028	-0.333	-0.333	-0.306	-0.297	-0.278	-0.264	-0.315	-0.327	-0.298	-0.295	-0.248	-0.292	-0.314	-0.274	-0.320	-0.312	-0.396	-0.320	-0.295	-0.248	-0.349	-0.167	-0.299	-0.245	-0.328	-0.399	-0.247	-0.343	-0.319	-0.312	-0.199	-0.342	-0.747	0.003	-0.300	2016_7_15_15_31_42
F2LS3SMLHFM5____	-0.010	0.058	-0.089	-0.057	-0.126	-0.006	-0.044	-0.117	-0.063	-0.091	0.067	-0.010	-0.044	-0.044	0.010	0.056	0.064	-0.044	-0.044	-0.044	-0.001	-0.006	-0.044	-0.001	-0.044	-0.057	-0.044	-0.044	-0.122	-0.044	-0.044	-0.168	0.066	0.210	0.025	0.116	0.249	0.075	0.116	0.116	0.074	0.075	0.116	0.138	0.116	0.239	-0.015	0.074	0.116	0.116	0.075	0.176	0.116	0.075	0.074	0.194	0.116	0.116	0.075	0.116	0.065	0.075	0.075	0.138	-0.508	-0.501	-0.534	-0.499	-0.580	-0.476	-0.587	-0.525	-0.497	-0.577	-0.508	-0.438	-0.485	-0.462	-0.488	-0.482	-0.460	-0.454	-0.475	-0.634	-0.531	-0.378	-0.486	-0.522	-0.486	-0.585	-0.631	-0.467	-0.552	-0.564	-0.563	-0.582	-0.037	0.110	-0.516	2016_7_15_15_31_47
F2LS38TUGRXL____	0.009	-0.102	-0.102	-0.162	-0.102	-0.006	-0.102	-0.102	-0.188	-0.102	-0.238	-0.102	-0.128	-0.118	-0.052	-0.126	-0.119	0.006	-0.134	-0.102	-0.120	-0.052	0.008	-0.102	-0.102	0.000	-0.127	-0.224	-0.195	-0.127	-0.145	-0.056	-0.033	0.100	0.011	-0.062	-0.033	-0.144	0.071	0.075	0.019	0.031	-0.033	-0.050	-0.097	-0.045	0.015	-0.046	-0.094	-0.040	-0.035	-0.085	-0.105	0.069	-0.112	0.048	-0.054	0.012	-0.148	-0.049	-0.043	-0.107	0.016	-0.033	-0.179	-0.295	-0.312	-0.223	-0.292	-0.149	-0.151	-0.146	-0.245	-0.146	-0.282	-0.200	-0.204	-0.208	-0.189	-0.210	-0.201	-0.158	-0.215	-0.276	-0.200	-0.197	-0.147	-0.202	-0.134	-0.168	-0.196	-0.250	-0.239	-0.202	-0.227	-0.184	-0.103	-0.031	-0.207	2016_7_15_15_32_01
F2LS3TKDHFM5____	0.036	-0.076	-0.059	-0.023	-0.016	-0.023	-0.015	-0.015	0.051	-0.012	-0.016	-0.014	-0.035	-0.067	0.031	0.049	-0.022	-0.035	-0.111	0.026	-0.021	-0.116	-0.055	-0.160	0.046	-0.021	0.117	-0.134	0.009	-0.035	0.099	-0.035	-0.282	-0.362	-0.224	-0.349	-0.306	-0.309	-0.410	-0.349	-0.292	-0.349	-0.298	-0.415	-0.362	-0.363	-0.311	-0.358	-0.299	-0.472	-0.298	-0.353	-0.410	-0.403	-0.352	-0.273	-0.363	-0.349	-0.308	-0.309	-0.349	-0.300	-0.352	-0.403	0.772	0.780	0.725	0.784	0.753	0.681	0.768	0.798	0.779	0.797	0.753	0.770	0.663	0.741	0.774	0.787	0.751	0.769	0.714	0.777	0.700	0.727	0.785	0.691	0.838	0.758	0.808	0.707	0.738	0.849	0.807	0.734	-0.020	-0.342	0.759	2016_7_15_15_32_04
F2LS3MG9HFM5____	-0.289	-0.219	-0.289	-0.284	-0.405	-0.404	-0.167	-0.350	-0.324	-0.261	-0.302	-0.287	-0.273	-0.325	-0.278	-0.289	-0.293	-0.286	-0.429	-0.338	-0.314	-0.230	-0.286	-0.422	-0.311	-0.197	-0.346	-0.288	-0.293	-0.293	-0.293	-0.287	-0.079	-0.080	-0.149	-0.027	-0.201	-0.088	-0.142	0.035	-0.079	-0.079	-0.146	-0.080	0.022	-0.146	-0.019	-0.080	-0.192	-0.079	-0.088	0.027	0.049	-0.079	-0.080	0.043	-0.079	-0.136	-0.139	-0.191	0.018	-0.150	-0.024	-0.079	0.023	-0.008	0.002	-0.012	-0.037	-0.053	0.051	-0.048	-0.043	-0.032	-0.003	-0.006	-0.015	-0.012	-0.011	0.023	0.077	0.046	-0.033	-0.042	-0.035	-0.025	-0.006	-0.078	-0.053	0.039	-0.021	0.009	-0.131	0.002	0.040	-0.006	-0.302	-0.079	-0.013	2016_7_15_15_32_07
F2LS3BDVGRXL____	-0.143	-0.185	-0.191	-0.143	-0.077	-0.143	-0.212	-0.057	-0.165	-0.211	-0.159	-0.159	-0.034	-0.100	-0.092	-0.199	-0.159	-0.159	-0.034	-0.115	-0.266	-0.075	-0.165	-0.175	-0.212	-0.269	-0.159	-0.221	-0.042	-0.167	-0.169	-0.275	-0.038	-0.085	-0.067	-0.085	0.027	-0.068	-0.143	-0.076	0.046	-0.024	-0.085	-0.082	-0.078	-0.140	-0.034	-0.034	-0.143	-0.074	0.033	-0.082	-0.202	0.004	-0.140	-0.062	-0.140	-0.080	-0.029	-0.140	-0.073	-0.140	-0.143	-0.085	-0.723	-0.700	-0.739	-0.615	-0.705	-0.599	-0.736	-0.683	-0.744	-0.753	-0.680	-0.625	-0.674	-0.691	-0.703	-0.746	-0.807	-0.784	-0.689	-0.682	-0.749	-0.701	-0.739	-0.732	-0.792	-0.769	-0.798	-0.697	-0.677	-0.673	-0.664	-0.770	-0.154	-0.077	-0.714	2016_7_15_15_32_09
F2LS35BZHFM1____	-0.404	-0.393	-0.344	-0.406	-0.344	-0.390	-0.249	-0.344	-0.344	-0.464	-0.344	-0.446	-0.390	-0.344	-0.425	-0.409	-0.228	-0.344	-0.223	-0.338	-0.344	-0.344	-0.406	-0.344	-0.288	-0.339	-0.344	-0.288	-0.418	-0.342	-0.400	-0.408	0.411	0.421	0.410	0.295	0.410	0.345	0.371	0.485	0.371	0.365	0.371	0.371	0.419	0.483	0.410	0.478	0.370	0.307	0.410	0.478	0.302	0.421	0.350	0.475	0.410	0.474	0.417	0.366	0.307	0.371	0.417	0.477	0.481	0.484	0.387	0.496	0.375	0.387	0.571	0.561	0.543	0.463	0.453	0.469	0.485	0.594	0.430	0.469	0.558	0.443	0.529	0.498	0.450	0.558	0.488	0.497	0.551	0.499	0.560	0.534	0.490	0.534	0.482	0.470	-0.357	0.399	0.493	2016_7_15_15_32_36
F2LS3HZVHFM5____	-1.177	-1.154	-1.034	-1.034	-0.964	-1.088	-1.031	-0.961	-0.981	-1.175	-1.044	-1.034	-1.083	-1.069	-1.031	-1.046	-1.010	-1.034	-1.031	-0.902	-1.031	-1.031	-1.094	-1.054	-0.996	-1.010	-0.966	-0.902	-1.085	-1.146	-1.077	-1.010	0.648	0.655	0.572	0.608	0.654	0.614	0.565	0.565	0.629	0.683	0.565	0.572	0.565	0.569	0.572	0.565	0.704	0.496	0.565	0.647	0.566	0.569	0.565	0.491	0.615	0.572	0.572	0.572	0.618	0.614	0.608	0.719	-0.490	-0.481	-0.337	-0.426	-0.404	-0.449	-0.374	-0.428	-0.408	-0.493	-0.388	-0.465	-0.412	-0.407	-0.328	-0.378	-0.348	-0.411	-0.419	-0.377	-0.491	-0.354	-0.417	-0.416	-0.411	-0.413	-0.365	-0.422	-0.447	-0.473	-0.420	-0.348	-1.040	0.597	-0.412	2016_7_15_15_32_41
