SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3HQHHFM5____	0.016	0.015	0.016	0.016	0.014	0.013	0.014	0.014	0.074	0.016	0.017	0.052	0.049	0.062	0.011	0.020	0.019	0.070	0.018	0.070	-0.008	0.016	0.072	-0.018	-0.004	-0.005	0.058	0.060	0.071	-0.043	0.011	0.073	-0.068	-0.069	-0.035	-0.067	-0.070	-0.070	-0.067	-0.068	0.001	-0.070	-0.068	-0.071	-0.037	-0.032	-0.150	-0.071	-0.070	-0.036	-0.065	-0.076	-0.081	-0.069	-0.077	-0.068	-0.081	-0.080	-0.075	-0.077	-0.082	-0.074	-0.080	-0.076	0.112	0.112	0.107	0.111	0.111	0.111	0.110	0.111	0.122	0.113	0.112	0.126	0.119	0.123	0.122	0.113	0.113	0.126	0.112	0.132	0.105	0.111	0.134	0.099	0.106	0.105	0.128	0.129	0.134	0.090	0.111	0.134	0.027	-0.068	0.116	2016_7_15_16_11_03
F2LS3EKPHFM2____	-0.187	-0.220	-0.220	-0.151	-0.184	-0.185	-0.221	-0.149	-0.253	-0.223	-0.142	-0.155	-0.219	-0.152	-0.139	-0.247	-0.148	-0.203	-0.183	-0.150	-0.190	-0.180	-0.137	-0.186	-0.191	-0.213	-0.192	-0.188	-0.210	-0.212	-0.211	-0.188	-0.047	-0.084	-0.091	-0.084	-0.123	-0.117	-0.084	-0.081	-0.123	-0.092	-0.088	-0.084	-0.090	-0.077	-0.066	-0.120	-0.088	-0.142	-0.118	-0.086	-0.082	-0.120	-0.075	-0.081	-0.087	-0.084	-0.083	-0.081	-0.149	-0.085	-0.082	-0.083	-0.039	-0.045	-0.044	-0.019	-0.025	-0.027	-0.045	-0.019	-0.051	-0.044	-0.015	-0.020	-0.044	-0.021	-0.018	-0.050	-0.018	-0.030	-0.026	-0.019	-0.034	-0.024	-0.016	-0.033	-0.034	-0.043	-0.035	-0.034	-0.031	-0.042	-0.042	-0.034	-0.188	-0.093	-0.032	2016_7_15_16_11_06
F2LS3KLTHFM5____	-0.239	-0.338	-0.274	-0.306	-0.241	-0.241	-0.240	-0.244	-0.243	-0.278	-0.299	-0.279	-0.246	-0.280	-0.247	-0.278	-0.288	-0.233	-0.277	-0.250	-0.277	-0.278	-0.288	-0.280	-0.292	-0.288	-0.281	-0.275	-0.280	-0.218	-0.288	-0.288	-0.098	-0.188	-0.128	-0.158	-0.096	-0.098	-0.127	-0.098	-0.099	-0.125	-0.156	-0.127	-0.093	-0.129	-0.097	-0.125	-0.141	-0.078	-0.130	-0.104	-0.131	-0.127	-0.211	-0.101	-0.131	-0.141	-0.100	-0.131	-0.102	-0.071	-0.141	-0.071	-0.070	-0.092	-0.079	-0.085	-0.071	-0.071	-0.065	-0.071	-0.072	-0.080	-0.084	-0.080	-0.073	-0.081	-0.073	-0.081	-0.082	-0.071	-0.080	-0.074	-0.079	-0.080	-0.071	-0.085	-0.085	-0.082	-0.086	-0.078	-0.085	-0.066	-0.082	-0.092	-0.270	-0.120	-0.078	2016_7_15_16_11_09
F2LS3SMLHFM5____	0.165	0.196	0.197	0.200	0.165	0.198	0.197	0.165	0.197	0.199	0.191	0.193	0.196	0.194	0.193	0.193	0.167	0.195	0.196	0.165	0.196	0.196	0.203	0.162	0.201	0.202	0.199	0.197	0.202	0.196	0.200	0.198	-0.220	-0.190	-0.187	-0.224	-0.217	-0.187	-0.189	-0.218	-0.191	-0.191	-0.185	-0.187	-0.186	-0.185	-0.185	-0.181	-0.207	-0.190	-0.189	-0.217	-0.188	-0.186	-0.219	-0.184	-0.219	-0.219	-0.221	-0.181	-0.216	-0.188	-0.225	-0.183	-0.399	-0.392	-0.392	-0.385	-0.399	-0.392	-0.392	-0.399	-0.392	-0.391	-0.394	-0.394	-0.393	-0.394	-0.394	-0.395	-0.401	-0.392	-0.392	-0.400	-0.393	-0.393	-0.385	-0.406	-0.386	-0.386	-0.388	-0.394	-0.387	-0.393	-0.386	-0.393	0.191	-0.199	-0.393	2016_7_15_16_11_12
F2LS3TKDHFM5____	0.063	0.060	0.059	0.059	0.060	0.059	0.062	0.063	0.059	0.092	0.007	0.007	0.004	0.060	0.006	0.000	0.062	0.007	0.058	0.003	0.024	0.000	0.070	0.065	0.021	0.058	0.006	0.088	0.070	0.058	0.070	0.000	-0.197	-0.251	-0.250	-0.251	-0.195	-0.217	-0.249	-0.252	-0.252	-0.221	-0.262	-0.261	-0.261	-0.219	-0.265	-0.280	-0.226	-0.259	-0.207	-0.226	-0.220	-0.210	-0.210	-0.209	-0.223	-0.211	-0.224	-0.208	-0.210	-0.211	-0.210	-0.210	0.771	0.779	0.778	0.778	0.770	0.773	0.779	0.779	0.779	0.786	0.760	0.760	0.759	0.773	0.760	0.761	0.774	0.759	0.771	0.753	0.759	0.750	0.775	0.773	0.760	0.771	0.754	0.782	0.775	0.771	0.775	0.749	0.043	-0.230	0.769	2016_7_15_16_11_15
F2LS38TUGRXL____	-0.126	-0.125	-0.130	-0.127	-0.126	-0.124	-0.129	-0.130	-0.124	-0.125	-0.127	-0.129	-0.126	-0.127	-0.125	-0.120	-0.126	-0.160	-0.125	-0.097	-0.126	-0.127	-0.137	-0.122	-0.124	-0.131	-0.126	-0.130	-0.132	-0.130	-0.095	-0.131	0.007	-0.023	0.008	0.010	0.043	-0.021	0.010	0.044	-0.025	0.008	-0.024	0.008	0.010	0.010	0.009	-0.022	0.007	-0.025	0.004	0.004	-0.024	0.008	-0.006	-0.023	-0.026	-0.039	-0.025	0.007	0.007	0.008	0.004	0.008	-0.214	-0.209	-0.216	-0.215	-0.219	-0.209	-0.215	-0.221	-0.209	-0.213	-0.209	-0.215	-0.214	-0.215	-0.213	-0.207	-0.214	-0.222	-0.214	-0.202	-0.209	-0.214	-0.216	-0.208	-0.208	-0.209	-0.209	-0.215	-0.216	-0.216	-0.201	-0.216	-0.126	-0.002	-0.213	2016_7_15_16_11_18
F2LS3MG9HFM5____	0.295	0.362	0.397	0.407	0.362	0.401	0.400	0.401	0.362	0.408	0.402	0.341	0.404	0.400	0.343	0.400	0.399	0.411	0.405	0.341	0.364	0.406	0.411	0.411	0.411	0.341	0.427	0.346	0.411	0.402	0.411	0.411	-0.279	-0.225	-0.227	-0.167	-0.220	-0.226	-0.227	-0.225	-0.222	-0.227	-0.223	-0.219	-0.226	-0.226	-0.281	-0.239	-0.208	-0.219	-0.202	-0.219	-0.213	-0.164	-0.219	-0.219	-0.219	-0.219	-0.198	-0.272	-0.219	-0.205	-0.219	-0.219	0.252	0.268	0.282	0.276	0.268	0.283	0.282	0.282	0.268	0.286	0.282	0.259	0.283	0.282	0.269	0.284	0.279	0.285	0.281	0.258	0.267	0.276	0.285	0.285	0.284	0.259	0.288	0.269	0.285	0.279	0.284	0.285	0.387	-0.222	0.277	2016_7_15_16_11_21
F2LS3BDVGRXL____	0.210	0.208	0.209	0.210	0.211	0.212	0.211	0.208	0.209	0.209	0.177	0.247	0.212	0.245	0.210	0.212	0.214	0.213	0.211	0.214	0.252	0.208	0.278	0.213	0.215	0.214	0.216	0.214	0.216	0.214	0.213	0.210	-0.362	-0.359	-0.360	-0.360	-0.363	-0.361	-0.359	-0.360	-0.362	-0.361	-0.355	-0.359	-0.361	-0.366	-0.361	-0.358	-0.360	-0.363	-0.361	-0.360	-0.367	-0.361	-0.362	-0.361	-0.365	-0.364	-0.365	-0.362	-0.362	-0.359	-0.364	-0.363	-0.536	-0.537	-0.536	-0.536	-0.536	-0.537	-0.536	-0.538	-0.537	-0.536	-0.550	-0.524	-0.537	-0.524	-0.538	-0.537	-0.537	-0.537	-0.537	-0.537	-0.521	-0.537	-0.513	-0.537	-0.535	-0.536	-0.535	-0.537	-0.536	-0.537	-0.537	-0.538	0.216	-0.361	-0.535	2016_7_15_16_11_25
F2LS35BZHFM1____	-0.404	-0.404	-0.403	-0.403	-0.371	-0.369	-0.408	-0.403	-0.404	-0.402	-0.407	-0.424	-0.427	-0.459	-0.391	-0.404	-0.404	-0.462	-0.406	-0.430	-0.404	-0.461	-0.404	-0.467	-0.404	-0.404	-0.411	-0.415	-0.422	-0.352	-0.404	-0.404	-0.209	-0.210	-0.209	-0.209	-0.215	-0.212	-0.211	-0.210	-0.244	-0.210	-0.214	-0.219	-0.221	-0.255	-0.198	-0.208	-0.278	-0.222	-0.216	-0.220	-0.208	-0.253	-0.208	-0.253	-0.208	-0.208	-0.216	-0.217	-0.221	-0.209	-0.208	-0.208	0.584	0.585	0.585	0.585	0.598	0.599	0.583	0.585	0.590	0.585	0.584	0.580	0.578	0.571	0.588	0.585	0.594	0.564	0.584	0.576	0.583	0.571	0.584	0.568	0.583	0.584	0.582	0.581	0.579	0.603	0.584	0.583	-0.410	-0.219	0.583	2016_7_15_16_11_27
F2LS3HZVHFM5____	-0.874	-0.834	-0.873	-0.837	-0.878	-0.836	-0.873	-0.841	-0.872	-0.873	-0.915	-0.879	-0.875	-0.881	-0.876	-0.840	-0.878	-0.878	-0.879	-0.839	-0.840	-0.872	-0.844	-0.875	-0.880	-0.952	-0.882	-0.848	-0.847	-0.877	-0.875	-0.878	-0.058	-0.061	-0.060	-0.062	-0.074	-0.059	-0.062	-0.064	-0.058	-0.057	-0.061	-0.061	-0.060	-0.062	-0.063	-0.076	-0.070	-0.073	-0.077	-0.064	-0.069	-0.062	-0.068	-0.066	-0.064	-0.074	-0.065	-0.069	-0.070	-0.066	-0.067	-0.064	-0.237	-0.222	-0.236	-0.222	-0.236	-0.223	-0.235	-0.223	-0.236	-0.235	-0.251	-0.238	-0.236	-0.238	-0.237	-0.222	-0.237	-0.236	-0.237	-0.222	-0.223	-0.235	-0.224	-0.236	-0.238	-0.263	-0.239	-0.226	-0.225	-0.237	-0.236	-0.237	-0.869	-0.065	-0.234	2016_7_15_16_11_30
