,Distance_X_LOGO_Earphone_RU1,Distance_X_LOGO_Earphone_RU2,Distance_X_LOGO_Earphone_RU3,Distance_X_LOGO_Earphone_RU4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Earphone_RU1,Distance_Y_LOGO_Earphone_RU2,Distance_Y_LOGO_Earphone_RU3,Distance_Y_LOGO_Earphone_RU4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Earphone_RU1,Angle_Earphone_RU2,Angle_Earphone_RU3,Angle_Earphone_RU4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-36.0579622836,-35.9599515135,-35.9229474473,-35.9229474473,-35.9229474473,-35.9219473374,-35.8789426118,-35.964952063,-35.8429386554,-35.9229474473,-35.9169467879,-35.9229474473,-35.8049344793,-35.9999559095,-35.8789426118,-35.8429386554,-35.8819429415,-35.8879436008,-35.8799427217,-35.8799427217,-35.9249476671,-35.8429386554,-35.915946678,-35.9249476671,-35.9249476671,-35.9239475572,-35.964952063,-35.8799427217,-35.9249476671,-35.9249476671,-35.8289371168,-35.9599515135,140.118063299,140.156074981,140.187084511,140.187084511,140.187084511,140.222095272,140.158075596,140.187084511,140.157075289,140.187084511,140.123064836,140.187084511,140.188084819,140.223095579,140.188084819,140.185083897,140.088054076,140.188084819,140.220094657,140.220094657,140.155074674,140.185083897,140.188084819,140.124065143,140.155074674,140.123064836,140.152073751,140.188084819,140.155074674,140.153074059,140.157075289,140.192086049,104.539,104.498,104.48,104.48,104.48,104.476,104.466,104.497,104.452,104.48,104.484,104.48,104.435,104.506,104.463,104.45,104.474,104.467,104.461,104.461,104.484,104.45,104.477,104.488,104.484,104.487,104.5,104.464,104.484,104.484,104.447,104.494
FLQS30KBGRWV,-36.3776226815,-36.2785092776,-36.2414668943,-36.2414668943,-36.2414668943,-36.2424680398,-36.196415347,-36.287519587,-36.1613752547,-36.2414668943,-36.2324565848,-36.2414668943,-36.1613752547,-36.3225596793,-36.1974164925,-36.1603741092,-36.1954142015,-36.2054256565,-36.194413056,-36.194413056,-36.2424680398,-36.1603741092,-36.2324565848,-36.2414668943,-36.2424680398,-36.2434691853,-36.2885207325,-36.1954142015,-36.2424680398,-36.2434691853,-36.1443557813,-36.2805115686,139.98529336,140.024290099,140.056287423,140.056287423,140.056287423,140.058287256,140.030289597,140.055287506,140.031289513,140.056287423,139.992292775,140.056287423,140.068286419,140.091284496,140.067286503,140.064286754,139.958295618,140.059287172,140.097283994,140.097283994,140.023290182,140.064286754,140.064286754,139.986293276,140.023290182,139.987293193,140.02129035,140.06528667,140.023290182,139.986293276,140.026289931,140.060287088,104.566,104.524,104.507,104.507,104.507,104.507,104.492,104.525,104.479,104.507,104.51,104.507,104.475,104.535,104.489,104.475,104.499,104.493,104.485,104.485,104.511,104.475,104.503,104.514,104.511,104.514,104.528,104.489,104.511,104.515,104.473,104.521
FLQS30CWGRWV,-36.1904924022,-36.0934615898,-36.0574501542,-36.0574501542,-36.0574501542,-36.0584504719,-35.9734234713,-36.0624517425,-35.9354114004,-36.0574501542,-35.9884282361,-36.0574501542,-35.9344110828,-36.0974628604,-35.9734234713,-35.9764244242,-35.9534171182,-36.0244396716,-35.9734234713,-35.9734234713,-36.0574501542,-35.9764244242,-36.0104352245,-36.0584504719,-36.0574501542,-36.0564498366,-36.0584504719,-36.0144364951,-36.0574501542,-36.0574501542,-35.9884282361,-36.0924612721,139.967016921,140.015026531,140.049033338,140.049033338,140.049033338,140.084040346,140.017026932,140.046032738,140.049033338,140.049033338,139.969017322,140.049033338,140.088041147,140.081039745,140.088041147,140.051033739,139.934010315,140.050033539,140.122047954,140.122047954,140.013026131,140.051033739,140.050033539,139.977018923,140.013026131,139.977018923,140.047032938,140.052033939,140.013026131,140.013026131,140.004024329,140.05403434,104.354,104.311,104.294,104.294,104.294,104.291,104.265,104.296,104.248,104.294,104.276,104.294,104.243,104.307,104.258,104.263,104.266,104.281,104.255,104.255,104.298,104.263,104.276,104.302,104.298,104.301,104.295,104.278,104.298,104.298,104.272,104.307
FLQS30C7GRWV,-36.2819715545,-36.1747825613,-36.1397207411,-36.1397207411,-36.1397207411,-36.1387189748,-36.0926377254,-36.1817949254,-36.0565741389,-36.1397207411,-36.1307048445,-36.1397207411,-36.0565741389,-36.2188602782,-36.0936394917,-36.0565741389,-36.094641258,-36.1056606872,-36.0936394917,-36.0936394917,-36.1397207411,-36.0565741389,-36.1287013119,-36.1407225074,-36.1397207411,-36.1387189748,-36.1817949254,-36.0936394917,-36.1397207411,-36.1397207411,-36.0475582423,-36.173780795,139.998099239,140.041101727,140.077103809,140.077103809,140.077103809,140.112105834,140.042101784,140.076103752,140.042101784,140.077103809,140.008099817,140.077103809,140.080103983,140.111105776,140.079103925,140.076103752,139.975097908,140.078103867,140.11410595,140.11410595,140.040101669,140.076103752,140.078103867,140.004099586,140.040101669,140.004099586,140.039101611,140.077103809,140.040101669,140.041101727,140.049102189,140.079103925,104.425,104.38,104.362,104.362,104.362,104.358,104.348,104.379,104.334,104.362,104.366,104.362,104.33,104.389,104.345,104.331,104.355,104.349,104.341,104.341,104.366,104.331,104.358,104.37,104.366,104.369,104.382,104.345,104.366,104.366,104.33,104.375
FLQS29JFGRX5,-36.2729384276,-36.2529401155,-36.1459491459,-36.1459491459,-36.1459491459,-36.1449492303,-36.1069524374,-36.1839459389,-36.0709554757,-36.1459491459,-36.1439493147,-36.1459491459,-36.0709554757,-36.2199429006,-36.1069524374,-36.0709554757,-36.1089522686,-36.1099521842,-36.1069524374,-36.1069524374,-36.1449492303,-36.0709554757,-36.1429493991,-36.1829460233,-36.1449492303,-36.1459491459,-36.1839459389,-36.107952353,-36.1449492303,-36.1819461077,-36.0969532814,-36.2199429006,140.00604125,140.022042511,140.051044799,140.051044799,140.051044799,140.118050083,140.042044089,140.084047401,140.043044168,140.051044799,140.011041644,140.051044799,140.083047322,140.119050162,140.079047007,140.077046849,139.973038647,140.082047244,140.113049689,140.113049689,140.046044404,140.077046849,140.080047086,139.983039436,140.046044404,139.978039041,140.048044562,140.077046849,140.046044404,140.019042275,140.020042354,140.091047953,104.401,104.391,104.348,104.348,104.348,104.341,104.333,104.359,104.32,104.348,104.351,104.348,104.316,104.369,104.33,104.316,104.341,104.331,104.327,104.327,104.348,104.316,104.343,104.368,104.348,104.355,104.362,104.331,104.348,104.365,104.332,104.372
FLQS22XEGRX2,-36.1262885205,-36.0372951999,-36.0012979017,-36.0012979017,-36.0012979017,-36.0332955001,-35.995298352,-36.0412948997,-35.9283033804,-36.0012979017,-36.0002979768,-36.0012979017,-35.9283033804,-36.075292348,-35.996298277,-35.9283033804,-35.9643006786,-35.9683003784,-35.9623008287,-35.9623008287,-36.0032977516,-35.9283033804,-35.9992980518,-36.0032977516,-36.0032977516,-36.0032977516,-36.0402949748,-35.9663005285,-36.0032977516,-36.0022978267,-35.9253036055,-36.0382951249,139.976311854,140.021307776,140.057304513,140.057304513,140.057304513,140.091301431,140.022307685,140.057304513,140.021307776,140.057304513,139.987310857,140.057304513,140.059304331,140.09230134,140.060304241,140.055304694,139.95131412,140.057304513,140.09230134,140.09230134,140.020307866,140.055304694,140.057304513,139.985311039,140.020307866,139.985311039,140.020307866,140.056304603,140.020307866,140.022307685,140.024307504,140.058304422,104.321,104.283,104.265,104.265,104.265,104.274,104.266,104.28,104.241,104.265,104.272,104.265,104.237,104.29,104.263,104.237,104.261,104.252,104.247,104.247,104.269,104.237,104.264,104.273,104.269,104.273,104.284,104.252,104.269,104.269,104.239,104.279
FLQS22TQGRX2,-36.4042434469,-36.314210694,-36.2791979568,-36.2791979568,-36.2791979568,-36.2421844917,-36.1971681153,-36.2811986847,-36.163155742,-36.2791979568,-36.2331812164,-36.2791979568,-36.163155742,-36.3172117858,-36.1991688431,-36.163155742,-36.1981684792,-36.2071717545,-36.1991688431,-36.1991688431,-36.2801983207,-36.163155742,-36.2331812164,-36.2421844917,-36.2801983207,-36.2421844917,-36.2801983207,-36.1991688431,-36.2801983207,-36.2801983207,-36.1531521028,-36.315211058,139.939830844,139.977826997,140.01582315,140.01582315,140.01582315,140.050819606,139.976827098,140.049819707,140.008823858,140.01582315,139.94283054,140.01582315,140.014823251,140.081816468,140.050819606,140.044820214,139.906834185,140.013823352,140.050819606,140.050819606,139.980826693,140.044820214,140.016823048,139.94283054,139.980826693,139.939830844,140.012823453,140.011823555,139.980826693,139.980826693,139.982826491,140.052819404,104.436,104.398,104.381,104.381,104.381,104.363,104.353,104.378,104.337,104.381,104.371,104.381,104.336,104.389,104.347,104.333,104.36,104.353,104.346,104.346,104.385,104.333,104.363,104.374,104.385,104.374,104.382,104.35,104.385,104.384,104.336,104.391
FLQS21YXGRX2,-36.0714177415,-35.9444479506,-35.9104560381,-35.9104560381,-35.9104560381,-35.9464474749,-35.9044574653,-35.9864379602,-35.8704655528,-35.9104560381,-35.9034577032,-35.9104560381,-35.8674662664,-35.9854381981,-35.9074567517,-35.8684660286,-35.8684660286,-35.8754643635,-35.9044574653,-35.9044574653,-35.9104560381,-35.8684660286,-35.9034577032,-35.9104560381,-35.9104560381,-35.909456276,-35.9484469992,-35.9074567517,-35.9104560381,-35.9104560381,-35.8224769705,-35.9434481885,139.982848438,140.026844305,140.061841017,140.061841017,140.061841017,140.095837823,140.061841017,140.060841111,140.032843741,140.061841017,139.992847499,140.061841017,140.064840735,140.128834723,140.097837635,140.061841017,139.958850693,140.096837729,140.095837823,140.095837823,140.025844399,140.061841017,140.061841017,140.022844681,140.025844399,139.990847687,140.056841486,140.096837729,140.025844399,140.026844305,140.029844023,140.097837635,104.586,104.533,104.517,104.517,104.517,104.527,104.514,104.546,104.504,104.517,104.521,104.517,104.5,104.539,104.512,104.5,104.511,104.5,104.511,104.511,104.52,104.5,104.514,104.52,104.52,104.523,104.532,104.512,104.52,104.52,104.486,104.526
FLQS2AVTGRX5,-36.251734922,-36.1057400168,-36.0707412382,-36.0707412382,-36.0707412382,-36.0707412382,-36.0247428434,-36.1577382022,-35.9887440996,-36.0707412382,-36.0627415173,-36.0707412382,-35.9877441345,-36.1507384465,-36.0257428085,-35.9877441345,-36.0257428085,-36.0347424944,-36.0247428434,-36.0247428434,-36.0707412382,-35.9877441345,-36.059741622,-36.0717412033,-36.0707412382,-36.0707412382,-36.1577382022,-36.0257428085,-36.0707412382,-36.0717412033,-35.972744658,-36.1057400168,139.982007481,140.058011285,140.091012937,140.091012937,140.091012937,140.12801479,140.060011385,140.090012887,140.060011385,140.091012937,140.025009633,140.091012937,140.098013288,140.124014589,140.095013138,140.093013037,139.989007831,140.094013088,140.091012937,140.091012937,140.058011285,140.093013037,140.094013088,140.022009483,140.058011285,140.022009483,140.054011085,140.095013138,140.058011285,140.057011235,140.060011385,140.095013138,104.434,104.37,104.353,104.353,104.353,104.35,104.339,104.387,104.325,104.353,104.357,104.353,104.321,104.381,104.336,104.322,104.346,104.34,104.336,104.336,104.357,104.322,104.349,104.361,104.357,104.36,104.391,104.336,104.357,104.357,104.319,104.367
FLQS3087GRWV,-36.2380911453,-36.1435980784,-36.0661941832,-36.0661941832,-36.0661941832,-36.1074092443,-36.0561417293,-36.1094197351,-35.9827588156,-36.0661941832,-36.0933358088,-36.0661941832,-36.0219633859,-36.1858183849,-36.0199528951,-36.0219633859,-36.0571469747,-36.0722256555,-36.0581522201,-36.0581522201,-36.0661941832,-36.0219633859,-36.0933358088,-36.0671994286,-36.0661941832,-36.0641836924,-36.1898393664,-36.0591574654,-36.0661941832,-36.0671994286,-36.0078899504,-36.142592833,139.999039103,140.044040401,140.08004144,140.08004144,140.08004144,140.112042363,140.052040632,140.078041382,140.046040459,140.08004144,140.009039391,140.08004144,140.083041526,140.112042363,140.082041497,140.079041411,139.977038468,140.08004144,140.115042449,140.115042449,140.046040459,140.079041411,140.081041468,140.011039449,140.046040459,140.011039449,140.046040459,140.083041526,140.046040459,140.046040459,140.051040603,140.08004144,104.323,104.282,104.249,104.249,104.249,104.262,104.248,104.266,104.221,104.249,104.266,104.249,104.232,104.291,104.231,104.232,104.256,104.252,104.243,104.243,104.252,104.232,104.259,104.256,104.252,104.255,104.299,104.246,104.252,104.253,104.23,104.278
