,Distance_X_LOGO_MainBoard_LU1,Distance_X_LOGO_MainBoard_LU2,Distance_X_LOGO_MainBoard_LU3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_LU1,Distance_Y_LOGO_MainBoard_LU2,Distance_Y_LOGO_MainBoard_LU3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_LU1,Angle_MainBoard_LU2,Angle_MainBoard_LU3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-30.5169452675,-30.4569375096,-30.4559373803,-30.2269077711,-30.4529369924,-30.4539371217,-30.5239461726,-30.4229331135,-30.5269465605,-30.4909419058,-30.4559373803,-30.4569375096,-30.3529240626,-30.5199456554,-30.6269594903,-30.595955482,-30.4539371217,-30.4909419058,-30.5619510859,-30.5609509566,-30.2329085469,-30.4909419058,-30.5629512152,-30.4899417765,-30.4049307861,-30.4569375096,-30.4429356995,-30.2039047973,-30.4769400956,-30.4889416472,-30.5609509566,-30.5939552234,131.370339594,131.553388836,131.413351164,131.365338249,131.412350895,131.343332329,131.589398522,131.623407671,131.378341747,131.413351164,131.485370538,131.62440794,131.517379149,131.449360851,131.587397984,131.412350895,131.48337,131.518379418,131.623407671,131.553388836,131.578395563,131.553388836,131.518379418,131.449360851,131.469366233,131.554389105,131.644413322,131.54838749,131.64641386,131.552388566,131.448360582,131.587397984,103.184,103.142,103.155,103.065,103.154,103.161,103.166,103.121,103.188,103.169,103.148,103.135,103.102,103.178,103.209,103.213,103.148,103.159,103.179,103.185,103.047,103.156,103.189,103.166,103.128,103.142,103.128,103.038,103.141,103.155,103.195,103.196
FLQS30KBGRWV,-30.8424942972,-30.7834263204,-30.8104574284,-30.5831958903,-30.7834263204,-30.8154631892,-30.8855438397,-30.7513894516,-30.8535069709,-30.8154631892,-30.7814240161,-30.7844274725,-30.6763030403,-30.8855438397,-30.9866602069,-30.9546233381,-30.8134608849,-30.847500058,-30.9195830128,-30.9175807085,-30.5892028032,-30.8184666456,-30.9225864693,-30.8164643413,-30.7583975166,-30.7854286247,-30.8064528198,-30.5271313699,-30.7994447548,-30.8495023623,-30.9165795564,-30.9536221859,131.156364111,131.3713434,131.23235679,131.18336151,131.23235679,131.128366808,131.409339739,131.444336367,131.199359969,131.234356597,131.302350047,131.443336464,131.338346579,131.265353611,131.408339835,131.233356693,131.302350047,131.340346386,131.44233656,131.3713434,131.361344363,131.373343207,131.338346579,131.268353322,131.290351203,131.373343207,131.464334441,131.360344459,131.499331069,131.374343111,131.268353322,131.405340124,103.233,103.188,103.213,103.124,103.201,103.225,103.227,103.168,103.234,103.215,103.194,103.182,103.147,103.241,103.269,103.272,103.207,103.218,103.238,103.244,103.109,103.203,103.249,103.212,103.186,103.189,103.189,103.083,103.183,103.215,103.253,103.255
FLQS30CWGRWV,-30.6465731466,-30.5895553358,-30.5875547109,-30.3554822178,-30.585554086,-30.5875547109,-30.6575765838,-30.5555447119,-30.6585768963,-30.6215653349,-30.585554086,-30.5865543984,-30.4825219015,-30.6545756464,-30.7626093932,-30.7275984567,-30.5865543984,-30.6205650224,-30.6945881452,-30.6935878327,-30.332475031,-30.6215653349,-30.6945881452,-30.6205650224,-30.53453815,-30.5875547109,-30.6085612728,-30.3024656569,-30.5775515862,-30.6215653349,-30.6915872078,-30.7295990817,131.255608943,131.439640642,131.325621002,131.274612216,131.327621347,131.230604636,131.502651496,131.509652702,131.264610493,131.301616868,131.371628927,131.510652874,131.401634096,131.335622725,131.474646672,131.299616523,131.397633407,131.433639609,131.50865253,131.439640642,131.461644433,131.439640642,131.404634613,131.335622725,131.379630306,131.440640815,131.528655975,131.461644433,131.557660972,131.43864047,131.362627377,131.4736465,102.999,102.957,102.967,102.876,102.967,102.977,102.979,102.937,103.003,102.984,102.962,102.949,102.917,102.994,103.026,103.028,102.96,102.971,102.994,103.0,102.849,102.971,103.004,102.98,102.94,102.956,102.957,102.837,102.941,102.971,103.007,103.012
FLQS30C7GRWV,-30.7738023431,-30.7167062317,-30.7157045456,-30.4843150416,-30.7126994871,-30.7126994871,-30.7838192048,-30.6786421575,-30.7858225771,-30.7467568167,-30.7137011732,-30.7157045456,-30.6095258121,-30.7808141463,-30.8869928797,-30.8539372363,-30.7157045456,-30.7477585028,-30.8188782205,-30.8178765343,-30.4853167278,-30.7497618752,-30.8198799067,-30.7477585028,-30.6596101204,-30.7177079179,-30.7377416412,-30.4572695152,-30.7337348965,-30.7477585028,-30.8168748482,-30.8549389224,131.17949126,131.398505437,131.224494173,131.206493008,131.226494303,131.154489642,131.434507768,131.470510098,131.188491843,131.259496439,131.328500906,131.470510098,131.363503172,131.258496374,131.435507832,131.260496504,131.294498705,131.330501035,131.468509969,131.397505373,131.384504531,131.398505437,131.364503236,131.294498705,131.3145,131.399505502,131.495511716,131.385504596,131.493511587,131.401505631,131.294498705,131.398505437,103.101,103.056,103.073,102.979,103.072,103.078,103.08,103.034,103.105,103.082,103.062,103.049,103.015,103.096,103.123,103.127,103.066,103.076,103.092,103.098,102.962,103.07,103.102,103.079,103.041,103.057,103.056,102.95,103.054,103.069,103.108,103.113
FLQS29JFGRX5,-30.6538668637,-30.5958708996,-30.5918711779,-30.3648869732,-30.5928711083,-30.5938710387,-30.6648660983,-30.5628731958,-30.6658660288,-30.6288686033,-30.5918711779,-30.5948709691,-30.4888783449,-30.6618663071,-30.7678589313,-30.7368610884,-30.5898713171,-30.6288686033,-30.7018635238,-30.6998636629,-30.3708865557,-30.6288686033,-30.7028634542,-30.6278686729,-30.5718725696,-30.5958708996,-30.6178693687,-30.3408886432,-30.5838717346,-30.6288686033,-30.7008635933,-30.7348612275,131.262493851,131.47351072,131.332499447,131.285495689,131.333499527,131.26549409,131.509513599,131.543516317,131.300496889,131.335499687,131.405505284,131.544516397,131.438507922,131.370502485,131.509513599,131.333499527,131.405505284,131.440508082,131.543516317,131.47351072,131.467510241,131.47551088,131.439508002,131.370502485,131.390504084,131.4745108,131.564517996,131.467510241,131.566518156,131.47351072,131.369502405,131.507513439,103.021,102.976,102.988,102.898,102.988,102.995,103.001,102.956,103.022,103.003,102.981,102.969,102.935,103.013,103.044,103.048,102.98,102.993,103.013,103.019,102.883,102.99,103.023,102.999,102.974,102.976,102.976,102.871,102.962,102.99,103.03,103.03
FLQS22XEGRX2,-30.7153366975,-30.6553399464,-30.6563398923,-30.4243524549,-30.6573398381,-30.6573398381,-30.725336156,-30.624341625,-30.7293359394,-30.6903380512,-30.6553399464,-30.6563398923,-30.5493456862,-30.7223363184,-30.8283305786,-30.7993321489,-30.6543400006,-30.6903380512,-30.7603342607,-30.7613342066,-30.4373517509,-30.691337997,-30.7603342607,-30.691337997,-30.638340867,-30.6553399464,-30.6773387551,-30.4003537545,-30.6743389176,-30.6903380512,-30.7613342066,-30.7943324197,131.296002705,131.510981423,131.36999538,131.320000329,131.342998053,131.30100221,131.519980533,131.552977266,131.334998844,131.370995281,131.440988352,131.579974594,131.472985185,131.376994687,131.544978058,131.368995479,131.439988451,131.475984888,131.552977266,131.509981522,131.503982116,131.484983997,131.44898756,131.406991718,131.424989936,131.509981522,131.573975188,131.504982017,131.601972416,131.480984393,131.403992015,131.515980929,103.016,102.971,102.984,102.893,102.987,102.992,102.998,102.954,103.018,102.999,102.977,102.964,102.93,103.011,103.039,103.044,102.977,102.988,103.01,103.015,102.881,102.988,103.02,102.995,102.972,102.971,102.974,102.866,102.969,102.988,103.024,103.027
FLQS22TQGRX2,-30.8758265347,-30.8108037346,-30.8088030331,-30.586725162,-30.8098033839,-30.8118040854,-30.8808282886,-30.77879251,-30.8838293409,-30.8458160116,-30.8108037346,-30.8128044362,-30.7057669037,-30.8808282886,-30.9858651195,-30.9548542456,-30.8088030331,-30.8468163624,-30.9178412671,-30.9158405656,-30.5937276174,-30.8468163624,-30.9188416179,-30.8458160116,-30.7607861961,-30.8118040854,-30.80480163,-30.560716042,-30.8338118024,-30.8468163624,-30.9178412671,-30.9518531933,131.236125588,131.450101335,131.310117201,131.260122868,131.309117315,131.240125134,131.485097369,131.520093402,131.275121168,131.310117201,131.380109268,131.520093402,131.413105529,131.344113348,131.484097482,131.310117201,131.380109268,131.416105189,131.519093516,131.448101562,131.440102469,131.450101335,131.415105302,131.345113235,131.365110968,131.450101335,131.540091136,131.440102469,131.573087396,131.449101449,131.344113348,131.483097596,103.094,103.047,103.059,102.972,103.06,103.067,103.072,103.027,103.094,103.075,103.053,103.04,103.007,103.086,103.115,103.12,103.052,103.065,103.084,103.09,102.958,103.062,103.095,103.071,103.034,103.047,103.035,102.944,103.044,103.062,103.101,103.101
FLQS21YXGRX2,-30.5071640228,-30.4751711917,-30.4721718638,-30.24722227,-30.4721718638,-30.4731716398,-30.5461552858,-30.4431783606,-30.5471550617,-30.5081637988,-30.4731716398,-30.4751711917,-30.3671953867,-30.5441557338,-30.6181391558,-30.6181391558,-30.4771707437,-30.5091635748,-30.5811474448,-30.5821472208,-30.2192285428,-30.5101633508,-30.5511541656,-30.5101633508,-30.4211832892,-30.4751711917,-30.467172984,-30.1892352636,-30.4681727599,-30.5101633508,-30.5821472208,-30.6151398279,131.271488896,131.449469222,131.309484696,131.292486575,131.311484475,131.241492212,131.486465132,131.523461043,131.275488454,131.312484365,131.381476738,131.521461264,131.41547298,131.344480828,131.486465132,131.311484475,131.381476738,131.416472869,131.520461374,131.449469222,131.473466569,131.450469111,131.416472869,131.346480607,131.397474969,131.45246889,131.542458943,131.473466569,131.575455295,131.45246889,131.346480607,131.484465353,103.219,103.188,103.201,103.109,103.201,103.208,103.215,103.168,103.235,103.215,103.194,103.182,103.147,103.227,103.244,103.261,103.196,103.206,103.226,103.233,103.08,103.203,103.223,103.213,103.171,103.188,103.176,103.068,103.174,103.203,103.243,103.243
FLQS2AVTGRX5,-30.7107276601,-30.6477302701,-30.6497301872,-30.4147399228,-30.6447303944,-30.6437304358,-30.7147274944,-30.6187314715,-30.7187273287,-30.6817288615,-30.6447303944,-30.6437304358,-30.5407347029,-30.7137275358,-30.8177232273,-30.7867245116,-30.6407305601,-30.6787289858,-30.750726003,-30.7527259201,-30.4267394257,-30.680728903,-30.7537258787,-30.6797289444,-30.5987323001,-30.645730353,-30.6357307672,-30.3647419942,-30.6327308915,-30.6817288615,-30.7517259616,-30.785724553,131.222440602,131.407451092,131.266443097,131.244441849,131.266443097,131.198439241,131.442453077,131.475454948,131.231441112,131.26844321,131.339447236,131.477455062,131.370448994,131.302445138,131.440452964,131.266443097,131.337447123,131.372449108,131.476455005,131.406451036,131.428452283,131.408451149,131.371449051,131.303445195,131.34744769,131.408451149,131.498456253,131.427452226,131.527457897,131.405450979,131.301445082,131.44145302,103.087,103.043,103.057,102.962,103.056,103.062,103.067,103.025,103.089,103.07,103.049,103.034,103.003,103.08,103.11,103.114,103.047,103.059,103.079,103.086,102.95,103.057,103.09,103.066,103.028,103.042,103.029,102.924,103.025,103.057,103.096,103.097
FLQS3087GRWV,-30.6282831296,-30.5659528744,-30.5981233287,-30.3598609017,-30.5941020219,-30.5629368943,-30.6674908707,-30.563942221,-30.666485544,-30.630293783,-30.5930966952,-30.5941020219,-30.4885427188,-30.6312991097,-30.769028867,-30.7388690662,-30.5599209142,-30.6282831296,-30.699661325,-30.7046879585,-30.3447810012,-30.6323044364,-30.7036826318,-30.630293783,-30.5458463405,-30.5649475477,-30.5900807151,-30.3105998935,-30.5840487549,-30.5961126753,-30.699661325,-30.7358530861,131.452798063,131.669805984,131.526800764,131.478799012,131.5278008,131.459798318,131.702807188,131.736808429,131.492799523,131.528800837,131.600803465,131.738808502,131.631804597,131.562802078,131.700807115,131.525800727,131.598803392,131.632804633,131.735808393,131.666805874,131.662805728,131.668805947,131.632804633,131.536801129,131.581802771,131.67080602,131.759809269,131.69380686,131.794810546,131.664805801,131.561802041,131.701807152,102.932,102.886,102.912,102.819,102.91,102.904,102.924,102.878,102.944,102.925,102.903,102.89,102.857,102.923,102.966,102.97,102.89,102.914,102.934,102.943,102.795,102.913,102.946,102.925,102.886,102.885,102.887,102.778,102.881,102.898,102.951,102.952
