,Distance_X_LOGO_Nfc_Up1,Distance_X_LOGO_Nfc_Up2,Distance_X_LOGO_Nfc_Up3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Nfc_Up1,Distance_Y_LOGO_Nfc_Up2,Distance_Y_LOGO_Nfc_Up3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Nfc_Up1,Angle_Nfc_Up2,Angle_Nfc_Up3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-67.1687888195,-67.0657784082,-66.989770726,-67.100781946,-67.1357854839,-67.1707890217,-67.0667785093,-67.0977816428,-67.0317749714,-67.1337852817,-67.1697889206,-67.0727791157,-66.9547671882,-67.1697889206,-67.0947813395,-67.1697889206,-67.0667785093,-67.0987817439,-67.0597778017,-67.0307748703,-67.0657784082,-67.1017820471,-67.100781946,-66.9927710292,-67.0697788125,-66.9877705238,-66.9637680979,-66.9587675925,-66.9267643579,-66.89176082,-66.9947712314,-66.964768199,144.210922722,144.210922722,144.210922722,144.283960668,144.281959629,144.243939876,144.244940396,144.303971064,144.210922722,144.247941955,144.207921163,144.091860866,144.282960148,144.246941435,144.233934678,144.208921683,144.213924282,144.211923242,144.27395547,144.270953911,144.337988738,144.244940396,144.317978342,144.398019926,144.485065149,144.441042278,144.48106307,144.435039159,144.450046956,144.422032401,144.398019926,144.561104654,115.089,115.055,115.03,115.055,115.067,115.084,115.05,115.051,115.044,115.072,115.089,115.075,115.008,115.084,115.061,115.089,115.055,115.066,115.043,115.035,115.036,115.062,115.05,115.003,115.015,114.995,114.981,114.986,114.974,114.966,115.003,114.969
FLQS30KBGRWV,-67.441962471,-67.3378436542,-67.2637591114,-67.3738847831,-67.409925912,-67.4459670409,-67.3388447967,-67.3708813557,-67.3038048102,-67.4069224846,-67.441962471,-67.3378436542,-67.2297202675,-67.4429636135,-67.3688790708,-67.443964756,-67.3368425117,-67.3708813557,-67.3328379418,-67.3038048102,-67.3368425117,-67.375887068,-67.3738847831,-67.2657613964,-67.3418482241,-67.260755684,-67.2347259798,-67.2337248373,-67.2026894208,-67.1666482919,-67.2657613964,-67.2367282648,143.944095537,143.947095497,143.951095444,144.016094584,144.017094571,143.9770951,143.981095047,144.0450942,143.947095497,143.982095034,143.94309555,143.87809641,144.022094505,143.982095034,143.976095113,143.944095537,143.983095021,143.947095497,144.016094584,144.013094624,144.080093737,143.978095087,144.050094134,144.161092666,144.282091065,144.187092322,144.241091607,144.196092202,144.208092044,144.183092374,144.148092838,144.3020908,115.095,115.061,115.036,115.062,115.074,115.091,115.056,115.057,115.05,115.078,115.096,115.071,115.014,115.09,115.067,115.096,115.055,115.072,115.049,115.039,115.04,115.068,115.057,115.005,115.011,114.999,114.982,114.989,114.977,114.969,115.007,114.974
FLQS30CWGRWV,-67.1664870809,-67.0594528398,-67.0014342793,-67.0964646802,-67.1314758806,-67.168487721,-67.0614534799,-67.1034669203,-67.0244416395,-67.1344768406,-67.1664870809,-67.0634541199,-66.9674233989,-67.1674874009,-67.1014662803,-67.1344768406,-67.0604531599,-67.0954643602,-67.0694560399,-67.0304435596,-67.0644544399,-67.0634541199,-67.0964646802,-66.9974329992,-67.0664550799,-66.9984333192,-66.9614214789,-66.9644224389,-66.9284109185,-66.8593888378,-66.9954323592,-66.9594208388,144.014086605,144.020088734,144.027091218,144.08711251,144.08711251,144.045097606,144.053100445,144.140131317,144.016087315,144.020088734,144.014086605,143.946062475,144.094114994,144.051099735,144.071106832,144.019088379,144.0541008,144.018088025,144.091113929,144.102117833,144.174143383,144.053100445,144.12012422,144.283182062,144.333199805,144.274178869,144.344203709,144.317194128,144.311191998,144.270177449,144.268176739,144.377215419,114.863,114.827,114.806,114.829,114.84,114.859,114.822,114.823,114.816,114.851,114.862,114.839,114.785,114.857,114.833,114.851,114.822,114.839,114.819,114.805,114.805,114.823,114.823,114.766,114.781,114.768,114.745,114.751,114.74,114.723,114.768,114.74
FLQS30C7GRWV,-67.2219641632,-67.1177766806,-67.0576685175,-67.1528397757,-67.1899064763,-67.2239677687,-67.1187784833,-67.158850592,-67.0817117827,-67.1879028708,-67.222965966,-67.119780286,-67.0216036197,-67.2219641632,-67.1568469866,-67.2239677687,-67.1167748779,-67.1528397757,-67.1257911023,-67.0857189936,-67.119780286,-67.1538415784,-67.1528397757,-67.0526595039,-67.1237874969,-67.0496540958,-67.0115855925,-67.0155928034,-66.9795279055,-66.9454666131,-67.0506558985,-67.0115855925,144.021846859,144.020846839,144.035847136,144.086848144,144.091848243,144.056847551,144.050847432,144.139849191,144.01584674,144.056847551,143.988846206,143.949845436,144.095848322,144.06084763,144.069847808,144.023846898,144.05884759,144.022846879,144.098848381,144.10084842,144.170849804,144.053847491,144.121848836,144.256851504,144.355853461,144.276851899,144.321852789,144.293852236,144.281851998,144.248851346,144.252851425,144.374853837,114.901,114.867,114.845,114.869,114.88,114.896,114.863,114.862,114.856,114.885,114.907,114.879,114.824,114.895,114.872,114.901,114.861,114.878,114.858,114.845,114.845,114.874,114.863,114.81,114.818,114.806,114.787,114.792,114.782,114.776,114.81,114.779
FLQS29JFGRX5,-67.3658604675,-67.2718690336,-67.1898765062,-67.3068658441,-67.3418626546,-67.3768594651,-67.2658695804,-67.3068658441,-67.2368722232,-67.3418626546,-67.3768594651,-67.2718690336,-67.1548796957,-67.3768594651,-67.2938670288,-67.3768594651,-67.2718690336,-67.2958668465,-67.2598701272,-67.2368722232,-67.2638697627,-67.3018662998,-67.299866482,-67.2018754127,-67.2718690336,-67.1898765062,-67.1648787844,-67.1668786022,-67.1328817006,-67.0968849812,-67.1958759594,-67.1668786022,144.019494342,143.975491135,144.031495216,144.045496236,144.045496236,144.010493686,144.056497038,144.080498787,143.975491135,144.010493686,143.905486034,143.905486034,144.104500536,144.010493686,144.056497038,143.975491135,144.010493686,144.023494633,144.093499734,144.045496236,144.157504398,144.056497038,144.125502066,144.185506439,144.29051409,144.256511613,144.2975146,144.220508989,144.267512414,144.228509572,144.21050826,144.325516641,114.945,114.921,114.886,114.922,114.934,114.95,114.907,114.917,114.91,114.939,114.966,114.932,114.864,114.95,114.916,114.956,114.916,114.922,114.9,114.899,114.891,114.919,114.907,114.866,114.873,114.852,114.837,114.85,114.831,114.826,114.861,114.834
FLQS22XEGRX2,-67.3053089912,-67.2033176151,-67.1263241253,-67.2383146559,-67.2753115277,-67.3083087376,-67.2043175306,-67.236314825,-67.1683205743,-67.2703119504,-67.3043090758,-67.2003178688,-67.0913270845,-67.3053089912,-67.2333150787,-67.3073088221,-67.2023176997,-67.2353149096,-67.1973181224,-67.1663207434,-67.2023176997,-67.2403144868,-67.2383146559,-67.132323618,-67.205317446,-67.1263241253,-67.0993264081,-67.0973265772,-67.0653292827,-67.028332411,-67.1313237026,-67.101326239,143.950604094,143.951604049,143.957603783,144.022600895,144.025600762,143.981602717,143.979602805,144.047599784,143.948604183,143.988602406,143.949604138,143.883607071,144.027600673,143.988602406,143.979602805,143.949604138,143.986602494,143.954603916,144.017601117,144.012601339,144.08459814,143.980602761,144.05759934,144.157594897,144.295588766,144.189593475,144.246590943,144.196593164,144.214592364,144.19759312,144.14559543,144.313587966,114.909,114.876,114.85,114.876,114.888,114.906,114.872,114.872,114.865,114.892,114.909,114.885,114.828,114.904,114.881,114.91,114.87,114.886,114.864,114.855,114.855,114.884,114.871,114.821,114.824,114.814,114.797,114.804,114.791,114.781,114.823,114.787
FLQS22TQGRX2,-67.4139270454,-67.3118893158,-67.2358612036,-67.3469022622,-67.3829155785,-67.417928525,-67.3138900556,-67.3429007826,-67.2758759995,-67.3789140989,-67.4169281551,-67.3108889459,-67.2008482571,-67.4139270454,-67.3398996729,-67.417928525,-67.3118893158,-67.3469022622,-67.3058870964,-67.2778767393,-67.309888576,-67.348903002,-67.3479026321,-67.2348608337,-67.3108889459,-67.2328600939,-67.2028489969,-67.2008482571,-67.1708371602,-67.1358242138,-67.2388623133,-67.2038493668,143.936058971,143.936058971,143.928059246,144.006056568,144.007056534,143.972057735,143.967057907,144.027055847,143.937058937,143.969057838,143.900060207,143.865061408,144.007056534,143.971057769,143.962058078,143.901060172,143.967057907,143.904060069,143.997056877,143.995056946,144.065054543,143.969057838,144.036055538,144.127052414,144.255048021,144.130052311,144.213049462,144.125052483,144.178050664,144.151051591,144.122052586,144.295046648,114.949,114.915,114.891,114.916,114.927,114.944,114.911,114.911,114.903,114.932,114.955,114.926,114.868,114.943,114.921,114.955,114.91,114.932,114.904,114.895,114.895,114.922,114.912,114.861,114.866,114.86,114.837,114.85,114.832,114.825,114.863,114.825
FLQS21YXGRX2,-66.9956385354,-66.8916639278,-66.8566724733,-66.9266553823,-66.9646461043,-66.9976380471,-66.8936634395,-66.9266553823,-66.8546729616,-66.9606470809,-66.9946387796,-66.8946631953,-66.7846900526,-66.9946387796,-66.9246558706,-66.9936390237,-66.8936634395,-66.9246558706,-66.8946631953,-66.8946631953,-66.9266553823,-66.9656458601,-66.9266553823,-66.8576722291,-66.8916639278,-66.8196815071,-66.8226807746,-66.8196815071,-66.7876893201,-66.7127076319,-66.8216810188,-66.788689076,144.048698994,144.045699,144.057698975,144.113698858,144.116698852,144.045699,144.071698946,144.129698825,144.044699002,144.084698919,144.047698996,143.951699196,144.130698822,144.053698983,144.084698919,144.019699054,144.084698919,144.049698992,144.123698837,144.085698916,144.152698776,144.044699002,144.120698843,144.225698624,144.373698315,144.305698457,144.30869845,144.27069853,144.275698519,144.244698584,144.239698595,144.405698248,115.082,115.049,115.035,115.05,115.062,115.083,115.045,115.047,115.037,115.065,115.082,115.064,115.001,115.081,115.054,115.086,115.043,115.059,115.038,115.044,115.044,115.073,115.049,115.01,114.999,114.986,114.986,114.991,114.98,114.96,114.996,114.961
FLQS2AVTGRX5,-67.3748488811,-67.2728521377,-67.1928546918,-67.3058510841,-67.3418499347,-67.3778487854,-67.2728521377,-67.3008512437,-67.236853287,-67.3398499986,-67.3748488811,-67.2708522015,-67.1568558411,-67.3758488492,-67.2998512756,-67.3748488811,-67.2708522015,-67.3058510841,-67.263852425,-67.236853287,-67.2698522334,-67.3108509244,-67.3058510841,-67.1968545641,-67.2738521057,-67.1908547556,-67.1668555219,-67.1608557134,-67.1318566393,-67.0978577248,-67.1988545002,-67.1678554899,144.025912548,144.019912469,144.023912522,144.095913478,144.095913478,144.057912973,144.055912947,144.11491373,144.019912469,144.060913013,144.022912509,143.955911619,144.094913465,144.060913013,144.047912841,144.023912522,144.059913,144.024912535,144.081913292,144.078913252,144.149914195,144.057912973,144.129913929,144.194914793,144.326916545,144.25191555,144.287916028,144.23691535,144.256915616,144.227915231,144.198914846,144.37391717,114.985,114.952,114.925,114.951,114.963,114.981,114.947,114.947,114.941,114.968,114.985,114.962,114.903,114.98,114.957,114.985,114.945,114.962,114.94,114.931,114.931,114.959,114.946,114.901,114.906,114.89,114.877,114.883,114.87,114.863,114.901,114.864
FLQS3087GRWV,-67.6555548383,-67.4947214861,-67.4796433593,-67.5299037819,-67.5650860777,-67.6012735819,-67.4937162776,-67.5309089903,-67.5148256551,-67.5640808692,-67.6555548383,-67.4937162776,-67.3871641817,-67.599263165,-67.5288985734,-67.6012735819,-67.4947214861,-67.5299037819,-67.4947214861,-67.5148256551,-67.4957266945,-67.5309089903,-67.5309089903,-67.4243568944,-67.496731903,-67.4243568944,-67.4444610635,-67.4444610635,-67.4092787677,-67.318810007,-67.4796433593,-67.4444610635,143.962054985,144.042053904,143.962054985,144.111052972,144.109052999,144.069053539,144.108053012,144.13705262,144.032054039,144.073053485,143.962054985,143.971054863,144.111052972,144.072053499,144.071053512,144.034054012,144.076053445,144.039053944,144.102053093,144.102053093,144.171052161,144.072053499,144.145052512,144.23405131,144.343049837,144.275050756,144.312050256,144.277050729,144.277050729,144.243051188,144.242051202,144.38204931,114.939,114.875,114.882,114.876,114.888,114.906,114.864,114.872,114.883,114.893,114.939,114.885,114.83,114.904,114.881,114.911,114.87,114.887,114.865,114.872,114.855,114.882,114.871,114.823,114.83,114.817,114.817,114.823,114.811,114.787,114.839,114.807
