,Distance_X_LOGO_Button_LD1,Distance_X_LOGO_Button_LD2,Distance_X_LOGO_Button_LD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Button_LD1,Distance_Y_LOGO_Button_LD2,Distance_Y_LOGO_Button_LD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Button_LD1,Angle_Button_LD2,Angle_Button_LD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-29.662446564,-29.662446564,-29.6594453047,-29.6914587377,-29.6944599971,-29.6954604168,-29.6584448849,-29.6944599971,-29.6584448849,-29.6614461442,-29.6604457244,-29.6914587377,-29.768491061,-29.6954604168,-29.6954604168,-29.7634889621,-29.6924591575,-29.6934595773,-29.6584448849,-29.6944599971,-29.6234301925,-29.6954604168,-29.7284742697,-29.6954604168,-29.6954604168,-29.6954604168,-29.6924591575,-29.6954604168,-29.6574444651,-29.7304751092,-29.731475529,-29.7294746895,-142.789794868,-142.789794868,-142.827804929,-142.82380387,-142.794796192,-142.758786661,-142.757786396,-142.794796192,-142.757786396,-142.755785866,-142.726778188,-142.82380387,-142.686767598,-142.758786661,-142.758786661,-142.818802546,-142.821803341,-142.788794604,-142.7207766,-142.756786131,-142.790795133,-142.71877607,-142.801798045,-142.71877607,-142.727778453,-142.727778453,-142.693769451,-142.727778453,-142.61774933,-142.76278772,-142.732779777,-142.826804664,258.259,258.259,258.263,258.25,258.247,258.244,258.258,258.247,258.258,258.257,258.254,258.25,258.21,258.244,258.244,258.222,258.25,258.247,258.255,258.244,258.274,258.24,258.234,258.24,258.241,258.241,258.24,258.241,258.247,258.23,258.228,258.236
FLQS30KBGRWV,-29.4738570243,-29.4738570243,-29.484870797,-29.4678495119,-29.4708532681,-29.5249208796,-29.4298019335,-29.4708532681,-29.4298019335,-29.4388132021,-29.4888758053,-29.4678495119,-29.5509534333,-29.5249208796,-29.5249208796,-29.5449459209,-29.5078995945,-29.4708532681,-29.4288006814,-29.4768607805,-29.3967606154,-29.5119046028,-29.5058970904,-29.5119046028,-29.5239196276,-29.5239196276,-29.4638445037,-29.5239196276,-29.4368106979,-29.5579621978,-29.5119046028,-29.5099020987,-142.788038939,-142.788038939,-142.788038939,-142.82003581,-142.790038743,-142.750042654,-142.747042947,-142.790038743,-142.747042947,-142.75304236,-142.719045684,-142.82003581,-142.680049497,-142.750042654,-142.750042654,-142.821035712,-142.821035712,-142.789038841,-142.713046271,-142.751042556,-142.786039134,-142.720045587,-142.798037961,-142.720045587,-142.721045489,-142.721045489,-142.692048324,-142.721045489,-142.609056438,-142.756042067,-142.69004852,-142.824035419,258.307,258.307,258.303,258.312,258.308,258.284,258.321,258.308,258.321,258.317,258.296,258.312,258.269,258.284,258.284,258.282,258.296,258.308,258.318,258.303,258.336,258.287,258.295,258.287,258.282,258.282,258.303,258.282,258.307,258.272,258.284,258.296
FLQS30CWGRWV,-29.4219085617,-29.4219085617,-29.4199080919,-29.4529158425,-29.4569167819,-29.4579170168,-29.4169073873,-29.4569167819,-29.4169073873,-29.4239090314,-29.4229087965,-29.4529158425,-29.5359353363,-29.4579170168,-29.4579170168,-29.5289336922,-29.4899245325,-29.4569167819,-29.4159071525,-29.4589172517,-29.381899167,-29.4949257068,-29.4919250022,-29.4949257068,-29.4569167819,-29.4569167819,-29.4529158425,-29.4569167819,-29.4239090314,-29.493925472,-29.4969261765,-29.4929252371,-142.82215206,-142.82215206,-142.819151552,-142.814150706,-142.784145632,-142.78714614,-142.778144618,-142.784145632,-142.778144618,-142.746139205,-142.715133962,-142.814150706,-142.679127873,-142.78714614,-142.78714614,-142.851156964,-142.851156964,-142.782145294,-142.70613244,-142.784145632,-142.818151383,-142.751140051,-142.790146647,-142.751140051,-142.756140897,-142.756140897,-142.721134977,-142.756140897,-142.641121446,-142.789146478,-142.722135146,-142.859158317,258.36,258.36,258.36,258.347,258.343,258.343,258.358,258.343,258.358,258.353,258.351,258.347,258.304,258.343,258.343,258.321,258.336,258.343,258.353,258.342,258.375,258.326,258.33,258.326,258.341,258.341,258.34,258.341,258.344,258.329,258.323,258.335
FLQS30C7GRWV,-29.3613443401,-29.3613443401,-29.357342385,-29.3893580261,-29.3913590037,-29.39436047,-29.3243262551,-29.3913590037,-29.3243262551,-29.3603438514,-29.3593433626,-29.3893580261,-29.4363809989,-29.39436047,-29.39436047,-29.4663956624,-29.4293775774,-29.3933599812,-29.3243262551,-29.3963614476,-29.3203243,-29.4333795326,-29.4283770887,-29.4333795326,-29.39436047,-29.39436047,-29.3933599812,-29.39436047,-29.3663467841,-29.4303780662,-29.4353805101,-29.431378555,-142.869358654,-142.869358654,-142.831356164,-142.864358326,-142.867358523,-142.798354003,-142.793353675,-142.867358523,-142.793353675,-142.794353741,-142.798354003,-142.864358326,-142.758351382,-142.798354003,-142.798354003,-142.865358392,-142.899360619,-142.831356164,-142.756351251,-142.831356164,-142.833356295,-142.794353741,-142.868358588,-142.794353741,-142.799354068,-142.799354068,-142.764351775,-142.799354068,-142.686346666,-142.831356164,-142.76335171,-142.903360881,258.42,258.42,258.418,258.409,258.408,258.401,258.428,258.408,258.428,258.414,258.415,258.409,258.382,258.401,258.401,258.379,258.396,258.405,258.425,258.404,258.433,258.386,258.394,258.386,258.402,258.402,258.4,258.402,258.404,258.391,258.383,258.396
FLQS29JFGRX5,-29.5115010643,-29.5115010643,-29.4784960304,-29.5135013694,-29.5145015219,-29.516501827,-29.4834967931,-29.5145015219,-29.4834967931,-29.481496488,-29.481496488,-29.5135013694,-29.586512505,-29.516501827,-29.516501827,-29.5835120473,-29.5465064033,-29.5155016745,-29.4844969457,-29.5175019796,-29.4464911491,-29.5135013694,-29.5475065558,-29.5135013694,-29.516501827,-29.516501827,-29.5175019796,-29.516501827,-29.4774958779,-29.5505070135,-29.5455062507,-29.5475065558,-142.747429436,-142.747429436,-142.749429597,-142.778431919,-142.748429516,-142.710426474,-142.714426794,-142.748429516,-142.714426794,-142.713426714,-142.679423991,-142.778431919,-142.638420708,-142.710426474,-142.710426474,-142.778431919,-142.777431839,-142.745429276,-142.674423591,-142.708426313,-142.753429917,-142.675423671,-142.750429677,-142.675423671,-142.678423911,-142.678423911,-142.646421349,-142.678423911,-142.570415263,-142.714426794,-142.645421269,-142.781432159,258.397,258.397,258.409,258.398,258.396,258.392,258.405,258.396,258.405,258.405,258.403,258.398,258.359,258.392,258.392,258.371,258.385,258.395,258.401,258.391,258.422,258.39,258.383,258.39,258.389,258.389,258.386,258.389,258.396,258.379,258.376,258.386
FLQS22XEGRX2,-29.4356345041,-29.4356345041,-29.3996251646,-29.4296329475,-29.4336339853,-29.4026259429,-29.3936236081,-29.4336339853,-29.3936236081,-29.4026259429,-29.3996251646,-29.4296329475,-29.5106539614,-29.4026259429,-29.4026259429,-29.5056526642,-29.4676428059,-29.3976246458,-29.3596147874,-29.4346342447,-29.3596147874,-29.4746446219,-29.4706435842,-29.4746446219,-29.4006254241,-29.4006254241,-29.4746446219,-29.4006254241,-29.3966243864,-29.4706435842,-29.4716438436,-29.4736443625,-142.82172742,-142.82172742,-142.854724123,-142.887720825,-142.859723623,-142.827726821,-142.82172742,-142.859723623,-142.82172742,-142.787730818,-142.795730018,-142.887720825,-142.748734715,-142.827726821,-142.827726821,-142.885721025,-142.886720925,-142.859723623,-142.787730818,-142.82072752,-142.853724223,-142.787730818,-142.865723024,-142.787730818,-142.796729918,-142.796729918,-142.757733815,-142.796729918,-142.646744907,-142.827726821,-142.758733716,-142.891720426,258.373,258.373,258.389,258.38,258.376,258.386,258.389,258.376,258.389,258.383,258.384,258.38,258.338,258.386,258.386,258.351,258.366,258.39,258.399,258.373,258.405,258.355,258.363,258.355,258.384,258.384,258.353,258.384,258.374,258.36,258.354,258.364
FLQS22TQGRX2,-29.4095225771,-29.4095225771,-29.3775176554,-29.4095225771,-29.4135231923,-29.4155234999,-29.3815182706,-29.4135231923,-29.3815182706,-29.3805181168,-29.379517963,-29.4095225771,-29.4825338047,-29.4155234999,-29.4155234999,-29.4775330357,-29.4415274988,-29.4135231923,-29.3825184244,-29.4165236537,-29.3455127337,-29.4465282678,-29.4445279602,-29.4465282678,-29.4145233461,-29.4145233461,-29.4145233461,-29.4145233461,-29.3775176554,-29.4475284216,-29.445528114,-29.4445279602,-142.8446153,-142.8446153,-142.846615071,-142.881611057,-142.851614497,-142.814618741,-142.814618741,-142.851614497,-142.814618741,-142.811619085,-142.781622526,-142.881611057,-142.698632045,-142.814618741,-142.814618741,-142.919606699,-142.87461186,-142.846615071,-142.774623329,-142.808619429,-142.848614842,-142.733628031,-142.857613809,-142.733628031,-142.782622411,-142.782622411,-142.747626425,-142.782622411,-142.674634798,-142.818618282,-142.747626425,-142.883610827,258.307,258.307,258.319,258.309,258.306,258.302,258.315,258.306,258.315,258.315,258.313,258.309,258.267,258.302,258.302,258.287,258.297,258.305,258.311,258.301,258.332,258.284,258.294,258.284,258.3,258.3,258.297,258.3,258.306,258.29,258.285,258.296
FLQS21YXGRX2,-29.5345117754,-29.5345117754,-29.499512354,-29.5305118416,-29.5325118085,-29.5355117589,-29.4965124036,-29.5325118085,-29.4965124036,-29.5005123375,-29.4965124036,-29.5305118416,-29.6095105357,-29.5355117589,-29.5355117589,-29.6065105852,-29.5705111803,-29.533511792,-29.499512354,-29.5345117754,-29.4625129656,-29.5705111803,-29.5685112134,-29.5705111803,-29.5325118085,-29.5325118085,-29.5325118085,-29.5325118085,-29.5015123209,-29.5685112134,-29.5675112299,-29.5715111638,-142.731955206,-142.731955206,-142.731955206,-142.762951722,-142.734954869,-142.697959028,-142.695959252,-142.734954869,-142.695959252,-142.695959252,-142.665962624,-142.762951722,-142.623967345,-142.697959028,-142.697959028,-142.757952284,-142.758952171,-142.730955318,-142.653963973,-142.695959252,-142.732955094,-142.657963524,-142.739954307,-142.657963524,-142.668962287,-142.668962287,-142.631966446,-142.668962287,-142.553975213,-142.702958466,-142.672961838,-142.764951497,258.377,258.377,258.391,258.381,258.378,258.374,258.389,258.378,258.389,258.388,258.387,258.381,258.34,258.374,258.374,258.352,258.366,258.378,258.385,258.375,258.405,258.357,258.365,258.357,258.373,258.373,258.37,258.373,258.376,258.362,258.36,258.366
FLQS2AVTGRX5,-29.3949082762,-29.3949082762,-29.356913565,-29.3909088329,-29.3949082762,-29.3639125907,-29.3609130083,-29.3949082762,-29.3609130083,-29.4009074411,-29.3589132866,-29.3909088329,-29.4658983945,-29.3639125907,-29.3639125907,-29.4618989512,-29.4259039616,-29.3619128691,-29.3609130083,-29.3949082762,-29.3259178795,-29.4289035441,-29.4269038225,-29.4289035441,-29.4339028482,-29.4339028482,-29.3929085546,-29.4339028482,-29.3589132866,-29.4269038225,-29.4269038225,-29.4289035441,-142.802204071,-142.802204071,-142.76320183,-142.797203784,-142.806204301,-142.770202232,-142.732200049,-142.806204301,-142.732200049,-142.731199992,-142.700198211,-142.797203784,-142.66119597,-142.770202232,-142.770202232,-142.793203554,-142.794203611,-142.765201945,-142.694197866,-142.732200049,-142.764201888,-142.693197808,-142.77120229,-142.693197808,-142.699198153,-142.699198153,-142.664196142,-142.699198153,-142.590191891,-142.734200164,-142.702198326,-142.799203899,258.445,258.445,258.457,258.447,258.446,258.455,258.453,258.446,258.453,258.437,258.451,258.447,258.407,258.455,258.455,258.419,258.433,258.455,258.45,258.44,258.469,258.423,258.431,258.423,258.422,258.422,258.435,258.422,258.443,258.428,258.425,258.432
FLQS3087GRWV,-29.7163470613,-29.7163470613,-29.6760851001,-29.7082946691,-29.7093012181,-29.7113143162,-29.6660196098,-29.7093012181,-29.6660196098,-29.6760851001,-29.6760851001,-29.7082946691,-29.7888185916,-29.7113143162,-29.7113143162,-29.7857989445,-29.7495631794,-29.7093012181,-29.7153405123,-29.7103077672,-29.6328034917,-29.7505697284,-29.7485566304,-29.7505697284,-29.7113143162,-29.7113143162,-29.7012488259,-29.7113143162,-29.6821243943,-29.7485566304,-29.7576155716,-29.7505697284,-142.880338309,-142.880338309,-142.880338309,-142.914339579,-142.882338384,-142.851337225,-142.846337039,-142.882338384,-142.846337039,-142.845337001,-142.816335918,-142.914339579,-142.786334797,-142.851337225,-142.851337225,-142.916339654,-142.955341111,-142.920339804,-142.806335544,-142.890338683,-142.882338384,-142.817335955,-142.888338608,-142.817335955,-142.821336105,-142.821336105,-142.788334872,-142.821336105,-142.70933192,-142.851337225,-142.786334797,-142.919339766,258.293,258.293,258.309,258.299,258.296,258.293,258.31,258.296,258.31,258.306,258.304,258.299,258.258,258.293,258.293,258.27,258.287,258.299,258.288,258.296,258.325,258.275,258.282,258.275,258.291,258.291,258.292,258.291,258.293,258.279,258.27,258.283
