,Distance_X_LOGO_Button_RU1,Distance_X_LOGO_Button_RU2,Distance_X_LOGO_Button_RU3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Button_RU1,Distance_Y_LOGO_Button_RU2,Distance_Y_LOGO_Button_RU3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Button_RU1,Angle_Button_RU2,Angle_Button_RU3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-37.4163832783,-37.2723240501,-37.3493557208,-37.3493557208,-37.2633203484,-37.340352019,-37.3803684713,-37.3803684713,-37.3053376233,-37.4163832783,-37.340352019,-37.3493557208,-37.3453540755,-37.3453540755,-37.3003355667,-37.3493557208,-37.353357366,-37.3853705278,-37.3493557208,-37.3843701165,-37.3463544868,-37.4143824557,-37.3413524303,-37.3463544868,-37.3473548981,-37.340352019,-37.304337212,-37.3453540755,-37.2663215823,-37.2633203484,-37.2673219936,-37.304337212,-139.316923008,-139.316923008,-139.281911719,-139.281911719,-139.244899784,-139.280911396,-139.289914299,-139.289914299,-139.247900752,-139.257903977,-139.253902687,-139.281911719,-139.281911719,-139.249901397,-139.316923008,-139.281911719,-139.279911073,-139.282912041,-139.281911719,-139.246900429,-139.243899461,-139.25490301,-139.323925266,-139.282912041,-139.212889462,-139.280911396,-139.316923008,-139.317923331,-139.242899139,-139.244899784,-139.245900107,-139.316923008,255.295,255.35,255.317,255.317,255.346,255.32,255.306,255.306,255.331,255.289,255.318,255.317,255.318,255.315,255.339,255.317,255.315,255.303,255.317,255.3,255.314,255.289,255.324,255.318,255.311,255.32,255.338,255.322,255.345,255.346,255.345,255.338
FLQS30KBGRWV,-37.0862682387,-37.0241907919,-37.0572320136,-37.0572320136,-37.0171820479,-37.095279481,-37.1353294467,-37.1353294467,-37.0562307644,-37.1273194535,-37.0872694878,-37.0572320136,-37.0572320136,-37.0552295153,-37.0542282661,-37.0572320136,-37.0632395084,-37.1393344433,-37.0572320136,-37.0932769827,-37.0582332627,-37.130323201,-37.0932769827,-37.0131770513,-37.0562307644,-37.095279481,-37.0582332627,-37.095279481,-37.0201857953,-37.0171820479,-37.0221882936,-37.0582332627,-139.283050518,-139.281050676,-139.245053505,-139.245053505,-139.212056099,-139.246053427,-139.212056099,-139.212056099,-139.212056099,-139.179058693,-139.219055549,-139.245053505,-139.24805327,-139.214055942,-139.282050597,-139.245053505,-139.247053348,-139.24805327,-139.245053505,-139.213056021,-139.211056178,-139.178058772,-139.247053348,-139.246053427,-139.179058693,-139.246053427,-139.282050597,-139.282050597,-139.211056178,-139.212056099,-139.213056021,-139.282050597,254.977,255.0,254.984,254.984,254.996,254.969,254.951,254.951,254.981,254.951,254.97,254.984,254.984,254.982,254.989,254.984,254.982,254.953,254.984,254.967,254.98,254.949,254.971,255.001,254.978,254.969,254.987,254.973,254.995,254.996,254.994,254.987
FLQS30CWGRWV,-37.0997953625,-37.0407813719,-37.0737891972,-37.0737891972,-37.0387808976,-37.1618100646,-37.157809116,-37.157809116,-37.0717887229,-37.157809116,-37.0687880115,-37.0737891972,-37.07278896,-37.0707884858,-37.0717887229,-37.0737891972,-37.0847918056,-37.1137986823,-37.0737891972,-37.1157991566,-37.0777901457,-37.1558086418,-37.1598095903,-37.1668112502,-37.07278896,-37.1618100646,-37.0747894343,-37.1218005794,-37.0377806605,-37.0387808976,-36.9957707011,-37.0747894343,-139.318420995,-139.365430922,-139.283413602,-139.283413602,-139.296416348,-139.335424586,-139.298416771,-139.298416771,-139.297416559,-139.267410223,-139.260408744,-139.283413602,-139.332423952,-139.298416771,-139.32242184,-139.283413602,-139.33042353,-139.334424375,-139.283413602,-139.299416982,-139.295416137,-139.2654098,-139.332423952,-139.332423952,-139.2654098,-139.335424586,-139.369431767,-139.369431767,-139.295416137,-139.296416348,-139.294415926,-139.369431767,254.788,254.815,254.794,254.794,254.809,254.766,254.763,254.763,254.796,254.76,254.794,254.794,254.799,254.797,254.799,254.794,254.794,254.784,254.794,254.779,254.794,254.761,254.766,254.763,254.792,254.766,254.802,254.784,254.809,254.809,254.825,254.802
FLQS30C7GRWV,-37.0914130709,-37.0313816514,-36.9893596578,-36.9893596578,-36.9423350458,-37.0583957902,-37.0704020741,-37.0704020741,-37.0734036451,-37.0944146419,-37.0583957902,-36.9893596578,-37.0283800805,-37.0313816514,-37.0623978848,-36.9893596578,-37.0694015505,-37.0704020741,-36.9893596578,-37.0613973612,-37.0633984085,-37.0884115,-37.0663999795,-37.0283800805,-37.0243779858,-37.0583957902,-37.0263790331,-37.0593963139,-36.9943622761,-36.9423350458,-36.9943622761,-37.0263790331,-139.397686381,-139.39568627,-139.320682135,-139.320682135,-139.32568241,-139.36068434,-139.28468015,-139.28468015,-139.282680039,-139.294680701,-139.29068048,-139.320682135,-139.320682135,-139.287680315,-139.397686381,-139.320682135,-139.36068434,-139.320682135,-139.320682135,-139.327682521,-139.32568241,-139.292680591,-139.32168219,-139.362684451,-139.294680701,-139.36068434,-139.35668412,-139.396686326,-139.28468015,-139.32568241,-139.285680205,-139.35668412,254.841,254.863,254.872,254.872,254.891,254.849,254.837,254.837,254.836,254.829,254.842,254.872,254.857,254.852,254.852,254.872,254.845,254.841,254.872,254.845,254.844,254.831,254.842,254.861,254.856,254.849,254.861,254.853,254.866,254.891,254.867,254.861
FLQS29JFGRX5,-37.1694278956,-37.0704134364,-37.1074188404,-37.1074188404,-37.0204061338,-37.1414238061,-37.1424239522,-37.1424239522,-37.1084189864,-37.1324224917,-37.1064186943,-37.1074188404,-37.100417818,-37.1064186943,-37.1374232219,-37.1074188404,-37.1064186943,-37.138423368,-37.1074188404,-37.100417818,-37.0594118298,-37.1344227838,-37.1364230759,-37.1074188404,-37.1044184022,-37.1414238061,-37.100417818,-37.138423368,-37.0674129983,-37.0204061338,-37.0684131443,-37.100417818,-139.276924269,-139.277924347,-139.239921367,-139.239921367,-139.204918621,-139.239921367,-139.207918856,-139.207918856,-139.2059187,-139.171916033,-139.124912346,-139.239921367,-139.238921288,-139.206918778,-139.273924034,-139.239921367,-139.242921602,-139.239921367,-139.239921367,-139.204918621,-139.206918778,-139.171916033,-139.241921523,-139.239921367,-139.172916111,-139.239921367,-139.273924034,-139.277924347,-139.2059187,-139.204918621,-139.206918778,-139.273924034,254.878,254.916,254.898,254.898,254.928,254.885,254.882,254.882,254.895,254.882,254.887,254.898,254.901,254.896,254.89,254.898,254.899,254.887,254.898,254.898,254.914,254.881,254.887,254.899,254.893,254.885,254.905,254.89,254.91,254.928,254.91,254.905
FLQS22XEGRX2,-37.0472692563,-36.9532457315,-36.9842534897,-36.9842534897,-36.9592472331,-37.0222629997,-37.0232632499,-37.0232632499,-36.989254741,-37.0492697568,-36.9812527389,-36.9842534897,-36.9882544907,-36.9852537399,-37.0222629997,-36.9842534897,-36.9942559923,-37.0242635002,-36.9842534897,-37.0182619986,-36.9822529891,-37.0472692563,-37.0242635002,-36.9852537399,-36.9842534897,-37.0222629997,-36.9832532394,-37.0262640007,-36.9492447305,-36.9592472331,-36.9482444802,-36.9832532394,-139.390823809,-139.392823634,-139.356826778,-139.356826778,-139.328829224,-139.354826953,-139.278833591,-139.278833591,-139.277833679,-139.289832631,-139.28583298,-139.356826778,-139.313830534,-139.324829573,-139.391823721,-139.356826778,-139.311830709,-139.313830534,-139.356826778,-139.322829748,-139.320829923,-139.287832805,-139.313830534,-139.356826778,-139.242836736,-139.354826953,-139.392823634,-139.34982739,-139.321829836,-139.328829224,-139.31983001,-139.392823634,254.851,254.887,254.872,254.872,254.879,254.857,254.849,254.849,254.862,254.84,254.866,254.872,254.866,254.868,254.861,254.872,254.863,254.852,254.872,254.855,254.869,254.84,254.852,254.871,254.86,254.857,254.876,254.855,254.882,254.879,254.882,254.876
FLQS22TQGRX2,-37.0639126764,-36.9638967212,-37.0049032628,-37.0049032628,-36.9518948066,-36.9989023055,-37.0729141123,-37.0729141123,-36.9979021459,-37.066913155,-36.9939015077,-37.0049032628,-36.9979021459,-37.0349080494,-37.0479101235,-37.0049032628,-36.9989023055,-37.0369083685,-37.0049032628,-37.0639126764,-36.9879005504,-37.0649128359,-37.0319075707,-37.0389086876,-36.9929013482,-36.9989023055,-36.9989023055,-37.0359082089,-36.9578957639,-36.9518948066,-36.9228901795,-36.9989023055,-139.328557006,-139.328557006,-139.250564531,-139.250564531,-139.254564145,-139.252564338,-139.256563952,-139.256563952,-139.258563759,-139.225566943,-139.220567425,-139.250564531,-139.294560286,-139.256563952,-139.287560961,-139.250564531,-139.294560286,-139.294560286,-139.250564531,-139.300559707,-139.296560093,-139.223567135,-139.295560189,-139.294560286,-139.223567135,-139.252564338,-139.328557006,-139.329556909,-139.256563952,-139.254564145,-139.258563759,-139.328557006,254.965,255.003,254.98,254.98,255.0,254.982,254.954,254.954,254.983,254.953,254.981,254.98,254.987,254.969,254.967,254.98,254.987,254.972,254.98,254.962,254.991,254.954,254.974,254.971,254.982,254.982,254.99,254.976,254.999,255.0,255.012,254.99
FLQS21YXGRX2,-37.1431608425,-37.0791622884,-37.1161614525,-37.1161614525,-37.0691625143,-37.1511606617,-37.1491607069,-37.1491607069,-37.1151614751,-37.1881598258,-37.1111615654,-37.1161614525,-37.0711624691,-37.0701624917,-37.1551605714,-37.1161614525,-37.1201613621,-37.1491607069,-37.1161614525,-37.1531606166,-37.1151614751,-37.1801600066,-37.1491607069,-37.1131615202,-37.1131615202,-37.1511606617,-37.1111615654,-37.1501606843,-37.0721624465,-37.0691625143,-37.0321633502,-37.1111615654,-139.267826912,-139.263827261,-139.22883032,-139.22883032,-139.192833467,-139.229830233,-139.194833292,-139.194833292,-139.194833292,-139.158836438,-139.156836613,-139.22883032,-139.22883032,-139.19783303,-139.262827349,-139.22883032,-139.227830408,-139.227830408,-139.22883032,-139.193833379,-139.192833467,-139.158836438,-139.230830145,-139.22883032,-139.159836351,-139.229830233,-139.262827349,-139.265827086,-139.192833467,-139.192833467,-139.194833292,-139.262827349,254.841,254.865,254.847,254.847,254.862,254.834,254.831,254.831,254.844,254.813,254.842,254.847,254.865,254.862,254.836,254.847,254.846,254.835,254.847,254.83,254.844,254.816,254.835,254.849,254.842,254.834,254.853,254.838,254.861,254.862,254.876,254.853
FLQS2AVTGRX5,-36.9959557155,-36.8899701663,-36.9289648495,-36.9289648495,-36.8829711206,-36.963960078,-36.9629602143,-36.9629602143,-36.9289648495,-36.9989553065,-36.9229656674,-36.9289648495,-36.9249653948,-36.9229656674,-37.0059543522,-36.9289648495,-36.9349640315,-37.0029547612,-36.9289648495,-36.9649599416,-36.9299647131,-36.9949558518,-37.0029547612,-36.9679595327,-36.9239655311,-36.963960078,-36.9239655311,-36.9629602143,-36.8869705753,-36.8829711206,-36.8899701663,-36.9239655311,-139.281607539,-139.283607634,-139.246605879,-139.246605879,-139.211604218,-139.245605831,-139.212604265,-139.212604265,-139.21460436,-139.178602652,-139.176602558,-139.246605879,-139.247605926,-139.215604408,-139.280607492,-139.246605879,-139.247605926,-139.247605926,-139.246605879,-139.212604265,-139.211604218,-139.177602605,-139.248605973,-139.248605973,-139.1796027,-139.245605831,-139.282607586,-139.282607586,-139.213604313,-139.211604218,-139.212604265,-139.282607586,254.933,254.974,254.955,254.955,254.969,254.942,254.939,254.939,254.952,254.921,254.95,254.955,254.957,254.954,254.929,254.955,254.953,254.927,254.955,254.938,254.951,254.923,254.927,254.941,254.95,254.942,254.961,254.946,254.968,254.969,254.967,254.961
FLQS3087GRWV,-37.459403015,-37.2993674108,-37.4161229459,-37.4161229459,-37.2832631991,-37.4241750518,-37.4543704488,-37.4543704488,-37.4141099195,-37.4916114385,-37.459403015,-37.4161229459,-37.3265432681,-37.3778754431,-37.4050513004,-37.4161229459,-37.4271945915,-37.4090773533,-37.4161229459,-37.4644355811,-37.4191424856,-37.459403015,-37.4543704488,-37.3768689298,-37.3889470886,-37.4241750518,-37.3184911623,-37.506709137,-37.2923218182,-37.2832631991,-37.3386214269,-37.3184911623,-139.352600031,-139.346599876,-139.30959892,-139.30959892,-139.282598223,-139.317599127,-139.275598042,-139.275598042,-139.276598068,-139.240597138,-139.247597319,-139.30959892,-139.311598972,-139.280598171,-139.38660091,-139.30959892,-139.308598895,-139.310598946,-139.30959892,-139.226596776,-139.271597939,-139.247597319,-139.312598998,-139.311598972,-139.247597319,-139.317599127,-139.352600031,-139.344599825,-139.271597939,-139.282598223,-139.276598068,-139.352600031,254.849,254.91,254.862,254.862,254.909,254.859,254.844,254.844,254.859,254.826,254.839,254.862,254.896,254.873,254.874,254.862,254.857,254.864,254.862,254.835,254.856,254.839,254.847,254.877,254.866,254.859,254.903,254.831,254.905,254.909,254.888,254.903
