,Distance_X_LOGO_MainBoard_LD1,Distance_X_LOGO_MainBoard_LD2,Distance_X_LOGO_MainBoard_LD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_LD1,Distance_Y_LOGO_MainBoard_LD2,Distance_Y_LOGO_MainBoard_LD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_LD1,Angle_MainBoard_LD2,Angle_MainBoard_LD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-53.6808804317,-53.6458694221,-53.6468697367,-53.7158914412,-53.6798801171,-53.7148911266,-53.6798801171,-53.7138908121,-53.6788798025,-53.7158914412,-53.6428684785,-53.6788798025,-53.609858098,-53.5438373372,-53.573846774,-53.6428684785,-53.6428684785,-53.609858098,-53.6108584126,-53.6078574689,-53.5748470885,-53.6078574689,-53.6068571544,-53.609858098,-53.643868793,-53.6078574689,-53.5768477176,-53.6128590417,-53.6068571544,-53.6428684785,-53.6108584126,-53.6468697367,-93.6975330764,-93.7335486565,-93.7665629383,-93.8726088133,-93.8055798168,-93.7685638039,-93.8045793841,-93.8425958298,-93.9076239606,-93.8035789513,-93.9406382424,-93.942639108,-93.8756101116,-93.9416386752,-94.01166897,-93.9406382424,-93.9406382424,-93.974652957,-93.9086243934,-93.9406382424,-93.9406382424,-93.9406382424,-93.9116256918,-93.9396378097,-93.9416386752,-93.9406382424,-93.9086243934,-93.9076239606,-93.9116256918,-93.9406382424,-93.9046226623,-93.9096248262,240.035,240.061,240.069,240.065,240.064,240.038,240.064,240.058,240.092,240.047,240.117,240.101,240.115,240.163,240.167,240.117,240.117,240.141,240.123,240.133,240.148,240.133,240.125,240.132,240.116,240.133,240.139,240.122,240.125,240.117,240.122,240.106
FLQS30KBGRWV,-53.4118602588,-53.377818921,-53.3748152736,-53.4459015967,-53.4098578272,-53.4499064599,-53.3728128419,-53.4038505323,-53.4098578272,-53.4449003808,-53.3357678566,-53.4088566114,-53.3387715041,-53.2666839652,-53.2646815335,-53.3357678566,-53.3357678566,-53.3017265188,-53.300725303,-53.3407739357,-53.2666839652,-53.3407739357,-53.3407739357,-53.3387715041,-53.3367690725,-53.3407739357,-53.3047301663,-53.2987228714,-53.3407739357,-53.3357678566,-53.3367690725,-53.3768177052,-93.7120571518,-93.7500555531,-93.7850540805,-93.8540511776,-93.820052608,-93.7830541647,-93.8210525659,-93.8490513879,-93.889049705,-93.8210525659,-93.9210483587,-93.9240482325,-93.8870497892,-93.9540469703,-93.9890454978,-93.9210483587,-93.9210483587,-93.9510470965,-93.8860498312,-93.9210483587,-93.9520470545,-93.9210483587,-93.8870497892,-93.9120487374,-93.9210483587,-93.9210483587,-93.8910496209,-93.8880497471,-93.8870497892,-93.9210483587,-93.8870497892,-93.889049705,240.289,240.315,240.325,240.31,240.318,240.29,240.335,240.329,240.336,240.302,240.379,240.345,240.369,240.419,240.429,240.379,240.379,240.402,240.385,240.376,240.419,240.376,240.367,240.375,240.378,240.376,240.385,240.387,240.367,240.379,240.369,240.351
FLQS30CWGRWV,-53.5230714184,-53.4440506435,-53.4460511695,-53.5160695776,-53.4790598476,-53.5180701035,-53.5200706295,-53.5110682627,-53.5170698406,-53.5160695776,-53.4440506435,-53.4790598476,-53.4510524844,-53.3820343392,-53.3740322354,-53.4440506435,-53.4440506435,-53.4090414395,-53.4090414395,-53.4480516954,-53.3770330244,-53.4480516954,-53.4090414395,-53.4090414395,-53.4450509065,-53.4480516954,-53.4150430173,-53.4100417025,-53.4090414395,-53.4440506435,-53.4090414395,-53.4450509065,-93.8003338395,-93.8383449161,-93.8753557012,-93.9493772714,-93.9463763969,-93.8773562842,-93.9523781459,-93.9453761055,-93.985387765,-93.9113661948,-94.0524072948,-94.0554081693,-93.9833871821,-94.0504067118,-94.0844166225,-94.0524072948,-94.0524072948,-94.0464055459,-93.9803863076,-94.0153965097,-94.0484061289,-94.0153965097,-93.9833871821,-94.0113953438,-94.0153965097,-94.0153965097,-93.9843874735,-94.0173970927,-93.9833871821,-94.0524072948,-94.0153965097,-93.9813865991,240.595,240.641,240.65,240.637,240.653,240.617,240.636,240.638,240.646,240.627,240.697,240.682,240.676,240.725,240.738,240.697,240.697,240.712,240.695,240.686,240.727,240.686,240.695,240.703,240.687,240.686,240.693,240.704,240.695,240.697,240.704,240.678
FLQS30C7GRWV,-53.1829892169,-53.1859919829,-53.1849910609,-53.2170205647,-53.2190224087,-53.2160196427,-53.2220251747,-53.2130168767,-53.2220251747,-53.2150187207,-53.1849910609,-53.2210242527,-53.1489578691,-53.0758905636,-53.1139255994,-53.1849910609,-53.1849910609,-53.1089209894,-53.1479569472,-53.1469560252,-53.1139255994,-53.1469560252,-53.1449541812,-53.1469560252,-53.1439532592,-53.1469560252,-53.1129246774,-53.1079200674,-53.1449541812,-53.1849910609,-53.1059182234,-53.1829892169,-93.7823173414,-93.8653202775,-93.8973214094,-93.9273224707,-93.8923212326,-93.8553199237,-93.893321268,-93.928322506,-93.9623237088,-93.8913211972,-94.0323261849,-93.9983249822,-93.9583235673,-94.0243259019,-94.0623272462,-94.0323261849,-94.0323261849,-94.0653273523,-93.9623237088,-94.0313261496,-94.0243259019,-94.0313261496,-94.000325053,-93.99232477,-94.0303261142,-94.0313261496,-93.9643237795,-93.9623237088,-94.000325053,-94.0323261849,-93.9583235673,-93.9993250176,240.165,240.185,240.193,240.186,240.177,240.168,240.175,240.189,240.193,240.178,240.229,240.203,240.226,240.277,240.27,240.229,240.229,240.272,240.228,240.246,240.26,240.246,240.239,240.236,240.247,240.246,240.244,240.246,240.239,240.229,240.246,240.221
FLQS29JFGRX5,-53.5108532194,-53.4318475304,-53.4308474583,-53.5438555959,-53.5078530034,-53.5428555238,-53.5098531474,-53.4988523553,-53.5088530754,-53.5018525713,-53.4738505549,-53.5098531474,-53.480851059,-53.326839969,-53.3628425614,-53.4738505549,-53.4738505549,-53.4378479624,-53.4408481785,-53.4378479624,-53.403845514,-53.4378479624,-53.4378479624,-53.4378479624,-53.4738505549,-53.4378479624,-53.4468486106,-53.4348477464,-53.4378479624,-53.4738505549,-53.4358478184,-53.4758506989,-93.7230595763,-93.7590622881,-93.7940649246,-93.9060733615,-93.8310677118,-93.8000653766,-93.8320677872,-93.865070273,-93.9020730602,-93.8310677118,-93.9360756214,-93.9370756968,-93.9000729096,-93.9700781826,-94.0060808945,-93.9360756214,-93.9360756214,-93.9690781073,-93.9010729849,-93.9340754708,-93.9700781826,-93.9340754708,-93.9030731356,-93.9340754708,-93.9360756214,-93.9340754708,-93.8990728342,-93.9040732109,-93.9030731356,-93.9360756214,-93.9000729096,-93.9010729849,240.093,240.139,240.148,240.126,240.123,240.098,240.122,240.136,240.141,240.125,240.166,240.15,240.153,240.242,240.236,240.166,240.166,240.191,240.172,240.182,240.207,240.182,240.174,240.182,240.166,240.182,240.169,240.176,240.174,240.166,240.174,240.156
FLQS22XEGRX2,-53.3837772206,-53.3467718295,-53.3467718295,-53.4167820289,-53.3777763464,-53.4167820289,-53.3807767835,-53.4117813004,-53.3827770749,-53.4157818832,-53.3457716838,-53.3807767835,-53.3107665841,-53.2417565303,-53.2747613386,-53.3457716838,-53.3457716838,-53.3117667298,-53.3107665841,-53.3107665841,-53.2777617757,-53.3107665841,-53.3097664384,-53.3097664384,-53.3447715381,-53.3107665841,-53.2757614843,-53.3537728494,-53.3097664384,-53.3457716838,-53.3077661469,-53.392778532,-93.7520593557,-93.7880570747,-93.8250547303,-93.9010499148,-93.8650521959,-93.8310543501,-93.8660521325,-93.8980501049,-93.9370476338,-93.8630523226,-93.9690456063,-93.9700455429,-93.9350477606,-94.003043452,-94.0410410442,-93.9690456063,-93.9690456063,-94.0000436421,-93.9340478239,-93.9650458597,-94.0000436421,-93.9650458597,-93.9360476972,-93.9640459231,-93.9690456063,-93.9650458597,-93.9360476972,-93.9360476972,-93.9360476972,-93.9690456063,-93.9320479506,-93.9350477606,240.042,240.068,240.078,240.065,240.074,240.047,240.073,240.067,240.091,240.056,240.116,240.1,240.123,240.173,240.168,240.116,240.116,240.14,240.123,240.131,240.156,240.131,240.124,240.132,240.117,240.131,240.14,240.104,240.124,240.116,240.124,240.086
FLQS22TQGRX2,-53.3180026089,-53.281994503,-53.2809942778,-53.3570113903,-53.3150019334,-53.35501094,-53.3200030592,-53.3510100393,-53.3190028341,-53.35501094,-53.2829947281,-53.3190028341,-53.2449861719,-53.1799715362,-53.2159796421,-53.2829947281,-53.2829947281,-53.2509875229,-53.2489870726,-53.2489870726,-53.214979417,-53.2489870726,-53.2479868474,-53.2459863971,-53.2829947281,-53.2489870726,-53.2139791918,-53.2469866222,-53.2479868474,-53.2829947281,-53.2459863971,-53.2839949533,-93.7702100386,-93.8052078776,-93.8402057166,-93.9162010242,-93.8792033086,-93.8452054079,-93.8812031852,-93.9142011477,-93.9521988014,-93.8802032469,-93.9841968257,-93.9861967022,-93.9102013946,-94.0181947264,-94.0531925655,-93.9841968257,-93.9841968257,-94.0171947882,-93.9511988632,-93.9831968874,-94.0161948499,-93.9831968874,-93.9521988014,-93.9811970109,-93.9841968257,-93.9831968874,-93.954198678,-93.9521988014,-93.9521988014,-93.9841968257,-93.9481990484,-93.9501989249,240.164,240.19,240.199,240.184,240.194,240.166,240.192,240.187,240.211,240.176,240.236,240.22,240.235,240.293,240.285,240.236,240.236,240.26,240.243,240.252,240.276,240.252,240.244,240.252,240.236,240.252,240.26,240.244,240.244,240.236,240.244,240.227
FLQS21YXGRX2,-53.257113205,-53.2191166915,-53.217116875,-53.3301065072,-53.2901101772,-53.289110269,-53.2541134802,-53.285110636,-53.2561132967,-53.2901101772,-53.2591130215,-53.2941098102,-53.221116508,-53.1121265087,-53.149123114,-53.2591130215,-53.2591130215,-53.1841199027,-53.1841199027,-53.2231163245,-53.149123114,-53.2231163245,-53.2241162327,-53.181120178,-53.2181167832,-53.2231163245,-53.1501230222,-53.1821200862,-53.2241162327,-53.2591130215,-53.3151078835,-53.2191166915,-93.6512794692,-93.6872780391,-93.7202767281,-93.8412719213,-93.7652749405,-93.7242765692,-93.8012735103,-93.7922738679,-93.8712707295,-93.8002735501,-93.9072692994,-93.9092692199,-93.8312723185,-93.9382680679,-93.9332682665,-93.9072692994,-93.9072692994,-93.9372681076,-93.8702707692,-93.9042694186,-93.9352681871,-93.9042694186,-93.8772704912,-93.8602711665,-93.8642710076,-93.9042694186,-93.8722706898,-93.8722706898,-93.8772704912,-93.9072692994,-93.8762705309,-93.8682708487,240.163,240.19,240.199,240.179,240.177,240.167,240.203,240.186,240.221,240.186,240.229,240.213,240.227,240.305,240.286,240.229,240.229,240.271,240.254,240.244,240.287,240.244,240.237,240.252,240.236,240.244,240.27,240.255,240.237,240.229,240.195,240.237
FLQS2AVTGRX5,-53.5254443656,-53.4464525645,-53.4434528758,-53.5614406294,-53.5224446769,-53.5594408369,-53.5254443656,-53.5144455072,-53.5244444694,-53.5174451958,-53.4864484131,-53.4834487245,-53.490447998,-53.3834591028,-53.379459518,-53.4864484131,-53.4864484131,-53.453451838,-53.4564515266,-53.4554516304,-53.4174555742,-53.4554516304,-53.453451838,-53.4544517342,-53.4884482056,-53.4554516304,-53.3784596218,-53.4514520456,-53.453451838,-53.4864484131,-53.4514520456,-53.4914478942,-93.7896589326,-93.8266599816,-93.8606609455,-93.9376631286,-93.9016621079,-93.8666611156,-93.9016621079,-93.9326629868,-93.9706640641,-93.8976619945,-94.0396660203,-94.0026649714,-93.9656639224,-94.038665992,-94.0706668992,-94.0396660203,-94.0396660203,-94.0356659069,-94.0106651982,-94.0036649997,-94.0326658219,-94.0036649997,-93.9746641775,-94.0006649146,-94.0056650564,-94.0036649997,-93.9696640358,-93.9736641492,-93.9746641775,-94.0396660203,-93.9676639791,-94.0036649997,240.062,240.108,240.118,240.084,240.092,240.066,240.091,240.104,240.11,240.094,240.145,240.137,240.124,240.192,240.203,240.145,240.145,240.159,240.151,240.15,240.175,240.15,240.143,240.15,240.135,240.15,240.177,240.144,240.143,240.145,240.143,240.133
FLQS3087GRWV,-53.8668719607,-53.8306521738,-53.8688841711,-53.8980612217,-53.8648597503,-53.9020856424,-53.86284754,-53.8980612217,-53.8638536452,-53.8990673269,-53.8296460686,-53.8638536452,-53.7954384921,-53.7260172339,-53.7551942845,-53.8296460686,-53.8296460686,-53.7924201765,-53.7924201765,-53.7924201765,-53.7612309156,-53.7924201765,-53.7924201765,-53.7904079662,-53.8276338583,-53.7924201765,-53.7572064948,-53.7954384921,-53.7924201765,-53.8296460686,-53.7964445973,-53.8296460686,-93.7623607859,-93.8003609321,-93.8373610745,-93.9093613516,-93.873361213,-93.8363610707,-93.8713612053,-93.9073613439,-93.9423614785,-93.873361213,-93.9773616132,-93.9813616286,-93.9443614862,-94.0103617402,-94.0473618826,-93.9773616132,-93.9773616132,-94.0093617363,-93.9443614862,-93.9763616094,-94.0083617325,-93.9763616094,-93.9443614862,-93.9733615978,-93.9763616094,-93.9763616094,-93.9453614901,-93.9433614824,-93.9443614862,-93.9773616132,-93.9403614708,-93.9433614824,240.535,240.561,240.553,240.559,240.565,240.538,240.565,240.559,240.583,240.549,240.608,240.593,240.615,240.664,240.66,240.608,240.608,240.633,240.616,240.625,240.648,240.625,240.617,240.625,240.609,240.625,240.633,240.615,240.617,240.608,240.614,240.599
