SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-62.722	-62.866	-62.931	-62.755	-62.756	-62.794	-62.683	-62.717	-62.582	-62.583	-62.550	-62.615	-62.438	-62.476	-62.543	-62.473	-62.472	-62.506	-62.471	-62.507	-62.473	-62.508	-62.545	-62.441	-62.440	-62.577	-62.473	-62.437	-62.581	-62.439	-62.509	-62.473	143.284	143.540	143.569	143.603	143.531	143.565	143.636	143.672	143.637	143.532	143.602	143.426	143.454	143.422	143.532	143.353	143.420	143.561	143.559	143.602	143.638	143.567	143.461	143.602	143.567	143.567	143.672	143.637	143.357	143.601	143.461	143.603	113.746	113.757	113.774	113.710	113.721	113.729	113.681	113.687	113.648	113.663	113.642	113.689	113.626	113.643	113.650	113.653	113.642	113.633	113.622	113.627	113.611	113.633	113.661	113.605	113.610	113.656	113.606	113.599	113.688	113.605	113.649	113.616	2016_7_19_17_07_59
FLQS30KBGRWV____	-62.925	-63.066	-63.106	-62.960	-62.962	-62.998	-62.889	-62.917	-62.776	-62.777	-62.743	-62.821	-62.598	-62.648	-62.751	-62.677	-62.635	-62.711	-62.633	-62.714	-62.676	-62.716	-62.752	-62.634	-62.647	-62.784	-62.676	-62.643	-62.787	-62.645	-62.716	-62.679	143.161	143.376	143.440	143.478	143.408	143.444	143.514	143.514	143.510	143.406	143.475	143.303	143.324	143.293	143.409	143.227	143.289	143.436	143.429	143.478	143.512	143.444	143.337	143.476	143.443	143.445	143.547	143.512	143.233	143.477	143.338	143.480	113.744	113.759	113.763	113.709	113.720	113.726	113.680	113.689	113.642	113.658	113.636	113.688	113.610	113.631	113.649	113.651	113.627	113.632	113.606	113.626	113.609	113.632	113.660	113.600	113.609	113.655	113.603	113.597	113.687	113.603	113.648	113.614	2016_7_19_17_07_59
FLQS30CWGRWV____	-62.927	-62.956	-63.027	-62.883	-62.851	-62.917	-62.778	-62.838	-62.661	-62.661	-62.627	-62.746	-62.517	-62.569	-62.642	-62.561	-62.552	-62.594	-62.551	-62.635	-62.598	-62.604	-62.675	-62.518	-62.537	-62.672	-62.598	-62.534	-62.678	-62.533	-62.605	-62.569	143.161	143.389	143.457	143.496	143.420	143.461	143.525	143.528	143.522	143.417	143.487	143.319	143.338	143.309	143.422	143.237	143.303	143.447	143.442	143.495	143.527	143.458	143.354	143.487	143.455	143.457	143.562	143.524	143.244	143.490	143.352	143.492	113.586	113.562	113.576	113.522	113.523	113.538	113.483	113.502	113.444	113.459	113.438	113.502	113.422	113.444	113.452	113.452	113.439	113.432	113.419	113.439	113.422	113.434	113.473	113.401	113.412	113.457	113.417	113.401	113.490	113.406	113.450	113.417	2016_7_19_17_07_59
FLQS30C7GRWV____	-62.914	-63.050	-63.088	-62.947	-62.946	-62.981	-62.876	-62.903	-62.771	-62.771	-62.706	-62.805	-62.595	-62.636	-62.737	-62.668	-62.629	-62.702	-62.629	-62.700	-62.667	-62.669	-62.739	-62.631	-62.631	-62.739	-62.667	-62.630	-62.772	-62.599	-62.671	-62.665	143.167	143.382	143.449	143.484	143.414	143.449	143.519	143.521	143.519	143.414	143.482	143.309	143.334	143.302	143.415	143.234	143.298	143.444	143.438	143.486	143.519	143.448	143.342	143.484	143.450	143.448	143.554	143.520	143.240	143.482	143.342	143.486	113.642	113.656	113.659	113.607	113.617	113.623	113.578	113.587	113.543	113.558	113.526	113.585	113.511	113.529	113.546	113.550	113.527	113.530	113.507	113.524	113.508	113.519	113.558	113.501	113.506	113.542	113.502	113.495	113.584	113.490	113.535	113.512	2016_7_19_17_08_00
FLQS29JFGRX5____	-62.853	-63.003	-63.074	-62.898	-62.900	-62.934	-62.826	-62.860	-62.723	-62.721	-62.687	-62.757	-62.568	-62.611	-62.687	-62.608	-62.568	-62.609	-62.567	-62.651	-62.616	-62.651	-62.688	-62.569	-62.584	-62.722	-62.616	-62.581	-62.723	-62.582	-62.651	-62.617	143.109	143.359	143.426	143.462	143.391	143.427	143.495	143.532	143.495	143.390	143.462	143.287	143.279	143.247	143.391	143.176	143.240	143.383	143.381	143.462	143.496	143.427	143.321	143.427	143.426	143.426	143.531	143.496	143.217	143.461	143.321	143.461	113.585	113.598	113.612	113.548	113.559	113.565	113.519	113.525	113.484	113.499	113.477	113.526	113.464	113.483	113.488	113.492	113.469	113.462	113.449	113.465	113.448	113.470	113.498	113.443	113.448	113.494	113.443	113.436	113.525	113.442	113.486	113.454	2016_7_19_17_08_00
FLQS22XEGRX2____	-62.921	-63.059	-63.126	-62.953	-62.954	-62.992	-62.880	-62.915	-62.782	-62.782	-62.752	-62.813	-62.642	-62.675	-62.741	-62.676	-62.661	-62.708	-62.640	-62.703	-62.672	-62.707	-62.744	-62.643	-62.635	-62.774	-62.672	-62.633	-62.779	-62.636	-62.709	-62.670	143.160	143.375	143.446	143.478	143.408	143.441	143.513	143.548	143.513	143.408	143.476	143.301	143.330	143.300	143.410	143.229	143.254	143.438	143.432	143.479	143.514	143.443	143.335	143.478	143.444	143.443	143.549	143.514	143.234	143.476	143.335	143.480	113.576	113.590	113.602	113.540	113.550	113.558	113.510	113.517	113.477	113.493	113.473	113.519	113.457	113.473	113.479	113.483	113.475	113.464	113.442	113.456	113.440	113.462	113.491	113.436	113.438	113.485	113.435	113.427	113.517	113.434	113.479	113.445	2016_7_19_17_08_00
FLQS22TQGRX2____	-63.001	-63.140	-63.209	-63.036	-63.036	-63.072	-62.963	-62.997	-62.865	-62.864	-62.830	-62.894	-62.679	-62.718	-62.824	-62.756	-62.713	-62.781	-62.712	-62.787	-62.755	-62.788	-62.825	-62.724	-62.718	-62.858	-62.755	-62.716	-62.860	-62.718	-62.788	-62.752	143.081	143.294	143.362	143.396	143.326	143.361	143.430	143.466	143.430	143.327	143.394	143.221	143.211	143.178	143.326	143.148	143.176	143.321	143.317	143.397	143.432	143.361	143.255	143.397	143.362	143.362	143.467	143.432	143.153	143.395	143.254	143.398	113.626	113.641	113.654	113.591	113.601	113.608	113.562	113.568	113.528	113.544	113.522	113.569	113.498	113.516	113.530	113.534	113.515	113.516	113.494	113.508	113.492	113.513	113.541	113.486	113.489	113.536	113.486	113.478	113.568	113.485	113.529	113.496	2016_7_19_17_08_00
FLQS21YXGRX2____	-62.684	-62.831	-62.904	-62.727	-62.730	-62.764	-62.655	-62.680	-62.553	-62.538	-62.515	-62.588	-62.360	-62.405	-62.518	-62.400	-62.429	-62.437	-62.392	-62.482	-62.438	-62.471	-62.509	-62.368	-62.405	-62.551	-62.438	-62.413	-62.543	-62.411	-62.473	-62.447	143.226	143.477	143.543	143.579	143.507	143.543	143.614	143.616	143.610	143.470	143.578	143.403	143.393	143.361	143.507	143.290	143.361	143.499	143.499	143.579	143.580	143.509	143.403	143.541	143.510	143.544	143.615	143.612	143.297	143.578	143.405	143.578	113.771	113.783	113.799	113.734	113.745	113.752	113.705	113.713	113.671	113.686	113.663	113.713	113.638	113.658	113.674	113.666	113.666	113.648	113.633	113.652	113.637	113.658	113.687	113.619	113.636	113.680	113.632	113.624	113.713	113.628	113.674	113.640	2016_7_19_17_08_00
FLQS2AVTGRX5____	-62.947	-63.118	-63.191	-63.014	-63.014	-63.052	-62.942	-62.976	-62.816	-62.847	-62.813	-62.871	-62.659	-62.692	-62.803	-62.691	-62.694	-62.726	-62.701	-62.765	-62.732	-62.734	-62.803	-62.706	-62.696	-62.836	-62.732	-62.697	-62.838	-62.698	-62.735	-62.732	143.142	143.361	143.427	143.463	143.393	143.426	143.496	143.533	143.494	143.392	143.463	143.287	143.278	143.246	143.393	143.174	143.241	143.386	143.421	143.463	143.498	143.425	143.321	143.464	143.428	143.427	143.532	143.498	143.219	143.461	143.318	143.463	113.651	113.676	113.691	113.626	113.637	113.644	113.598	113.603	113.556	113.581	113.559	113.604	113.535	113.550	113.566	113.561	113.552	113.541	113.528	113.543	113.527	113.538	113.577	113.523	113.525	113.572	113.522	113.515	113.603	113.521	113.554	113.532	2016_7_19_17_08_00
FLQS3087GRWV____	-62.916	-63.054	-63.093	-62.949	-62.918	-62.986	-62.877	-62.910	-62.773	-62.773	-62.735	-62.809	-62.584	-62.670	-62.740	-62.668	-62.619	-62.668	-62.628	-62.701	-62.667	-62.702	-62.737	-62.602	-62.633	-62.771	-62.666	-62.631	-62.775	-62.633	-62.702	-62.668	143.223	143.436	143.502	143.539	143.465	143.503	143.573	143.609	143.573	143.468	143.538	143.364	143.354	143.361	143.468	143.291	143.318	143.496	143.495	143.539	143.575	143.504	143.400	143.537	143.503	143.504	143.609	143.573	143.295	143.538	143.399	143.538	113.598	113.613	113.616	113.562	113.563	113.580	113.533	113.539	113.499	113.514	113.491	113.541	113.467	113.495	113.503	113.505	113.484	113.475	113.461	113.479	113.463	113.485	113.512	113.446	113.462	113.508	113.458	113.451	113.540	113.457	113.500	113.468	2016_7_19_17_08_00
