SN	Distance_X_LOGO_Earphone_LD1	Distance_X_LOGO_Earphone_LD2	Distance_X_LOGO_Earphone_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_LD1	Distance_Y_LOGO_Earphone_LD2	Distance_Y_LOGO_Earphone_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_LD1	Angle_Earphone_LD2	Angle_Earphone_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-29.355	-29.247	-29.332	-29.441	-29.368	-29.369	-29.406	-29.368	-29.335	-29.370	-29.441	-29.507	-29.333	-29.266	-29.161	-29.266	-29.301	-29.334	-29.300	-29.229	-29.287	-29.266	-29.264	-29.334	-29.301	-29.229	-29.266	-29.266	-29.301	-29.229	-29.407	-29.299	138.999	138.949	139.163	139.087	139.058	138.988	139.012	139.092	139.094	139.125	139.159	139.263	139.055	138.977	138.905	139.021	138.977	139.091	139.083	139.081	138.750	138.977	139.126	139.125	138.977	139.120	139.084	139.053	138.977	139.022	139.090	139.125	102.030	101.991	102.007	102.057	102.030	102.037	102.049	102.027	102.014	102.025	102.050	102.068	102.017	101.996	101.961	101.993	102.010	102.014	102.001	101.973	102.024	101.996	101.984	102.011	102.010	101.970	101.988	101.990	102.010	101.978	102.043	101.997	2016_7_19_17_07_30
FLQS30KBGRWV____	-29.635	-29.564	-29.613	-29.719	-29.648	-29.650	-29.682	-29.647	-29.614	-29.649	-29.753	-29.787	-29.610	-29.544	-29.440	-29.540	-29.579	-29.649	-29.582	-29.505	-29.565	-29.540	-29.540	-29.613	-29.579	-29.507	-29.546	-29.550	-29.579	-29.509	-29.680	-29.575	138.887	138.755	139.156	139.057	138.990	138.981	139.091	139.025	139.025	139.123	139.122	139.196	138.914	139.043	138.834	138.914	139.050	139.049	139.052	138.914	138.714	139.054	138.984	139.118	139.050	139.044	138.975	139.144	139.050	138.981	138.984	138.914	102.061	102.044	102.030	102.080	102.057	102.059	102.063	102.054	102.041	102.047	102.088	102.095	102.049	102.012	101.988	102.021	102.025	102.053	102.026	102.008	102.048	102.010	102.015	102.033	102.025	101.997	102.019	102.006	102.025	102.003	102.071	102.035	2016_7_19_17_07_30
FLQS30CWGRWV____	-29.490	-29.378	-29.468	-29.574	-29.502	-29.504	-29.537	-29.502	-29.468	-29.503	-29.607	-29.641	-29.467	-29.397	-29.292	-29.398	-29.432	-29.501	-29.431	-29.362	-29.419	-29.397	-29.397	-29.466	-29.432	-29.362	-29.399	-29.398	-29.432	-29.362	-29.536	-29.432	138.796	138.737	139.071	138.961	138.931	138.858	138.999	139.001	139.004	138.998	138.961	139.173	138.895	139.026	138.681	138.930	138.960	138.963	138.926	138.856	138.621	139.068	138.999	139.035	138.960	138.990	138.959	138.963	138.960	138.858	139.031	138.959	101.853	101.814	101.821	101.873	101.847	101.854	101.855	101.841	101.827	101.842	101.886	101.881	101.836	101.797	101.785	101.806	101.817	101.843	101.819	101.798	101.840	101.794	101.800	101.824	101.817	101.787	101.804	101.803	101.817	101.797	101.852	101.817	2016_7_19_17_07_30
FLQS30C7GRWV____	-29.530	-29.449	-29.501	-29.607	-29.571	-29.571	-29.570	-29.570	-29.536	-29.571	-29.641	-29.675	-29.538	-29.473	-29.368	-29.432	-29.466	-29.569	-29.502	-29.438	-29.448	-29.467	-29.467	-29.536	-29.466	-29.396	-29.473	-29.431	-29.466	-29.396	-29.572	-29.501	138.816	138.766	139.130	139.054	138.958	138.916	139.123	139.020	139.022	139.127	139.089	139.196	139.060	138.921	138.746	138.957	139.051	139.022	138.914	138.851	138.717	139.159	139.090	139.054	139.051	139.013	138.851	139.017	139.051	138.922	139.022	139.017	101.929	101.901	101.891	101.939	101.933	101.937	101.919	101.927	101.914	101.919	101.949	101.954	101.911	101.897	101.870	101.878	101.884	101.927	101.909	101.889	101.905	101.875	101.881	101.911	101.884	101.859	101.903	101.873	101.884	101.867	101.928	101.900	2016_7_19_17_07_30
FLQS29JFGRX5____	-29.584	-29.560	-29.568	-29.707	-29.602	-29.603	-29.638	-29.639	-29.570	-29.639	-29.743	-29.778	-29.605	-29.497	-29.395	-29.500	-29.533	-29.639	-29.534	-29.499	-29.558	-29.534	-29.498	-29.603	-29.533	-29.463	-29.501	-29.499	-29.533	-29.462	-29.673	-29.534	138.941	138.765	139.178	139.107	139.072	139.040	139.140	139.147	139.211	139.145	139.073	139.182	138.937	139.068	138.832	139.035	139.044	139.001	139.032	138.968	138.769	139.110	139.043	139.138	139.044	139.068	139.032	139.039	139.044	138.971	139.073	139.072	101.894	101.899	101.868	101.929	101.890	101.893	101.898	101.898	101.866	101.899	101.945	101.950	101.903	101.849	101.828	101.853	101.865	101.911	101.867	101.858	101.898	101.860	101.851	101.885	101.865	101.836	101.853	101.852	101.865	101.843	101.918	101.863	2016_7_19_17_07_31
FLQS22XEGRX2____	-29.483	-29.416	-29.462	-29.571	-29.500	-29.501	-29.534	-29.499	-29.466	-29.501	-29.603	-29.638	-29.464	-29.392	-29.289	-29.394	-29.430	-29.499	-29.428	-29.360	-29.415	-29.395	-29.395	-29.464	-29.430	-29.357	-29.394	-29.395	-29.430	-29.360	-29.536	-29.430	138.970	138.830	139.133	139.092	139.056	139.024	139.130	139.096	139.099	139.166	139.155	139.229	139.022	139.086	138.874	138.987	139.095	139.087	138.989	138.980	138.790	139.165	139.096	139.159	139.095	139.084	138.987	139.021	139.095	138.990	139.121	139.166	101.828	101.813	101.806	101.852	101.827	101.830	101.834	101.824	101.810	101.818	101.859	101.867	101.816	101.782	101.759	101.791	101.796	101.824	101.804	101.778	101.816	101.776	101.782	101.804	101.796	101.768	101.791	101.789	101.796	101.777	101.836	101.790	2016_7_19_17_07_31
FLQS22TQGRX2____	-29.670	-29.594	-29.647	-29.789	-29.682	-29.683	-29.717	-29.682	-29.648	-29.719	-29.788	-29.823	-29.648	-29.576	-29.473	-29.580	-29.648	-29.681	-29.647	-29.578	-29.594	-29.615	-29.612	-29.682	-29.648	-29.542	-29.612	-29.579	-29.648	-29.617	-29.752	-29.612	138.953	138.856	139.150	139.108	139.077	139.047	139.145	139.077	139.081	139.112	139.141	139.217	139.043	139.045	138.857	139.043	139.110	139.074	139.040	139.037	138.823	139.182	139.046	139.113	139.110	139.103	139.010	139.170	139.110	138.936	139.076	139.080	101.914	101.892	101.889	101.948	101.909	101.911	101.916	101.908	101.895	101.920	101.945	101.952	101.898	101.869	101.844	101.871	101.892	101.908	101.898	101.871	101.895	101.873	101.883	101.905	101.892	101.851	101.886	101.860	101.892	101.895	101.936	101.880	2016_7_19_17_07_31
FLQS21YXGRX2____	-29.357	-29.282	-29.334	-29.440	-29.368	-29.370	-29.404	-29.405	-29.371	-29.370	-29.474	-29.508	-29.333	-29.308	-29.160	-29.301	-29.299	-29.369	-29.335	-29.265	-29.280	-29.264	-29.302	-29.334	-29.299	-29.227	-29.303	-29.301	-29.299	-29.229	-29.405	-29.300	138.911	138.858	139.223	139.116	139.116	138.947	139.123	139.054	139.122	139.155	139.124	139.259	138.928	138.974	138.864	139.044	139.142	139.083	139.040	139.036	138.814	139.148	139.043	139.149	139.142	139.067	139.007	139.076	139.142	139.043	139.086	139.112	102.067	102.042	102.032	102.083	102.055	102.069	102.068	102.075	102.055	102.052	102.096	102.098	102.057	102.043	101.994	102.034	102.025	102.058	102.048	102.021	102.045	102.011	102.035	102.038	102.025	102.003	102.038	102.032	102.025	102.006	102.072	102.028	2016_7_19_17_07_31
FLQS2AVTGRX5____	-29.505	-29.432	-29.481	-29.587	-29.517	-29.517	-29.551	-29.516	-29.483	-29.516	-29.621	-29.655	-29.483	-29.410	-29.308	-29.414	-29.447	-29.515	-29.447	-29.377	-29.429	-29.412	-29.412	-29.481	-29.447	-29.377	-29.413	-29.413	-29.447	-29.378	-29.553	-29.447	138.913	138.785	139.155	139.115	139.120	138.982	139.150	139.151	139.089	139.153	139.088	139.256	139.083	139.079	138.896	139.015	139.115	139.082	139.041	139.008	138.777	139.185	139.115	139.152	139.115	139.037	138.976	139.012	139.115	139.011	139.115	139.083	101.905	101.887	101.875	101.921	101.892	101.904	101.903	101.889	101.882	101.889	101.936	101.935	101.882	101.854	101.828	101.860	101.865	101.895	101.871	101.847	101.886	101.845	101.851	101.875	101.865	101.844	101.863	101.860	101.865	101.847	101.907	101.868	2016_7_19_17_07_31
FLQS3087GRWV____	-29.305	-29.272	-29.284	-29.388	-29.317	-29.318	-29.352	-29.352	-29.284	-29.318	-29.459	-29.494	-29.284	-29.212	-29.106	-29.250	-29.249	-29.317	-29.326	-29.178	-29.278	-29.251	-29.213	-29.283	-29.249	-29.174	-29.250	-29.214	-29.249	-29.178	-29.353	-29.249	138.901	138.762	139.168	139.067	139.068	138.961	139.101	139.029	139.101	139.133	139.065	139.171	139.031	139.060	138.850	138.955	139.063	139.029	138.917	138.956	138.642	139.098	139.140	139.131	139.063	139.055	138.956	139.165	139.063	138.962	139.061	139.094	101.796	101.795	101.766	101.815	101.787	101.796	101.798	101.804	101.771	101.782	101.843	101.848	101.777	101.746	101.722	101.770	101.761	101.790	101.803	101.741	101.807	101.758	101.740	101.768	101.761	101.732	101.770	101.738	101.761	101.741	101.802	101.758	2016_7_19_17_07_31
