SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-36.054	-35.956	-35.919	-35.919	-35.919	-35.918	-35.875	-35.961	-35.839	-35.919	-35.913	-35.919	-35.801	-35.996	-35.875	-35.839	-35.878	-35.884	-35.876	-35.876	-35.921	-35.839	-35.912	-35.921	-35.921	-35.920	-35.961	-35.876	-35.921	-35.921	-35.825	-35.956	140.075	140.113	140.144	140.144	140.144	140.179	140.115	140.144	140.114	140.144	140.080	140.144	140.145	140.180	140.145	140.142	140.045	140.145	140.177	140.177	140.112	140.142	140.145	140.081	140.112	140.080	140.109	140.145	140.112	140.110	140.114	140.149	104.539	104.498	104.480	104.480	104.480	104.476	104.466	104.497	104.452	104.480	104.484	104.480	104.435	104.506	104.463	104.450	104.474	104.467	104.461	104.461	104.484	104.450	104.477	104.488	104.484	104.487	104.500	104.464	104.484	104.484	104.447	104.494	2016_7_19_17_07_03
FLQS30KBGRWV____	-36.336	-36.237	-36.200	-36.200	-36.200	-36.201	-36.155	-36.246	-36.120	-36.200	-36.191	-36.200	-36.120	-36.281	-36.156	-36.119	-36.154	-36.164	-36.153	-36.153	-36.201	-36.119	-36.191	-36.200	-36.201	-36.202	-36.247	-36.154	-36.201	-36.202	-36.103	-36.239	139.997	140.036	140.068	140.068	140.068	140.070	140.042	140.067	140.043	140.068	140.004	140.068	140.080	140.103	140.079	140.076	139.970	140.071	140.109	140.109	140.035	140.076	140.076	139.998	140.035	139.999	140.033	140.077	140.035	139.998	140.038	140.072	104.566	104.524	104.507	104.507	104.507	104.507	104.492	104.525	104.479	104.507	104.510	104.507	104.475	104.535	104.489	104.475	104.499	104.493	104.485	104.485	104.511	104.475	104.503	104.514	104.511	104.514	104.528	104.489	104.511	104.515	104.473	104.521	2016_7_19_17_07_03
FLQS30CWGRWV____	-36.179	-36.082	-36.046	-36.046	-36.046	-36.047	-35.962	-36.051	-35.924	-36.046	-35.977	-36.046	-35.923	-36.086	-35.962	-35.965	-35.942	-36.013	-35.962	-35.962	-36.046	-35.965	-35.999	-36.047	-36.046	-36.045	-36.047	-36.003	-36.046	-36.046	-35.977	-36.081	139.939	139.987	140.021	140.021	140.021	140.056	139.989	140.018	140.021	140.021	139.941	140.021	140.060	140.053	140.060	140.023	139.906	140.022	140.094	140.094	139.985	140.023	140.022	139.949	139.985	139.949	140.019	140.024	139.985	139.985	139.976	140.026	104.354	104.311	104.294	104.294	104.294	104.291	104.265	104.296	104.248	104.294	104.276	104.294	104.243	104.307	104.258	104.263	104.266	104.281	104.255	104.255	104.298	104.263	104.276	104.302	104.298	104.301	104.295	104.278	104.298	104.298	104.272	104.307	2016_7_19_17_07_03
FLQS30C7GRWV____	-36.218	-36.111	-36.076	-36.076	-36.076	-36.075	-36.029	-36.118	-35.993	-36.076	-36.067	-36.076	-35.993	-36.155	-36.030	-35.993	-36.031	-36.042	-36.030	-36.030	-36.076	-35.993	-36.065	-36.077	-36.076	-36.075	-36.118	-36.030	-36.076	-36.076	-35.984	-36.110	139.990	140.033	140.069	140.069	140.069	140.104	140.034	140.068	140.034	140.069	140.000	140.069	140.072	140.103	140.071	140.068	139.967	140.070	140.106	140.106	140.032	140.068	140.070	139.996	140.032	139.996	140.031	140.069	140.032	140.033	140.041	140.071	104.425	104.380	104.362	104.362	104.362	104.358	104.348	104.379	104.334	104.362	104.366	104.362	104.330	104.389	104.345	104.331	104.355	104.349	104.341	104.341	104.366	104.331	104.358	104.370	104.366	104.369	104.382	104.345	104.366	104.366	104.330	104.375	2016_7_19_17_07_03
FLQS29JFGRX5____	-36.276	-36.256	-36.149	-36.149	-36.149	-36.148	-36.110	-36.187	-36.074	-36.149	-36.147	-36.149	-36.074	-36.223	-36.110	-36.074	-36.112	-36.113	-36.110	-36.110	-36.148	-36.074	-36.146	-36.186	-36.148	-36.149	-36.187	-36.111	-36.148	-36.185	-36.100	-36.223	139.995	140.011	140.040	140.040	140.040	140.107	140.031	140.073	140.032	140.040	140.000	140.040	140.072	140.108	140.068	140.066	139.962	140.071	140.102	140.102	140.035	140.066	140.069	139.972	140.035	139.967	140.037	140.066	140.035	140.008	140.009	140.080	104.401	104.391	104.348	104.348	104.348	104.341	104.333	104.359	104.320	104.348	104.351	104.348	104.316	104.369	104.330	104.316	104.341	104.331	104.327	104.327	104.348	104.316	104.343	104.368	104.348	104.355	104.362	104.331	104.348	104.365	104.332	104.372	2016_7_19_17_07_03
FLQS22XEGRX2____	-36.129	-36.040	-36.004	-36.004	-36.004	-36.036	-35.998	-36.044	-35.931	-36.004	-36.003	-36.004	-35.931	-36.078	-35.999	-35.931	-35.967	-35.971	-35.965	-35.965	-36.006	-35.931	-36.002	-36.006	-36.006	-36.006	-36.043	-35.969	-36.006	-36.005	-35.928	-36.041	139.989	140.034	140.070	140.070	140.070	140.104	140.035	140.070	140.034	140.070	140.000	140.070	140.072	140.105	140.073	140.068	139.964	140.070	140.105	140.105	140.033	140.068	140.070	139.998	140.033	139.998	140.033	140.069	140.033	140.035	140.037	140.071	104.321	104.283	104.265	104.265	104.265	104.274	104.266	104.280	104.241	104.265	104.272	104.265	104.237	104.290	104.263	104.237	104.261	104.252	104.247	104.247	104.269	104.237	104.264	104.273	104.269	104.273	104.284	104.252	104.269	104.269	104.239	104.279	2016_7_19_17_07_03
FLQS22TQGRX2____	-36.391	-36.301	-36.266	-36.266	-36.266	-36.229	-36.184	-36.268	-36.150	-36.266	-36.220	-36.266	-36.150	-36.304	-36.186	-36.150	-36.185	-36.194	-36.186	-36.186	-36.267	-36.150	-36.220	-36.229	-36.267	-36.229	-36.267	-36.186	-36.267	-36.267	-36.140	-36.302	139.954	139.992	140.030	140.030	140.030	140.065	139.991	140.064	140.023	140.030	139.957	140.030	140.029	140.096	140.065	140.059	139.921	140.028	140.065	140.065	139.995	140.059	140.031	139.957	139.995	139.954	140.027	140.026	139.995	139.995	139.997	140.067	104.436	104.398	104.381	104.381	104.381	104.363	104.353	104.378	104.337	104.381	104.371	104.381	104.336	104.389	104.347	104.333	104.360	104.353	104.346	104.346	104.385	104.333	104.363	104.374	104.385	104.374	104.382	104.350	104.385	104.384	104.336	104.391	2016_7_19_17_07_03
FLQS21YXGRX2____	-36.080	-35.953	-35.919	-35.919	-35.919	-35.955	-35.913	-35.995	-35.879	-35.919	-35.912	-35.919	-35.876	-35.994	-35.916	-35.877	-35.877	-35.884	-35.913	-35.913	-35.919	-35.877	-35.912	-35.919	-35.919	-35.918	-35.957	-35.916	-35.919	-35.919	-35.831	-35.952	139.996	140.040	140.075	140.075	140.075	140.109	140.075	140.074	140.046	140.075	140.006	140.075	140.078	140.142	140.111	140.075	139.972	140.110	140.109	140.109	140.039	140.075	140.075	140.036	140.039	140.004	140.070	140.110	140.039	140.040	140.043	140.111	104.586	104.533	104.517	104.517	104.517	104.527	104.514	104.546	104.504	104.517	104.521	104.517	104.500	104.539	104.512	104.500	104.511	104.500	104.511	104.511	104.520	104.500	104.514	104.520	104.520	104.523	104.532	104.512	104.520	104.520	104.486	104.526	2016_7_19_17_07_03
FLQS2AVTGRX5____	-36.253	-36.107	-36.072	-36.072	-36.072	-36.072	-36.026	-36.159	-35.990	-36.072	-36.064	-36.072	-35.989	-36.152	-36.027	-35.989	-36.027	-36.036	-36.026	-36.026	-36.072	-35.989	-36.061	-36.073	-36.072	-36.072	-36.159	-36.027	-36.072	-36.073	-35.974	-36.107	139.975	140.051	140.084	140.084	140.084	140.121	140.053	140.083	140.053	140.084	140.018	140.084	140.091	140.117	140.088	140.086	139.982	140.087	140.084	140.084	140.051	140.086	140.087	140.015	140.051	140.015	140.047	140.088	140.051	140.050	140.053	140.088	104.434	104.370	104.353	104.353	104.353	104.350	104.339	104.387	104.325	104.353	104.357	104.353	104.321	104.381	104.336	104.322	104.346	104.340	104.336	104.336	104.357	104.322	104.349	104.361	104.357	104.360	104.391	104.336	104.357	104.357	104.319	104.367	2016_7_19_17_07_04
FLQS3087GRWV____	-36.049	-35.955	-35.878	-35.878	-35.878	-35.919	-35.868	-35.921	-35.795	-35.878	-35.905	-35.878	-35.834	-35.997	-35.832	-35.834	-35.869	-35.884	-35.870	-35.870	-35.878	-35.834	-35.905	-35.879	-35.878	-35.876	-36.001	-35.871	-35.878	-35.879	-35.820	-35.954	139.995	140.040	140.076	140.076	140.076	140.108	140.048	140.074	140.042	140.076	140.005	140.076	140.079	140.108	140.078	140.075	139.973	140.076	140.111	140.111	140.042	140.075	140.077	140.007	140.042	140.007	140.042	140.079	140.042	140.042	140.047	140.076	104.323	104.282	104.249	104.249	104.249	104.262	104.248	104.266	104.221	104.249	104.266	104.249	104.232	104.291	104.231	104.232	104.256	104.252	104.243	104.243	104.252	104.232	104.259	104.256	104.252	104.255	104.299	104.246	104.252	104.253	104.230	104.278	2016_7_19_17_07_04
FLQS2044GRWY____	-36.260	-36.168	-36.131	-36.131	-36.131	-36.131	-36.086	-36.170	-36.050	-36.131	-36.126	-36.131	-36.049	-36.205	-36.085	-36.050	-36.089	-36.097	-36.085	-36.085	-36.132	-36.050	-36.124	-36.133	-36.132	-36.132	-36.171	-36.087	-36.132	-36.131	-36.040	-36.168	140.045	140.089	140.125	140.125	140.125	140.160	140.092	140.124	140.090	140.125	140.058	140.125	140.126	140.159	140.127	140.123	140.020	140.124	140.161	140.161	140.091	140.123	140.126	140.055	140.091	140.054	140.088	140.127	140.091	140.090	140.094	140.126	104.651	104.612	104.594	104.594	104.594	104.590	104.580	104.609	104.566	104.594	104.598	104.594	104.562	104.619	104.576	104.563	104.588	104.581	104.573	104.573	104.598	104.563	104.591	104.601	104.598	104.601	104.613	104.577	104.598	104.598	104.562	104.608	2016_7_19_17_07_04
FLQS312SGRWV____	-36.050	-35.952	-35.916	-35.916	-35.916	-35.918	-35.874	-35.959	-35.801	-35.916	-35.910	-35.916	-35.800	-35.996	-35.875	-35.801	-35.875	-35.884	-35.876	-35.876	-35.915	-35.801	-35.912	-35.915	-35.915	-35.915	-35.960	-35.877	-35.915	-35.916	-35.827	-35.951	140.030	140.038	140.074	140.074	140.074	140.111	140.044	140.075	140.041	140.074	140.039	140.074	140.077	140.116	140.113	140.075	139.975	140.113	140.146	140.146	140.041	140.075	140.077	140.005	140.041	140.006	140.039	140.075	140.041	140.037	140.049	140.082	104.545	104.507	104.490	104.490	104.490	104.487	104.476	104.506	104.448	104.490	104.491	104.490	104.445	104.516	104.470	104.445	104.483	104.473	104.467	104.467	104.492	104.445	104.487	104.496	104.492	104.496	104.510	104.474	104.492	104.493	104.458	104.502	2016_7_19_17_07_04
FLQS31J6GRWY____	-36.213	-36.113	-36.116	-36.116	-36.116	-36.079	-36.033	-36.120	-35.999	-36.116	-36.107	-36.116	-35.998	-36.157	-36.034	-35.998	-36.036	-36.043	-36.076	-36.076	-36.079	-35.998	-36.069	-36.079	-36.079	-36.078	-36.120	-36.074	-36.079	-36.117	-35.988	-36.153	139.996	140.036	140.070	140.070	140.070	140.107	140.036	140.069	140.037	140.070	140.006	140.070	140.074	140.105	140.072	140.071	139.967	140.073	140.142	140.142	140.037	140.071	140.073	140.000	140.037	140.001	140.033	140.072	140.037	140.035	140.040	140.075	104.586	104.544	104.542	104.542	104.542	104.524	104.513	104.543	104.500	104.542	104.545	104.542	104.496	104.554	104.510	104.496	104.521	104.513	104.519	104.519	104.531	104.496	104.523	104.534	104.531	104.534	104.547	104.525	104.531	104.545	104.496	104.555	2016_7_19_17_06_53
FLQS31FWGRWY____	-36.265	-36.178	-36.143	-36.143	-36.143	-36.180	-36.102	-36.180	-36.068	-36.143	-36.138	-36.143	-36.067	-36.216	-36.104	-36.067	-36.103	-36.108	-36.103	-36.103	-36.143	-36.067	-36.139	-36.143	-36.143	-36.140	-36.180	-36.103	-36.143	-36.179	-36.059	-36.178	140.020	140.095	140.098	140.098	140.098	140.139	140.094	140.128	140.095	140.098	140.028	140.098	140.133	140.163	140.132	140.129	140.025	140.131	140.163	140.163	140.095	140.129	140.131	140.059	140.095	140.028	140.094	140.130	140.095	140.065	140.098	140.135	104.500	104.459	104.445	104.445	104.445	104.455	104.430	104.456	104.417	104.445	104.450	104.445	104.412	104.467	104.427	104.413	104.437	104.429	104.423	104.423	104.445	104.413	104.440	104.449	104.445	104.451	104.460	104.427	104.445	104.462	104.413	104.455	2016_7_19_17_06_53
FLQS31CRGRWY____	-36.557	-36.451	-36.417	-36.417	-36.417	-36.418	-36.371	-36.461	-36.337	-36.417	-36.407	-36.417	-36.336	-36.498	-36.371	-36.336	-36.371	-36.385	-36.371	-36.371	-36.418	-36.336	-36.409	-36.417	-36.418	-36.416	-36.460	-36.372	-36.418	-36.418	-36.326	-36.452	139.848	139.892	139.926	139.926	139.926	139.961	139.890	139.923	139.890	139.926	139.856	139.926	139.927	139.961	139.926	139.923	139.821	139.927	139.960	139.960	139.891	139.923	139.892	139.854	139.891	139.854	139.888	139.925	139.891	139.891	139.894	139.931	104.658	104.613	104.596	104.596	104.596	104.593	104.582	104.614	104.569	104.596	104.600	104.596	104.565	104.624	104.579	104.565	104.589	104.584	104.575	104.575	104.600	104.565	104.597	104.604	104.600	104.603	104.617	104.579	104.600	104.600	104.565	104.609	2016_7_19_17_06_53
FLQS319LGRWY____	-36.289	-36.186	-36.151	-36.151	-36.151	-36.152	-36.111	-36.194	-36.074	-36.151	-36.146	-36.151	-36.072	-36.228	-36.113	-36.075	-36.110	-36.117	-36.112	-36.112	-36.151	-36.075	-36.145	-36.151	-36.151	-36.150	-36.193	-36.114	-36.151	-36.151	-36.102	-36.186	140.033	140.039	140.073	140.073	140.073	140.109	140.078	140.073	140.043	140.073	140.007	140.073	140.080	140.109	140.114	140.077	139.974	140.076	140.112	140.112	140.039	140.077	140.077	140.003	140.039	140.006	140.037	140.080	140.039	140.038	140.047	140.111	104.599	104.559	104.542	104.542	104.542	104.539	104.526	104.558	104.515	104.542	104.547	104.542	104.511	104.568	104.523	104.512	104.536	104.529	104.523	104.523	104.545	104.512	104.539	104.549	104.545	104.548	104.562	104.527	104.545	104.546	104.526	104.552	2016_7_19_17_06_54
FLQS319HGRWY____	-36.076	-35.982	-35.982	-35.982	-35.982	-35.981	-35.939	-36.020	-35.868	-35.982	-35.975	-35.982	-35.869	-36.018	-35.940	-35.867	-35.941	-35.911	-35.941	-35.941	-35.980	-35.867	-35.976	-35.980	-35.980	-35.979	-36.021	-35.940	-35.980	-35.981	-35.893	-36.017	140.057	140.099	140.105	140.105	140.105	140.171	140.099	140.102	140.065	140.105	140.034	140.105	140.104	140.134	140.138	140.132	139.997	140.133	140.170	140.170	140.066	140.132	140.137	140.030	140.066	140.030	140.068	140.135	140.066	140.068	140.073	140.107	104.353	104.313	104.312	104.312	104.312	104.306	104.296	104.327	104.273	104.312	104.317	104.312	104.269	104.324	104.293	104.266	104.307	104.283	104.290	104.290	104.316	104.266	104.307	104.319	104.316	104.319	104.331	104.294	104.316	104.316	104.282	104.326	2016_7_19_17_06_54
FLQS317CGRWY____	-36.157	-36.043	-36.007	-36.007	-36.007	-36.011	-35.962	-36.056	-35.926	-36.007	-35.984	-36.007	-35.925	-36.092	-35.962	-35.926	-35.963	-35.979	-35.963	-35.963	-36.012	-35.926	-35.998	-36.008	-36.012	-36.008	-36.054	-35.963	-36.012	-36.013	-35.914	-36.043	139.928	139.973	140.008	140.008	140.008	140.038	139.969	140.002	139.968	140.008	139.930	140.008	140.007	140.038	140.006	140.002	139.898	140.005	140.041	140.041	139.966	140.002	140.005	139.936	139.966	139.936	139.965	140.004	139.966	139.968	139.965	140.011	104.487	104.439	104.421	104.421	104.421	104.420	104.408	104.441	104.394	104.421	104.420	104.421	104.390	104.451	104.404	104.391	104.415	104.411	104.401	104.401	104.427	104.391	104.418	104.429	104.427	104.429	104.444	104.405	104.427	104.428	104.390	104.435	2016_7_19_17_06_54
FLQS3160GRWY____	-36.436	-36.350	-36.276	-36.276	-36.276	-36.277	-36.236	-36.318	-36.157	-36.276	-36.274	-36.276	-36.157	-36.389	-36.239	-36.156	-36.239	-36.282	-36.322	-36.322	-36.315	-36.156	-36.272	-36.277	-36.315	-36.278	-36.317	-36.238	-36.315	-36.276	-36.195	-36.352	139.866	139.910	139.948	139.948	139.948	139.982	139.912	139.947	139.946	139.948	139.878	139.948	139.984	139.983	139.985	139.980	139.842	139.947	139.988	139.988	139.911	139.980	139.949	139.875	139.911	139.876	139.911	139.948	139.911	139.912	139.916	139.953	104.459	104.421	104.389	104.389	104.389	104.386	104.377	104.405	104.344	104.389	104.395	104.389	104.340	104.429	104.371	104.340	104.385	104.391	104.403	104.403	104.408	104.340	104.387	104.397	104.408	104.397	104.408	104.375	104.408	104.393	104.361	104.418	2016_7_19_17_06_54
