SN	Distance_X_LOGO_Front_Camera_LD1	Distance_X_LOGO_Front_Camera_LD2	Distance_X_LOGO_Front_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_LD1	Distance_Y_LOGO_Front_Camera_LD2	Distance_Y_LOGO_Front_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_LD1	Angle_Front_Camera_LD2	Angle_Front_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-22.946	-22.874	-22.872	-22.804	-22.804	-22.734	-22.768	-22.696	-22.696	-22.721	-22.694	-22.694	-22.769	-22.731	-22.730	-22.731	-22.696	-22.729	-22.768	-22.659	-22.721	-22.734	-22.730	-22.762	-22.728	-22.694	-22.697	-22.809	-22.733	-22.803	-22.763	-22.769	138.975	138.977	139.056	139.017	139.017	139.030	139.051	138.885	138.928	139.047	139.015	139.015	139.013	139.025	139.008	139.025	138.928	138.971	139.052	139.016	139.047	139.010	138.916	138.949	138.804	139.015	138.946	139.016	138.915	138.949	138.911	139.013	99.480	99.451	99.445	99.421	99.421	99.392	99.404	99.386	99.383	99.385	99.377	99.377	99.407	99.391	99.391	99.391	99.383	99.394	99.404	99.362	99.385	99.393	99.398	99.408	99.404	99.377	99.382	99.423	99.399	99.425	99.411	99.407	2016_7_19_17_06_37
FLQS30KBGRWV____	-23.129	-23.059	-23.135	-22.991	-22.991	-22.918	-22.956	-22.931	-22.891	-22.892	-22.931	-22.931	-22.992	-22.967	-22.967	-22.967	-22.891	-22.929	-22.995	-22.896	-22.892	-22.921	-22.928	-22.964	-22.963	-22.931	-22.886	-22.992	-22.918	-22.990	-23.001	-22.992	138.885	138.923	138.879	138.921	138.921	138.964	138.956	138.854	138.935	138.966	138.914	138.914	138.951	138.959	138.913	138.959	138.935	138.885	138.951	138.916	138.966	138.918	138.857	138.853	138.855	138.914	138.849	138.917	138.852	138.856	138.848	138.951	99.471	99.440	99.474	99.413	99.413	99.381	99.397	99.394	99.372	99.370	99.390	99.390	99.412	99.401	99.404	99.401	99.372	99.391	99.413	99.376	99.370	99.385	99.392	99.407	99.406	99.390	99.376	99.414	99.389	99.417	99.422	99.412	2016_7_19_17_06_37
FLQS30CWGRWV____	-23.103	-22.960	-23.033	-22.894	-22.894	-22.854	-22.890	-22.817	-22.819	-22.820	-22.817	-22.817	-22.889	-22.853	-22.851	-22.853	-22.819	-22.819	-22.888	-22.781	-22.820	-22.853	-22.853	-22.886	-22.854	-22.817	-22.817	-22.927	-22.853	-22.923	-22.855	-22.889	138.818	138.862	138.859	138.856	138.856	138.902	138.889	138.825	138.826	138.861	138.890	138.890	138.847	138.898	138.887	138.898	138.826	138.857	138.885	138.892	138.861	138.847	138.795	138.823	138.761	138.890	138.821	138.853	138.789	138.829	138.794	138.847	99.307	99.247	99.276	99.220	99.220	99.202	99.217	99.192	99.192	99.190	99.187	99.187	99.219	99.201	99.201	99.201	99.192	99.190	99.216	99.173	99.190	99.205	99.208	99.220	99.211	99.187	99.192	99.234	99.208	99.234	99.209	99.219	2016_7_19_17_06_37
FLQS30C7GRWV____	-23.153	-23.083	-23.046	-22.980	-22.980	-22.945	-22.980	-22.911	-22.911	-22.911	-22.910	-22.910	-22.978	-22.947	-22.946	-22.947	-22.911	-22.946	-22.977	-22.875	-22.911	-22.942	-22.950	-22.980	-22.946	-22.910	-22.909	-23.016	-22.943	-23.014	-22.983	-22.978	138.803	138.854	138.863	138.895	138.895	138.901	138.877	138.824	138.864	138.898	138.889	138.889	138.886	138.896	138.885	138.896	138.864	138.846	138.924	138.890	138.898	138.884	138.789	138.818	138.794	138.889	138.818	138.886	138.784	138.826	138.787	138.886	99.389	99.358	99.342	99.314	99.314	99.299	99.315	99.291	99.288	99.286	99.286	99.286	99.313	99.300	99.301	99.300	99.288	99.303	99.311	99.272	99.286	99.299	99.309	99.319	99.307	99.286	99.290	99.329	99.306	99.332	99.322	99.313	2016_7_19_17_06_37
FLQS29JFGRX5____	-23.060	-22.993	-23.031	-22.921	-22.921	-22.852	-22.966	-22.859	-22.859	-22.862	-22.859	-22.859	-22.967	-22.898	-22.897	-22.898	-22.859	-22.895	-22.964	-22.826	-22.862	-22.851	-22.894	-22.930	-22.894	-22.859	-22.816	-22.967	-22.854	-22.922	-22.929	-22.967	138.883	138.931	138.927	138.968	138.968	138.979	138.949	138.898	138.939	138.929	138.961	138.961	138.955	138.969	138.961	138.969	138.939	138.924	138.942	138.915	138.929	138.967	138.860	138.892	138.862	138.961	138.898	138.958	138.815	138.905	138.857	138.955	99.301	99.271	99.286	99.240	99.240	99.211	99.259	99.219	99.217	99.219	99.215	99.215	99.259	99.230	99.230	99.230	99.217	99.232	99.259	99.205	99.219	99.211	99.236	99.248	99.236	99.215	99.202	99.259	99.223	99.244	99.250	99.259	2016_7_19_17_06_37
FLQS22XEGRX2____	-22.986	-22.914	-22.919	-22.807	-22.807	-22.738	-22.773	-22.702	-22.785	-22.701	-22.735	-22.735	-22.772	-22.820	-22.734	-22.820	-22.785	-22.735	-22.772	-22.664	-22.701	-22.738	-22.820	-22.769	-22.769	-22.735	-22.702	-22.813	-22.737	-22.809	-22.768	-22.772	138.946	138.995	138.997	139.035	139.035	139.051	139.069	138.917	138.962	139.043	139.029	139.029	138.980	139.067	139.030	139.067	138.962	138.993	139.018	139.031	139.043	138.980	138.962	138.962	138.886	139.029	138.964	139.031	138.928	138.928	138.930	138.980	99.243	99.211	99.213	99.165	99.165	99.137	99.149	99.131	99.161	99.122	99.137	99.137	99.155	99.168	99.137	99.168	99.161	99.139	99.152	99.108	99.122	99.141	99.175	99.155	99.160	99.137	99.128	99.168	99.144	99.173	99.157	99.155	2016_7_19_17_06_38
FLQS22TQGRX2____	-23.205	-23.137	-23.136	-23.066	-23.066	-22.996	-23.031	-22.970	-22.969	-22.969	-22.969	-22.969	-23.030	-23.040	-23.037	-23.040	-22.969	-23.036	-23.066	-22.934	-22.969	-22.996	-23.004	-23.038	-23.037	-22.969	-22.961	-23.068	-22.995	-23.066	-23.039	-23.030	138.890	138.892	138.891	138.928	138.928	138.929	138.960	138.862	138.899	138.930	138.929	138.929	138.926	138.964	138.921	138.964	138.899	138.887	138.958	138.930	138.930	138.926	138.826	138.860	138.857	138.929	138.854	138.924	138.789	138.860	138.826	138.926	99.346	99.319	99.318	99.288	99.288	99.259	99.272	99.253	99.250	99.249	99.249	99.249	99.273	99.275	99.276	99.275	99.250	99.278	99.286	99.235	99.249	99.260	99.270	99.281	99.281	99.249	99.250	99.289	99.268	99.292	99.283	99.273	2016_7_19_17_06_38
FLQS21YXGRX2____	-22.208	-22.816	-22.967	-22.741	-22.741	-22.669	-22.717	-22.639	-22.680	-22.683	-22.688	-22.688	-22.710	-22.728	-22.680	-22.728	-22.680	-22.676	-22.708	-22.650	-22.683	-22.669	-22.680	-22.763	-22.720	-22.688	-22.633	-22.072	-22.668	-22.751	-22.715	-22.710	138.717	138.980	138.988	139.022	139.022	139.098	138.995	139.031	139.076	139.113	139.009	139.009	139.017	139.044	139.015	139.044	139.076	139.045	139.053	139.013	139.113	139.078	138.916	138.883	138.914	139.009	139.014	139.121	138.980	138.901	138.913	139.017	99.230	99.457	99.517	99.424	99.424	99.391	99.416	99.383	99.396	99.395	99.404	99.404	99.412	99.418	99.400	99.418	99.396	99.397	99.409	99.388	99.395	99.392	99.407	99.442	99.423	99.404	99.381	99.149	99.398	99.436	99.421	99.412	2016_7_19_17_06_38
FLQS2AVTGRX5____	-23.113	-23.049	-23.033	-22.972	-22.972	-22.909	-22.942	-22.873	-22.873	-22.875	-22.878	-22.878	-22.936	-22.912	-22.909	-22.912	-22.873	-22.909	-22.944	-22.842	-22.875	-22.902	-22.910	-22.948	-22.948	-22.878	-22.866	-22.981	-22.908	-22.980	-22.947	-22.936	138.935	138.933	139.073	139.035	139.035	138.984	139.006	138.973	139.018	139.053	138.972	138.972	139.033	139.047	139.029	139.047	139.018	138.993	138.955	138.975	139.053	139.027	138.932	138.901	138.868	138.972	138.963	138.968	138.867	138.861	138.868	139.033	99.359	99.333	99.318	99.295	99.295	99.273	99.285	99.260	99.257	99.255	99.262	99.262	99.281	99.271	99.270	99.271	99.257	99.273	99.290	99.247	99.255	99.268	99.277	99.295	99.297	99.262	99.258	99.303	99.281	99.310	99.297	99.281	2016_7_19_17_06_38
FLQS3087GRWV____	-22.911	-22.838	-22.839	-22.769	-22.769	-22.665	-22.700	-22.595	-22.627	-22.628	-22.627	-22.627	-22.699	-22.696	-22.695	-22.696	-22.627	-22.696	-22.698	-22.630	-22.628	-22.664	-22.632	-22.664	-22.663	-22.627	-22.664	-22.769	-22.699	-22.769	-22.664	-22.699	138.859	138.861	138.862	138.859	138.859	138.907	138.893	138.840	138.873	138.904	138.902	138.902	138.896	138.902	138.856	138.902	138.873	138.856	138.935	138.899	138.904	138.896	138.764	138.833	138.803	138.902	138.825	138.860	138.758	138.833	138.800	138.896	99.252	99.222	99.223	99.195	99.195	99.150	99.165	99.126	99.137	99.135	99.135	99.135	99.164	99.162	99.165	99.162	99.137	99.166	99.161	99.136	99.135	99.150	99.146	99.154	99.156	99.135	99.155	99.195	99.173	99.196	99.157	99.164	2016_7_19_17_06_39
