SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-25.918	-25.884	-25.883	-25.779	-26.011	-25.738	-25.883	-25.912	-25.777	-25.921	-25.878	-25.772	-25.885	-25.878	-25.852	-25.845	-26.026	-25.914	-25.819	-25.811	-25.881	-25.871	-25.951	-25.857	-25.976	-25.949	-26.023	-25.883	-25.878	-25.783	-26.022	-25.921	139.115	139.113	139.116	139.014	138.942	139.006	139.108	139.014	139.082	139.189	139.055	139.071	139.034	139.055	139.155	139.012	139.157	139.112	138.974	139.009	139.039	138.942	139.079	139.039	138.942	139.018	139.179	139.112	138.971	139.143	138.909	139.148	100.659	100.645	100.644	100.610	100.708	100.595	100.645	100.664	100.605	100.654	100.647	100.604	100.651	100.647	100.629	100.637	100.698	100.657	100.630	100.624	100.649	100.652	100.674	100.640	100.694	100.678	100.695	100.645	100.653	100.603	100.715	100.657	2016_7_19_17_06_09
FLQS30KBGRWV____	-25.993	-25.957	-25.956	-25.886	-26.028	-25.813	-25.956	-25.955	-25.845	-25.954	-25.957	-25.847	-25.957	-25.957	-25.950	-25.950	-26.098	-25.991	-25.889	-25.921	-25.957	-25.989	-26.027	-25.923	-26.027	-26.028	-26.101	-25.957	-25.922	-25.886	-26.097	-26.028	139.037	139.039	139.034	138.961	139.036	138.962	139.035	138.965	139.000	139.107	139.037	138.997	138.998	139.037	139.040	138.964	139.072	139.035	138.897	138.922	138.966	138.935	139.005	138.965	139.037	139.000	139.139	139.069	138.961	139.108	138.866	139.098	100.606	100.591	100.591	100.568	100.620	100.539	100.591	100.596	100.549	100.585	100.591	100.550	100.594	100.591	100.588	100.594	100.645	100.605	100.574	100.585	100.596	100.612	100.621	100.583	100.619	100.622	100.641	100.589	100.583	100.558	100.660	100.615	2016_7_19_17_06_09
FLQS30CWGRWV____	-25.972	-25.939	-25.940	-25.874	-26.006	-25.804	-25.943	-25.939	-25.837	-25.937	-25.938	-25.834	-25.905	-25.938	-25.905	-25.903	-26.080	-25.970	-25.844	-25.909	-25.941	-25.939	-26.005	-25.913	-25.970	-26.046	-26.083	-25.941	-25.938	-25.841	-26.081	-25.977	139.017	138.984	139.017	138.951	139.018	138.947	139.015	138.952	138.982	139.054	138.994	138.908	138.977	138.994	139.050	138.985	139.099	139.016	138.871	138.911	138.945	138.953	138.981	138.942	139.016	138.957	139.119	139.050	138.913	139.086	138.845	139.049	100.440	100.430	100.428	100.406	100.454	100.379	100.429	100.432	100.389	100.424	100.429	100.393	100.417	100.429	100.411	100.415	100.477	100.440	100.400	100.423	100.433	100.432	100.456	100.422	100.440	100.474	100.477	100.425	100.435	100.383	100.497	100.440	2016_7_19_17_06_09
FLQS30C7GRWV____	-26.049	-26.012	-26.014	-25.943	-26.083	-25.876	-26.014	-26.011	-25.908	-26.012	-26.013	-25.907	-25.982	-26.013	-25.981	-25.979	-26.156	-26.047	-25.946	-25.977	-26.012	-26.015	-26.083	-25.982	-26.045	-26.085	-26.159	-26.014	-26.010	-25.913	-26.158	-26.050	139.002	138.970	139.002	138.937	139.004	138.934	138.967	138.939	138.966	139.041	138.980	138.964	138.960	138.980	139.039	138.939	139.037	139.001	138.826	138.897	138.929	138.940	138.965	138.896	138.999	138.943	139.149	139.001	138.899	139.035	138.833	139.035	100.534	100.521	100.520	100.496	100.547	100.469	100.522	100.523	100.480	100.516	100.521	100.480	100.510	100.521	100.504	100.510	100.573	100.533	100.506	100.513	100.524	100.525	100.550	100.515	100.532	100.552	100.566	100.520	100.525	100.477	100.589	100.531	2016_7_19_17_06_09
FLQS29JFGRX5____	-25.991	-25.987	-25.953	-25.885	-26.028	-25.809	-25.983	-25.951	-25.849	-25.949	-25.988	-25.842	-25.920	-25.988	-25.951	-25.917	-26.096	-25.990	-25.889	-25.916	-25.954	-25.954	-26.026	-25.890	-26.025	-26.103	-26.097	-25.955	-25.917	-25.885	-26.097	-26.025	139.077	139.076	139.075	139.016	139.078	139.008	139.039	139.012	139.044	139.112	139.134	139.039	139.036	139.134	139.115	139.011	139.117	139.073	138.932	138.974	139.001	139.015	139.041	138.967	139.076	139.013	139.148	139.115	138.971	139.150	138.901	139.112	100.459	100.458	100.444	100.421	100.474	100.392	100.459	100.448	100.405	100.440	100.454	100.403	100.434	100.454	100.440	100.435	100.498	100.459	100.429	100.437	100.450	100.449	100.476	100.427	100.473	100.509	100.496	100.442	100.438	100.411	100.514	100.470	2016_7_19_17_06_10
FLQS22XEGRX2____	-25.975	-25.938	-25.902	-25.903	-26.011	-25.795	-25.938	-25.970	-25.794	-25.938	-25.938	-25.791	-25.906	-25.938	-25.904	-25.901	-26.081	-25.974	-25.874	-25.867	-25.902	-25.940	-26.011	-25.905	-25.975	-26.012	-26.081	-25.936	-25.935	-25.835	-26.078	-25.976	139.083	139.084	139.057	138.984	139.085	138.987	139.080	138.984	139.049	139.152	139.097	139.046	139.045	139.097	139.121	139.054	139.122	139.082	138.940	138.990	139.014	139.024	139.051	139.007	139.084	139.057	139.188	139.088	138.939	139.158	138.882	139.119	100.428	100.414	100.401	100.407	100.442	100.364	100.414	100.434	100.359	100.409	100.412	100.358	100.404	100.412	100.397	100.401	100.468	100.428	100.399	100.392	100.405	100.419	100.445	100.406	100.428	100.445	100.463	100.413	100.423	100.367	100.484	100.426	2016_7_19_17_06_10
FLQS22TQGRX2____	-26.128	-26.092	-26.091	-26.086	-26.226	-25.942	-26.091	-26.126	-25.944	-26.090	-26.092	-25.944	-26.060	-26.092	-26.058	-26.055	-26.233	-26.128	-26.028	-26.023	-26.125	-26.093	-26.163	-26.061	-26.178	-26.215	-26.236	-26.096	-26.092	-25.992	-26.234	-26.131	139.080	139.053	139.076	138.891	139.031	138.941	139.050	138.944	139.014	139.125	139.052	139.007	139.037	139.052	139.086	139.011	139.088	139.077	138.911	138.936	138.945	138.981	139.017	138.980	139.039	139.005	139.155	139.114	138.974	139.150	138.877	139.087	100.500	100.488	100.486	100.498	100.543	100.437	100.488	100.510	100.432	100.482	100.488	100.433	100.477	100.488	100.472	100.477	100.542	100.501	100.473	100.469	100.509	100.494	100.519	100.481	100.524	100.541	100.538	100.485	100.494	100.441	100.558	100.501	2016_7_19_17_06_10
FLQS21YXGRX2____	-25.755	-25.756	-25.754	-25.683	-25.828	-25.573	-25.720	-25.716	-25.610	-25.758	-25.717	-25.608	-25.685	-25.717	-25.763	-25.717	-25.864	-25.790	-25.690	-25.711	-25.752	-25.757	-25.824	-25.726	-25.752	-25.843	-25.867	-25.759	-25.715	-25.659	-25.860	-25.836	139.131	139.075	139.126	139.078	139.129	138.971	139.066	139.076	139.042	139.138	139.104	139.001	139.089	139.104	139.112	139.054	139.172	139.124	138.979	138.996	139.052	139.146	139.094	138.993	139.082	139.044	139.177	139.062	139.008	139.197	138.865	139.107	100.622	100.626	100.622	100.597	100.651	100.561	100.612	100.610	100.571	100.622	100.609	100.573	100.597	100.609	100.626	100.612	100.662	100.636	100.607	100.614	100.627	100.622	100.652	100.620	100.624	100.663	100.663	100.629	100.615	100.579	100.683	100.656	2016_7_19_17_06_10
FLQS2AVTGRX5____	-26.025	-25.990	-25.992	-25.885	-26.063	-25.810	-25.958	-25.988	-25.849	-25.993	-25.987	-25.845	-25.925	-25.987	-25.995	-25.954	-26.136	-26.026	-25.924	-25.951	-25.990	-25.991	-26.061	-25.958	-26.027	-26.064	-26.136	-25.996	-25.954	-25.891	-26.100	-25.995	139.070	139.035	139.070	139.014	139.072	138.928	139.065	138.935	139.039	139.141	139.049	139.033	139.031	139.049	139.069	139.004	139.112	139.068	138.895	138.949	138.999	138.974	139.037	138.963	139.069	139.106	139.139	139.111	138.964	139.145	138.902	139.106	100.513	100.502	100.500	100.462	100.528	100.438	100.487	100.508	100.445	100.495	100.500	100.444	100.476	100.500	100.501	100.490	100.554	100.514	100.486	100.493	100.505	100.507	100.530	100.494	100.514	100.526	100.552	100.499	100.493	100.454	100.556	100.498	2016_7_19_17_06_10
FLQS3087GRWV____	-25.891	-25.865	-25.855	-25.795	-25.926	-25.725	-25.825	-25.865	-25.723	-25.860	-25.865	-25.751	-25.824	-25.865	-25.900	-25.830	-26.000	-25.889	-25.795	-25.823	-25.826	-25.865	-25.925	-25.828	-25.857	-25.935	-26.000	-25.858	-25.830	-25.753	-26.005	-25.860	139.026	138.959	139.025	138.889	139.027	138.889	139.056	138.889	138.989	139.135	138.959	138.985	138.984	138.959	138.994	138.924	139.104	139.026	138.923	138.925	138.953	138.889	138.989	138.991	139.024	138.924	139.130	139.058	138.889	139.090	138.854	139.056	100.432	100.427	100.418	100.404	100.446	100.376	100.404	100.432	100.368	100.412	100.427	100.379	100.408	100.427	100.438	100.415	100.470	100.431	100.401	100.412	100.411	100.432	100.448	100.409	100.419	100.457	100.468	100.417	100.418	100.372	100.490	100.417	2016_7_19_17_06_10
