SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-37.401	-37.257	-37.334	-37.334	-37.248	-37.325	-37.365	-37.365	-37.290	-37.401	-37.325	-37.334	-37.330	-37.330	-37.285	-37.334	-37.338	-37.370	-37.334	-37.369	-37.331	-37.399	-37.326	-37.331	-37.332	-37.325	-37.289	-37.330	-37.251	-37.248	-37.252	-37.289	-139.272	-139.272	-139.237	-139.237	-139.200	-139.236	-139.245	-139.245	-139.203	-139.213	-139.209	-139.237	-139.237	-139.205	-139.272	-139.237	-139.235	-139.238	-139.237	-139.202	-139.199	-139.210	-139.279	-139.238	-139.168	-139.236	-139.272	-139.273	-139.198	-139.200	-139.201	-139.272	255.295	255.350	255.317	255.317	255.346	255.320	255.306	255.306	255.331	255.289	255.318	255.317	255.318	255.315	255.339	255.317	255.315	255.303	255.317	255.300	255.314	255.289	255.324	255.318	255.311	255.320	255.338	255.322	255.345	255.346	255.345	255.338	2016_7_19_17_01_21
FLQS30KBGRWV____	-37.040	-36.978	-37.011	-37.011	-36.971	-37.049	-37.089	-37.089	-37.010	-37.081	-37.041	-37.011	-37.011	-37.009	-37.008	-37.011	-37.017	-37.093	-37.011	-37.047	-37.012	-37.084	-37.047	-36.967	-37.010	-37.049	-37.012	-37.049	-36.974	-36.971	-36.976	-37.012	-139.294	-139.292	-139.256	-139.256	-139.223	-139.257	-139.223	-139.223	-139.223	-139.190	-139.230	-139.256	-139.259	-139.225	-139.293	-139.256	-139.258	-139.259	-139.256	-139.224	-139.222	-139.189	-139.258	-139.257	-139.190	-139.257	-139.293	-139.293	-139.222	-139.223	-139.224	-139.293	254.977	255.000	254.984	254.984	254.996	254.969	254.951	254.951	254.981	254.951	254.970	254.984	254.984	254.982	254.989	254.984	254.982	254.953	254.984	254.967	254.980	254.949	254.971	255.001	254.978	254.969	254.987	254.973	254.995	254.996	254.994	254.987	2016_7_19_17_01_21
FLQS30CWGRWV____	-37.091	-37.032	-37.065	-37.065	-37.030	-37.153	-37.149	-37.149	-37.063	-37.149	-37.060	-37.065	-37.064	-37.062	-37.063	-37.065	-37.076	-37.105	-37.065	-37.107	-37.069	-37.147	-37.151	-37.158	-37.064	-37.153	-37.066	-37.113	-37.029	-37.030	-36.987	-37.066	-139.289	-139.336	-139.254	-139.254	-139.267	-139.306	-139.269	-139.269	-139.268	-139.238	-139.231	-139.254	-139.303	-139.269	-139.293	-139.254	-139.301	-139.305	-139.254	-139.270	-139.266	-139.236	-139.303	-139.303	-139.236	-139.306	-139.340	-139.340	-139.266	-139.267	-139.265	-139.340	254.788	254.815	254.794	254.794	254.809	254.766	254.763	254.763	254.796	254.760	254.794	254.794	254.799	254.797	254.799	254.794	254.794	254.784	254.794	254.779	254.794	254.761	254.766	254.763	254.792	254.766	254.802	254.784	254.809	254.809	254.825	254.802	2016_7_19_17_01_21
FLQS30C7GRWV____	-37.072	-37.012	-36.970	-36.970	-36.923	-37.039	-37.051	-37.051	-37.054	-37.075	-37.039	-36.970	-37.009	-37.012	-37.043	-36.970	-37.050	-37.051	-36.970	-37.042	-37.044	-37.069	-37.047	-37.009	-37.005	-37.039	-37.007	-37.040	-36.975	-36.923	-36.975	-37.007	-139.390	-139.388	-139.313	-139.313	-139.318	-139.353	-139.277	-139.277	-139.275	-139.287	-139.283	-139.313	-139.313	-139.280	-139.390	-139.313	-139.353	-139.313	-139.313	-139.320	-139.318	-139.285	-139.314	-139.355	-139.287	-139.353	-139.349	-139.389	-139.277	-139.318	-139.278	-139.349	254.841	254.863	254.872	254.872	254.891	254.849	254.837	254.837	254.836	254.829	254.842	254.872	254.857	254.852	254.852	254.872	254.845	254.841	254.872	254.845	254.844	254.831	254.842	254.861	254.856	254.849	254.861	254.853	254.866	254.891	254.867	254.861	2016_7_19_17_01_21
FLQS29JFGRX5____	-37.164	-37.065	-37.102	-37.102	-37.015	-37.136	-37.137	-37.137	-37.103	-37.127	-37.101	-37.102	-37.095	-37.101	-37.132	-37.102	-37.101	-37.133	-37.102	-37.095	-37.054	-37.129	-37.131	-37.102	-37.099	-37.136	-37.095	-37.133	-37.062	-37.015	-37.063	-37.095	-139.266	-139.267	-139.229	-139.229	-139.194	-139.229	-139.197	-139.197	-139.195	-139.161	-139.114	-139.229	-139.228	-139.196	-139.263	-139.229	-139.232	-139.229	-139.229	-139.194	-139.196	-139.161	-139.231	-139.229	-139.162	-139.229	-139.263	-139.267	-139.195	-139.194	-139.196	-139.263	254.878	254.916	254.898	254.898	254.928	254.885	254.882	254.882	254.895	254.882	254.887	254.898	254.901	254.896	254.890	254.898	254.899	254.887	254.898	254.898	254.914	254.881	254.887	254.899	254.893	254.885	254.905	254.890	254.910	254.928	254.910	254.905	2016_7_19_17_01_21
FLQS22XEGRX2____	-37.038	-36.944	-36.975	-36.975	-36.950	-37.013	-37.014	-37.014	-36.980	-37.040	-36.972	-36.975	-36.979	-36.976	-37.013	-36.975	-36.985	-37.015	-36.975	-37.009	-36.973	-37.038	-37.015	-36.976	-36.975	-37.013	-36.974	-37.017	-36.940	-36.950	-36.939	-36.974	-139.403	-139.405	-139.369	-139.369	-139.341	-139.367	-139.291	-139.291	-139.290	-139.302	-139.298	-139.369	-139.326	-139.337	-139.404	-139.369	-139.324	-139.326	-139.369	-139.335	-139.333	-139.300	-139.326	-139.369	-139.255	-139.367	-139.405	-139.362	-139.334	-139.341	-139.332	-139.405	254.851	254.887	254.872	254.872	254.879	254.857	254.849	254.849	254.862	254.840	254.866	254.872	254.866	254.868	254.861	254.872	254.863	254.852	254.872	254.855	254.869	254.840	254.852	254.871	254.860	254.857	254.876	254.855	254.882	254.879	254.882	254.876	2016_7_19_17_01_21
FLQS22TQGRX2____	-37.058	-36.958	-36.999	-36.999	-36.946	-36.993	-37.067	-37.067	-36.992	-37.061	-36.988	-36.999	-36.992	-37.029	-37.042	-36.999	-36.993	-37.031	-36.999	-37.058	-36.982	-37.059	-37.026	-37.033	-36.987	-36.993	-36.993	-37.030	-36.952	-36.946	-36.917	-36.993	-139.342	-139.342	-139.264	-139.264	-139.268	-139.266	-139.270	-139.270	-139.272	-139.239	-139.234	-139.264	-139.308	-139.270	-139.301	-139.264	-139.308	-139.308	-139.264	-139.314	-139.310	-139.237	-139.309	-139.308	-139.237	-139.266	-139.342	-139.343	-139.270	-139.268	-139.272	-139.342	254.965	255.003	254.980	254.980	255.000	254.982	254.954	254.954	254.983	254.953	254.981	254.980	254.987	254.969	254.967	254.980	254.987	254.972	254.980	254.962	254.991	254.954	254.974	254.971	254.982	254.982	254.990	254.976	254.999	255.000	255.012	254.990	2016_7_19_17_01_21
FLQS21YXGRX2____	-37.144	-37.080	-37.117	-37.117	-37.070	-37.152	-37.150	-37.150	-37.116	-37.189	-37.112	-37.117	-37.072	-37.071	-37.156	-37.117	-37.121	-37.150	-37.117	-37.154	-37.116	-37.181	-37.150	-37.114	-37.114	-37.152	-37.112	-37.151	-37.073	-37.070	-37.033	-37.112	-139.280	-139.276	-139.241	-139.241	-139.205	-139.242	-139.207	-139.207	-139.207	-139.171	-139.169	-139.241	-139.241	-139.210	-139.275	-139.241	-139.240	-139.240	-139.241	-139.206	-139.205	-139.171	-139.243	-139.241	-139.172	-139.242	-139.275	-139.278	-139.205	-139.205	-139.207	-139.275	254.841	254.865	254.847	254.847	254.862	254.834	254.831	254.831	254.844	254.813	254.842	254.847	254.865	254.862	254.836	254.847	254.846	254.835	254.847	254.830	254.844	254.816	254.835	254.849	254.842	254.834	254.853	254.838	254.861	254.862	254.876	254.853	2016_7_19_17_01_21
FLQS2AVTGRX5____	-37.001	-36.895	-36.934	-36.934	-36.888	-36.969	-36.968	-36.968	-36.934	-37.004	-36.928	-36.934	-36.930	-36.928	-37.011	-36.934	-36.940	-37.008	-36.934	-36.970	-36.935	-37.000	-37.008	-36.973	-36.929	-36.969	-36.929	-36.968	-36.892	-36.888	-36.895	-36.929	-139.275	-139.277	-139.240	-139.240	-139.205	-139.239	-139.206	-139.206	-139.208	-139.172	-139.170	-139.240	-139.241	-139.209	-139.274	-139.240	-139.241	-139.241	-139.240	-139.206	-139.205	-139.171	-139.242	-139.242	-139.173	-139.239	-139.276	-139.276	-139.207	-139.205	-139.206	-139.276	254.933	254.974	254.955	254.955	254.969	254.942	254.939	254.939	254.952	254.921	254.950	254.955	254.957	254.954	254.929	254.955	254.953	254.927	254.955	254.938	254.951	254.923	254.927	254.941	254.950	254.942	254.961	254.946	254.968	254.969	254.967	254.961	2016_7_19_17_01_21
FLQS3087GRWV____	-37.217	-37.058	-37.174	-37.174	-37.042	-37.182	-37.212	-37.212	-37.172	-37.249	-37.217	-37.174	-37.085	-37.136	-37.163	-37.174	-37.185	-37.167	-37.174	-37.222	-37.177	-37.217	-37.212	-37.135	-37.147	-37.182	-37.077	-37.264	-37.051	-37.042	-37.097	-37.077	-139.349	-139.343	-139.306	-139.306	-139.279	-139.314	-139.272	-139.272	-139.273	-139.237	-139.244	-139.306	-139.308	-139.277	-139.383	-139.306	-139.305	-139.307	-139.306	-139.223	-139.268	-139.244	-139.309	-139.308	-139.244	-139.314	-139.349	-139.341	-139.268	-139.279	-139.273	-139.349	254.849	254.910	254.862	254.862	254.909	254.859	254.844	254.844	254.859	254.826	254.839	254.862	254.896	254.873	254.874	254.862	254.857	254.864	254.862	254.835	254.856	254.839	254.847	254.877	254.866	254.859	254.903	254.831	254.905	254.909	254.888	254.903	2016_7_19_17_01_22
