SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-64.507	-64.432	-64.357	-64.394	-64.396	-64.359	-64.362	-64.395	-64.359	-64.395	-64.396	-64.357	-64.395	-64.358	-64.355	-64.358	-64.357	-64.361	-64.355	-64.398	-64.358	-64.359	-64.355	-64.395	-64.357	-64.357	-64.398	-64.357	-64.396	-64.398	-64.399	-64.361	-94.258	-94.223	-94.225	-94.294	-94.226	-94.255	-94.197	-94.255	-94.255	-94.255	-94.226	-94.227	-94.223	-94.258	-94.295	-94.258	-94.227	-94.261	-94.295	-94.262	-94.258	-94.296	-94.295	-94.257	-94.225	-94.225	-94.262	-94.225	-94.226	-94.262	-94.297	-94.261	235.850	235.871	235.902	235.906	235.886	235.910	235.892	235.895	235.910	235.895	235.886	235.903	235.886	235.911	235.923	235.911	235.903	235.910	235.923	235.896	235.911	235.921	235.923	235.895	235.902	235.902	235.896	235.902	235.886	235.896	235.905	235.910	2016_7_19_17_00_14
FLQS30KBGRWV____	-64.107	-64.073	-64.000	-64.035	-64.002	-64.002	-63.967	-64.036	-64.002	-64.036	-64.002	-64.000	-64.038	-64.001	-64.000	-64.001	-64.000	-64.004	-64.000	-64.001	-64.001	-63.966	-64.000	-64.039	-64.000	-64.000	-64.001	-64.000	-64.002	-64.001	-64.002	-64.004	-94.280	-94.284	-94.252	-94.322	-94.256	-94.285	-94.222	-94.286	-94.285	-94.286	-94.256	-94.289	-94.252	-94.281	-94.284	-94.281	-94.289	-94.286	-94.284	-94.290	-94.281	-94.284	-94.284	-94.255	-94.252	-94.252	-94.290	-94.252	-94.256	-94.290	-94.323	-94.286	235.532	235.547	235.568	235.573	235.568	235.577	235.573	235.563	235.577	235.563	235.568	235.579	235.553	235.576	235.577	235.576	235.579	235.576	235.577	235.579	235.576	235.591	235.577	235.553	235.568	235.568	235.579	235.568	235.568	235.579	235.588	235.576	2016_7_19_17_00_14
FLQS30CWGRWV____	-64.290	-64.256	-64.184	-64.223	-64.228	-64.229	-64.149	-64.220	-64.229	-64.220	-64.228	-64.185	-64.220	-64.186	-64.184	-64.186	-64.185	-64.149	-64.184	-64.228	-64.186	-64.150	-64.184	-64.222	-64.184	-64.184	-64.228	-64.184	-64.228	-64.228	-64.230	-64.149	-94.330	-94.333	-94.299	-94.375	-94.301	-94.337	-94.270	-94.334	-94.337	-94.334	-94.301	-94.336	-94.298	-94.333	-94.369	-94.333	-94.336	-94.334	-94.369	-94.339	-94.333	-94.369	-94.369	-94.336	-94.299	-94.299	-94.339	-94.299	-94.301	-94.339	-94.374	-94.334	236.012	236.027	236.047	236.053	236.029	236.039	236.054	236.042	236.039	236.042	236.029	236.057	236.032	236.056	236.067	236.056	236.057	236.071	236.067	236.040	236.056	236.081	236.067	236.042	236.047	236.047	236.040	236.047	236.029	236.040	236.049	236.071	2016_7_19_17_00_14
FLQS30C7GRWV____	-63.954	-63.921	-63.845	-63.884	-63.890	-63.847	-63.811	-63.882	-63.847	-63.882	-63.890	-63.843	-63.883	-63.846	-63.844	-63.846	-63.843	-63.809	-63.844	-63.889	-63.846	-63.810	-63.844	-63.926	-63.845	-63.845	-63.889	-63.845	-63.890	-63.889	-63.847	-63.809	-94.353	-94.350	-94.316	-94.390	-94.319	-94.353	-94.286	-94.350	-94.353	-94.350	-94.319	-94.351	-94.314	-94.345	-94.348	-94.345	-94.351	-94.314	-94.348	-94.358	-94.345	-94.384	-94.348	-94.355	-94.316	-94.316	-94.358	-94.316	-94.319	-94.358	-94.390	-94.314	236.186	236.199	236.221	236.226	236.203	236.230	236.226	236.215	236.230	236.215	236.203	236.231	236.204	236.228	236.230	236.228	236.231	236.235	236.230	236.214	236.228	236.254	236.230	236.198	236.221	236.221	236.214	236.221	236.203	236.214	236.241	236.235	2016_7_19_17_00_14
FLQS29JFGRX5____	-64.238	-64.247	-64.133	-64.171	-64.137	-64.137	-64.099	-64.171	-64.137	-64.171	-64.137	-64.134	-64.172	-64.134	-64.133	-64.134	-64.134	-64.099	-64.133	-64.138	-64.134	-64.099	-64.133	-64.212	-64.133	-64.133	-64.138	-64.133	-64.137	-64.138	-64.138	-64.099	-94.219	-94.219	-94.184	-94.251	-94.187	-94.218	-94.185	-94.215	-94.218	-94.215	-94.187	-94.217	-94.184	-94.213	-94.215	-94.213	-94.217	-94.220	-94.215	-94.222	-94.213	-94.220	-94.215	-94.224	-94.184	-94.184	-94.222	-94.184	-94.187	-94.222	-94.217	-94.220	235.408	235.404	235.442	235.445	235.441	235.450	235.456	235.435	235.450	235.435	235.441	235.451	235.426	235.450	235.450	235.450	235.451	235.466	235.450	235.450	235.450	235.466	235.450	235.420	235.442	235.442	235.450	235.442	235.441	235.450	235.449	235.466	2016_7_19_17_00_14
FLQS22XEGRX2____	-64.110	-64.121	-64.042	-64.084	-64.044	-64.048	-64.007	-64.080	-64.048	-64.080	-64.044	-64.046	-64.084	-64.047	-64.046	-64.047	-64.046	-63.971	-64.046	-64.093	-64.047	-64.059	-64.046	-64.082	-64.042	-64.042	-64.093	-64.042	-64.044	-64.093	-64.045	-63.971	-94.282	-94.316	-94.249	-94.356	-94.252	-94.319	-94.250	-94.314	-94.319	-94.314	-94.252	-94.317	-94.284	-94.314	-94.317	-94.314	-94.317	-94.283	-94.317	-94.330	-94.314	-94.359	-94.317	-94.285	-94.249	-94.249	-94.330	-94.249	-94.252	-94.330	-94.319	-94.283	236.083	236.088	236.101	236.114	236.101	236.119	236.116	236.104	236.119	236.104	236.101	236.119	236.094	236.118	236.119	236.118	236.119	236.140	236.119	236.103	236.118	236.125	236.119	236.095	236.101	236.101	236.103	236.101	236.101	236.103	236.120	236.140	2016_7_19_17_00_14
FLQS22TQGRX2____	-64.146	-64.072	-63.992	-64.034	-64.040	-63.999	-63.961	-64.034	-63.999	-64.034	-64.040	-63.993	-64.033	-63.992	-63.994	-63.992	-63.993	-64.001	-63.994	-63.999	-63.992	-64.001	-63.994	-64.036	-63.992	-63.992	-63.999	-63.992	-64.040	-63.999	-64.000	-64.001	-94.340	-94.303	-94.273	-94.339	-94.309	-94.301	-94.278	-94.302	-94.301	-94.302	-94.309	-94.308	-94.269	-94.301	-94.341	-94.301	-94.308	-94.310	-94.341	-94.308	-94.301	-94.344	-94.341	-94.305	-94.273	-94.273	-94.308	-94.273	-94.309	-94.308	-94.339	-94.310	235.501	235.521	235.546	235.547	235.536	235.551	235.560	235.537	235.551	235.537	235.536	235.555	235.527	235.554	235.564	235.554	235.555	235.553	235.564	235.553	235.554	235.562	235.564	235.537	235.546	235.546	235.553	235.546	235.536	235.553	235.561	235.553	2016_7_19_17_00_14
FLQS21YXGRX2____	-64.086	-64.056	-63.979	-64.020	-63.983	-63.982	-63.947	-64.019	-63.982	-64.019	-63.983	-63.978	-64.020	-63.978	-63.979	-63.978	-63.978	-63.988	-63.979	-63.984	-63.978	-63.897	-63.979	-64.022	-63.979	-63.979	-63.984	-63.979	-63.983	-63.984	-63.986	-63.988	-94.192	-94.162	-94.126	-94.198	-94.132	-94.162	-94.131	-94.160	-94.162	-94.160	-94.132	-94.162	-94.129	-94.192	-94.197	-94.192	-94.162	-94.241	-94.197	-94.166	-94.192	-94.205	-94.197	-94.166	-94.126	-94.126	-94.166	-94.126	-94.132	-94.166	-94.231	-94.241	235.431	235.435	235.457	235.461	235.457	235.466	235.472	235.450	235.466	235.450	235.457	235.468	235.441	235.476	235.477	235.476	235.468	235.486	235.477	235.466	235.476	235.514	235.477	235.451	235.457	235.457	235.466	235.457	235.457	235.466	235.484	235.486	2016_7_19_17_00_14
FLQS2AVTGRX5____	-64.356	-64.324	-64.209	-64.250	-64.212	-64.249	-64.174	-64.249	-64.249	-64.249	-64.212	-64.253	-64.248	-64.208	-64.210	-64.208	-64.253	-64.213	-64.210	-64.250	-64.208	-64.213	-64.210	-64.249	-64.209	-64.209	-64.250	-64.209	-64.212	-64.250	-64.250	-64.213	-94.290	-94.288	-94.255	-94.325	-94.254	-94.323	-94.254	-94.285	-94.323	-94.285	-94.254	-94.325	-94.252	-94.289	-94.326	-94.289	-94.325	-94.290	-94.326	-94.293	-94.289	-94.324	-94.326	-94.289	-94.255	-94.255	-94.293	-94.255	-94.254	-94.293	-94.328	-94.290	235.355	235.367	235.406	235.409	235.404	235.408	235.419	235.397	235.408	235.397	235.404	235.407	235.388	235.415	235.425	235.415	235.407	235.414	235.425	235.399	235.415	235.423	235.425	235.399	235.406	235.406	235.399	235.406	235.404	235.399	235.409	235.414	2016_7_19_17_00_15
FLQS3087GRWV____	-64.375	-64.344	-64.266	-64.306	-64.271	-64.271	-64.233	-64.307	-64.271	-64.307	-64.271	-64.267	-64.306	-64.266	-64.266	-64.266	-64.267	-64.231	-64.266	-64.270	-64.266	-64.231	-64.266	-64.307	-64.266	-64.266	-64.270	-64.266	-64.271	-64.270	-64.272	-64.231	-94.228	-94.226	-94.194	-94.264	-94.197	-94.228	-94.199	-94.225	-94.228	-94.225	-94.197	-94.229	-94.193	-94.224	-94.263	-94.224	-94.229	-94.230	-94.263	-94.231	-94.224	-94.263	-94.263	-94.229	-94.194	-94.194	-94.231	-94.194	-94.197	-94.231	-94.296	-94.230	235.369	235.381	235.405	235.408	235.403	235.412	235.420	235.397	235.412	235.397	235.403	235.414	235.388	235.413	235.424	235.413	235.414	235.429	235.424	235.413	235.413	235.439	235.424	235.398	235.405	235.405	235.413	235.405	235.403	235.413	235.431	235.429	2016_7_19_17_00_15
