SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-57.967	-57.893	-57.896	-57.894	-57.893	-57.961	-57.893	-57.892	-57.927	-57.931	-57.893	-57.963	-57.863	-57.897	-57.931	-57.863	-57.824	-57.929	-57.892	-57.862	-57.964	-57.964	-57.932	-57.892	-57.825	-57.966	-57.863	-57.928	-57.896	-57.963	-57.966	-57.967	-57.835	-57.762	-57.870	-57.868	-57.797	-57.868	-57.868	-57.831	-57.938	-57.835	-57.797	-57.831	-57.870	-57.800	-57.940	-57.799	-57.868	-57.797	-57.901	-57.764	-57.900	-57.801	-57.906	-57.798	-57.761	-57.799	-57.835	-57.798	-57.836	-57.729	-57.900	-57.835	224.598	224.598	224.650	224.650	224.616	224.617	224.651	224.633	224.668	224.616	224.616	224.598	224.667	224.615	224.667	224.631	224.685	224.598	224.667	224.614	224.631	224.582	224.650	224.617	224.631	224.581	224.649	224.598	224.633	224.547	224.630	224.598	2016_7_19_16_59_43
FLQS30KBGRWV____	-57.817	-57.745	-57.746	-57.712	-57.744	-57.781	-57.743	-57.744	-57.746	-57.741	-57.744	-57.814	-57.679	-57.714	-57.749	-57.675	-57.676	-57.779	-57.744	-57.712	-57.815	-57.815	-57.780	-57.742	-57.676	-57.815	-57.713	-57.747	-57.746	-57.814	-57.817	-57.817	-57.940	-57.870	-57.977	-57.975	-57.905	-57.975	-57.937	-57.938	-58.047	-57.903	-57.905	-57.901	-57.976	-57.864	-58.050	-57.909	-57.977	-57.903	-57.969	-57.869	-58.007	-57.907	-57.973	-57.864	-57.866	-57.905	-57.904	-57.906	-57.905	-57.834	-57.976	-57.940	225.398	225.399	225.451	225.467	225.417	225.433	225.433	225.433	225.486	225.417	225.417	225.380	225.484	225.411	225.486	225.453	225.486	225.399	225.449	225.415	225.432	225.382	225.433	225.398	225.431	225.381	225.432	225.416	225.416	225.347	225.416	225.398	2016_7_19_16_59_43
FLQS30CWGRWV____	-57.872	-57.835	-57.869	-57.837	-57.834	-57.873	-57.867	-57.836	-57.905	-57.871	-57.834	-57.903	-57.804	-57.799	-57.906	-57.805	-57.796	-57.869	-57.868	-57.765	-57.940	-57.939	-57.872	-57.833	-57.766	-57.870	-57.803	-57.871	-57.836	-57.938	-57.909	-57.872	-57.830	-57.806	-57.913	-57.910	-57.798	-57.910	-57.913	-57.875	-57.984	-57.833	-57.798	-57.833	-57.912	-57.797	-57.984	-57.841	-57.914	-57.795	-57.948	-57.761	-57.943	-57.843	-57.907	-57.846	-57.803	-57.797	-57.833	-57.840	-57.833	-57.768	-57.911	-57.830	224.642	224.648	224.685	224.699	224.645	224.681	224.686	224.682	224.702	224.645	224.645	224.629	224.716	224.662	224.701	224.681	224.722	224.626	224.702	224.661	224.664	224.615	224.680	224.669	224.681	224.627	224.678	224.647	224.661	224.579	224.664	224.642	2016_7_19_16_59_43
FLQS30C7GRWV____	-57.704	-57.631	-57.632	-57.632	-57.629	-57.667	-57.628	-57.630	-57.663	-57.667	-57.629	-57.696	-57.597	-57.591	-57.668	-57.557	-57.594	-57.662	-57.631	-57.596	-57.735	-57.702	-57.669	-57.663	-57.554	-57.702	-57.598	-57.667	-57.633	-57.700	-57.703	-57.704	-57.925	-57.818	-57.924	-57.922	-57.853	-57.922	-57.963	-57.886	-58.028	-57.926	-57.853	-57.925	-57.924	-57.853	-58.032	-57.853	-57.922	-57.851	-57.994	-57.816	-57.955	-57.891	-57.997	-57.893	-57.812	-57.891	-57.888	-57.853	-57.927	-57.782	-57.923	-57.925	224.773	224.756	224.808	224.807	224.774	224.789	224.829	224.790	224.844	224.791	224.774	224.777	224.825	224.793	224.843	224.810	224.825	224.757	224.843	224.772	224.772	224.756	224.825	224.777	224.791	224.757	224.806	224.755	224.809	224.704	224.772	224.773	2016_7_19_16_59_44
FLQS29JFGRX5____	-57.847	-57.810	-57.777	-57.809	-57.808	-57.809	-57.774	-57.808	-57.849	-57.811	-57.808	-57.845	-57.744	-57.779	-57.811	-57.779	-57.740	-57.811	-57.809	-57.745	-57.846	-57.846	-57.812	-57.808	-57.709	-57.846	-57.745	-57.810	-57.778	-57.922	-57.845	-57.847	-57.897	-57.869	-57.931	-57.932	-57.865	-57.931	-57.930	-57.933	-58.039	-57.897	-57.865	-57.898	-57.930	-57.899	-57.999	-57.912	-57.930	-57.864	-57.963	-57.864	-57.965	-57.862	-57.964	-57.862	-57.824	-57.861	-57.898	-57.901	-57.897	-57.886	-57.972	-57.897	225.362	225.366	225.413	225.398	225.365	225.397	225.414	225.399	225.431	225.379	225.365	225.364	225.429	225.397	225.430	225.403	225.431	225.363	225.413	225.396	225.396	225.345	225.413	225.363	225.394	225.344	225.413	225.382	225.396	225.319	225.400	225.362	2016_7_19_16_59_44
FLQS22XEGRX2____	-57.836	-57.763	-57.766	-57.765	-57.764	-57.801	-57.762	-57.765	-57.799	-57.799	-57.764	-57.831	-57.731	-57.766	-57.800	-57.731	-57.727	-57.797	-57.762	-57.731	-57.833	-57.835	-57.800	-57.762	-57.694	-57.835	-57.732	-57.799	-57.766	-57.834	-57.836	-57.836	-57.872	-57.800	-57.907	-57.904	-57.835	-57.906	-57.907	-57.869	-57.975	-57.873	-57.835	-57.870	-57.907	-57.839	-57.977	-57.838	-57.905	-57.835	-57.905	-57.802	-57.937	-57.839	-57.910	-57.837	-57.766	-57.836	-57.873	-57.836	-57.873	-57.766	-57.906	-57.872	224.681	224.681	224.733	224.732	224.698	224.715	224.735	224.714	224.750	224.699	224.698	224.682	224.750	224.699	224.750	224.716	224.751	224.682	224.734	224.698	224.714	224.665	224.717	224.700	224.699	224.664	224.732	224.681	224.716	224.629	224.698	224.681	2016_7_19_16_59_44
FLQS22TQGRX2____	-57.749	-57.708	-57.646	-57.677	-57.714	-57.713	-57.677	-57.677	-57.712	-57.715	-57.714	-57.747	-57.644	-57.677	-57.715	-57.643	-57.607	-57.711	-57.675	-57.643	-57.748	-57.748	-57.715	-57.677	-57.606	-57.750	-57.645	-57.713	-57.679	-57.746	-57.747	-57.749	-57.923	-57.891	-58.029	-57.996	-57.923	-57.997	-58.026	-57.991	-58.068	-57.988	-57.923	-57.992	-57.996	-57.924	-58.067	-57.923	-58.025	-57.924	-58.030	-57.888	-58.062	-57.926	-58.031	-57.957	-57.887	-57.955	-57.959	-57.926	-57.993	-57.853	-57.999	-57.923	225.423	225.428	225.527	225.495	225.441	225.478	225.510	225.493	225.513	225.472	225.441	225.459	225.511	225.460	225.511	225.476	225.544	225.442	225.513	225.459	225.492	225.425	225.493	225.476	225.476	225.439	225.493	225.443	225.492	225.390	225.462	225.423	2016_7_19_16_59_44
FLQS21YXGRX2____	-57.653	-57.619	-57.582	-57.617	-57.616	-57.652	-57.616	-57.616	-57.654	-57.654	-57.616	-57.646	-57.584	-57.620	-57.653	-57.549	-57.548	-57.652	-57.615	-57.586	-57.688	-57.653	-57.654	-57.616	-57.551	-57.689	-57.585	-57.653	-57.619	-57.688	-57.688	-57.653	-57.817	-57.749	-57.851	-57.852	-57.783	-57.851	-57.852	-57.815	-57.918	-57.815	-57.783	-57.816	-57.849	-57.780	-57.918	-57.742	-57.850	-57.781	-57.884	-57.743	-57.884	-57.782	-57.885	-57.782	-57.743	-57.781	-57.815	-57.782	-57.816	-57.710	-57.853	-57.817	224.744	224.728	224.796	224.780	224.746	224.762	224.780	224.762	224.794	224.743	224.746	224.747	224.795	224.742	224.795	224.759	224.813	224.727	224.796	224.741	224.760	224.727	224.777	224.745	224.758	224.709	224.777	224.727	224.761	224.674	224.745	224.744	2016_7_19_16_59_44
FLQS2AVTGRX5____	-57.848	-57.775	-57.777	-57.775	-57.773	-57.810	-57.774	-57.774	-57.842	-57.812	-57.773	-57.841	-57.744	-57.779	-57.812	-57.744	-57.706	-57.807	-57.775	-57.745	-57.878	-57.847	-57.812	-57.773	-57.707	-57.847	-57.745	-57.810	-57.778	-57.847	-57.847	-57.848	-57.971	-57.902	-58.005	-58.005	-57.937	-58.005	-58.006	-57.969	-58.075	-57.972	-57.937	-57.972	-58.005	-57.936	-58.075	-57.935	-58.005	-57.939	-58.038	-57.901	-58.040	-57.936	-58.042	-57.935	-57.900	-57.969	-57.971	-57.935	-57.971	-57.900	-58.040	-57.971	225.398	225.400	225.450	225.451	225.418	225.433	225.451	225.434	225.452	225.416	225.418	225.402	225.466	225.415	225.467	225.432	225.485	225.402	225.467	225.415	225.417	225.381	225.451	225.418	225.432	225.397	225.449	225.399	225.433	225.363	225.433	225.398	2016_7_19_16_59_44
FLQS3087GRWV____	-57.899	-57.826	-57.828	-57.826	-57.825	-57.861	-57.826	-57.826	-57.865	-57.863	-57.825	-57.899	-57.794	-57.831	-57.863	-57.797	-57.757	-57.863	-57.825	-57.798	-57.901	-57.930	-57.863	-57.825	-57.759	-57.899	-57.795	-57.862	-57.828	-57.898	-57.896	-57.899	-57.963	-57.894	-57.997	-57.998	-57.930	-57.999	-57.998	-57.963	-58.069	-57.963	-57.930	-57.964	-57.998	-57.929	-58.068	-57.929	-57.998	-57.930	-58.032	-57.894	-58.032	-57.959	-58.034	-57.929	-57.890	-57.928	-57.964	-57.929	-57.964	-57.860	-57.999	-57.963	224.695	224.696	224.747	224.748	224.715	224.731	224.748	224.731	224.764	224.712	224.715	224.695	224.764	224.711	224.765	224.728	224.782	224.696	224.765	224.711	224.728	224.677	224.747	224.714	224.728	224.677	224.747	224.696	224.730	224.644	224.714	224.695	2016_7_19_16_59_45
