SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-54.749	-54.930	-54.966	-54.895	-54.752	-54.787	-54.793	-54.899	-54.722	-55.072	-54.727	-54.831	-54.625	-54.551	-54.267	-54.232	-53.504	-53.952	-53.952	-54.267	-53.917	-54.652	-53.812	-53.809	-53.917	-53.847	-53.777	-53.777	-53.707	-53.856	-53.987	-54.057	-131.495	-131.463	-131.422	-131.569	-131.599	-131.707	-131.780	-131.884	-131.519	-131.694	-131.883	-131.916	-132.057	-131.985	-132.184	-132.149	-132.449	-132.219	-131.869	-132.499	-132.534	-131.659	-132.604	-132.547	-132.534	-132.674	-132.709	-132.814	-132.814	-132.482	-132.394	-132.534	247.631	247.559	247.539	247.588	247.646	247.650	247.658	247.635	247.644	247.542	247.699	247.665	247.763	247.780	247.915	247.923	248.239	248.038	247.984	247.963	248.098	247.692	248.148	248.140	248.098	248.145	248.177	248.192	248.218	248.113	248.051	248.046	2016_7_19_16_58_03
FLQS30KBGRWV____	-54.441	-54.582	-54.617	-54.547	-54.443	-54.479	-54.444	-54.549	-54.372	-54.721	-54.381	-54.487	-54.274	-54.240	-53.892	-53.889	-53.152	-53.600	-53.606	-53.854	-53.501	-54.305	-53.390	-53.457	-53.542	-53.495	-53.397	-53.364	-53.326	-53.503	-53.635	-53.677	-131.511	-131.481	-131.437	-131.586	-131.612	-131.725	-131.798	-131.902	-131.471	-131.648	-131.895	-131.935	-132.072	-131.995	-132.135	-132.109	-132.432	-132.239	-131.825	-132.463	-132.500	-131.617	-132.624	-132.530	-132.489	-132.694	-132.702	-132.783	-132.811	-132.500	-132.414	-132.495	247.258	247.201	247.181	247.230	247.273	247.277	247.301	247.278	247.278	247.175	247.339	247.306	247.406	247.407	247.558	247.555	247.878	247.682	247.617	247.621	247.758	247.325	247.818	247.779	247.741	247.790	247.827	247.851	247.870	247.757	247.695	247.692	2016_7_19_16_58_03
FLQS30CWGRWV____	-54.636	-54.778	-54.812	-54.741	-54.638	-54.673	-54.638	-54.745	-54.568	-54.950	-54.607	-54.708	-54.468	-54.431	-54.047	-54.085	-53.349	-53.732	-53.802	-54.049	-53.734	-54.498	-53.583	-53.655	-53.758	-53.629	-53.561	-53.562	-53.526	-53.700	-53.828	-53.840	-131.567	-131.534	-131.492	-131.639	-131.671	-131.778	-131.850	-131.952	-131.531	-131.733	-131.986	-132.020	-132.129	-132.055	-132.198	-132.163	-132.483	-132.340	-131.888	-132.514	-132.548	-131.671	-132.680	-132.585	-132.610	-132.694	-132.727	-132.834	-132.833	-132.555	-132.470	-132.553	247.736	247.678	247.659	247.708	247.751	247.755	247.779	247.755	247.756	247.645	247.812	247.779	247.885	247.887	248.051	248.032	248.354	248.190	248.096	248.099	248.221	247.803	248.297	248.256	248.221	248.282	248.312	248.328	248.341	248.234	248.174	248.182	2016_7_19_16_58_03
FLQS30C7GRWV____	-54.447	-54.622	-54.658	-54.584	-54.449	-54.483	-54.483	-54.591	-54.414	-54.762	-54.420	-54.489	-54.314	-54.246	-53.893	-53.927	-53.193	-53.592	-53.609	-53.856	-53.543	-54.308	-53.452	-53.462	-53.543	-53.487	-53.404	-53.405	-53.347	-53.557	-53.627	-53.697	-131.563	-131.526	-131.489	-131.667	-131.666	-131.774	-131.841	-131.947	-131.523	-131.697	-131.947	-131.983	-132.120	-132.051	-132.188	-132.155	-132.468	-132.297	-131.877	-132.508	-132.541	-131.666	-132.612	-132.575	-132.534	-132.752	-132.712	-132.818	-132.822	-132.542	-132.402	-132.542	247.834	247.763	247.744	247.799	247.849	247.853	247.863	247.839	247.840	247.737	247.903	247.883	247.969	247.983	248.135	248.117	248.438	248.263	248.194	248.197	248.318	247.901	248.363	248.354	248.317	248.371	248.396	248.411	248.433	248.313	248.266	248.261	2016_7_19_16_58_03
FLQS29JFGRX5____	-54.450	-54.628	-54.663	-54.592	-54.454	-54.525	-54.490	-54.597	-54.418	-54.767	-54.428	-54.496	-54.320	-54.254	-53.908	-53.943	-53.206	-53.587	-53.663	-53.905	-53.552	-54.363	-53.449	-53.471	-53.553	-53.483	-53.415	-53.416	-53.347	-53.558	-53.623	-53.693	-131.498	-131.467	-131.423	-131.573	-131.600	-131.712	-131.786	-131.888	-131.459	-131.634	-131.882	-131.921	-132.059	-131.986	-132.129	-132.094	-132.420	-132.237	-131.814	-132.452	-132.486	-131.604	-132.557	-132.526	-132.480	-132.627	-132.655	-132.768	-132.770	-132.549	-132.349	-132.486	247.201	247.130	247.110	247.160	247.215	247.206	247.230	247.206	247.207	247.104	247.268	247.249	247.335	247.349	247.499	247.480	247.804	247.635	247.542	247.549	247.685	247.249	247.734	247.721	247.684	247.732	247.761	247.778	247.804	247.692	247.638	247.633	2016_7_19_16_58_03
FLQS22XEGRX2____	-54.376	-54.517	-54.552	-54.480	-54.376	-54.444	-54.376	-54.511	-54.306	-54.653	-54.344	-54.449	-54.234	-54.169	-53.818	-53.821	-53.082	-53.501	-53.538	-53.813	-53.431	-54.238	-53.323	-53.384	-53.463	-53.358	-53.290	-53.324	-53.255	-53.433	-53.536	-53.600	-131.621	-131.591	-131.549	-131.696	-131.725	-131.831	-131.903	-132.006	-131.586	-131.758	-132.005	-132.040	-132.177	-132.107	-132.241	-132.182	-132.529	-132.345	-131.897	-132.559	-132.562	-131.726	-132.668	-132.627	-132.585	-132.736	-132.768	-132.872	-132.873	-132.564	-132.454	-132.592	247.851	247.794	247.774	247.824	247.866	247.858	247.894	247.859	247.871	247.769	247.921	247.888	247.988	248.002	248.153	248.143	248.470	248.286	248.205	248.202	248.345	247.918	248.401	248.372	248.336	248.398	248.428	248.431	248.457	248.344	248.290	248.286	2016_7_19_16_58_03
FLQS22TQGRX2____	-54.348	-54.453	-54.487	-54.416	-54.350	-54.385	-54.351	-54.457	-54.280	-54.629	-54.287	-54.390	-54.179	-54.110	-53.759	-53.792	-53.063	-53.448	-53.513	-53.759	-53.410	-54.175	-53.308	-53.362	-53.413	-53.341	-53.271	-53.272	-53.202	-53.413	-53.479	-53.551	-131.692	-131.628	-131.589	-131.734	-131.796	-131.871	-131.940	-132.046	-131.621	-131.797	-132.046	-132.080	-132.219	-132.146	-132.284	-132.291	-132.566	-132.391	-131.971	-132.602	-132.635	-131.762	-132.707	-132.702	-132.631	-132.775	-132.808	-132.915	-132.919	-132.636	-132.532	-132.637	247.289	247.240	247.221	247.270	247.304	247.303	247.326	247.303	247.303	247.201	247.366	247.333	247.432	247.446	247.598	247.587	247.899	247.730	247.642	247.646	247.780	247.364	247.829	247.808	247.779	247.827	247.858	247.874	247.900	247.780	247.739	247.728	2016_7_19_16_58_03
FLQS21YXGRX2____	-54.634	-54.723	-54.759	-54.727	-54.634	-54.658	-54.625	-54.730	-54.517	-54.914	-54.564	-54.665	-54.454	-54.389	-54.034	-54.072	-53.339	-53.722	-53.746	-54.033	-53.685	-54.446	-53.584	-53.604	-53.688	-53.619	-53.549	-53.550	-53.479	-53.759	-53.759	-53.829	-131.496	-131.469	-131.427	-131.575	-131.601	-131.713	-131.786	-131.890	-131.460	-131.706	-131.881	-131.922	-132.059	-131.986	-132.123	-132.094	-132.476	-132.232	-131.813	-132.448	-132.484	-131.606	-132.546	-132.522	-132.473	-132.616	-132.654	-132.763	-132.764	-132.546	-132.336	-132.476	247.100	247.063	247.043	247.078	247.116	247.125	247.148	247.125	247.138	247.028	247.185	247.154	247.253	247.266	247.419	247.400	247.730	247.551	247.479	247.469	247.603	247.187	247.650	247.639	247.601	247.647	247.679	247.695	247.721	247.585	247.553	247.548	2016_7_19_16_58_04
FLQS2AVTGRX5____	-54.489	-54.593	-54.665	-54.622	-54.491	-54.525	-54.490	-54.595	-54.420	-54.768	-54.426	-54.529	-54.318	-54.252	-53.902	-53.935	-53.200	-53.584	-53.652	-53.899	-53.548	-54.350	-53.443	-53.501	-53.551	-53.479	-53.411	-53.411	-53.339	-53.551	-53.621	-53.689	-131.565	-131.538	-131.494	-131.672	-131.667	-131.781	-131.853	-131.957	-131.527	-131.699	-131.948	-131.989	-132.127	-132.054	-132.193	-132.162	-132.486	-132.306	-131.886	-132.517	-132.552	-131.672	-132.622	-132.586	-132.546	-132.692	-132.722	-132.835	-132.835	-132.554	-132.413	-132.554	247.172	247.129	247.095	247.139	247.187	247.192	247.216	247.193	247.192	247.089	247.254	247.222	247.321	247.335	247.486	247.469	247.791	247.621	247.532	247.536	247.671	247.240	247.721	247.694	247.670	247.718	247.748	247.765	247.792	247.671	247.624	247.619	2016_7_19_16_58_04
FLQS3087GRWV____	-54.712	-54.782	-54.817	-54.817	-54.642	-54.747	-54.643	-54.747	-54.572	-54.922	-54.580	-54.683	-54.537	-54.407	-54.047	-54.152	-53.417	-53.736	-53.802	-54.117	-53.767	-54.502	-53.662	-53.662	-53.767	-53.697	-53.627	-53.627	-53.557	-53.697	-53.837	-53.885	-131.641	-131.606	-131.571	-131.711	-131.746	-131.851	-131.877	-132.026	-131.606	-131.781	-131.978	-132.047	-132.201	-132.085	-132.271	-132.236	-132.551	-132.367	-131.956	-132.586	-132.621	-131.746	-132.691	-132.656	-132.621	-132.761	-132.796	-132.901	-132.901	-132.621	-132.481	-132.611	247.141	247.109	247.091	247.113	247.183	247.160	247.203	247.187	247.187	247.085	247.242	247.214	247.292	247.322	247.484	247.440	247.760	247.614	247.527	247.506	247.641	247.235	247.690	247.685	247.641	247.688	247.719	247.735	247.761	247.667	247.594	247.595	2016_7_19_16_58_04
