SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-62.982	-63.121	-63.192	-63.015	-63.018	-63.054	-62.943	-62.977	-62.844	-62.844	-62.808	-62.875	-62.687	-62.736	-62.805	-62.735	-62.718	-62.769	-62.699	-62.769	-62.735	-62.768	-62.804	-62.703	-62.698	-62.838	-62.736	-62.697	-62.841	-62.699	-62.767	-62.734	143.208	143.422	143.490	143.525	143.453	143.489	143.559	143.595	143.559	143.455	143.524	143.350	143.343	143.346	143.454	143.276	143.306	143.485	143.480	143.524	143.561	143.489	143.384	143.525	143.489	143.489	143.595	143.560	143.281	143.523	143.383	143.525	113.807	113.822	113.836	113.771	113.783	113.790	113.742	113.748	113.709	113.724	113.702	113.750	113.688	113.704	113.711	113.714	113.704	113.695	113.672	113.689	113.672	113.694	113.721	113.667	113.670	113.717	113.668	113.660	113.749	113.665	113.709	113.677	2016_7_19_17_07_47
FLQS30KBGRWV____	-62.952	-63.101	-63.168	-62.991	-62.993	-63.025	-62.921	-62.955	-62.804	-62.806	-62.769	-62.852	-62.662	-62.712	-62.781	-62.705	-62.696	-62.738	-62.660	-62.746	-62.706	-62.746	-62.783	-62.664	-62.676	-62.815	-62.705	-62.674	-62.817	-62.675	-62.746	-62.709	143.163	143.418	143.447	143.480	143.410	143.446	143.515	143.550	143.515	143.409	143.478	143.305	143.331	143.300	143.412	143.228	143.296	143.438	143.432	143.480	143.514	143.447	143.340	143.479	143.445	143.447	143.549	143.514	143.235	143.479	143.341	143.482	113.707	113.719	113.738	113.674	113.684	113.690	113.645	113.651	113.606	113.622	113.600	113.653	113.585	113.606	113.613	113.615	113.602	113.595	113.570	113.591	113.573	113.596	113.624	113.564	113.573	113.619	113.568	113.562	113.652	113.568	113.612	113.579	2016_7_19_17_07_47
FLQS30CWGRWV____	-62.819	-62.962	-63.033	-62.855	-62.858	-62.925	-62.785	-62.819	-62.668	-62.668	-62.633	-62.719	-62.489	-62.577	-62.646	-62.570	-62.548	-62.605	-62.559	-62.611	-62.570	-62.612	-62.650	-62.529	-62.543	-62.681	-62.569	-62.541	-62.685	-62.543	-62.613	-62.574	143.221	143.438	143.504	143.538	143.467	143.507	143.572	143.607	143.569	143.464	143.532	143.361	143.383	143.358	143.469	143.285	143.310	143.493	143.492	143.537	143.570	143.504	143.396	143.534	143.501	143.504	143.605	143.570	143.292	143.535	143.398	143.539	113.688	113.704	113.718	113.654	113.665	113.682	113.625	113.632	113.586	113.602	113.580	113.634	113.554	113.587	113.594	113.595	113.584	113.576	113.561	113.572	113.554	113.577	113.606	113.545	113.554	113.600	113.548	113.544	113.633	113.549	113.593	113.559	2016_7_19_17_07_48
FLQS30C7GRWV____	-63.071	-63.206	-63.273	-63.104	-63.104	-63.138	-63.033	-63.066	-62.930	-62.929	-62.894	-62.964	-62.776	-62.816	-62.894	-62.812	-62.810	-62.858	-62.776	-62.858	-62.824	-62.859	-62.895	-62.791	-62.788	-62.929	-62.823	-62.787	-62.929	-62.790	-62.858	-62.822	143.144	143.359	143.427	143.461	143.391	143.426	143.495	143.531	143.495	143.390	143.458	143.286	143.280	143.248	143.391	143.174	143.244	143.421	143.381	143.461	143.495	143.426	143.320	143.461	143.426	143.425	143.530	143.496	143.216	143.459	143.319	143.462	113.706	113.720	113.732	113.671	113.681	113.687	113.642	113.647	113.607	113.622	113.601	113.649	113.587	113.605	113.610	113.615	113.604	113.594	113.573	113.588	113.571	113.593	113.621	113.566	113.570	113.617	113.566	113.559	113.648	113.565	113.609	113.576	2016_7_19_17_07_48
FLQS29JFGRX5____	-62.790	-62.937	-63.009	-62.832	-62.826	-62.870	-62.753	-62.786	-62.618	-62.616	-62.615	-62.692	-62.468	-62.513	-62.613	-62.543	-62.502	-62.544	-62.501	-62.578	-62.545	-62.577	-62.584	-62.476	-62.510	-62.617	-62.545	-62.508	-62.649	-62.508	-62.548	-62.543	143.155	143.408	143.473	143.510	143.403	143.474	143.508	143.543	143.505	143.400	143.476	143.335	143.324	143.290	143.405	143.223	143.288	143.429	143.429	143.474	143.509	143.438	143.330	143.471	143.439	143.437	143.544	143.506	143.228	143.473	143.331	143.473	113.810	113.822	113.836	113.772	113.785	113.789	113.745	113.751	113.701	113.715	113.704	113.750	113.677	113.697	113.713	113.717	113.693	113.687	113.673	113.692	113.676	113.697	113.715	113.658	113.674	113.710	113.670	113.663	113.751	113.668	113.702	113.680	2016_7_19_17_07_48
FLQS22XEGRX2____	-62.878	-63.014	-63.119	-62.911	-62.912	-62.949	-62.838	-62.872	-62.738	-62.740	-62.710	-62.770	-62.590	-62.633	-62.698	-62.633	-62.624	-62.664	-62.598	-62.661	-62.630	-62.664	-62.702	-62.599	-62.592	-62.732	-62.629	-62.591	-62.737	-62.593	-62.667	-62.628	143.158	143.334	143.445	143.476	143.406	143.440	143.510	143.546	143.511	143.406	143.473	143.300	143.290	143.298	143.408	143.226	143.254	143.436	143.430	143.477	143.511	143.440	143.334	143.476	143.441	143.442	143.546	143.512	143.231	143.474	143.333	143.478	113.558	113.578	113.597	113.523	113.533	113.541	113.493	113.499	113.460	113.476	113.456	113.501	113.442	113.455	113.461	113.466	113.459	113.446	113.424	113.439	113.423	113.445	113.473	113.418	113.421	113.468	113.418	113.410	113.500	113.416	113.462	113.428	2016_7_19_17_07_48
FLQS22TQGRX2____	-62.948	-63.126	-63.196	-63.021	-63.017	-63.060	-62.942	-62.975	-62.812	-62.842	-62.810	-62.880	-62.665	-62.705	-62.801	-62.734	-62.700	-62.736	-62.698	-62.766	-62.735	-62.773	-62.803	-62.703	-62.697	-62.845	-62.734	-62.696	-62.838	-62.705	-62.770	-62.739	143.084	143.341	143.408	143.443	143.334	143.406	143.441	143.477	143.439	143.336	143.408	143.267	143.255	143.223	143.337	143.156	143.220	143.363	143.361	143.406	143.442	143.406	143.263	143.407	143.371	143.406	143.477	143.441	143.161	143.441	143.265	143.443	113.867	113.889	113.902	113.838	113.853	113.857	113.812	113.818	113.769	113.794	113.773	113.817	113.747	113.765	113.780	113.784	113.763	113.755	113.742	113.758	113.743	113.761	113.792	113.737	113.740	113.785	113.737	113.730	113.818	113.733	113.780	113.744	2016_7_19_17_07_48
FLQS21YXGRX2____	-62.635	-62.775	-62.845	-62.670	-62.673	-62.708	-62.598	-62.633	-62.492	-62.492	-62.457	-62.529	-62.346	-62.391	-62.460	-62.387	-62.364	-62.422	-62.346	-62.425	-62.388	-62.424	-62.460	-62.351	-62.355	-62.494	-62.388	-62.354	-62.496	-62.354	-62.423	-62.389	143.223	143.437	143.504	143.540	143.467	143.504	143.574	143.610	143.573	143.469	143.539	143.365	143.393	143.360	143.468	143.290	143.319	143.499	143.493	143.538	143.574	143.504	143.399	143.538	143.503	143.504	143.609	143.573	143.294	143.538	143.399	143.538	113.535	113.551	113.565	113.501	113.512	113.519	113.472	113.478	113.436	113.451	113.429	113.479	113.413	113.433	113.441	113.442	113.430	113.423	113.399	113.419	113.401	113.423	113.451	113.394	113.400	113.447	113.396	113.390	113.478	113.395	113.438	113.407	2016_7_19_17_07_48
FLQS2AVTGRX5____	-62.929	-63.067	-63.138	-62.964	-62.963	-62.999	-62.891	-62.924	-62.796	-62.795	-62.762	-62.820	-62.683	-62.682	-62.751	-62.681	-62.682	-62.714	-62.682	-62.715	-62.686	-62.716	-62.753	-62.655	-62.645	-62.785	-62.685	-62.646	-62.786	-62.646	-62.717	-62.681	143.153	143.369	143.437	143.471	143.401	143.436	143.506	143.542	143.506	143.401	143.472	143.296	143.327	143.294	143.402	143.222	143.291	143.432	143.431	143.472	143.507	143.436	143.330	143.472	143.437	143.436	143.542	143.506	143.227	143.470	143.330	143.472	113.573	113.587	113.601	113.538	113.548	113.555	113.508	113.514	113.476	113.492	113.470	113.515	113.465	113.469	113.477	113.480	113.470	113.460	113.449	113.454	113.439	113.460	113.488	113.434	113.436	113.483	113.434	113.426	113.514	113.431	113.476	113.443	2016_7_19_17_07_48
FLQS3087GRWV____	-63.352	-63.529	-63.599	-63.391	-63.391	-63.459	-63.318	-63.375	-63.247	-63.249	-63.183	-63.278	-63.069	-63.141	-63.212	-63.107	-63.138	-63.139	-63.136	-63.142	-63.112	-63.143	-63.180	-63.075	-63.074	-63.242	-63.139	-63.071	-63.245	-63.073	-63.143	-63.109	143.149	143.366	143.434	143.466	143.396	143.434	143.501	143.508	143.505	143.400	143.468	143.296	143.321	143.291	143.399	143.218	143.289	143.428	143.429	143.467	143.502	143.432	143.326	143.468	143.432	143.434	143.540	143.503	143.226	143.467	143.325	143.467	113.871	113.898	113.911	113.837	113.847	113.864	113.807	113.825	113.783	113.799	113.767	113.824	113.750	113.779	113.787	113.778	113.778	113.758	113.757	113.753	113.738	113.759	113.787	113.731	113.736	113.792	113.742	113.724	113.823	113.730	113.775	113.742	2016_7_19_17_07_48
