SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-36.305	-36.170	-36.135	-36.135	-36.135	-36.173	-36.128	-36.217	-36.055	-36.135	-36.128	-36.135	-36.056	-36.210	-36.090	-36.055	-36.132	-36.138	-36.089	-36.089	-36.175	-36.055	-36.126	-36.175	-36.175	-36.174	-36.175	-36.092	-36.175	-36.175	-36.077	-36.170	140.015	140.052	140.085	140.085	140.085	140.121	140.057	140.089	140.053	140.085	140.018	140.085	140.090	140.152	140.120	140.087	139.988	140.087	140.153	140.153	140.052	140.087	140.088	140.020	140.052	140.021	140.082	140.119	140.052	140.051	140.061	140.088	104.604	104.548	104.532	104.532	104.532	104.542	104.532	104.563	104.504	104.532	104.535	104.532	104.500	104.554	104.511	104.501	104.540	104.532	104.507	104.507	104.550	104.501	104.528	104.553	104.550	104.552	104.547	104.511	104.550	104.550	104.512	104.545	2016_7_19_17_06_52
FLQS30KBGRWV____	-36.348	-36.251	-36.214	-36.214	-36.214	-36.214	-36.169	-36.258	-36.093	-36.214	-36.163	-36.214	-36.134	-36.295	-36.170	-36.133	-36.171	-36.177	-36.168	-36.168	-36.214	-36.133	-36.206	-36.216	-36.214	-36.216	-36.261	-36.170	-36.214	-36.215	-36.079	-36.252	139.994	140.033	140.029	140.029	140.029	140.066	140.036	140.028	140.036	140.029	139.971	140.029	140.037	140.102	140.072	140.034	139.965	140.030	140.102	140.102	139.996	140.034	140.035	139.996	139.996	139.996	140.030	140.071	139.996	139.995	140.033	140.032	104.526	104.485	104.471	104.471	104.471	104.467	104.453	104.488	104.424	104.471	104.457	104.471	104.439	104.495	104.450	104.440	104.461	104.457	104.446	104.446	104.475	104.440	104.467	104.475	104.475	104.475	104.489	104.450	104.475	104.475	104.419	104.485	2016_7_19_17_06_52
FLQS30CWGRWV____	-36.147	-36.050	-36.009	-36.009	-36.009	-36.011	-35.965	-36.055	-35.931	-36.009	-35.994	-36.009	-35.929	-36.090	-35.966	-35.930	-35.959	-35.979	-35.967	-35.967	-36.009	-35.930	-36.002	-36.009	-36.009	-36.009	-36.055	-35.967	-36.009	-36.014	-35.924	-36.045	139.980	140.024	140.032	140.032	140.032	140.096	140.031	140.061	140.027	140.032	140.000	140.032	140.066	140.095	140.064	140.061	139.965	140.062	140.099	140.099	140.028	140.061	140.065	139.960	140.028	139.992	140.024	140.063	140.028	140.025	140.035	140.067	104.484	104.442	104.426	104.426	104.426	104.421	104.409	104.441	104.397	104.426	104.424	104.426	104.392	104.451	104.407	104.393	104.414	104.412	104.404	104.404	104.427	104.393	104.420	104.433	104.427	104.430	104.444	104.407	104.427	104.429	104.393	104.436	2016_7_19_17_06_52
FLQS30C7GRWV____	-36.396	-36.292	-36.260	-36.260	-36.260	-36.216	-36.212	-36.259	-36.136	-36.260	-36.248	-36.260	-36.135	-36.296	-36.213	-36.137	-36.211	-36.225	-36.213	-36.213	-36.256	-36.137	-36.208	-36.219	-36.256	-36.255	-36.258	-36.214	-36.256	-36.257	-36.162	-36.294	139.982	139.995	140.020	140.020	140.020	140.095	140.026	140.056	140.025	140.020	139.962	140.020	140.064	140.092	140.062	140.060	139.928	140.059	140.095	140.095	139.993	140.060	140.060	139.954	139.993	139.958	140.021	140.061	139.993	139.992	139.999	140.061	104.502	104.460	104.446	104.446	104.446	104.421	104.427	104.442	104.398	104.446	104.447	104.446	104.394	104.452	104.424	104.394	104.436	104.428	104.420	104.420	104.447	104.394	104.422	104.437	104.447	104.450	104.445	104.424	104.447	104.447	104.410	104.455	2016_7_19_17_06_52
FLQS29JFGRX5____	-36.213	-36.159	-36.087	-36.087	-36.087	-36.086	-36.046	-36.122	-36.013	-36.087	-36.084	-36.087	-36.013	-36.157	-36.047	-36.012	-36.047	-36.052	-36.047	-36.047	-36.125	-36.012	-36.083	-36.087	-36.125	-36.087	-36.121	-36.048	-36.125	-36.087	-36.005	-36.162	140.038	140.053	140.084	140.084	140.084	140.152	140.045	140.116	140.077	140.084	140.014	140.084	140.119	140.150	140.115	140.112	139.975	140.116	140.148	140.148	140.052	140.112	140.083	140.010	140.052	140.010	140.080	140.113	140.052	140.047	140.050	140.123	104.625	104.603	104.572	104.572	104.572	104.565	104.561	104.583	104.545	104.572	104.578	104.572	104.540	104.593	104.554	104.541	104.568	104.556	104.551	104.551	104.590	104.541	104.571	104.580	104.590	104.580	104.586	104.555	104.590	104.576	104.544	104.597	2016_7_19_17_06_52
FLQS22XEGRX2____	-36.124	-36.035	-35.999	-35.999	-35.999	-36.000	-35.963	-36.037	-35.928	-35.999	-35.999	-35.999	-35.927	-36.072	-35.963	-35.928	-35.964	-35.966	-35.964	-35.964	-36.000	-35.928	-35.998	-36.001	-36.000	-36.000	-36.037	-35.966	-36.000	-36.000	-35.923	-36.036	139.991	140.033	140.069	140.069	140.069	140.106	140.035	140.070	140.034	140.069	140.001	140.069	140.070	140.106	140.071	140.069	139.966	140.071	140.105	140.105	140.033	140.069	140.069	139.999	140.033	139.999	140.033	140.070	140.033	140.035	140.038	140.070	104.316	104.277	104.260	104.260	104.260	104.257	104.249	104.274	104.236	104.260	104.267	104.260	104.232	104.284	104.246	104.233	104.257	104.247	104.243	104.243	104.264	104.233	104.260	104.268	104.264	104.267	104.278	104.247	104.264	104.264	104.234	104.274	2016_7_19_17_06_52
FLQS22TQGRX2____	-36.346	-36.250	-36.214	-36.214	-36.214	-36.214	-36.169	-36.253	-36.135	-36.214	-36.205	-36.214	-36.134	-36.289	-36.169	-36.135	-36.171	-36.180	-36.171	-36.171	-36.250	-36.135	-36.206	-36.214	-36.250	-36.213	-36.253	-36.171	-36.250	-36.250	-36.126	-36.250	139.996	140.037	140.076	140.076	140.076	140.109	140.033	140.071	140.034	140.076	140.001	140.076	140.073	140.107	140.072	140.067	139.965	140.073	140.108	140.108	140.039	140.067	140.075	140.002	140.039	139.999	140.034	140.069	140.039	140.043	140.040	140.076	104.674	104.633	104.616	104.616	104.616	104.612	104.603	104.631	104.590	104.616	104.620	104.616	104.585	104.641	104.599	104.586	104.610	104.603	104.596	104.596	104.633	104.586	104.613	104.623	104.633	104.623	104.635	104.600	104.633	104.633	104.585	104.629	2016_7_19_17_06_53
FLQS21YXGRX2____	-36.031	-35.939	-35.905	-35.905	-35.905	-35.905	-35.860	-35.944	-35.786	-35.905	-35.897	-35.905	-35.785	-35.980	-35.862	-35.785	-35.863	-35.871	-35.860	-35.860	-35.905	-35.785	-35.898	-35.905	-35.905	-35.904	-35.943	-35.861	-35.905	-35.904	-35.814	-35.940	139.989	140.032	140.066	140.066	140.066	140.102	140.030	140.063	140.031	140.066	139.995	140.066	140.068	140.100	140.066	140.065	139.960	140.066	140.099	140.099	140.029	140.065	140.066	139.994	140.029	139.994	140.028	140.066	140.029	140.031	140.035	140.069	104.348	104.309	104.292	104.292	104.292	104.289	104.278	104.307	104.250	104.292	104.296	104.292	104.246	104.318	104.276	104.246	104.286	104.279	104.272	104.272	104.296	104.246	104.290	104.299	104.296	104.299	104.311	104.275	104.296	104.295	104.260	104.305	2016_7_19_17_06_53
FLQS2AVTGRX5____	-36.206	-36.095	-36.015	-36.015	-36.015	-36.015	-35.973	-36.105	-35.976	-36.015	-36.050	-36.015	-35.976	-36.140	-35.971	-35.976	-35.974	-36.024	-35.971	-35.971	-36.016	-35.976	-36.047	-36.016	-36.016	-36.015	-36.106	-35.974	-36.016	-36.016	-35.923	-36.095	140.017	140.057	140.090	140.090	140.090	140.126	140.058	140.088	140.058	140.090	140.025	140.090	140.096	140.124	140.093	140.091	139.989	140.092	140.126	140.126	140.056	140.091	140.092	140.021	140.056	140.021	140.052	140.092	140.056	140.056	140.059	140.094	104.341	104.295	104.261	104.261	104.261	104.257	104.248	104.295	104.249	104.261	104.280	104.261	104.245	104.305	104.244	104.246	104.255	104.264	104.240	104.240	104.264	104.246	104.273	104.268	104.264	104.268	104.299	104.245	104.264	104.264	104.228	104.291	2016_7_19_17_06_53
FLQS3087GRWV____	-36.261	-36.149	-36.114	-36.114	-36.114	-36.115	-36.073	-36.164	-35.997	-36.114	-36.105	-36.114	-35.994	-36.197	-36.074	-35.997	-36.069	-36.079	-36.068	-36.068	-36.118	-35.997	-36.103	-36.114	-36.118	-36.114	-36.165	-36.069	-36.118	-36.114	-36.020	-36.156	139.971	139.987	140.022	140.022	140.022	140.058	140.019	140.015	139.985	140.022	139.955	140.022	140.055	140.055	140.055	140.019	139.921	140.023	140.058	140.058	139.982	140.019	140.024	139.952	139.982	139.953	139.979	140.025	139.982	139.987	139.994	140.053	104.522	104.478	104.461	104.461	104.461	104.458	104.445	104.481	104.419	104.461	104.464	104.461	104.411	104.489	104.442	104.416	104.453	104.447	104.440	104.440	104.466	104.416	104.456	104.468	104.466	104.467	104.485	104.443	104.466	104.464	104.427	104.474	2016_7_19_17_06_53
